9662    , -1537.44    , array([ 0.196384   ,  0.13907    ,  8.42878e-22,  0.0299927  ])
9663    , -1537.44    , array([ 0.196581   ,  0.13907    ,  8.42878e-22,  0.0299927  ])
9664    , -1536.96    , array([ 0.196384   ,  0.139209   ,  8.42878e-22,  0.0299927  ])
9665    , -1537.44    , array([ 0.196384   ,  0.13907    ,  8.43721e-22,  0.0299927  ])
9666    , -1537.42    , array([ 0.196384   ,  0.13907    ,  8.42878e-22,  0.0300227  ])
9667    , -1537.44    , array([ 0.196384   ,  0.13907    ,  8.42878e-22,  0.0299927  ])
9668    , -1705.63    , array([ 0.196384   ,  0.381236   ,  8.42878e-22,  0.0317211  ])
9669    , -1705.63    , array([ 0.196384   ,  0.381236   ,  8.42878e-22,  0.0317211  ])
9670    , -1705.63    , array([ 0.196581   ,  0.381236   ,  8.42878e-22,  0.0317211  ])
9671    , -1706.23    , array([ 0.196384   ,  0.381618   ,  8.42878e-22,  0.0317211  ])
9672    , -1705.63    , array([ 0.196384   ,  0.381236   ,  8.43721e-22,  0.0317211  ])
9673    , -1705.18    , array([ 0.196384   ,  0.381236   ,  8.42878e-22,  0.0317528  ])
9674    , -1465.48    , array([ 0.196384   ,  0.190453   ,  8.42878e-22,  0.0305212  ])
9675    , -1465.48    , array([ 0.196384   ,  0.190453   ,  8.42878e-22,  0.0305212  ])
9676    , -1465.48    , array([ 0.196581   ,  0.190453   ,  8.42878e-22,  0.0305212  ])
9677    , -1465.5     , array([ 0.196384   ,  0.190644   ,  8.42878e-22,  0.0305212  ])
9678    , -1465.48    , array([ 0.196384   ,  0.190453   ,  8.43721e-22,  0.0305212  ])
9679    , -1465.17    , array([ 0.196384   ,  0.190453   ,  8.42878e-22,  0.0305518  ])
9680    , -1295.86    , array([ 0.196384   ,  0.249975   ,  8.42878e-22,  0.0495741  ])
9681    , -1295.86    , array([ 0.196384   ,  0.249975   ,  8.42878e-22,  0.0495741  ])
9682    , -1295.86    , array([ 0.196581   ,  0.249975   ,  8.42878e-22,  0.0495741  ])
9683    , -1296       , array([ 0.196384   ,  0.250225   ,  8.42878e-22,  0.0495741  ])
9684    , -1295.86    , array([ 0.196384   ,  0.249975   ,  8.43721e-22,  0.0495741  ])
9685    , -1295.39    , array([ 0.196384   ,  0.249975   ,  8.42878e-22,  0.0496237  ])
9686    , -1435.1     , array([ 0.196384   ,  0.741874   ,  8.42878e-22,  0.345038   ])
9687    , -1435.1     , array([ 0.196384   ,  0.741874   ,  8.42878e-22,  0.345038   ])
9688    , -1435.1     , array([ 0.196581   ,  0.741874   ,  8.42878e-22,  0.345038   ])
9689    , -1437.65    , array([ 0.196384   ,  0.742616   ,  8.42878e-22,  0.345038   ])
9690    , -1435.1     , array([ 0.196384   ,  0.741874   ,  8.43721e-22,  0.345038   ])
9691    , -1434.94    , array([ 0.196384   ,  0.741874   ,  8.42878e-22,  0.345384   ])
9692    , -966.085    , array([ 0.196384   ,  0.427018   ,  8.42878e-22,  0.128831   ])
9693    , -966.085    , array([ 0.196384   ,  0.427018   ,  8.42878e-22,  0.128831   ])
9694    , -966.085    , array([ 0.196581   ,  0.427018   ,  8.42878e-22,  0.128831   ])
9695    , -966.981    , array([ 0.196384   ,  0.427446   ,  8.42878e-22,  0.128831   ])
9696    , -966.085    , array([ 0.196384   ,  0.427018   ,  8.43721e-22,  0.128831   ])
9697    , -965.437    , array([ 0.196384   ,  0.427018   ,  8.42878e-22,  0.12896    ])
9704    , -966.083    , array([ 0.196384   ,  0.42702    ,  8.42878e-22,  0.128832   ])
9705    , -966.083    , array([ 0.196384   ,  0.42702    ,  8.42878e-22,  0.128832   ])
9706    , -966.083    , array([ 0.196581   ,  0.42702    ,  8.42878e-22,  0.128832   ])
9707    , -966.979    , array([ 0.196384   ,  0.427447   ,  8.42878e-22,  0.128832   ])
9708    , -966.083    , array([ 0.196384   ,  0.42702    ,  8.43721e-22,  0.128832   ])
9709    , -965.436    , array([ 0.196384   ,  0.42702    ,  8.42878e-22,  0.128961   ])
9710    , -966.069    , array([ 0.196384   ,  0.427029   ,  8.42878e-22,  0.128839   ])
9711    , -966.069    , array([ 0.196384   ,  0.427029   ,  8.42878e-22,  0.128839   ])
9712    , -966.069    , array([ 0.196581   ,  0.427029   ,  8.42878e-22,  0.128839   ])
9713    , -966.964    , array([ 0.196384   ,  0.427456   ,  8.42878e-22,  0.128839   ])
9714    , -966.069    , array([ 0.196384   ,  0.427029   ,  8.43721e-22,  0.128839   ])
9715    , -965.421    , array([ 0.196384   ,  0.427029   ,  8.42878e-22,  0.128968   ])
9716    , -2079.25    , array([ 0.196384   ,  0.921353   ,  8.42878e-22,  0.813048   ])
9717    , -2079.25    , array([ 0.196384   ,  0.921353   ,  8.42878e-22,  0.813048   ])
9718    , -2079.25    , array([ 0.196581   ,  0.921353   ,  8.42878e-22,  0.813048   ])
9719    , -2082.18    , array([ 0.196384   ,  0.922275   ,  8.42878e-22,  0.813048   ])
9720    , -2079.25    , array([ 0.196384   ,  0.921353   ,  8.43721e-22,  0.813048   ])
9721    , -2079.38    , array([ 0.196384   ,  0.921353   ,  8.42878e-22,  0.813861   ])
9722    , -915.608    , array([ 0.196384   ,  0.475289   ,  8.42878e-22,  0.166512   ])
9723    , -915.608    , array([ 0.196384   ,  0.475289   ,  8.42878e-22,  0.166512   ])
9724    , -915.608    , array([ 0.196581   ,  0.475289   ,  8.42878e-22,  0.166512   ])
9725    , -916.761    , array([ 0.196384   ,  0.475765   ,  8.42878e-22,  0.166512   ])
9726    , -915.608    , array([ 0.196384   ,  0.475289   ,  8.43721e-22,  0.166512   ])
9727    , -915.02     , array([ 0.196384   ,  0.475289   ,  8.42878e-22,  0.166679   ])
9728    , -818.531    , array([ 0.196384   ,  0.471196   ,  8.42878e-22,  0.194734   ])
9729    , -818.531    , array([ 0.196384   ,  0.471196   ,  8.42878e-22,  0.194734   ])
9730    , -818.531    , array([ 0.196581   ,  0.471196   ,  8.42878e-22,  0.194734   ])
9731    , -819.655    , array([ 0.196384   ,  0.471668   ,  8.42878e-22,  0.194734   ])
9732    , -818.531    , array([ 0.196384   ,  0.471196   ,  8.43721e-22,  0.194734   ])
9733    , -818.009    , array([ 0.196384   ,  0.471196   ,  8.42878e-22,  0.194929   ])
9734    , -646.963    , array([ 0.196384   ,  0.439312   ,  8.42878e-22,  0.243838   ])
9735    , -646.963    , array([ 0.196384   ,  0.439312   ,  8.42878e-22,  0.243838   ])
9736    , -646.963    , array([ 0.196581   ,  0.439312   ,  8.42878e-22,  0.243838   ])
9737    , -647.842    , array([ 0.196384   ,  0.439752   ,  8.42878e-22,  0.243838   ])
9738    , -646.963    , array([ 0.196384   ,  0.439312   ,  8.43721e-22,  0.243838   ])
9739    , -646.596    , array([ 0.196384   ,  0.439312   ,  8.42878e-22,  0.244082   ])
9740    , -455.229    , array([ 0.196384   ,  0.350734   ,  8.42878e-22,  0.36564    ])
9741    , -455.229    , array([ 0.196384   ,  0.350734   ,  8.42878e-22,  0.36564    ])
9742    , -455.229    , array([ 0.196581   ,  0.350734   ,  8.42878e-22,  0.36564    ])
9743    , -455.54     , array([ 0.196384   ,  0.351084   ,  8.42878e-22,  0.36564    ])
9744    , -455.229    , array([ 0.196384   ,  0.350734   ,  8.43721e-22,  0.36564    ])
9745    , -455.291    , array([ 0.196384   ,  0.350734   ,  8.42878e-22,  0.366005   ])
9746    , -426.468    , array([ 0.196384   ,  0.297819   ,  8.42878e-22,  0.326776   ])
9747    , -426.468    , array([ 0.196384   ,  0.297819   ,  8.42878e-22,  0.326776   ])
9748    , -426.468    , array([ 0.196581   ,  0.297819   ,  8.42878e-22,  0.326776   ])
9749    , -426.566    , array([ 0.196384   ,  0.298117   ,  8.42878e-22,  0.326776   ])
9750    , -426.468    , array([ 0.196384   ,  0.297819   ,  8.43721e-22,  0.326776   ])
9751    , -426.336    , array([ 0.196384   ,  0.297819   ,  8.42878e-22,  0.327103   ])
9752    , -411.211    , array([ 0.196384   ,  0.271526   ,  8.42878e-22,  0.359651   ])
9753    , -411.211    , array([ 0.196384   ,  0.271526   ,  8.42878e-22,  0.359651   ])
9754    , -411.211    , array([ 0.196581   ,  0.271526   ,  8.42878e-22,  0.359651   ])
9755    , -411.288    , array([ 0.196384   ,  0.271798   ,  8.42878e-22,  0.359651   ])
