73272   , -52230.6    , array([ 2.23038    ,  1.22626    ,  1.55137e-60,  9.387e-79  ,  0.0279061  ])
73273   , -52235.9    , array([ 2.23261    ,  1.22626    ,  1.55137e-60,  9.387e-79  ,  0.0279061  ])
73274   , -52245.8    , array([ 2.23038    ,  1.22749    ,  1.55137e-60,  9.387e-79  ,  0.0279061  ])
73275   , -52230.6    , array([ 2.23038    ,  1.22626    ,  1.55292e-60,  9.387e-79  ,  0.0279061  ])
73276   , -52230.6    , array([ 2.23038    ,  1.22626    ,  1.55137e-60,  9.39639e-79,  0.0279061  ])
73277   , -52211.4    , array([ 2.23038    ,  1.22626    ,  1.55137e-60,  9.387e-79  ,  0.027934   ])
73278   , -52230.6    , array([ 2.23038    ,  1.22626    ,  1.55137e-60,  9.387e-79  ,  0.0279061  ])
73279   , -21875.9    , array([ 1.80614    ,  0.664692   ,  1.55137e-60,  9.387e-79  ,  0.0605697  ])
73280   , -21875.9    , array([ 1.80614    ,  0.664692   ,  1.55137e-60,  9.387e-79  ,  0.0605697  ])
73281   , -21879.3    , array([ 1.80795    ,  0.664692   ,  1.55137e-60,  9.387e-79  ,  0.0605697  ])
73282   , -21897.1    , array([ 1.80614    ,  0.665357   ,  1.55137e-60,  9.387e-79  ,  0.0605697  ])
73283   , -21875.9    , array([ 1.80614    ,  0.664692   ,  1.55292e-60,  9.387e-79  ,  0.0605697  ])
73284   , -21875.9    , array([ 1.80614    ,  0.664692   ,  1.55137e-60,  9.39639e-79,  0.0605697  ])
73285   , -21854.5    , array([ 1.80614    ,  0.664692   ,  1.55137e-60,  9.387e-79  ,  0.0606303  ])
73286   , -878748     , array([ 0.776678   ,  0.0573806  ,  1.55137e-60,  9.387e-79  ,  1.34426    ])
73287   , -878748     , array([ 0.776678   ,  0.0573806  ,  1.55137e-60,  9.387e-79  ,  1.34426    ])
73288   , -878682     , array([ 0.777455   ,  0.0573806  ,  1.55137e-60,  9.387e-79  ,  1.34426    ])
73289   , -877939     , array([ 0.776678   ,  0.057438   ,  1.55137e-60,  9.387e-79  ,  1.34426    ])
73290   , -878748     , array([ 0.776678   ,  0.0573806  ,  1.55292e-60,  9.387e-79  ,  1.34426    ])
73291   , -878748     , array([ 0.776678   ,  0.0573806  ,  1.55137e-60,  9.39639e-79,  1.34426    ])
73292   , -879643     , array([ 0.776678   ,  0.0573806  ,  1.55137e-60,  9.387e-79  ,  1.3456     ])
73293   , -7250.5     , array([ 1.43937    ,  0.34394    ,  1.55137e-60,  9.387e-79  ,  0.139425   ])
73294   , -7250.5     , array([ 1.43937    ,  0.34394    ,  1.55137e-60,  9.387e-79  ,  0.139425   ])
73295   , -7247.09    , array([ 1.44081    ,  0.34394    ,  1.55137e-60,  9.387e-79  ,  0.139425   ])
73296   , -7248.53    , array([ 1.43937    ,  0.344284   ,  1.55137e-60,  9.387e-79  ,  0.139425   ])
73297   , -7250.5     , array([ 1.43937    ,  0.34394    ,  1.55292e-60,  9.387e-79  ,  0.139425   ])
73298   , -7250.5     , array([ 1.43937    ,  0.34394    ,  1.55137e-60,  9.39639e-79,  0.139425   ])
73299   , -7261.85    , array([ 1.43937    ,  0.34394    ,  1.55137e-60,  9.387e-79  ,  0.139564   ])
73307   , -7236.87    , array([ 1.44027    ,  0.342878   ,  1.55137e-60,  9.387e-79  ,  0.139208   ])
73308   , -7236.87    , array([ 1.44027    ,  0.342878   ,  1.55137e-60,  9.387e-79  ,  0.139208   ])
73309   , -7233.47    , array([ 1.44171    ,  0.342878   ,  1.55137e-60,  9.387e-79  ,  0.139208   ])
