159460  , -377191     , array([ 0.209933   ,  2.16257    ,  2.64045e-65,  5.83647e-09,  1.55054    ])
159461  , -377185     , array([ 0.209933   ,  2.16041    ,  2.64309e-65,  5.83647e-09,  1.55054    ])
159462  , -377185     , array([ 0.209933   ,  2.16041    ,  2.64045e-65,  5.84231e-09,  1.55054    ])
159463  , -377512     , array([ 0.209933   ,  2.16041    ,  2.64045e-65,  5.83647e-09,  1.5521     ])
159464  , -2761.01    , array([ 27.8881    ,  0.130619   ,  2.64045e-65,  8.51577e-09,  0.0493116  ])
159465  , -2761.01    , array([ 27.8881    ,  0.130619   ,  2.64045e-65,  8.51577e-09,  0.0493116  ])
159466  , -2761.12    , array([ 27.916     ,  0.130619   ,  2.64045e-65,  8.51577e-09,  0.0493116  ])
159467  , -2760.71    , array([ 27.8881    ,  0.130749   ,  2.64045e-65,  8.51577e-09,  0.0493116  ])
159468  , -2761.01    , array([ 27.8881    ,  0.130619   ,  2.64309e-65,  8.51577e-09,  0.0493116  ])
159469  , -2761.01    , array([ 27.8881    ,  0.130619   ,  2.64045e-65,  8.52429e-09,  0.0493116  ])
159470  , -2763.76    , array([ 27.8881    ,  0.130619   ,  2.64045e-65,  8.51577e-09,  0.0493609  ])
159478  , -2761       , array([ 27.8881    ,  0.130622   ,  2.64045e-65,  8.51709e-09,  0.0493115  ])
159479  , -2761       , array([ 27.8881    ,  0.130622   ,  2.64045e-65,  8.51709e-09,  0.0493115  ])
159480  , -2761.12    , array([ 27.916     ,  0.130622   ,  2.64045e-65,  8.51709e-09,  0.0493115  ])
159481  , -2760.7     , array([ 27.8881    ,  0.130752   ,  2.64045e-65,  8.51709e-09,  0.0493115  ])
159482  , -2761       , array([ 27.8881    ,  0.130622   ,  2.64309e-65,  8.51709e-09,  0.0493115  ])
159483  , -2761       , array([ 27.8881    ,  0.130622   ,  2.64045e-65,  8.52561e-09,  0.0493115  ])
159484  , -2763.75    , array([ 27.8881    ,  0.130622   ,  2.64045e-65,  8.51709e-09,  0.0493609  ])
159485  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.519e-09  ,  0.0493115  ])
159486  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.519e-09  ,  0.0493115  ])
159487  , -2761.11    , array([ 27.916     ,  0.130626   ,  2.64045e-65,  8.519e-09  ,  0.0493115  ])
159488  , -2760.69    , array([ 27.8881    ,  0.130756   ,  2.64045e-65,  8.519e-09  ,  0.0493115  ])
159489  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64309e-65,  8.519e-09  ,  0.0493115  ])
159490  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.52752e-09,  0.0493115  ])
159491  , -2763.74    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.519e-09  ,  0.0493609  ])
159499  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.51933e-09,  0.0493115  ])
159500  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.51933e-09,  0.0493115  ])
159501  , -2761.1     , array([ 27.916     ,  0.130626   ,  2.64045e-65,  8.51933e-09,  0.0493115  ])
159502  , -2760.69    , array([ 27.8881    ,  0.130757   ,  2.64045e-65,  8.51933e-09,  0.0493115  ])
159503  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64309e-65,  8.51933e-09,  0.0493115  ])
159504  , -2760.99    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.52785e-09,  0.0493115  ])
159505  , -2763.74    , array([ 27.8881    ,  0.130626   ,  2.64045e-65,  8.51933e-09,  0.0493609  ])
159506  , -2760.99    , array([ 27.8881    ,  0.130627   ,  2.64045e-65,  8.5198e-09 ,  0.0493115  ])
159507  , -2760.99    , array([ 27.8881    ,  0.130627   ,  2.64045e-65,  8.5198e-09 ,  0.0493115  ])
159508  , -2761.1     , array([ 27.916     ,  0.130627   ,  2.64045e-65,  8.5198e-09 ,  0.0493115  ])
159509  , -2760.68    , array([ 27.8881    ,  0.130758   ,  2.64045e-65,  8.5198e-09 ,  0.0493115  ])
159510  , -2760.99    , array([ 27.8881    ,  0.130627   ,  2.64309e-65,  8.5198e-09 ,  0.0493115  ])
159511  , -2760.99    , array([ 27.8881    ,  0.130627   ,  2.64045e-65,  8.52833e-09,  0.0493115  ])
159512  , -2763.73    , array([ 27.8881    ,  0.130627   ,  2.64045e-65,  8.5198e-09 ,  0.0493609  ])
159513  , -30412.1    , array([ 28.5124    ,  0.617256   ,  2.64045e-65,  0.000627608,  0.0485188  ])
159514  , -30412.1    , array([ 28.5124    ,  0.617256   ,  2.64045e-65,  0.000627608,  0.0485188  ])
159515  , -30412.6    , array([ 28.5409    ,  0.617256   ,  2.64045e-65,  0.000627608,  0.0485188  ])
159516  , -30439      , array([ 28.5124    ,  0.617873   ,  2.64045e-65,  0.000627608,  0.0485188  ])
159517  , -30412.1    , array([ 28.5124    ,  0.617256   ,  2.64309e-65,  0.000627608,  0.0485188  ])
159518  , -30412.1    , array([ 28.5124    ,  0.617256   ,  2.64045e-65,  0.000628236,  0.0485188  ])
159519  , -30388.7    , array([ 28.5124    ,  0.617256   ,  2.64045e-65,  0.000627608,  0.0485673  ])
159520  , -2759.14    , array([ 27.892     ,  0.131889   ,  2.64045e-65,  9.13198e-09,  0.0493066  ])
159521  , -2759.14    , array([ 27.892     ,  0.131889   ,  2.64045e-65,  9.13198e-09,  0.0493066  ])
159522  , -2759.25    , array([ 27.9199    ,  0.131889   ,  2.64045e-65,  9.13198e-09,  0.0493066  ])
159523  , -2759.14    , array([ 27.892     ,  0.132021   ,  2.64045e-65,  9.13198e-09,  0.0493066  ])
159524  , -2759.14    , array([ 27.892     ,  0.131889   ,  2.64309e-65,  9.13198e-09,  0.0493066  ])
159525  , -2759.14    , array([ 27.892     ,  0.131889   ,  2.64045e-65,  9.14112e-09,  0.0493066  ])
159526  , -2761.59    , array([ 27.892     ,  0.131889   ,  2.64045e-65,  9.13198e-09,  0.0493559  ])
159527  , -2755.41    , array([ 27.957     ,  0.131695   ,  2.64045e-65,  9.12527e-09,  0.0492253  ])
159528  , -2755.41    , array([ 27.957     ,  0.131695   ,  2.64045e-65,  9.12527e-09,  0.0492253  ])
159529  , -2755.53    , array([ 27.985     ,  0.131695   ,  2.64045e-65,  9.12527e-09,  0.0492253  ])
159530  , -2755.42    , array([ 27.957     ,  0.131827   ,  2.64045e-65,  9.12527e-09,  0.0492253  ])
159531  , -2755.41    , array([ 27.957     ,  0.131695   ,  2.64309e-65,  9.12527e-09,  0.0492253  ])
159532  , -2755.41    , array([ 27.957     ,  0.131695   ,  2.64045e-65,  9.1344e-09 ,  0.0492253  ])
159533  , -2757.85    , array([ 27.957     ,  0.131695   ,  2.64045e-65,  9.12527e-09,  0.0492746  ])
159534  , -2740.62    , array([ 28.2189    ,  0.130923   ,  2.64045e-65,  9.09847e-09,  0.0489016  ])
159535  , -2740.62    , array([ 28.2189    ,  0.130923   ,  2.64045e-65,  9.09847e-09,  0.0489016  ])
159536  , -2740.73    , array([ 28.2471    ,  0.130923   ,  2.64045e-65,  9.09847e-09,  0.0489016  ])
159537  , -2740.64    , array([ 28.2189    ,  0.131054   ,  2.64045e-65,  9.09847e-09,  0.0489016  ])
159538  , -2740.62    , array([ 28.2189    ,  0.130923   ,  2.64309e-65,  9.09847e-09,  0.0489016  ])
159539  , -2740.62    , array([ 28.2189    ,  0.130923   ,  2.64045e-65,  9.10758e-09,  0.0489016  ])
159540  , -2743.02    , array([ 28.2189    ,  0.130923   ,  2.64045e-65,  9.09847e-09,  0.0489506  ])
159541  , -2683.21    , array([ 29.291     ,  0.127877   ,  2.64045e-65,  8.99206e-09,  0.047628   ])
159542  , -2683.21    , array([ 29.291     ,  0.127877   ,  2.64045e-65,  8.99206e-09,  0.047628   ])
159543  , -2683.31    , array([ 29.3203    ,  0.127877   ,  2.64045e-65,  8.99206e-09,  0.047628   ])
159544  , -2683.28    , array([ 29.291     ,  0.128005   ,  2.64045e-65,  8.99206e-09,  0.047628   ])
159545  , -2683.21    , array([ 29.291     ,  0.127877   ,  2.64309e-65,  8.99206e-09,  0.047628   ])
159546  , -2683.21    , array([ 29.291     ,  0.127877   ,  2.64045e-65,  9.00106e-09,  0.047628   ])
159547  , -2685.44    , array([ 29.291     ,  0.127877   ,  2.64045e-65,  8.99206e-09,  0.0476757  ])
159548  , -2480.62    , array([ 34.0026    ,  0.116385   ,  2.64045e-65,  8.57871e-09,  0.0428567  ])
159549  , -2480.62    , array([ 34.0026    ,  0.116385   ,  2.64045e-65,  8.57871e-09,  0.0428567  ])
159550  , -2480.7     , array([ 34.0366    ,  0.116385   ,  2.64045e-65,  8.57871e-09,  0.0428567  ])
159551  , -2480.91    , array([ 34.0026    ,  0.116501   ,  2.64045e-65,  8.57871e-09,  0.0428567  ])
159552  , -2480.62    , array([ 34.0026    ,  0.116385   ,  2.64309e-65,  8.57871e-09,  0.0428567  ])
159553  , -2480.62    , array([ 34.0026    ,  0.116385   ,  2.64045e-65,  8.58729e-09,  0.0428567  ])
159554  , -2482.22    , array([ 34.0026    ,  0.116385   ,  2.64045e-65,  8.57871e-09,  0.0428996  ])
159555  , -2086.08    , array([ 53.2074    ,  0.085483   ,  2.64045e-65,  6.18791e-09,  0.0312179  ])
159556  , -2086.08    , array([ 53.2074    ,  0.085483   ,  2.64045e-65,  6.18791e-09,  0.0312179  ])
159557  , -2086.11    , array([ 53.2607    ,  0.085483   ,  2.64045e-65,  6.18791e-09,  0.0312179  ])
159558  , -2086.23    , array([ 53.2074    ,  0.0855686  ,  2.64045e-65,  6.18791e-09,  0.0312179  ])
159559  , -2086.08    , array([ 53.2074    ,  0.085483   ,  2.64309e-65,  6.18791e-09,  0.0312179  ])
159560  , -2086.08    , array([ 53.2074    ,  0.085483   ,  2.64045e-65,  6.1941e-09 ,  0.0312179  ])
159561  , -2086.82    , array([ 53.2074    ,  0.085483   ,  2.64045e-65,  6.18791e-09,  0.0312491  ])
159562  , -1943.53    , array([ 79.2139    ,  0.0649448  ,  2.64045e-65,  4.61127e-09,  0.0235557  ])
159563  , -1943.53    , array([ 79.2139    ,  0.0649448  ,  2.64045e-65,  4.61127e-09,  0.0235557  ])
159564  , -1943.54    , array([ 79.2932    ,  0.0649448  ,  2.64045e-65,  4.61127e-09,  0.0235557  ])
159565  , -1943.56    , array([ 79.2139    ,  0.0650097  ,  2.64045e-65,  4.61127e-09,  0.0235557  ])
159566  , -1943.53    , array([ 79.2139    ,  0.0649448  ,  2.64309e-65,  4.61127e-09,  0.0235557  ])
159567  , -1943.53    , array([ 79.2139    ,  0.0649448  ,  2.64045e-65,  4.61588e-09,  0.0235557  ])
159568  , -1943.79    , array([ 79.2139    ,  0.0649448  ,  2.64045e-65,  4.61127e-09,  0.0235793  ])
159569  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159570  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159571  , -1922.7     , array([ 96.8625    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159572  , -1922.71    , array([ 96.7656    ,  0.0566665  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159573  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64309e-65,  4.00125e-09,  0.0204449  ])
159574  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00525e-09,  0.0204449  ])
159575  , -1922.78    , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204653  ])
159583  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159584  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159585  , -1922.7     , array([ 96.8625    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159586  , -1922.71    , array([ 96.7656    ,  0.0566665  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159587  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64309e-65,  4.00125e-09,  0.0204449  ])
159588  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00525e-09,  0.0204449  ])
159589  , -1922.78    , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204653  ])
159597  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159598  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159599  , -1922.7     , array([ 96.8625    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159600  , -1922.71    , array([ 96.7656    ,  0.0566665  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159601  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64309e-65,  4.00125e-09,  0.0204449  ])
159602  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00525e-09,  0.0204449  ])
159603  , -1922.78    , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204653  ])
159611  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159612  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
