92119   , -79089.4    , array([ 0.0427006  ,  1.5705     ,  0.000375642,  0.735534   ,  9.28521e-12])
92120   , -79089.4    , array([ 0.0427434  ,  1.5705     ,  0.000375642,  0.735534   ,  9.28521e-12])
92121   , -79089.4    , array([ 0.0427006  ,  1.57207    ,  0.000375642,  0.735534   ,  9.28521e-12])
92122   , -79089.4    , array([ 0.0427006  ,  1.5705     ,  0.000376018,  0.735534   ,  9.28521e-12])
92123   , -79089.4    , array([ 0.0427006  ,  1.5705     ,  0.000375642,  0.73627    ,  9.28521e-12])
92124   , -79089.4    , array([ 0.0427006  ,  1.5705     ,  0.000375642,  0.735534   ,  9.2945e-12 ])
92125   , -79089.4    , array([ 0.0427006  ,  1.5705     ,  0.000375642,  0.735534   ,  9.28521e-12])
92126   , -79089.4    , array([ 0.0426932  ,  1.57049    ,  0.000375642,  0.735534   ,  9.28689e-12])
92127   , -79089.4    , array([ 0.0426932  ,  1.57049    ,  0.000375642,  0.735534   ,  9.28689e-12])
92128   , -79089.4    , array([ 0.042736   ,  1.57049    ,  0.000375642,  0.735534   ,  9.28689e-12])
92129   , -79089.4    , array([ 0.0426932  ,  1.57206    ,  0.000375642,  0.735534   ,  9.28689e-12])
92130   , -79089.4    , array([ 0.0426932  ,  1.57049    ,  0.000376018,  0.735534   ,  9.28689e-12])
92131   , -79089.4    , array([ 0.0426932  ,  1.57049    ,  0.000375642,  0.73627    ,  9.28689e-12])
92132   , -79089.4    , array([ 0.0426932  ,  1.57049    ,  0.000375642,  0.735534   ,  9.29618e-12])
92133   , -79089.4    , array([ 0.0426637  ,  1.57044    ,  0.000375642,  0.735535   ,  9.29362e-12])
92134   , -79089.4    , array([ 0.0426637  ,  1.57044    ,  0.000375642,  0.735535   ,  9.29362e-12])
92135   , -79089.4    , array([ 0.0427063  ,  1.57044    ,  0.000375642,  0.735535   ,  9.29362e-12])
92136   , -79089.4    , array([ 0.0426637  ,  1.57201    ,  0.000375642,  0.735535   ,  9.29362e-12])
92137   , -79089.4    , array([ 0.0426637  ,  1.57044    ,  0.000376018,  0.735535   ,  9.29362e-12])
92138   , -79089.4    , array([ 0.0426637  ,  1.57044    ,  0.000375642,  0.73627    ,  9.29362e-12])
92139   , -79089.4    , array([ 0.0426637  ,  1.57044    ,  0.000375642,  0.735535   ,  9.30292e-12])
92140   , -79089.4    , array([ 0.0425455  ,  1.57027    ,  0.000375642,  0.735535   ,  9.32059e-12])
92141   , -79089.4    , array([ 0.0425455  ,  1.57027    ,  0.000375642,  0.735535   ,  9.32059e-12])
92142   , -79089.4    , array([ 0.0425881  ,  1.57027    ,  0.000375642,  0.735535   ,  9.32059e-12])
92143   , -79089.4    , array([ 0.0425455  ,  1.57184    ,  0.000375642,  0.735535   ,  9.32059e-12])
92144   , -79089.4    , array([ 0.0425455  ,  1.57027    ,  0.000376018,  0.735535   ,  9.32059e-12])
92145   , -79089.4    , array([ 0.0425455  ,  1.57027    ,  0.000375642,  0.736271   ,  9.32059e-12])
92146   , -79089.4    , array([ 0.0425455  ,  1.57027    ,  0.000375642,  0.735535   ,  9.32991e-12])
92147   , -79089.4    , array([ 0.0420761  ,  1.56958    ,  0.000375642,  0.735535   ,  9.42923e-12])
92148   , -79089.4    , array([ 0.0420761  ,  1.56958    ,  0.000375642,  0.735535   ,  9.42923e-12])
92149   , -79089.4    , array([ 0.0421182  ,  1.56958    ,  0.000375642,  0.735535   ,  9.42923e-12])
92150   , -79089.4    , array([ 0.0420761  ,  1.57115    ,  0.000375642,  0.735535   ,  9.42923e-12])
92151   , -79089.4    , array([ 0.0420761  ,  1.56958    ,  0.000376018,  0.735535   ,  9.42923e-12])
92152   , -79089.4    , array([ 0.0420761  ,  1.56958    ,  0.000375642,  0.736271   ,  9.42923e-12])
92153   , -79089.4    , array([ 0.0420761  ,  1.56958    ,  0.000375642,  0.735535   ,  9.43867e-12])
92154   , -79089.4    , array([ 0.0402498  ,  1.56681    ,  0.000375642,  0.735538   ,  9.87664e-12])
92155   , -79089.4    , array([ 0.0402498  ,  1.56681    ,  0.000375642,  0.735538   ,  9.87664e-12])
92156   , -79089.4    , array([ 0.04029    ,  1.56681    ,  0.000375642,  0.735538   ,  9.87664e-12])
92157   , -79089.4    , array([ 0.0402498  ,  1.56837    ,  0.000375642,  0.735538   ,  9.87664e-12])
92158   , -79089.4    , array([ 0.0402498  ,  1.56681    ,  0.000376018,  0.735538   ,  9.87664e-12])
92159   , -79089.4    , array([ 0.0402498  ,  1.56681    ,  0.000375642,  0.736274   ,  9.87664e-12])
92160   , -79089.4    , array([ 0.0402498  ,  1.56681    ,  0.000375642,  0.735538   ,  9.88652e-12])
92161   , -79089.4    , array([ 0.0337035  ,  1.55578    ,  0.000375642,  0.735549   ,  1.18889e-11])
92162   , -79089.4    , array([ 0.0337035  ,  1.55578    ,  0.000375642,  0.735549   ,  1.18889e-11])
92163   , -79089.4    , array([ 0.0337372  ,  1.55578    ,  0.000375642,  0.735549   ,  1.18889e-11])
92164   , -79089.4    , array([ 0.0337035  ,  1.55734    ,  0.000375642,  0.735549   ,  1.18889e-11])
92165   , -79089.4    , array([ 0.0337035  ,  1.55578    ,  0.000376018,  0.735549   ,  1.18889e-11])
92166   , -79089.4    , array([ 0.0337035  ,  1.55578    ,  0.000375642,  0.736285   ,  1.18889e-11])
92167   , -79089.4    , array([ 0.0337035  ,  1.55578    ,  0.000375642,  0.735549   ,  1.19008e-11])
92168   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92169   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92170   , -79089.4    , array([ 0.0165865  ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92171   , -79089.4    , array([ 0.01657    ,  1.51395    ,  0.000375642,  0.735593   ,  2.49612e-11])
92172   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000376018,  0.735593   ,  2.49612e-11])
92173   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.736329   ,  2.49612e-11])
92174   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.735593   ,  2.49862e-11])
92182   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92183   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92184   , -79089.4    , array([ 0.0165865  ,  1.51244    ,  0.000375642,  0.735593   ,  2.49612e-11])
92185   , -79089.4    , array([ 0.01657    ,  1.51395    ,  0.000375642,  0.735593   ,  2.49612e-11])
92186   , -79089.4    , array([ 0.01657    ,  1.51244    ,  0.000376018,  0.735593   ,  2.49612e-11])
