[001:13:30]	128399.227785	[    59.812,      9.993,      1.195,      0.006,      2.931,  1.867e-07,      5.000,      2.143]	rm
[001:13:38]	132857.667049	[    59.812,      5.358,      1.195,      0.006,      2.931,  2.369e-07,      3.618,      2.143]	rm
[001:13:48]	70766.102749	[     5.804,      0.613,     13.240,  5.215e-06,      0.095,      2.802,      0.402,      2.725]	rm
[001:14:00]	59365.656611	[     5.804,      1.652,     13.240,  5.215e-06,      0.095,      2.802,      0.671,      2.725]	rm
[001:14:07]	136852.039605	[     0.374,      1.162,     15.277,      0.080,      0.255,      3.989,      3.203,      0.371]	rm
[001:14:13]	134876.063264	[     0.374,      1.162,     15.277,      0.093,      0.255,      3.989,      3.203,      0.371]	rm
[001:14:18]	436485.159277	[    17.578,      0.290,     64.224,  5.197e-07,      0.163,  2.545e-08,      3.056,      0.514]	c
[001:14:23]	123727.498611	[     0.258,      7.854,      5.434,  2.489e-04,      1.923,      0.796,      3.329,      1.528]	c
[001:14:50]	1202245.19909	[     2.023,      0.089,      1.541,  2.145e-06,  4.559e-07,  2.189e-05,      1.319,      4.561]	c
[001:15:20]	671091.871177	[     0.917,      0.033,      4.018,      0.008,      0.006,  6.477e-07,      1.085,      1.884]	r
[001:15:33]	1109208.00891	[     2.963,      0.121,      0.080,      2.320,  1.896e-08,  5.975e-10,      1.855,      2.356]	r
[001:15:40]	39083.9998527	[     0.617,      0.185,      0.556,      0.013,      2.270,      7.320,      4.210,      0.770]	rm
[001:15:53]	30929.9383864	[     0.617,      0.185,      0.556,      0.013,      2.270,      7.320,      4.210,      2.034]	rm
[001:16:01]	132777.734702	[    27.626,      9.993,      1.935,      0.006,      2.931,  1.867e-07,      5.000,      2.655]	rmm
[001:16:07]	113102.036492	[    81.036,      9.993,      0.992,      0.006,      2.931,  1.867e-07,      3.119,      1.129]	rmm
[001:16:15]	69684.5939201	[     5.804,      1.652,     13.240,  5.215e-06,      0.061,      2.802,      0.671,      2.725]	rmm
[001:16:24]	57561.886841	[     5.804,      1.652,     13.240,  5.215e-06,      0.103,      2.802,      0.671,      2.725]	rmm
[001:16:29]	306552.877153	[    59.812,      0.290,      1.195,  5.197e-07,      2.931,  2.545e-08,      3.056,      0.514]	c
[001:16:37]	242790.902521	[    17.578,      0.290,     13.240,  5.197e-07,      0.095,  2.545e-08,      0.671,      0.514]	c
[001:16:58]	48807.6872203	[    11.497,      0.175,     13.240,  5.215e-06,      1.575,      7.755,      0.671,      2.784]	c
[001:17:26]	166086.779221	[     1.059,      0.224,      6.116,      8.241,  2.148e-07,      0.234,      0.462,      3.088]	r
[001:17:41]	447628.536972	[     0.604,      0.109,      0.157,  1.262e-08,      0.002,      2.592,      0.405,      2.679]	r
[001:17:47]	301311.998588	[    59.812,      0.290,      1.195,  5.197e-07,      4.611,  2.545e-08,      3.056,      0.514]	cm
[001:17:53]	313218.856838	[    59.812,      0.290,      1.195,  5.197e-07,      2.172,  2.545e-08,      3.056,      0.514]	cm
