58367   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  0.000226552,  5.72264e-05,  0.000217959])
58369   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  8.65351e-05,  5.72264e-05,  0.000217959])
58371   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  3.30535e-05,  5.72264e-05,  0.000217959])
58373   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.26253e-05,  5.72264e-05,  0.000217959])
58375   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  4.82244e-06,  5.72264e-05,  0.000217959])
58377   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.84201e-06,  5.72264e-05,  0.000217959])
58379   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  7.03584e-07,  5.72264e-05,  0.000217959])
58381   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  2.68745e-07,  5.72264e-05,  0.000217959])
58383   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.02651e-07,  5.72264e-05,  0.000217959])
58385   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  3.92094e-08,  5.72264e-05,  0.000217959])
58387   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.49767e-08,  5.72264e-05,  0.000217959])
58389   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  5.72057e-09,  5.72264e-05,  0.000217959])
58391   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  2.18506e-09,  5.72264e-05,  0.000217959])
58393   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  8.3462e-10 ,  5.72264e-05,  0.000217959])
58395   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  3.18796e-10,  5.72264e-05,  0.000217959])
58397   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.21769e-10,  5.72264e-05,  0.000217959])
58399   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  4.65118e-11,  5.72264e-05,  0.000217959])
58401   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.77659e-11,  5.72264e-05,  0.000217959])
58403   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  5.72264e-05,  0.000217959])
58404   , -52618.7    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.00006    ,  0.000217959])
58406   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  5.72264e-05,  0.000217959])
58408   , -52615.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.382023   ,  0.000217959])
58409   , -52614.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.19104    ,  0.000217959])
58412   , -52613.9    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.0730062  ,  0.000217959])
58414   , -52613.6    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.0279213  ,  0.000217959])
58416   , -52613.6    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.0107003  ,  0.000217959])
58418   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.00412253 ,  0.000217959])
58420   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.00161004 ,  0.000217959])
58422   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.000650347,  0.000217959])
58424   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.000283778,  0.000217959])
58426   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  0.000143762,  0.000217959])
58427   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.63701e-05,  0.000217959])
58429   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  3.19758e-05,  0.000217959])
58430   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  6.72523e-06,  0.000217959])
58431   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  7.64371e-07,  0.000217959])
58433   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  3.04122e-06,  0.000217959])
58435   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.63405e-06,  0.000217959])
58436   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.9974e-07 ,  0.000217959])
58437   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.9974e-07 ,  0.000217959])
58438   , -1.02147e+06, array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.9974e-07 ,  1.00022    ])
58440   , -52613.5    , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.9974e-07 ,  0.000217959])
58442   , -993692     , array([ 0.0126812  ,  0.0110913  ,  1.15731e-62,  1.9974e-07 ,  0.382184   ])
