243221  , -73128.7    , array([ 9.37335    ,  0.00976204 ,  1.87084e-09,  4.11417e-53,  0.0238723  ])
243222  , -73128.8    , array([ 9.38273    ,  0.00976204 ,  1.87084e-09,  4.11417e-53,  0.0238723  ])
243223  , -73039.1    , array([ 9.37335    ,  0.00977181 ,  1.87084e-09,  4.11417e-53,  0.0238723  ])
243224  , -73128.7    , array([ 9.37335    ,  0.00976204 ,  1.87271e-09,  4.11417e-53,  0.0238723  ])
243225  , -73128.7    , array([ 9.37335    ,  0.00976204 ,  1.87084e-09,  4.11829e-53,  0.0238723  ])
243226  , -73215.7    , array([ 9.37335    ,  0.00976204 ,  1.87084e-09,  4.11417e-53,  0.0238962  ])
243227  , -73128.7    , array([ 9.37335    ,  0.00976204 ,  1.87084e-09,  4.11417e-53,  0.0238723  ])
243228  , -6192.5     , array([ 9.36657    ,  0.0201563  ,  1.87084e-09,  4.11417e-53,  0.0118171  ])
243229  , -6192.5     , array([ 9.36657    ,  0.0201563  ,  1.87084e-09,  4.11417e-53,  0.0118171  ])
243230  , -6192.53    , array([ 9.37594    ,  0.0201563  ,  1.87084e-09,  4.11417e-53,  0.0118171  ])
243231  , -6175.39    , array([ 9.36657    ,  0.0201765  ,  1.87084e-09,  4.11417e-53,  0.0118171  ])
243232  , -6192.5     , array([ 9.36657    ,  0.0201563  ,  1.87271e-09,  4.11417e-53,  0.0118171  ])
243233  , -6192.5     , array([ 9.36657    ,  0.0201563  ,  1.87084e-09,  4.11829e-53,  0.0118171  ])
243234  , -6208.82    , array([ 9.36657    ,  0.0201563  ,  1.87084e-09,  4.11417e-53,  0.0118289  ])
243242  , -6184.06    , array([ 9.35239    ,  0.0205595  ,  1.87084e-09,  4.11417e-53,  0.0120595  ])
243243  , -6184.06    , array([ 9.35239    ,  0.0205595  ,  1.87084e-09,  4.11417e-53,  0.0120595  ])
243244  , -6184.09    , array([ 9.36174    ,  0.0205595  ,  1.87084e-09,  4.11417e-53,  0.0120595  ])
243245  , -6166.95    , array([ 9.35239    ,  0.0205801  ,  1.87084e-09,  4.11417e-53,  0.0120595  ])
243246  , -6184.06    , array([ 9.35239    ,  0.0205595  ,  1.87271e-09,  4.11417e-53,  0.0120595  ])
243247  , -6184.06    , array([ 9.35239    ,  0.0205595  ,  1.87084e-09,  4.11829e-53,  0.0120595  ])
243248  , -6200.37    , array([ 9.35239    ,  0.0205595  ,  1.87084e-09,  4.11417e-53,  0.0120716  ])
243249  , -6176.11    , array([ 9.33903    ,  0.0209472  ,  1.87084e-09,  4.11417e-53,  0.0122926  ])
243250  , -6176.11    , array([ 9.33903    ,  0.0209472  ,  1.87084e-09,  4.11417e-53,  0.0122926  ])
243251  , -6176.14    , array([ 9.34837    ,  0.0209472  ,  1.87084e-09,  4.11417e-53,  0.0122926  ])
243252  , -6159.01    , array([ 9.33903    ,  0.0209682  ,  1.87084e-09,  4.11417e-53,  0.0122926  ])
243253  , -6176.11    , array([ 9.33903    ,  0.0209472  ,  1.87271e-09,  4.11417e-53,  0.0122926  ])
243254  , -6176.11    , array([ 9.33903    ,  0.0209472  ,  1.87084e-09,  4.11829e-53,  0.0122926  ])
243255  , -6192.42    , array([ 9.33903    ,  0.0209472  ,  1.87084e-09,  4.11417e-53,  0.0123049  ])
243263  , -6174.01    , array([ 9.3355     ,  0.021051   ,  1.87084e-09,  4.11417e-53,  0.0123551  ])
243264  , -6174.01    , array([ 9.3355     ,  0.021051   ,  1.87084e-09,  4.11417e-53,  0.0123551  ])
243265  , -6174.04    , array([ 9.34484    ,  0.021051   ,  1.87084e-09,  4.11417e-53,  0.0123551  ])
243266  , -6156.91    , array([ 9.3355     ,  0.021072   ,  1.87084e-09,  4.11417e-53,  0.0123551  ])
243267  , -6174.01    , array([ 9.3355     ,  0.021051   ,  1.87271e-09,  4.11417e-53,  0.0123551  ])
243268  , -6174.01    , array([ 9.3355     ,  0.021051   ,  1.87084e-09,  4.11829e-53,  0.0123551  ])
243269  , -6190.32    , array([ 9.3355     ,  0.021051   ,  1.87084e-09,  4.11417e-53,  0.0123674  ])
243270  , -6172.03    , array([ 9.33217    ,  0.0211492  ,  1.87084e-09,  4.11417e-53,  0.0124142  ])
243271  , -6172.03    , array([ 9.33217    ,  0.0211492  ,  1.87084e-09,  4.11417e-53,  0.0124142  ])
243272  , -6172.06    , array([ 9.34151    ,  0.0211492  ,  1.87084e-09,  4.11417e-53,  0.0124142  ])
243273  , -6154.93    , array([ 9.33217    ,  0.0211704  ,  1.87084e-09,  4.11417e-53,  0.0124142  ])
243274  , -6172.03    , array([ 9.33217    ,  0.0211492  ,  1.87271e-09,  4.11417e-53,  0.0124142  ])
243275  , -6172.03    , array([ 9.33217    ,  0.0211492  ,  1.87084e-09,  4.11829e-53,  0.0124142  ])
243276  , -6188.34    , array([ 9.33217    ,  0.0211492  ,  1.87084e-09,  4.11417e-53,  0.0124266  ])
243284  , -6171.51    , array([ 9.33129    ,  0.0211753  ,  1.87084e-09,  4.11417e-53,  0.0124299  ])
243285  , -6171.51    , array([ 9.33129    ,  0.0211753  ,  1.87084e-09,  4.11417e-53,  0.0124299  ])
243286  , -6171.54    , array([ 9.34063    ,  0.0211753  ,  1.87084e-09,  4.11417e-53,  0.0124299  ])
243287  , -6154.4     , array([ 9.33129    ,  0.0211965  ,  1.87084e-09,  4.11417e-53,  0.0124299  ])
243288  , -6171.51    , array([ 9.33129    ,  0.0211753  ,  1.87271e-09,  4.11417e-53,  0.0124299  ])
243289  , -6171.51    , array([ 9.33129    ,  0.0211753  ,  1.87084e-09,  4.11829e-53,  0.0124299  ])
243290  , -6187.81    , array([ 9.33129    ,  0.0211753  ,  1.87084e-09,  4.11417e-53,  0.0124423  ])
243291  , -6171.01    , array([ 9.33046    ,  0.0212     ,  1.87084e-09,  4.11417e-53,  0.0124447  ])
243292  , -6171.01    , array([ 9.33046    ,  0.0212     ,  1.87084e-09,  4.11417e-53,  0.0124447  ])
243293  , -6171.04    , array([ 9.3398     ,  0.0212     ,  1.87084e-09,  4.11417e-53,  0.0124447  ])
243294  , -6153.91    , array([ 9.33046    ,  0.0212212  ,  1.87084e-09,  4.11417e-53,  0.0124447  ])
243295  , -6171.01    , array([ 9.33046    ,  0.0212     ,  1.87271e-09,  4.11417e-53,  0.0124447  ])
243296  , -6171.01    , array([ 9.33046    ,  0.0212     ,  1.87084e-09,  4.11829e-53,  0.0124447  ])
243297  , -6187.32    , array([ 9.33046    ,  0.0212     ,  1.87084e-09,  4.11417e-53,  0.0124572  ])
243305  , -6170.88    , array([ 9.33024    ,  0.0212065  ,  1.87084e-09,  4.11417e-53,  0.0124486  ])
243306  , -6170.88    , array([ 9.33024    ,  0.0212065  ,  1.87084e-09,  4.11417e-53,  0.0124486  ])
243307  , -6170.91    , array([ 9.33957    ,  0.0212065  ,  1.87084e-09,  4.11417e-53,  0.0124486  ])
243308  , -6153.78    , array([ 9.33024    ,  0.0212277  ,  1.87084e-09,  4.11417e-53,  0.0124486  ])
243309  , -6170.88    , array([ 9.33024    ,  0.0212065  ,  1.87271e-09,  4.11417e-53,  0.0124486  ])
243310  , -6170.88    , array([ 9.33024    ,  0.0212065  ,  1.87084e-09,  4.11829e-53,  0.0124486  ])
243311  , -6187.19    , array([ 9.33024    ,  0.0212065  ,  1.87084e-09,  4.11417e-53,  0.0124611  ])
243312  , -6170.76    , array([ 9.33003    ,  0.0212127  ,  1.87084e-09,  4.11417e-53,  0.0124523  ])
243313  , -6170.76    , array([ 9.33003    ,  0.0212127  ,  1.87084e-09,  4.11417e-53,  0.0124523  ])
243314  , -6170.79    , array([ 9.33937    ,  0.0212127  ,  1.87084e-09,  4.11417e-53,  0.0124523  ])
243315  , -6153.66    , array([ 9.33003    ,  0.0212339  ,  1.87084e-09,  4.11417e-53,  0.0124523  ])
243316  , -6170.76    , array([ 9.33003    ,  0.0212127  ,  1.87271e-09,  4.11417e-53,  0.0124523  ])
243317  , -6170.76    , array([ 9.33003    ,  0.0212127  ,  1.87084e-09,  4.11829e-53,  0.0124523  ])
243318  , -6187.06    , array([ 9.33003    ,  0.0212127  ,  1.87084e-09,  4.11417e-53,  0.0124648  ])
243326  , -6170.72    , array([ 9.32998    ,  0.0212143  ,  1.87084e-09,  4.11417e-53,  0.0124533  ])
243327  , -6170.72    , array([ 9.32998    ,  0.0212143  ,  1.87084e-09,  4.11417e-53,  0.0124533  ])
243328  , -6170.75    , array([ 9.33931    ,  0.0212143  ,  1.87084e-09,  4.11417e-53,  0.0124533  ])
243329  , -6153.62    , array([ 9.32998    ,  0.0212355  ,  1.87084e-09,  4.11417e-53,  0.0124533  ])
243330  , -6170.72    , array([ 9.32998    ,  0.0212143  ,  1.87271e-09,  4.11417e-53,  0.0124533  ])
243331  , -6170.72    , array([ 9.32998    ,  0.0212143  ,  1.87084e-09,  4.11829e-53,  0.0124533  ])
243332  , -6187.03    , array([ 9.32998    ,  0.0212143  ,  1.87084e-09,  4.11417e-53,  0.0124658  ])
