33873   , -396.258    , array([ 0.132044   ,  0.0324188  ,  0.295003   ,  0.0714738  ])
33874   , -396.121    , array([ 0.132176   ,  0.0324188  ,  0.295003   ,  0.0714738  ])
33875   , -396.181    , array([ 0.132044   ,  0.0324513  ,  0.295003   ,  0.0714738  ])
33876   , -396.349    , array([ 0.132044   ,  0.0324188  ,  0.295298   ,  0.0714738  ])
33877   , -396.435    , array([ 0.132044   ,  0.0324188  ,  0.295003   ,  0.0715454  ])
33878   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33879   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33880   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33881   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33882   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33883   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33884   , -395.483    , array([ 0.128448   ,  0.0318576  ,  0.28015    ,  0.0709208  ])
33885   , -395.483    , array([ 0.128448   ,  0.0318576  ,  0.28015    ,  0.0709208  ])
33886   , -395.369    , array([ 0.128577   ,  0.0318576  ,  0.28015    ,  0.0709208  ])
33887   , -395.417    , array([ 0.128448   ,  0.0318894  ,  0.28015    ,  0.0709208  ])
33888   , -395.561    , array([ 0.128448   ,  0.0318576  ,  0.28043    ,  0.0709208  ])
33889   , -395.633    , array([ 0.128448   ,  0.0318576  ,  0.28015    ,  0.0709918  ])
33890   , -394.31     , array([ 0.156392   ,  0.0392941  ,  0.315916   ,  0.0843103  ])
33891   , -394.31     , array([ 0.156392   ,  0.0392941  ,  0.315916   ,  0.0843103  ])
33892   , -394.274    , array([ 0.156549   ,  0.0392941  ,  0.315916   ,  0.0843103  ])
33893   , -394.293    , array([ 0.156392   ,  0.0393334  ,  0.315916   ,  0.0843103  ])
33894   , -394.335    , array([ 0.156392   ,  0.0392941  ,  0.316232   ,  0.0843103  ])
33895   , -394.357    , array([ 0.156392   ,  0.0392941  ,  0.315916   ,  0.0843946  ])
33896   , -394.278    , array([ 0.160476   ,  0.0403885  ,  0.320925   ,  0.0862413  ])
33897   , -394.278    , array([ 0.160476   ,  0.0403885  ,  0.320925   ,  0.0862413  ])
