159428  , -52656.1    , array([ 0.544253   ,  0.156331   ,  3.75297e-89,  0.946817   ,  0.0038827  ])
159429  , -52658.9    , array([ 0.544797   ,  0.156331   ,  3.75297e-89,  0.946817   ,  0.0038827  ])
159430  , -52673.1    , array([ 0.544253   ,  0.156488   ,  3.75297e-89,  0.946817   ,  0.0038827  ])
159431  , -52656.1    , array([ 0.544253   ,  0.156331   ,  3.75673e-89,  0.946817   ,  0.0038827  ])
159432  , -52656.1    , array([ 0.544253   ,  0.156331   ,  3.75297e-89,  0.947764   ,  0.0038827  ])
159433  , -52636.1    , array([ 0.544253   ,  0.156331   ,  3.75297e-89,  0.946817   ,  0.00388658 ])
159434  , -52656.1    , array([ 0.544253   ,  0.156331   ,  3.75297e-89,  0.946817   ,  0.0038827  ])
159435  , -19593.2    , array([ 0.487484   ,  0.0813645  ,  3.75297e-89,  0.943848   ,  0.00832355 ])
159436  , -19593.2    , array([ 0.487484   ,  0.0813645  ,  3.75297e-89,  0.943848   ,  0.00832355 ])
159437  , -19594.6    , array([ 0.487972   ,  0.0813645  ,  3.75297e-89,  0.943848   ,  0.00832355 ])
159438  , -19616.2    , array([ 0.487484   ,  0.0814459  ,  3.75297e-89,  0.943848   ,  0.00832355 ])
159439  , -19593.2    , array([ 0.487484   ,  0.0813645  ,  3.75673e-89,  0.943848   ,  0.00832355 ])
159440  , -19593.4    , array([ 0.487484   ,  0.0813645  ,  3.75297e-89,  0.944792   ,  0.00832355 ])
159441  , -19568.9    , array([ 0.487484   ,  0.0813645  ,  3.75297e-89,  0.943848   ,  0.00833188 ])
159442  , -151291     , array([ 0.313762   ,  0.00597023 ,  3.75297e-89,  0.932062   ,  0.175796   ])
159443  , -151291     , array([ 0.313762   ,  0.00597023 ,  3.75297e-89,  0.932062   ,  0.175796   ])
159444  , -151274     , array([ 0.314076   ,  0.00597023 ,  3.75297e-89,  0.932062   ,  0.175796   ])
159445  , -151251     , array([ 0.313762   ,  0.0059762  ,  3.75297e-89,  0.932062   ,  0.175796   ])
159446  , -151291     , array([ 0.313762   ,  0.00597023 ,  3.75673e-89,  0.932062   ,  0.175796   ])
159447  , -151255     , array([ 0.313762   ,  0.00597023 ,  3.75297e-89,  0.932995   ,  0.175796   ])
159448  , -151302     , array([ 0.313762   ,  0.00597023 ,  3.75297e-89,  0.932062   ,  0.175972   ])
159449  , -4480.51    , array([ 0.457273   ,  0.0556819  ,  3.75297e-89,  0.942127   ,  0.0129615  ])
159450  , -4480.51    , array([ 0.457273   ,  0.0556819  ,  3.75297e-89,  0.942127   ,  0.0129615  ])
159451  , -4480.02    , array([ 0.45773    ,  0.0556819  ,  3.75297e-89,  0.942127   ,  0.0129615  ])
159452  , -4491.53    , array([ 0.457273   ,  0.0557377  ,  3.75297e-89,  0.942127   ,  0.0129615  ])
159453  , -4480.51    , array([ 0.457273   ,  0.0556819  ,  3.75673e-89,  0.942127   ,  0.0129615  ])
159454  , -4480.69    , array([ 0.457273   ,  0.0556819  ,  3.75297e-89,  0.94307    ,  0.0129615  ])
159455  , -4469.84    , array([ 0.457273   ,  0.0556819  ,  3.75297e-89,  0.942127   ,  0.0129744  ])
159463  , -4464.77    , array([ 0.458227   ,  0.0555912  ,  3.75297e-89,  0.941995   ,  0.0129575  ])
159464  , -4464.77    , array([ 0.458227   ,  0.0555912  ,  3.75297e-89,  0.941995   ,  0.0129575  ])
159465  , -4464.29    , array([ 0.458685   ,  0.0555912  ,  3.75297e-89,  0.941995   ,  0.0129575  ])
159466  , -4475.77    , array([ 0.458227   ,  0.0556468  ,  3.75297e-89,  0.941995   ,  0.0129575  ])
159467  , -4464.77    , array([ 0.458227   ,  0.0555912  ,  3.75673e-89,  0.941995   ,  0.0129575  ])
159468  , -4464.96    , array([ 0.458227   ,  0.0555912  ,  3.75297e-89,  0.942938   ,  0.0129575  ])
159469  , -4454.13    , array([ 0.458227   ,  0.0555912  ,  3.75297e-89,  0.941995   ,  0.0129705  ])
159470  , -1899.79    , array([ 0.995943   ,  0.0302671  ,  3.75297e-89,  0.894174   ,  0.0115658  ])
159471  , -1899.79    , array([ 0.995943   ,  0.0302671  ,  3.75297e-89,  0.894174   ,  0.0115658  ])
159472  , -1899.79    , array([ 0.99694    ,  0.0302671  ,  3.75297e-89,  0.894174   ,  0.0115658  ])
159473  , -1897.77    , array([ 0.995943   ,  0.0302974  ,  3.75297e-89,  0.894174   ,  0.0115658  ])
159474  , -1899.79    , array([ 0.995943   ,  0.0302671  ,  3.75673e-89,  0.894174   ,  0.0115658  ])
159475  , -1899.74    , array([ 0.995943   ,  0.0302671  ,  3.75297e-89,  0.895069   ,  0.0115658  ])
159476  , -1901.33    , array([ 0.995943   ,  0.0302671  ,  3.75297e-89,  0.894174   ,  0.0115774  ])
