85583   , -79089.4    , array([ 13.1053    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85584   , -79089.4    , array([ 13.1053    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85585   , -79089.4    , array([ 14.1053    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85586   , -79089.4    , array([ 15.7233    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85587   , -79089.4    , array([ 14.1053    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85588   , -79089.4    , array([ 14.7233    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85589   , -79089.4    , array([ 15.1053    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85590   , -79089.4    , array([ 15.3413    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85591   , -79089.4    , array([ 15.4872    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85592   , -79089.4    , array([ 15.5774    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85593   , -79089.4    , array([ 15.6331    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85594   , -79089.4    , array([ 15.6676    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85595   , -79089.4    , array([ 15.6932    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85596   , -79089.4    , array([ 15.6932    ,  0.0595376  ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85597   , -79089.4    , array([ 15.6932    ,  1.05954    ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85598   , -79089.4    , array([ 15.6932    ,  2.67757    ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85599   , -79089.4    , array([ 15.6932    ,  1.05954    ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
85600   , -79089.4    , array([ 15.6932    ,  1.67757    ,  2.2857e-28 ,  5.90037e-17,  1.20221e-32])
