39010   , -2336.77    , array([ 0.282805   ,  0.00166856 ,  2.7759e-56 ,  2.75639e-09])
39011   , -2336.77    , array([ 0.283088   ,  0.00166856 ,  2.7759e-56 ,  2.75639e-09])
39012   , -2336.77    , array([ 0.282805   ,  0.00167023 ,  2.7759e-56 ,  2.75639e-09])
39013   , -2336.77    , array([ 0.282805   ,  0.00166856 ,  2.77868e-56,  2.75639e-09])
39014   , -2336.77    , array([ 0.282805   ,  0.00166856 ,  2.7759e-56 ,  2.75915e-09])
39015   , -2336.77    , array([ 0.282805   ,  0.001077   ,  2.7759e-56 ,  1.93677e-09])
39016   , -2336.77    , array([ 0.282805   ,  0.001077   ,  2.7759e-56 ,  1.93677e-09])
39017   , -2336.77    , array([ 0.283088   ,  0.001077   ,  2.7759e-56 ,  1.93677e-09])
39018   , -2336.77    , array([ 0.282805   ,  0.00107808 ,  2.7759e-56 ,  1.93677e-09])
39019   , -2336.77    , array([ 0.282805   ,  0.001077   ,  2.77868e-56,  1.93677e-09])
39020   , -2336.77    , array([ 0.282805   ,  0.001077   ,  2.7759e-56 ,  1.93871e-09])
39023   , -2336.77    , array([ 0.282805   ,  0.00101965 ,  2.7759e-56 ,  1.85319e-09])
39024   , -2336.77    , array([ 0.282805   ,  0.00101965 ,  2.7759e-56 ,  1.85319e-09])
39025   , -2336.77    , array([ 0.283088   ,  0.00101965 ,  2.7759e-56 ,  1.85319e-09])
39026   , -2336.77    , array([ 0.282805   ,  0.00102067 ,  2.7759e-56 ,  1.85319e-09])
39027   , -2336.77    , array([ 0.282805   ,  0.00101965 ,  2.77868e-56,  1.85319e-09])
39028   , -2336.77    , array([ 0.282805   ,  0.00101965 ,  2.7759e-56 ,  1.85505e-09])
39030   , -2336.77    , array([ 0.282805   ,  0.0010058  ,  2.7759e-56 ,  1.83287e-09])
39031   , -2336.77    , array([ 0.282805   ,  0.0010058  ,  2.7759e-56 ,  1.83287e-09])
39032   , -2336.77    , array([ 0.283088   ,  0.0010058  ,  2.7759e-56 ,  1.83287e-09])
39033   , -2336.77    , array([ 0.282805   ,  0.0010068  ,  2.7759e-56 ,  1.83287e-09])
39034   , -2336.77    , array([ 0.282805   ,  0.0010058  ,  2.77868e-56,  1.83287e-09])
39035   , -2336.77    , array([ 0.282805   ,  0.0010058  ,  2.7759e-56 ,  1.8347e-09 ])
39037   , -2336.77    , array([ 0.282805   ,  0.00100236 ,  2.7759e-56 ,  1.82782e-09])
39038   , -2336.77    , array([ 0.282805   ,  0.00100236 ,  2.7759e-56 ,  1.82782e-09])
39039   , -2336.77    , array([ 0.283088   ,  0.00100236 ,  2.7759e-56 ,  1.82782e-09])
39040   , -2336.77    , array([ 0.282805   ,  0.00100337 ,  2.7759e-56 ,  1.82782e-09])
39041   , -2336.77    , array([ 0.282805   ,  0.00100236 ,  2.77868e-56,  1.82782e-09])
39042   , -2336.77    , array([ 0.282805   ,  0.00100236 ,  2.7759e-56 ,  1.82965e-09])
39043   , -2336.77    , array([ 0.282805   ,  0.00100065 ,  2.7759e-56 ,  1.82531e-09])
39044   , -2336.77    , array([ 0.282805   ,  0.00100065 ,  2.7759e-56 ,  1.82531e-09])
39045   , -2336.77    , array([ 0.283088   ,  0.00100065 ,  2.7759e-56 ,  1.82531e-09])
39046   , -2336.77    , array([ 0.282805   ,  0.00100165 ,  2.7759e-56 ,  1.82531e-09])
39047   , -2336.77    , array([ 0.282805   ,  0.00100065 ,  2.77868e-56,  1.82531e-09])
39048   , -2336.77    , array([ 0.282805   ,  0.00100065 ,  2.7759e-56 ,  1.82713e-09])
