199345  , -1640.95    , array([ 1.22538    ,  0.0648197  ,  6.6206e-05 ,  7.34782e-12,  0.0231236  ])
199346  , -1640.95    , array([ 1.22538    ,  0.0648197  ,  6.61398e-05,  7.35517e-12,  0.0231236  ])
199347  , -1640.91    , array([ 1.22538    ,  0.0648197  ,  6.61398e-05,  7.34782e-12,  0.0231467  ])
199348  , -1637.75    , array([ 1.30056    ,  0.0639414  ,  6.20729e-05,  2.47995e-12,  0.0228427  ])
199349  , -1637.75    , array([ 1.30056    ,  0.0639414  ,  6.20729e-05,  2.47995e-12,  0.0228427  ])
199350  , -1637.71    , array([ 1.30186    ,  0.0639414  ,  6.20729e-05,  2.47995e-12,  0.0228427  ])
199351  , -1637.76    , array([ 1.30056    ,  0.0640054  ,  6.20729e-05,  2.47995e-12,  0.0228427  ])
199352  , -1637.75    , array([ 1.30056    ,  0.0639414  ,  6.2135e-05 ,  2.47995e-12,  0.0228427  ])
199353  , -1637.75    , array([ 1.30056    ,  0.0639414  ,  6.20729e-05,  2.48243e-12,  0.0228427  ])
199354  , -1637.71    , array([ 1.30056    ,  0.0639414  ,  6.20729e-05,  2.47995e-12,  0.0228656  ])
199355  , -1635.68    , array([ 1.36778    ,  0.0644123  ,  6.0503e-05 ,  1.36912e-12,  0.0230345  ])
199356  , -1635.68    , array([ 1.36778    ,  0.0644123  ,  6.0503e-05 ,  1.36912e-12,  0.0230345  ])
199357  , -1635.66    , array([ 1.36914    ,  0.0644123  ,  6.0503e-05 ,  1.36912e-12,  0.0230345  ])
199358  , -1635.67    , array([ 1.36778    ,  0.0644768  ,  6.0503e-05 ,  1.36912e-12,  0.0230345  ])
199359  , -1635.68    , array([ 1.36778    ,  0.0644123  ,  6.05635e-05,  1.36912e-12,  0.0230345  ])
199360  , -1635.68    , array([ 1.36778    ,  0.0644123  ,  6.0503e-05 ,  1.37049e-12,  0.0230345  ])
