58271   , -2554.83    , array([ 21.5222    ,  0.0181606  ,  0.00134134 ,  3.11675e-31,  0.005557   ])
58272   , -50571.8    , array([ 25.3418    ,  3.13419    ,  0.00133919 ,  3.11675e-31,  1.13579    ])
58273   , -50571.8    , array([ 25.3418    ,  3.13419    ,  0.00133919 ,  3.11675e-31,  1.13579    ])
58274   , -50579.2    , array([ 25.3672    ,  3.13419    ,  0.00133919 ,  3.11675e-31,  1.13579    ])
58275   , -50575.8    , array([ 25.3418    ,  3.13733    ,  0.00133919 ,  3.11675e-31,  1.13579    ])
58276   , -50571.7    , array([ 25.3418    ,  3.13419    ,  0.00134053 ,  3.11675e-31,  1.13579    ])
58277   , -50571.8    , array([ 25.3418    ,  3.13419    ,  0.00133919 ,  3.11987e-31,  1.13579    ])
58278   , -50593.2    , array([ 25.3418    ,  3.13419    ,  0.00133919 ,  3.11675e-31,  1.13693    ])
58279   , -2468.18    , array([ 21.6684    ,  0.02248    ,  0.00134125 ,  3.11675e-31,  0.00692044 ])
58280   , -2468.18    , array([ 21.6684    ,  0.02248    ,  0.00134125 ,  3.11675e-31,  0.00692044 ])
58281   , -2468.19    , array([ 21.6901    ,  0.02248    ,  0.00134125 ,  3.11675e-31,  0.00692044 ])
58282   , -2472.29    , array([ 21.6684    ,  0.0225025  ,  0.00134125 ,  3.11675e-31,  0.00692044 ])
58283   , -2468.18    , array([ 21.6684    ,  0.02248    ,  0.00134259 ,  3.11675e-31,  0.00692044 ])
58284   , -2468.18    , array([ 21.6684    ,  0.02248    ,  0.00134125 ,  3.11987e-31,  0.00692044 ])
58285   , -2463.81    , array([ 21.6684    ,  0.02248    ,  0.00134125 ,  3.11675e-31,  0.00692736 ])
58286   , -2364.54    , array([ 21.8333    ,  0.0285508  ,  0.00134115 ,  3.11675e-31,  0.00885902 ])
58287   , -2364.54    , array([ 21.8333    ,  0.0285508  ,  0.00134115 ,  3.11675e-31,  0.00885902 ])
58288   , -2364.56    , array([ 21.8552    ,  0.0285508  ,  0.00134115 ,  3.11675e-31,  0.00885902 ])
58289   , -2368.55    , array([ 21.8333    ,  0.0285794  ,  0.00134115 ,  3.11675e-31,  0.00885902 ])
58290   , -2364.54    , array([ 21.8333    ,  0.0285508  ,  0.00134249 ,  3.11675e-31,  0.00885902 ])
58291   , -2364.54    , array([ 21.8333    ,  0.0285508  ,  0.00134115 ,  3.11987e-31,  0.00885902 ])
58292   , -2360.27    , array([ 21.8333    ,  0.0285508  ,  0.00134115 ,  3.11675e-31,  0.00886788 ])
58293   , -6251.46    , array([ 23.5223    ,  0.299138   ,  0.00134017 ,  3.11675e-31,  0.100309   ])
58294   , -6251.46    , array([ 23.5223    ,  0.299138   ,  0.00134017 ,  3.11675e-31,  0.100309   ])
58295   , -6251.94    , array([ 23.5458    ,  0.299138   ,  0.00134017 ,  3.11675e-31,  0.100309   ])
58296   , -6255.86    , array([ 23.5223    ,  0.299438   ,  0.00134017 ,  3.11675e-31,  0.100309   ])
58297   , -6251.46    , array([ 23.5223    ,  0.299138   ,  0.00134151 ,  3.11675e-31,  0.100309   ])
58298   , -6251.46    , array([ 23.5223    ,  0.299138   ,  0.00134017 ,  3.11987e-31,  0.100309   ])
58299   , -6254.43    , array([ 23.5223    ,  0.299138   ,  0.00134017 ,  3.11675e-31,  0.10041    ])
58300   , -2160.67    , array([ 22.2359    ,  0.0507895  ,  0.00134091 ,  3.11675e-31,  0.0160622  ])
58301   , -2160.67    , array([ 22.2359    ,  0.0507895  ,  0.00134091 ,  3.11675e-31,  0.0160622  ])
58302   , -2160.7     , array([ 22.2581    ,  0.0507895  ,  0.00134091 ,  3.11675e-31,  0.0160622  ])
58303   , -2164.54    , array([ 22.2359    ,  0.0508403  ,  0.00134091 ,  3.11675e-31,  0.0160622  ])
58304   , -2160.67    , array([ 22.2359    ,  0.0507895  ,  0.00134225 ,  3.11675e-31,  0.0160622  ])
58305   , -2160.67    , array([ 22.2359    ,  0.0507895  ,  0.00134091 ,  3.11987e-31,  0.0160622  ])
58306   , -2156.74    , array([ 22.2359    ,  0.0507895  ,  0.00134091 ,  3.11675e-31,  0.0160783  ])
58307   , -4820.4     , array([ 0.242413   ,  0.0548374  ,  0.00131956 ,  3.11675e-31,  0.0208202  ])
58308   , -4820.4     , array([ 0.242413   ,  0.0548374  ,  0.00131956 ,  3.11675e-31,  0.0208202  ])
58309   , -4814.28    , array([ 0.242656   ,  0.0548374  ,  0.00131956 ,  3.11675e-31,  0.0208202  ])
58310   , -4818.72    , array([ 0.242413   ,  0.0548922  ,  0.00131956 ,  3.11675e-31,  0.0208202  ])
58311   , -4820.4     , array([ 0.242413   ,  0.0548374  ,  0.00132088 ,  3.11675e-31,  0.0208202  ])
58312   , -4820.4     , array([ 0.242413   ,  0.0548374  ,  0.00131956 ,  3.11987e-31,  0.0208202  ])
58313   , -4827.1     , array([ 0.242413   ,  0.0548374  ,  0.00131956 ,  3.11675e-31,  0.0208411  ])
58314   , -1867.72    , array([ 4.50403    ,  0.0521845  ,  0.00133333 ,  3.11675e-31,  0.0176044  ])
58315   , -1867.72    , array([ 4.50403    ,  0.0521845  ,  0.00133333 ,  3.11675e-31,  0.0176044  ])
58316   , -1867.83    , array([ 4.50853    ,  0.0521845  ,  0.00133333 ,  3.11675e-31,  0.0176044  ])
58317   , -1869.58    , array([ 4.50403    ,  0.0522367  ,  0.00133333 ,  3.11675e-31,  0.0176044  ])
58318   , -1867.72    , array([ 4.50403    ,  0.0521845  ,  0.00133466 ,  3.11675e-31,  0.0176044  ])
58319   , -1867.72    , array([ 4.50403    ,  0.0521845  ,  0.00133333 ,  3.11987e-31,  0.0176044  ])
58320   , -1865.7     , array([ 4.50403    ,  0.0521845  ,  0.00133333 ,  3.11675e-31,  0.017622   ])
58321   , -1682.98    , array([ 1.02063    ,  0.0535158  ,  0.00132632 ,  3.11675e-31,  0.0191708  ])
58322   , -1682.98    , array([ 1.02063    ,  0.0535158  ,  0.00132632 ,  3.11675e-31,  0.0191708  ])
58323   , -1682.83    , array([ 1.02165    ,  0.0535158  ,  0.00132632 ,  3.11675e-31,  0.0191708  ])
58324   , -1682.72    , array([ 1.02063    ,  0.0535694  ,  0.00132632 ,  3.11675e-31,  0.0191708  ])
58325   , -1682.98    , array([ 1.02063    ,  0.0535158  ,  0.00132764 ,  3.11675e-31,  0.0191708  ])
58326   , -1682.98    , array([ 1.02063    ,  0.0535158  ,  0.00132632 ,  3.11987e-31,  0.0191708  ])
58327   , -1683.1     , array([ 1.02063    ,  0.0535158  ,  0.00132632 ,  3.11675e-31,  0.0191899  ])
58335   , -1682.98    , array([ 1.02064    ,  0.0535157  ,  0.00132631 ,  3.11675e-31,  0.0191707  ])
58336   , -1682.98    , array([ 1.02064    ,  0.0535157  ,  0.00132631 ,  3.11675e-31,  0.0191707  ])
58337   , -1682.83    , array([ 1.02166    ,  0.0535157  ,  0.00132631 ,  3.11675e-31,  0.0191707  ])
58338   , -1682.72    , array([ 1.02064    ,  0.0535693  ,  0.00132631 ,  3.11675e-31,  0.0191707  ])
58339   , -1682.98    , array([ 1.02064    ,  0.0535157  ,  0.00132764 ,  3.11675e-31,  0.0191707  ])
58340   , -1682.98    , array([ 1.02064    ,  0.0535157  ,  0.00132631 ,  3.11987e-31,  0.0191707  ])
58341   , -1683.1     , array([ 1.02064    ,  0.0535157  ,  0.00132631 ,  3.11675e-31,  0.0191899  ])
58342   , -1676.03    , array([ 1.14883    ,  0.0524301  ,  0.00132586 ,  3.11675e-31,  0.0188609  ])
58343   , -1676.03    , array([ 1.14883    ,  0.0524301  ,  0.00132586 ,  3.11675e-31,  0.0188609  ])
58344   , -1675.97    , array([ 1.14998    ,  0.0524301  ,  0.00132586 ,  3.11675e-31,  0.0188609  ])
58345   , -1675.67    , array([ 1.14883    ,  0.0524826  ,  0.00132586 ,  3.11675e-31,  0.0188609  ])
58346   , -1676.03    , array([ 1.14883    ,  0.0524301  ,  0.00132719 ,  3.11675e-31,  0.0188609  ])
58347   , -1676.03    , array([ 1.14883    ,  0.0524301  ,  0.00132586 ,  3.11987e-31,  0.0188609  ])
58348   , -1676.18    , array([ 1.14883    ,  0.0524301  ,  0.00132586 ,  3.11675e-31,  0.0188798  ])
58349   , -1661.44    , array([ 1.20193    ,  0.0554948  ,  0.00132469 ,  3.11675e-31,  0.0199843  ])
58350   , -1661.44    , array([ 1.20193    ,  0.0554948  ,  0.00132469 ,  3.11675e-31,  0.0199843  ])
58351   , -1661.38    , array([ 1.20314    ,  0.0554948  ,  0.00132469 ,  3.11675e-31,  0.0199843  ])
58352   , -1661.09    , array([ 1.20193    ,  0.0555503  ,  0.00132469 ,  3.11675e-31,  0.0199843  ])
58353   , -1661.43    , array([ 1.20193    ,  0.0554948  ,  0.00132602 ,  3.11675e-31,  0.0199843  ])
58354   , -1661.44    , array([ 1.20193    ,  0.0554948  ,  0.00132469 ,  3.11987e-31,  0.0199843  ])
58355   , -1661.61    , array([ 1.20193    ,  0.0554948  ,  0.00132469 ,  3.11675e-31,  0.0200043  ])
