168659  , -261665     , array([ 0.0172638  ,  0.667554   ,  0.0194499  ,  3.85673e-60,  0.0716458  ])
168660  , -261477     , array([ 0.0172811  ,  0.667554   ,  0.0194499  ,  3.85673e-60,  0.0716458  ])
168661  , -261678     , array([ 0.0172638  ,  0.668222   ,  0.0194499  ,  3.85673e-60,  0.0716458  ])
168662  , -261663     , array([ 0.0172638  ,  0.667554   ,  0.0194694  ,  3.85673e-60,  0.0716458  ])
168663  , -261665     , array([ 0.0172638  ,  0.667554   ,  0.0194499  ,  3.86059e-60,  0.0716458  ])
168664  , -261817     , array([ 0.0172638  ,  0.667554   ,  0.0194499  ,  3.85673e-60,  0.0717175  ])
168665  , -261665     , array([ 0.0172638  ,  0.667554   ,  0.0194499  ,  3.85673e-60,  0.0716458  ])
168666  , -108259     , array([ 0.0377748  ,  0.632256   ,  0.0196178  ,  3.85673e-60,  0.0379463  ])
168667  , -108259     , array([ 0.0377748  ,  0.632256   ,  0.0196178  ,  3.85673e-60,  0.0379463  ])
168668  , -108182     , array([ 0.0378126  ,  0.632256   ,  0.0196178  ,  3.85673e-60,  0.0379463  ])
168669  , -108271     , array([ 0.0377748  ,  0.632889   ,  0.0196178  ,  3.85673e-60,  0.0379463  ])
168670  , -108259     , array([ 0.0377748  ,  0.632256   ,  0.0196374  ,  3.85673e-60,  0.0379463  ])
168671  , -108259     , array([ 0.0377748  ,  0.632256   ,  0.0196178  ,  3.86059e-60,  0.0379463  ])
168672  , -108310     , array([ 0.0377748  ,  0.632256   ,  0.0196178  ,  3.85673e-60,  0.0379843  ])
168680  , -108098     , array([ 0.0379556  ,  0.628577   ,  0.0196065  ,  3.85673e-60,  0.038149   ])
168681  , -108098     , array([ 0.0379556  ,  0.628577   ,  0.0196065  ,  3.85673e-60,  0.038149   ])
168682  , -108022     , array([ 0.0379936  ,  0.628577   ,  0.0196065  ,  3.85673e-60,  0.038149   ])
168683  , -108110     , array([ 0.0379556  ,  0.629206   ,  0.0196065  ,  3.85673e-60,  0.038149   ])
168684  , -108098     , array([ 0.0379556  ,  0.628577   ,  0.0196261  ,  3.85673e-60,  0.038149   ])
168685  , -108098     , array([ 0.0379556  ,  0.628577   ,  0.0196065  ,  3.86059e-60,  0.038149   ])
168686  , -108150     , array([ 0.0379556  ,  0.628577   ,  0.0196065  ,  3.85673e-60,  0.0381872  ])
168687  , -107937     , array([ 0.0381379  ,  0.624908   ,  0.0195951  ,  3.85673e-60,  0.0383534  ])
168688  , -107937     , array([ 0.0381379  ,  0.624908   ,  0.0195951  ,  3.85673e-60,  0.0383534  ])
168689  , -107860     , array([ 0.0381761  ,  0.624908   ,  0.0195951  ,  3.85673e-60,  0.0383534  ])
168690  , -107949     , array([ 0.0381379  ,  0.625534   ,  0.0195951  ,  3.85673e-60,  0.0383534  ])
168691  , -107937     , array([ 0.0381379  ,  0.624908   ,  0.0196147  ,  3.85673e-60,  0.0383534  ])
