53278   , -38600.1    , array([ 0.293989   ,  1.5326     ,  2.28137e-26,  2.41109e-52,  0.0375736  ])
53279   , -38595.7    , array([ 0.294283   ,  1.5326     ,  2.28137e-26,  2.41109e-52,  0.0375736  ])
53280   , -38608.6    , array([ 0.293989   ,  1.53413    ,  2.28137e-26,  2.41109e-52,  0.0375736  ])
53281   , -38600.1    , array([ 0.293989   ,  1.5326     ,  2.28365e-26,  2.41109e-52,  0.0375736  ])
53282   , -38600.1    , array([ 0.293989   ,  1.5326     ,  2.28137e-26,  2.4135e-52 ,  0.0375736  ])
53283   , -38593.4    , array([ 0.293989   ,  1.5326     ,  2.28137e-26,  2.41109e-52,  0.0376112  ])
53284   , -38600.1    , array([ 0.293989   ,  1.5326     ,  2.28137e-26,  2.41109e-52,  0.0375736  ])
53285   , -23448.3    , array([ 0.431836   ,  0.740187   ,  2.28137e-26,  2.41109e-52,  0.0674622  ])
53286   , -23448.3    , array([ 0.431836   ,  0.740187   ,  2.28137e-26,  2.41109e-52,  0.0674622  ])
53287   , -23437.5    , array([ 0.432268   ,  0.740187   ,  2.28137e-26,  2.41109e-52,  0.0674622  ])
53288   , -23462.5    , array([ 0.431836   ,  0.740927   ,  2.28137e-26,  2.41109e-52,  0.0674622  ])
53289   , -23448.3    , array([ 0.431836   ,  0.740187   ,  2.28365e-26,  2.41109e-52,  0.0674622  ])
53290   , -23448.3    , array([ 0.431836   ,  0.740187   ,  2.28137e-26,  2.4135e-52 ,  0.0674622  ])
53291   , -23443.9    , array([ 0.431836   ,  0.740187   ,  2.28137e-26,  2.41109e-52,  0.0675297  ])
53292   , -612849     , array([ 2.01035    ,  0.0402709  ,  2.28137e-26,  2.41109e-52,  0.701089   ])
53293   , -612849     , array([ 2.01035    ,  0.0402709  ,  2.28137e-26,  2.41109e-52,  0.701089   ])
53294   , -612842     , array([ 2.01236    ,  0.0402709  ,  2.28137e-26,  2.41109e-52,  0.701089   ])
53295   , -612242     , array([ 2.01035    ,  0.0403112  ,  2.28137e-26,  2.41109e-52,  0.701089   ])
53296   , -612849     , array([ 2.01035    ,  0.0402709  ,  2.28365e-26,  2.41109e-52,  0.701089   ])
53297   , -612849     , array([ 2.01035    ,  0.0402709  ,  2.28137e-26,  2.4135e-52 ,  0.701089   ])
53298   , -613475     , array([ 2.01035    ,  0.0402709  ,  2.28137e-26,  2.41109e-52,  0.701791   ])
53299   , -12108.9    , array([ 0.644722   ,  0.346641   ,  2.28137e-26,  2.41109e-52,  0.124163   ])
53300   , -12108.9    , array([ 0.644722   ,  0.346641   ,  2.28137e-26,  2.41109e-52,  0.124163   ])
53301   , -12095.5    , array([ 0.645367   ,  0.346641   ,  2.28137e-26,  2.41109e-52,  0.124163   ])
53302   , -12110.7    , array([ 0.644722   ,  0.346988   ,  2.28137e-26,  2.41109e-52,  0.124163   ])
53303   , -12108.9    , array([ 0.644722   ,  0.346641   ,  2.28365e-26,  2.41109e-52,  0.124163   ])
53304   , -12108.9    , array([ 0.644722   ,  0.346641   ,  2.28137e-26,  2.4135e-52 ,  0.124163   ])
53305   , -12123.1    , array([ 0.644722   ,  0.346641   ,  2.28137e-26,  2.41109e-52,  0.124288   ])
53306   , -946984     , array([ 36.2116    ,  0.00771616 ,  2.28137e-26,  2.41109e-52,  0.210268   ])
53307   , -946984     , array([ 36.2116    ,  0.00771616 ,  2.28137e-26,  2.41109e-52,  0.210268   ])
53308   , -946985     , array([ 36.2478    ,  0.00771616 ,  2.28137e-26,  2.41109e-52,  0.210268   ])
53309   , -946041     , array([ 36.2116    ,  0.00772389 ,  2.28137e-26,  2.41109e-52,  0.210268   ])
53310   , -946984     , array([ 36.2116    ,  0.00771616 ,  2.28365e-26,  2.41109e-52,  0.210268   ])
53311   , -946984     , array([ 36.2116    ,  0.00771616 ,  2.28137e-26,  2.4135e-52 ,  0.210268   ])
53312   , -947940     , array([ 36.2116    ,  0.00771616 ,  2.28137e-26,  2.41109e-52,  0.210478   ])
53313   , -17602.9    , array([ 1.47843    ,  0.158283   ,  2.28137e-26,  2.41109e-52,  0.138397   ])
53314   , -17602.9    , array([ 1.47843    ,  0.158283   ,  2.28137e-26,  2.41109e-52,  0.138397   ])
53315   , -17600.8    , array([ 1.47991    ,  0.158283   ,  2.28137e-26,  2.41109e-52,  0.138397   ])
53316   , -17576.1    , array([ 1.47843    ,  0.158442   ,  2.28137e-26,  2.41109e-52,  0.138397   ])
53317   , -17602.9    , array([ 1.47843    ,  0.158283   ,  2.28365e-26,  2.41109e-52,  0.138397   ])
53318   , -17602.9    , array([ 1.47843    ,  0.158283   ,  2.28137e-26,  2.4135e-52 ,  0.138397   ])
53319   , -17636.7    , array([ 1.47843    ,  0.158283   ,  2.28137e-26,  2.41109e-52,  0.138535   ])
53320   , -10186.7    , array([ 0.853835   ,  0.265854   ,  2.28137e-26,  2.41109e-52,  0.128809   ])
53321   , -10186.7    , array([ 0.853835   ,  0.265854   ,  2.28137e-26,  2.41109e-52,  0.128809   ])
53322   , -10178.2    , array([ 0.854689   ,  0.265854   ,  2.28137e-26,  2.41109e-52,  0.128809   ])
53323   , -10180.5    , array([ 0.853835   ,  0.26612    ,  2.28137e-26,  2.41109e-52,  0.128809   ])
53324   , -10186.7    , array([ 0.853835   ,  0.265854   ,  2.28365e-26,  2.41109e-52,  0.128809   ])
53325   , -10186.7    , array([ 0.853835   ,  0.265854   ,  2.28137e-26,  2.4135e-52 ,  0.128809   ])
53326   , -10205      , array([ 0.853835   ,  0.265854   ,  2.28137e-26,  2.41109e-52,  0.128938   ])
53327   , -64586.2    , array([ 25.333     ,  7.70044    ,  2.28137e-26,  2.41109e-52,  1.57515    ])
53328   , -64586.2    , array([ 25.333     ,  7.70044    ,  2.28137e-26,  2.41109e-52,  1.57515    ])
53329   , -64595.7    , array([ 25.3584    ,  7.70044    ,  2.28137e-26,  2.41109e-52,  1.57515    ])
53330   , -64600.8    , array([ 25.333     ,  7.70814    ,  2.28137e-26,  2.41109e-52,  1.57515    ])
53331   , -64586.2    , array([ 25.333     ,  7.70044    ,  2.28365e-26,  2.41109e-52,  1.57515    ])
53332   , -64586.2    , array([ 25.333     ,  7.70044    ,  2.28137e-26,  2.4135e-52 ,  1.57515    ])
53333   , -64596.5    , array([ 25.333     ,  7.70044    ,  2.28137e-26,  2.41109e-52,  1.57673    ])
53334   , -10111.9    , array([ 0.946479   ,  0.294485   ,  2.28137e-26,  2.41109e-52,  0.138991   ])
53335   , -10111.9    , array([ 0.946479   ,  0.294485   ,  2.28137e-26,  2.41109e-52,  0.138991   ])
53336   , -10104      , array([ 0.947425   ,  0.294485   ,  2.28137e-26,  2.41109e-52,  0.138991   ])
53337   , -10106.4    , array([ 0.946479   ,  0.294779   ,  2.28137e-26,  2.41109e-52,  0.138991   ])
53338   , -10111.9    , array([ 0.946479   ,  0.294485   ,  2.28365e-26,  2.41109e-52,  0.138991   ])
53339   , -10111.9    , array([ 0.946479   ,  0.294485   ,  2.28137e-26,  2.4135e-52 ,  0.138991   ])
53340   , -10129.7    , array([ 0.946479   ,  0.294485   ,  2.28137e-26,  2.41109e-52,  0.13913    ])
53341   , -9962.17    , array([ 0.945122   ,  0.292498   ,  2.28137e-26,  2.41109e-52,  0.137442   ])
53342   , -9962.17    , array([ 0.945122   ,  0.292498   ,  2.28137e-26,  2.41109e-52,  0.137442   ])
53343   , -9954.33    , array([ 0.946068   ,  0.292498   ,  2.28137e-26,  2.41109e-52,  0.137442   ])
53344   , -9956.77    , array([ 0.945122   ,  0.29279    ,  2.28137e-26,  2.41109e-52,  0.137442   ])
53345   , -9962.17    , array([ 0.945122   ,  0.292498   ,  2.28365e-26,  2.41109e-52,  0.137442   ])
53346   , -9962.17    , array([ 0.945122   ,  0.292498   ,  2.28137e-26,  2.4135e-52 ,  0.137442   ])
53347   , -9979.74    , array([ 0.945122   ,  0.292498   ,  2.28137e-26,  2.41109e-52,  0.137579   ])
53348   , -9382.08    , array([ 0.939716   ,  0.284683   ,  2.28137e-26,  2.41109e-52,  0.131414   ])
53349   , -9382.08    , array([ 0.939716   ,  0.284683   ,  2.28137e-26,  2.41109e-52,  0.131414   ])
53350   , -9374.58    , array([ 0.940656   ,  0.284683   ,  2.28137e-26,  2.41109e-52,  0.131414   ])
53351   , -9377.04    , array([ 0.939716   ,  0.284968   ,  2.28137e-26,  2.41109e-52,  0.131414   ])
53352   , -9382.08    , array([ 0.939716   ,  0.284683   ,  2.28365e-26,  2.41109e-52,  0.131414   ])
53353   , -9382.08    , array([ 0.939716   ,  0.284683   ,  2.28137e-26,  2.4135e-52 ,  0.131414   ])
53354   , -9398.72    , array([ 0.939716   ,  0.284683   ,  2.28137e-26,  2.41109e-52,  0.131545   ])
53355   , -7353.17    , array([ 0.918397   ,  0.255457   ,  2.28137e-26,  2.41109e-52,  0.109832   ])
53356   , -7353.17    , array([ 0.918397   ,  0.255457   ,  2.28137e-26,  2.41109e-52,  0.109832   ])
53357   , -7346.89    , array([ 0.919316   ,  0.255457   ,  2.28137e-26,  2.41109e-52,  0.109832   ])
53358   , -7349.6     , array([ 0.918397   ,  0.255713   ,  2.28137e-26,  2.41109e-52,  0.109832   ])
53359   , -7353.17    , array([ 0.918397   ,  0.255457   ,  2.28365e-26,  2.41109e-52,  0.109832   ])
53360   , -7353.17    , array([ 0.918397   ,  0.255457   ,  2.28137e-26,  2.4135e-52 ,  0.109832   ])
53361   , -7366.21    , array([ 0.918397   ,  0.255457   ,  2.28137e-26,  2.41109e-52,  0.109942   ])
53362   , -3516.35    , array([ 0.921982   ,  0.176626   ,  2.28137e-26,  2.41109e-52,  0.0648835  ])
53363   , -3516.35    , array([ 0.921982   ,  0.176626   ,  2.28137e-26,  2.41109e-52,  0.0648835  ])
53364   , -3513.42    , array([ 0.922905   ,  0.176626   ,  2.28137e-26,  2.41109e-52,  0.0648835  ])
53365   , -3516.14    , array([ 0.921982   ,  0.176802   ,  2.28137e-26,  2.41109e-52,  0.0648835  ])
53366   , -3516.35    , array([ 0.921982   ,  0.176626   ,  2.28365e-26,  2.41109e-52,  0.0648835  ])
53367   , -3516.35    , array([ 0.921982   ,  0.176626   ,  2.28137e-26,  2.4135e-52 ,  0.0648835  ])
53368   , -3520.94    , array([ 0.921982   ,  0.176626   ,  2.28137e-26,  2.41109e-52,  0.0649484  ])
53369   , -2233.64    , array([ 0.930551   ,  0.120611   ,  2.28137e-26,  2.41109e-52,  0.0424141  ])
53370   , -2233.64    , array([ 0.930551   ,  0.120611   ,  2.28137e-26,  2.41109e-52,  0.0424141  ])
53371   , -2232.27    , array([ 0.931482   ,  0.120611   ,  2.28137e-26,  2.41109e-52,  0.0424141  ])
53372   , -2234.31    , array([ 0.930551   ,  0.120732   ,  2.28137e-26,  2.41109e-52,  0.0424141  ])
53373   , -2233.64    , array([ 0.930551   ,  0.120611   ,  2.28365e-26,  2.41109e-52,  0.0424141  ])
53374   , -2233.64    , array([ 0.930551   ,  0.120611   ,  2.28137e-26,  2.4135e-52 ,  0.0424141  ])
53375   , -2234.87    , array([ 0.930551   ,  0.120611   ,  2.28137e-26,  2.41109e-52,  0.0424565  ])
53376   , -1814.25    , array([ 0.958046   ,  0.0879942  ,  2.28137e-26,  2.41109e-52,  0.0312758  ])
53377   , -1814.25    , array([ 0.958046   ,  0.0879942  ,  2.28137e-26,  2.41109e-52,  0.0312758  ])
53378   , -1813.57    , array([ 0.959005   ,  0.0879942  ,  2.28137e-26,  2.41109e-52,  0.0312758  ])
53379   , -1814.47    , array([ 0.958046   ,  0.0880823  ,  2.28137e-26,  2.41109e-52,  0.0312758  ])
53380   , -1814.25    , array([ 0.958046   ,  0.0879942  ,  2.28365e-26,  2.41109e-52,  0.0312758  ])
53381   , -1814.25    , array([ 0.958046   ,  0.0879942  ,  2.28137e-26,  2.4135e-52 ,  0.0312758  ])
53382   , -1814.82    , array([ 0.958046   ,  0.0879942  ,  2.28137e-26,  2.41109e-52,  0.0313071  ])
53383   , -1690.95    , array([ 1.00787    ,  0.0716553  ,  2.28137e-26,  2.41109e-52,  0.0255705  ])
53384   , -1690.95    , array([ 1.00787    ,  0.0716553  ,  2.28137e-26,  2.41109e-52,  0.0255705  ])
53385   , -1690.6     , array([ 1.00888    ,  0.0716553  ,  2.28137e-26,  2.41109e-52,  0.0255705  ])
53386   , -1690.97    , array([ 1.00787    ,  0.071727   ,  2.28137e-26,  2.41109e-52,  0.0255705  ])
53387   , -1690.95    , array([ 1.00787    ,  0.0716553  ,  2.28365e-26,  2.41109e-52,  0.0255705  ])
53388   , -1690.95    , array([ 1.00787    ,  0.0716553  ,  2.28137e-26,  2.4135e-52 ,  0.0255705  ])
53389   , -1691.22    , array([ 1.00787    ,  0.0716553  ,  2.28137e-26,  2.41109e-52,  0.0255961  ])
53390   , -1660.75    , array([ 1.06845    ,  0.0644718  ,  2.28137e-26,  2.41109e-52,  0.0229768  ])
53391   , -1660.75    , array([ 1.06845    ,  0.0644718  ,  2.28137e-26,  2.41109e-52,  0.0229768  ])
53392   , -1660.55    , array([ 1.06952    ,  0.0644718  ,  2.28137e-26,  2.41109e-52,  0.0229768  ])
53393   , -1660.77    , array([ 1.06845    ,  0.0645363  ,  2.28137e-26,  2.41109e-52,  0.0229768  ])
53394   , -1660.75    , array([ 1.06845    ,  0.0644718  ,  2.28365e-26,  2.41109e-52,  0.0229768  ])
53395   , -1660.75    , array([ 1.06845    ,  0.0644718  ,  2.28137e-26,  2.4135e-52 ,  0.0229768  ])
53396   , -1660.8     , array([ 1.06845    ,  0.0644718  ,  2.28137e-26,  2.41109e-52,  0.0229998  ])
53397   , -1651.84    , array([ 1.13288    ,  0.0618208  ,  2.28137e-26,  2.41109e-52,  0.022026   ])
53398   , -1651.84    , array([ 1.13288    ,  0.0618208  ,  2.28137e-26,  2.41109e-52,  0.022026   ])
53399   , -1651.71    , array([ 1.13401    ,  0.0618208  ,  2.28137e-26,  2.41109e-52,  0.022026   ])
53400   , -1651.86    , array([ 1.13288    ,  0.0618826  ,  2.28137e-26,  2.41109e-52,  0.022026   ])
53401   , -1651.84    , array([ 1.13288    ,  0.0618208  ,  2.28365e-26,  2.41109e-52,  0.022026   ])
53402   , -1651.84    , array([ 1.13288    ,  0.0618208  ,  2.28137e-26,  2.4135e-52 ,  0.022026   ])
53403   , -1651.8     , array([ 1.13288    ,  0.0618208  ,  2.28137e-26,  2.41109e-52,  0.022048   ])
53404   , -1645.45    , array([ 1.21604    ,  0.0613186  ,  2.28137e-26,  2.41109e-52,  0.0218617  ])
53405   , -1645.45    , array([ 1.21604    ,  0.0613186  ,  2.28137e-26,  2.41109e-52,  0.0218617  ])
53406   , -1645.38    , array([ 1.21726    ,  0.0613186  ,  2.28137e-26,  2.41109e-52,  0.0218617  ])
53407   , -1645.47    , array([ 1.21604    ,  0.06138    ,  2.28137e-26,  2.41109e-52,  0.0218617  ])
53408   , -1645.45    , array([ 1.21604    ,  0.0613186  ,  2.28365e-26,  2.41109e-52,  0.0218617  ])
53409   , -1645.45    , array([ 1.21604    ,  0.0613186  ,  2.28137e-26,  2.4135e-52 ,  0.0218617  ])
53410   , -1645.37    , array([ 1.21604    ,  0.0613186  ,  2.28137e-26,  2.41109e-52,  0.0218836  ])
53411   , -1638.33    , array([ 1.34263    ,  0.062859   ,  2.28137e-26,  2.41109e-52,  0.0224498  ])
53412   , -1638.33    , array([ 1.34263    ,  0.062859   ,  2.28137e-26,  2.41109e-52,  0.0224498  ])
53413   , -1638.31    , array([ 1.34397    ,  0.062859   ,  2.28137e-26,  2.41109e-52,  0.0224498  ])
53414   , -1638.34    , array([ 1.34263    ,  0.0629219  ,  2.28137e-26,  2.41109e-52,  0.0224498  ])
53415   , -1638.33    , array([ 1.34263    ,  0.062859   ,  2.28365e-26,  2.41109e-52,  0.0224498  ])
53416   , -1638.33    , array([ 1.34263    ,  0.062859   ,  2.28137e-26,  2.4135e-52 ,  0.0224498  ])
53417   , -1638.25    , array([ 1.34263    ,  0.062859   ,  2.28137e-26,  2.41109e-52,  0.0224722  ])
53418   , -1634.05    , array([ 1.44469    ,  0.0656924  ,  2.28137e-26,  2.41109e-52,  0.0235066  ])
53419   , -1634.05    , array([ 1.44469    ,  0.0656924  ,  2.28137e-26,  2.41109e-52,  0.0235066  ])
53420   , -1634.06    , array([ 1.44613    ,  0.0656924  ,  2.28137e-26,  2.41109e-52,  0.0235066  ])
53421   , -1634.05    , array([ 1.44469    ,  0.0657581  ,  2.28137e-26,  2.41109e-52,  0.0235066  ])
53422   , -1634.05    , array([ 1.44469    ,  0.0656924  ,  2.28365e-26,  2.41109e-52,  0.0235066  ])
53423   , -1634.05    , array([ 1.44469    ,  0.0656924  ,  2.28137e-26,  2.4135e-52 ,  0.0235066  ])
53424   , -1634       , array([ 1.44469    ,  0.0656924  ,  2.28137e-26,  2.41109e-52,  0.0235301  ])
53425   , -1632.9     , array([ 1.45758    ,  0.0671203  ,  2.28137e-26,  2.41109e-52,  0.0240346  ])
53426   , -1632.9     , array([ 1.45758    ,  0.0671203  ,  2.28137e-26,  2.41109e-52,  0.0240346  ])
53427   , -1632.9     , array([ 1.45904    ,  0.0671203  ,  2.28137e-26,  2.41109e-52,  0.0240346  ])
53428   , -1632.9     , array([ 1.45758    ,  0.0671874  ,  2.28137e-26,  2.41109e-52,  0.0240346  ])
53429   , -1632.9     , array([ 1.45758    ,  0.0671203  ,  2.28365e-26,  2.41109e-52,  0.0240346  ])
53430   , -1632.9     , array([ 1.45758    ,  0.0671203  ,  2.28137e-26,  2.4135e-52 ,  0.0240346  ])
53431   , -1632.88    , array([ 1.45758    ,  0.0671203  ,  2.28137e-26,  2.41109e-52,  0.0240587  ])
53432   , -1632.53    , array([ 1.44394    ,  0.0676674  ,  2.28137e-26,  2.41109e-52,  0.0242341  ])
53433   , -1632.53    , array([ 1.44394    ,  0.0676674  ,  2.28137e-26,  2.41109e-52,  0.0242341  ])
53434   , -1632.54    , array([ 1.44539    ,  0.0676674  ,  2.28137e-26,  2.41109e-52,  0.0242341  ])
53435   , -1632.53    , array([ 1.44394    ,  0.0677351  ,  2.28137e-26,  2.41109e-52,  0.0242341  ])
53436   , -1632.53    , array([ 1.44394    ,  0.0676674  ,  2.28365e-26,  2.41109e-52,  0.0242341  ])
53437   , -1632.53    , array([ 1.44394    ,  0.0676674  ,  2.28137e-26,  2.4135e-52 ,  0.0242341  ])
53438   , -1632.53    , array([ 1.44394    ,  0.0676674  ,  2.28137e-26,  2.41109e-52,  0.0242584  ])
53439   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53440   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53441   , -1632.53    , array([ 1.43839    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53442   , -1632.53    , array([ 1.43695    ,  0.067735   ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53443   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28365e-26,  2.41109e-52,  0.0242326  ])
53444   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.4135e-52 ,  0.0242326  ])
53445   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242569  ])
53446   , -1632.54    , array([ 1.43652    ,  0.0676517  ,  2.28137e-26,  2.41109e-52,  0.0242267  ])
53447   , -1632.54    , array([ 1.43652    ,  0.0676517  ,  2.28137e-26,  2.41109e-52,  0.0242267  ])
53448   , -1632.54    , array([ 1.43795    ,  0.0676517  ,  2.28137e-26,  2.41109e-52,  0.0242267  ])
53449   , -1632.54    , array([ 1.43652    ,  0.0677194  ,  2.28137e-26,  2.41109e-52,  0.0242267  ])
53450   , -1632.54    , array([ 1.43652    ,  0.0676517  ,  2.28365e-26,  2.41109e-52,  0.0242267  ])
53451   , -1632.54    , array([ 1.43652    ,  0.0676517  ,  2.28137e-26,  2.4135e-52 ,  0.0242267  ])
53452   , -1632.54    , array([ 1.43652    ,  0.0676517  ,  2.28137e-26,  2.41109e-52,  0.0242509  ])
53453   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53454   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53455   , -1632.53    , array([ 1.43839    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53456   , -1632.53    , array([ 1.43695    ,  0.067735   ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53457   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28365e-26,  2.41109e-52,  0.0242326  ])
53458   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.4135e-52 ,  0.0242326  ])
53459   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242569  ])
53460   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53461   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53462   , -1632.53    , array([ 1.43839    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53463   , -1632.53    , array([ 1.43695    ,  0.067735   ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53464   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28365e-26,  2.41109e-52,  0.0242326  ])
53465   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.4135e-52 ,  0.0242326  ])
53466   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242569  ])
53467   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53468   , -1632.53    , array([ 1.43695    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53469   , -1632.53    , array([ 1.43839    ,  0.0676673  ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
53470   , -1632.53    , array([ 1.43695    ,  0.067735   ,  2.28137e-26,  2.41109e-52,  0.0242326  ])
