25371   , -301619     , array([ 0.380099   ,  0.00265456 ,  5.91201e-32,  0.0314273  ,  0.218365   ])
25372   , -11639.2    , array([ 0.125718   ,  0.071759   ,  5.91201e-32,  0.0314693  ,  0.0186815  ])
25373   , -11639.2    , array([ 0.125718   ,  0.071759   ,  5.91201e-32,  0.0314693  ,  0.0186815  ])
25374   , -11624.6    , array([ 0.125843   ,  0.071759   ,  5.91201e-32,  0.0314693  ,  0.0186815  ])
25375   , -11647      , array([ 0.125718   ,  0.0718308  ,  5.91201e-32,  0.0314693  ,  0.0186815  ])
25376   , -11639.2    , array([ 0.125718   ,  0.071759   ,  5.91792e-32,  0.0314693  ,  0.0186815  ])
25377   , -11639.2    , array([ 0.125718   ,  0.071759   ,  5.91201e-32,  0.0315007  ,  0.0186815  ])
25378   , -11644.2    , array([ 0.125718   ,  0.071759   ,  5.91201e-32,  0.0314693  ,  0.0187002  ])
25379   , -64396.4    , array([ 10.8752    ,  8.7091     ,  5.91201e-32,  0.0375277  ,  2.32637    ])
25380   , -64396.4    , array([ 10.8752    ,  8.7091     ,  5.91201e-32,  0.0375277  ,  2.32637    ])
25381   , -64395.1    , array([ 10.8861    ,  8.7091     ,  5.91201e-32,  0.0375277  ,  2.32637    ])
25382   , -64408.7    , array([ 10.8752    ,  8.71782    ,  5.91201e-32,  0.0375277  ,  2.32637    ])
25383   , -64396.4    , array([ 10.8752    ,  8.7091     ,  5.91792e-32,  0.0375277  ,  2.32637    ])
25384   , -64393.6    , array([ 10.8752    ,  8.7091     ,  5.91201e-32,  0.0375653  ,  2.32637    ])
25385   , -64411.7    , array([ 10.8752    ,  8.7091     ,  5.91201e-32,  0.0375277  ,  2.3287     ])
25386   , -11518.3    , array([ 0.146475   ,  0.0845826  ,  5.91201e-32,  0.0316597  ,  0.0220394  ])
25387   , -11518.3    , array([ 0.146475   ,  0.0845826  ,  5.91201e-32,  0.0316597  ,  0.0220394  ])
25388   , -11503.8    , array([ 0.146621   ,  0.0845826  ,  5.91201e-32,  0.0316597  ,  0.0220394  ])
25389   , -11526.1    , array([ 0.146475   ,  0.0846672  ,  5.91201e-32,  0.0316597  ,  0.0220394  ])
25390   , -11518.3    , array([ 0.146475   ,  0.0845826  ,  5.91792e-32,  0.0316597  ,  0.0220394  ])
25391   , -11518.3    , array([ 0.146475   ,  0.0845826  ,  5.91201e-32,  0.0316913  ,  0.0220394  ])
25392   , -11523.2    , array([ 0.146475   ,  0.0845826  ,  5.91201e-32,  0.0316597  ,  0.0220615  ])
25393   , -11365.9    , array([ 0.174018   ,  0.101811   ,  5.91201e-32,  0.0318758  ,  0.026555   ])
25394   , -11365.9    , array([ 0.174018   ,  0.101811   ,  5.91201e-32,  0.0318758  ,  0.026555   ])
25395   , -11351.5    , array([ 0.174193   ,  0.101811   ,  5.91201e-32,  0.0318758  ,  0.026555   ])
