138615  , -76212.8    , array([ 0.11691    ,  3.58799    ,  0.356749   ,  5.00842e-16,  0.000422137])
138616  , -76215.3    , array([ 0.117027   ,  3.58799    ,  0.356749   ,  5.00842e-16,  0.000422137])
138617  , -76212.9    , array([ 0.11691    ,  3.59158    ,  0.356749   ,  5.00842e-16,  0.000422137])
138618  , -76212.8    , array([ 0.11691    ,  3.58799    ,  0.357106   ,  5.00842e-16,  0.000422137])
138619  , -76212.8    , array([ 0.11691    ,  3.58799    ,  0.356749   ,  5.01343e-16,  0.000422137])
138620  , -76210      , array([ 0.11691    ,  3.58799    ,  0.356749   ,  5.00842e-16,  0.00042256 ])
138621  , -76212.8    , array([ 0.11691    ,  3.58799    ,  0.356749   ,  5.00842e-16,  0.000422137])
138622  , -69090      , array([ 0.0584094  ,  3.46431    ,  0.356747   ,  5.00842e-16,  0.00087863 ])
138623  , -69090      , array([ 0.0584094  ,  3.46431    ,  0.356747   ,  5.00842e-16,  0.00087863 ])
138624  , -69097.7    , array([ 0.0584678  ,  3.46431    ,  0.356747   ,  5.00842e-16,  0.00087863 ])
138625  , -69090.2    , array([ 0.0584094  ,  3.46778    ,  0.356747   ,  5.00842e-16,  0.00087863 ])
138626  , -69090      , array([ 0.0584094  ,  3.46431    ,  0.357104   ,  5.00842e-16,  0.00087863 ])
138627  , -69090      , array([ 0.0584094  ,  3.46431    ,  0.356747   ,  5.01343e-16,  0.00087863 ])
138628  , -69082      , array([ 0.0584094  ,  3.46431    ,  0.356747   ,  5.00842e-16,  0.000879509])
138629  , -324335     , array([ 0.00363925 ,  3.01077    ,  0.35674    ,  5.00842e-16,  0.0164898  ])
138630  , -324335     , array([ 0.00363925 ,  3.01077    ,  0.35674    ,  5.00842e-16,  0.0164898  ])
138631  , -324152     , array([ 0.00364289 ,  3.01077    ,  0.35674    ,  5.00842e-16,  0.0164898  ])
138632  , -324336     , array([ 0.00363925 ,  3.01378    ,  0.35674    ,  5.00842e-16,  0.0164898  ])
138633  , -324325     , array([ 0.00363925 ,  3.01077    ,  0.357097   ,  5.00842e-16,  0.0164898  ])
138634  , -324335     , array([ 0.00363925 ,  3.01077    ,  0.35674    ,  5.01343e-16,  0.0164898  ])
138635  , -324480     , array([ 0.00363925 ,  3.01077    ,  0.35674    ,  5.00842e-16,  0.0165063  ])
138636  , -59416.9    , array([ 0.035672   ,  3.37902    ,  0.356746   ,  5.00842e-16,  0.00147921 ])
