123588  , -3252.18    , array([ 1.34476    ,  0.250035   ,  2.58816    ,  2.59179    ,  4.90983    ])
123589  , -5170.94    , array([ 1.34476    ,  0.176877   ,  2.58816    ,  2.59179    ,  4.90983    ])
123590  , -3262.83    , array([ 1.34476    ,  0.290432   ,  2.58816    ,  2.59179    ,  4.90983    ])
123591  , -3529.54    , array([ 1.34476    ,  0.226216   ,  2.58816    ,  2.59179    ,  4.90983    ])
123592  , -3252.18    , array([ 1.34476    ,  0.250035   ,  2.58816    ,  2.59179    ,  4.90983    ])
123593  , -4562.41    , array([ 1.34476    ,  0.250035   ,  3.58816    ,  2.59179    ,  4.90983    ])
123594  , -4147.45    , array([ 1.34476    ,  0.250035   ,  0.970122   ,  2.59179    ,  4.90983    ])
123595  , -3252.18    , array([ 1.34476    ,  0.250035   ,  2.58816    ,  2.59179    ,  4.90983    ])
123596  , -2911.64    , array([ 1.34476    ,  0.250035   ,  1.97012    ,  2.59179    ,  4.90983    ])
123597  , -3041.41    , array([ 1.34476    ,  0.250035   ,  1.58816    ,  2.59179    ,  4.90983    ])
123598  , -2911.27    , array([ 1.34476    ,  0.250035   ,  1.96394    ,  2.59179    ,  4.90983    ])
123599  , -2910.54    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  2.59179    ,  4.90983    ])
123600  , -2927.94    , array([ 1.34476    ,  0.250035   ,  1.8051     ,  2.59179    ,  4.90983    ])
123601  , -2910.54    , array([ 1.34476    ,  0.250035   ,  1.93268    ,  2.59179    ,  4.90983    ])
123602  , -2910.61    , array([ 1.34476    ,  0.250035   ,  1.94566    ,  2.59179    ,  4.90983    ])
123603  , -2910.54    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  2.59179    ,  4.90983    ])
123604  , -2803.93    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.59179    ,  4.90983    ])
123605  , -4607.67    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  5.20983    ,  4.90983    ])
123606  , -2803.93    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.59179    ,  4.90983    ])
123607  , -3324.16    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  4.20983    ,  4.90983    ])
123608  , -2662.94    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.20983    ,  4.90983    ])
123609  , -2666.76    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.01031    ,  4.90983    ])
123610  , -2657.11    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.1244     ,  4.90983    ])
123611  , -2657.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.90983    ])
123612  , -2657.14    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.1138     ,  4.90983    ])
123613  , -2657.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.90983    ])
123615  , -2737.38    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  3.2918     ])
123616  , -2657.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.90983    ])
123617  , -2675.78    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.2918     ])
123619  , -2665.27    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.60081    ])
123621  , -2659.98    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.7918     ])
123622  , -2655.83    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.96556    ])
123624  , -2656.31    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.94427    ])
123625  , -2655.54    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.97871    ])
123626  , -2655.36    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.98684    ])
123627  , -2655.25    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99187    ])
123628  , -2655.19    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99498    ])
123629  , -2655.15    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99689    ])
123630  , -2655.12    , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99808    ])
123631  , -2655.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123633  , -2655.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123634  , -2940.67    , array([ 2.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123636  , -2655.1     , array([ 1.34476    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123637  , -5444.61    , array([ 0.72673    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123638  , -2523.3     , array([ 1.72673    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123639  , -2517.17    , array([ 1.57714    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123640  , -2512.66    , array([ 1.63961    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123641  , -2512.62    , array([ 1.63618    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123642  , -2512.62    , array([ 1.63326    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123643  , -2512.64    , array([ 1.63038    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123644  , -2512.62    , array([ 1.63326    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123645  , -26527.9    , array([ 1.63326    ,  1.25004    ,  1.93917    ,  3.11907    ,  4.99896    ])
123647  , -2512.62    , array([ 1.63326    ,  0.250035   ,  1.93917    ,  3.11907    ,  4.99896    ])
123649  , -11912.5    , array([ 1.63326    ,  0.632001   ,  1.93917    ,  3.11907    ,  4.99896    ])
123650  , -6348.53    , array([ 1.63326    ,  0.440942   ,  1.93917    ,  3.11907    ,  4.99896    ])
123651  , -69597.3    , array([ 1.63326    ,  0.0139674  ,  1.93917    ,  3.11907    ,  4.99896    ])
123652  , -4364.93    , array([ 1.63326    ,  0.159865   ,  1.93917    ,  3.11907    ,  4.99896    ])
123653  , -2693.37    , array([ 1.63326    ,  0.275997   ,  1.93917    ,  3.11907    ,  4.99896    ])
123654  , -2507.98    , array([ 1.63326    ,  0.248318   ,  1.93917    ,  3.11907    ,  4.99896    ])
123655  , -2500.13    , array([ 1.63326    ,  0.240389   ,  1.93917    ,  3.11907    ,  4.99896    ])
123656  , -2721.8     , array([ 1.63326    ,  0.209632   ,  1.93917    ,  3.11907    ,  4.99896    ])
123657  , -2499.83    , array([ 1.63326    ,  0.241567   ,  1.93917    ,  3.11907    ,  4.99896    ])
123658  , -2499.83    , array([ 1.63326    ,  0.241663   ,  1.93917    ,  3.11907    ,  4.99896    ])
123659  , -2499.83    , array([ 1.63326    ,  0.241747   ,  1.93917    ,  3.11907    ,  4.99896    ])
123660  , -2499.83    , array([ 1.63326    ,  0.241663   ,  1.93917    ,  3.11907    ,  4.99896    ])
123661  , -3646.67    , array([ 1.63326    ,  0.241663   ,  2.93917    ,  3.11907    ,  4.99896    ])
123662  , -5450.35    , array([ 1.63326    ,  0.241663   ,  0.321139   ,  3.11907    ,  4.99896    ])
123663  , -2499.83    , array([ 1.63326    ,  0.241663   ,  1.93917    ,  3.11907    ,  4.99896    ])
123664  , -2545.77    , array([ 1.63326    ,  0.241663   ,  1.32114    ,  3.11907    ,  4.99896    ])
123665  , -2807.58    , array([ 1.63326    ,  0.241663   ,  2.32114    ,  3.11907    ,  4.99896    ])
123666  , -2423.13    , array([ 1.63326    ,  0.241663   ,  1.67239    ,  3.11907    ,  4.99896    ])
123667  , -2422.95    , array([ 1.63326    ,  0.241663   ,  1.66624    ,  3.11907    ,  4.99896    ])
123668  , -2422.81    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.11907    ,  4.99896    ])
123669  , -2422.81    , array([ 1.63326    ,  0.241663   ,  1.65632    ,  3.11907    ,  4.99896    ])
123670  , -2422.83    , array([ 1.63326    ,  0.241663   ,  1.6506     ,  3.11907    ,  4.99896    ])
123671  , -2422.81    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.11907    ,  4.99896    ])
123672  , -2742.69    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  4.11907    ,  4.99896    ])
123673  , -7017.67    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  1.50104    ,  4.99896    ])
123674  , -2422.81    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.11907    ,  4.99896    ])
123675  , -3016.55    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  2.50104    ,  4.99896    ])
123676  , -2409.95    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.50104    ,  4.99896    ])
123677  , -2390.14    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99896    ])
123678  , -2390.16    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.33378    ,  4.99896    ])
123679  , -2390.14    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.3303     ,  4.99896    ])
123680  , -2390.14    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32612    ,  4.99896    ])
123681  , -2390.14    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99896    ])
123683  , -2534.28    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  3.38093    ])
123684  , -2390.14    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99896    ])
123685  , -2423.82    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.38093    ])
123687  , -2404.89    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.68995    ])
123689  , -2395.35    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.88093    ])
123691  , -2392.07    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.95388    ])
123693  , -2390.87    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.98174    ])
123695  , -2390.42    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99239    ])
123697  , -2390.24    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99645    ])
123699  , -2390.18    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.998      ])
123700  , -2390.12    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99942    ])
123701  , -2390.11    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.9997     ])
123702  , -2390.1     , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99987    ])
123703  , -2390.1     , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99998    ])
123705  , -2390.1     , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99994    ])
123707  , -2390.1     , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99996    ])
123708  , -2390.09    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123710  , -2390.09    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123711  , -2690.4     , array([ 2.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123712  , -176547     , array([ 0.0152281  ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123713  , -2390.09    , array([ 1.63326    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123714  , -3690.56    , array([ 1.01523    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123715  , -2354.56    , array([ 2.01523    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123716  , -2334.97    , array([ 1.84737    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123717  , -2334.91    , array([ 1.87173    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123718  , -2334.8     , array([ 1.86091    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123719  , -2334.81    , array([ 1.85863    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123720  , -2334.81    , array([ 1.86318    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123721  , -2334.8     , array([ 1.86091    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123722  , -26954      , array([ 1.86091    ,  1.24166    ,  1.65346    ,  3.32821    ,  4.99999    ])
123724  , -2334.8     , array([ 1.86091    ,  0.241663   ,  1.65346    ,  3.32821    ,  4.99999    ])
123726  , -12000.6    , array([ 1.86091    ,  0.623629   ,  1.65346    ,  3.32821    ,  4.99999    ])
123727  , -6282.58    , array([ 1.86091    ,  0.432568   ,  1.65346    ,  3.32821    ,  4.99999    ])
123729  , -4357.71    , array([ 1.86091    ,  0.151493   ,  1.65346    ,  3.32821    ,  4.99999    ])
123730  , -2539.64    , array([ 1.86091    ,  0.269707   ,  1.65346    ,  3.32821    ,  4.99999    ])
123731  , -2333.45    , array([ 1.86091    ,  0.241168   ,  1.65346    ,  3.32821    ,  4.99999    ])
123732  , -2324.33    , array([ 1.86091    ,  0.23286    ,  1.65346    ,  3.32821    ,  4.99999    ])
123733  , -2563.1     , array([ 1.86091    ,  0.201781   ,  1.65346    ,  3.32821    ,  4.99999    ])
123734  , -2324       , array([ 1.86091    ,  0.234069   ,  1.65346    ,  3.32821    ,  4.99999    ])
123735  , -2324       , array([ 1.86091    ,  0.234163   ,  1.65346    ,  3.32821    ,  4.99999    ])
123736  , -2324       , array([ 1.86091    ,  0.234238   ,  1.65346    ,  3.32821    ,  4.99999    ])
123737  , -2324       , array([ 1.86091    ,  0.234163   ,  1.65346    ,  3.32821    ,  4.99999    ])
123738  , -3410.04    , array([ 1.86091    ,  0.234163   ,  2.65346    ,  3.32821    ,  4.99999    ])
123739  , -7005.74    , array([ 1.86091    ,  0.234163   ,  0.0354269  ,  3.32821    ,  4.99999    ])
123740  , -2324       , array([ 1.86091    ,  0.234163   ,  1.65346    ,  3.32821    ,  4.99999    ])
123741  , -2540.06    , array([ 1.86091    ,  0.234163   ,  1.03543    ,  3.32821    ,  4.99999    ])
123742  , -2580.2     , array([ 1.86091    ,  0.234163   ,  2.03543    ,  3.32821    ,  4.99999    ])
123743  , -2296.44    , array([ 1.86091    ,  0.234163   ,  1.51576    ,  3.32821    ,  4.99999    ])
123744  , -2295.7     , array([ 1.86091    ,  0.234163   ,  1.49718    ,  3.32821    ,  4.99999    ])
123745  , -2295.6     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.32821    ,  4.99999    ])
123746  , -2295.6     , array([ 1.86091    ,  0.234163   ,  1.4886     ,  3.32821    ,  4.99999    ])
123747  , -2295.61    , array([ 1.86091    ,  0.234163   ,  1.48527    ,  3.32821    ,  4.99999    ])
123748  , -2295.6     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.32821    ,  4.99999    ])
123749  , -2634.63    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  4.32821    ,  4.99999    ])
123750  , -6195.32    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  1.71017    ,  4.99999    ])
123751  , -2295.6     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.32821    ,  4.99999    ])
123752  , -2791.87    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  2.71017    ,  4.99999    ])
123753  , -2302.7     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.71017    ,  4.99999    ])
123754  , -2275.6     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.50789    ,  4.99999    ])
123755  , -2275.57    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.50473    ,  4.99999    ])
123756  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99999    ])
123757  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49826    ,  4.99999    ])
123758  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.50169    ,  4.99999    ])
123759  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99999    ])
123761  , -2492.96    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  3.38195    ])
123762  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99999    ])
123763  , -2326.36    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.38195    ])
123765  , -2297.78    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.69097    ])
123767  , -2283.4     , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.88195    ])
123769  , -2278.47    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.9549     ])
123771  , -2276.66    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.98277    ])
123773  , -2275.98    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99341    ])
