51767   , -145766     , array([ 0.042548   ,  7.67142    ,  0.00488393 ,  1.0101e-70 ,  0.0633513  ])
51768   , -145674     , array([ 0.0425906  ,  7.67142    ,  0.00488393 ,  1.0101e-70 ,  0.0633513  ])
51769   , -145768     , array([ 0.042548   ,  7.67909    ,  0.00488393 ,  1.0101e-70 ,  0.0633513  ])
51770   , -145766     , array([ 0.042548   ,  7.67142    ,  0.00488882 ,  1.0101e-70 ,  0.0633513  ])
51771   , -145766     , array([ 0.042548   ,  7.67142    ,  0.00488393 ,  1.01111e-70,  0.0633513  ])
51772   , -145840     , array([ 0.042548   ,  7.67142    ,  0.00488393 ,  1.0101e-70 ,  0.0634147  ])
51773   , -145298     , array([ 0.0437914  ,  7.63641    ,  0.0048482  ,  1.0101e-70 ,  0.0652502  ])
51774   , -145298     , array([ 0.0437914  ,  7.63641    ,  0.0048482  ,  1.0101e-70 ,  0.0652502  ])
51775   , -145206     , array([ 0.0438353  ,  7.63641    ,  0.0048482  ,  1.0101e-70 ,  0.0652502  ])
51776   , -145300     , array([ 0.0437914  ,  7.64405    ,  0.0048482  ,  1.0101e-70 ,  0.0652502  ])
51777   , -145298     , array([ 0.0437914  ,  7.63641    ,  0.00485305 ,  1.0101e-70 ,  0.0652502  ])
51778   , -145298     , array([ 0.0437914  ,  7.63641    ,  0.0048482  ,  1.01111e-70,  0.0652502  ])
51779   , -145372     , array([ 0.0437914  ,  7.63641    ,  0.0048482  ,  1.0101e-70 ,  0.0653155  ])
51787   , -145280     , array([ 0.0438387  ,  7.6351     ,  0.00484687 ,  1.0101e-70 ,  0.0653225  ])
51788   , -145280     , array([ 0.0438387  ,  7.6351     ,  0.00484687 ,  1.0101e-70 ,  0.0653225  ])
51789   , -145188     , array([ 0.0438826  ,  7.6351     ,  0.00484687 ,  1.0101e-70 ,  0.0653225  ])
51790   , -145283     , array([ 0.0438387  ,  7.64274    ,  0.00484687 ,  1.0101e-70 ,  0.0653225  ])
51791   , -145280     , array([ 0.0438387  ,  7.6351     ,  0.00485171 ,  1.0101e-70 ,  0.0653225  ])
51792   , -145280     , array([ 0.0438387  ,  7.6351     ,  0.00484687 ,  1.01111e-70,  0.0653225  ])
51793   , -145354     , array([ 0.0438387  ,  7.6351     ,  0.00484687 ,  1.0101e-70 ,  0.0653879  ])
51794   , -145165     , array([ 0.0441506  ,  7.62651    ,  0.00483811 ,  1.0101e-70 ,  0.065799   ])
51795   , -145165     , array([ 0.0441506  ,  7.62651    ,  0.00483811 ,  1.0101e-70 ,  0.065799   ])
51796   , -145074     , array([ 0.0441948  ,  7.62651    ,  0.00483811 ,  1.0101e-70 ,  0.065799   ])
51797   , -145168     , array([ 0.0441506  ,  7.63414    ,  0.00483811 ,  1.0101e-70 ,  0.065799   ])
51798   , -145165     , array([ 0.0441506  ,  7.62651    ,  0.00484295 ,  1.0101e-70 ,  0.065799   ])
51799   , -145165     , array([ 0.0441506  ,  7.62651    ,  0.00483811 ,  1.01111e-70,  0.065799   ])
51800   , -145240     , array([ 0.0441506  ,  7.62651    ,  0.00483811 ,  1.0101e-70 ,  0.0658649  ])
51801   , -128226     , array([ 1.04165    ,  4.61661    ,  0.0021614  ,  1.0101e-70 ,  1.68165    ])
51802   , -128226     , array([ 1.04165    ,  4.61661    ,  0.0021614  ,  1.0101e-70 ,  1.68165    ])
51803   , -128147     , array([ 1.0427     ,  4.61661    ,  0.0021614  ,  1.0101e-70 ,  1.68165    ])
51804   , -128240     , array([ 1.04165    ,  4.62123    ,  0.0021614  ,  1.0101e-70 ,  1.68165    ])
51805   , -128224     , array([ 1.04165    ,  4.61661    ,  0.00216356 ,  1.0101e-70 ,  1.68165    ])
51806   , -128226     , array([ 1.04165    ,  4.61661    ,  0.0021614  ,  1.01111e-70,  1.68165    ])
