50818   , -2239.85    , array([ 2.88558    ,  0.0936677  ,  1.50766e-32,  0.000565702])
50819   , -2204.33    , array([ 2.88558    ,  0.077696   ,  1.50766e-32,  0.000650749])
50820   , -2204.33    , array([ 2.88558    ,  0.077696   ,  1.50766e-32,  0.000650749])
50821   , -2204.33    , array([ 2.88847    ,  0.077696   ,  1.50766e-32,  0.000650749])
50822   , -2204.45    , array([ 2.88558    ,  0.0777737  ,  1.50766e-32,  0.000650749])
50823   , -2204.33    , array([ 2.88558    ,  0.077696   ,  1.50917e-32,  0.000650749])
50824   , -2204.21    , array([ 2.88558    ,  0.077696   ,  1.50766e-32,  0.0006514  ])
50825   , -1794.29    , array([ 2.88558    ,  0.0184359  ,  1.50766e-32,  0.00192657 ])
50826   , -1794.29    , array([ 2.88558    ,  0.0184359  ,  1.50766e-32,  0.00192657 ])
50827   , -1794.29    , array([ 2.88847    ,  0.0184359  ,  1.50766e-32,  0.00192657 ])
50828   , -1794.11    , array([ 2.88558    ,  0.0184543  ,  1.50766e-32,  0.00192657 ])
50829   , -1794.29    , array([ 2.88558    ,  0.0184359  ,  1.50917e-32,  0.00192657 ])
50830   , -1794.43    , array([ 2.88558    ,  0.0184359  ,  1.50766e-32,  0.0019285  ])
50831   , -2007.24    , array([ 2.88558    ,  0.0417086  ,  1.50766e-32,  0.00104055 ])
50832   , -2007.24    , array([ 2.88558    ,  0.0417086  ,  1.50766e-32,  0.00104055 ])
50833   , -2007.24    , array([ 2.88847    ,  0.0417086  ,  1.50766e-32,  0.00104055 ])
50834   , -2007.47    , array([ 2.88558    ,  0.0417503  ,  1.50766e-32,  0.00104055 ])
50835   , -2007.24    , array([ 2.88558    ,  0.0417086  ,  1.50917e-32,  0.00104055 ])
50836   , -2007.01    , array([ 2.88558    ,  0.0417086  ,  1.50766e-32,  0.00104159 ])
50837   , -1778.47    , array([ 2.88558    ,  0.0211651  ,  1.50766e-32,  0.00173599 ])
50838   , -1778.47    , array([ 2.88558    ,  0.0211651  ,  1.50766e-32,  0.00173599 ])
50839   , -1778.47    , array([ 2.88847    ,  0.0211651  ,  1.50766e-32,  0.00173599 ])
50840   , -1778.48    , array([ 2.88558    ,  0.0211863  ,  1.50766e-32,  0.00173599 ])
50841   , -1778.47    , array([ 2.88558    ,  0.0211651  ,  1.50917e-32,  0.00173599 ])
50842   , -1778.44    , array([ 2.88558    ,  0.0211651  ,  1.50766e-32,  0.00173773 ])
50843   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175985 ])
50844   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175985 ])
50845   , -1778.15    , array([ 2.88847    ,  0.0207857  ,  1.50766e-32,  0.00175985 ])
50846   , -1778.14    , array([ 2.88558    ,  0.0208065  ,  1.50766e-32,  0.00175985 ])
50847   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50917e-32,  0.00175985 ])
50848   , -1778.14    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00176161 ])
50855   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175986 ])
50856   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175986 ])
50857   , -1778.15    , array([ 2.88847    ,  0.0207857  ,  1.50766e-32,  0.00175986 ])
50858   , -1778.14    , array([ 2.88558    ,  0.0208065  ,  1.50766e-32,  0.00175986 ])
50859   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50917e-32,  0.00175986 ])
50860   , -1778.14    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00176162 ])
50861   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50862   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50863   , -1778.15    , array([ 2.88847    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50864   , -1778.14    , array([ 2.88558    ,  0.0208065  ,  1.50766e-32,  0.00175988 ])
50865   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50917e-32,  0.00175988 ])
50866   , -1778.14    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00176164 ])
50873   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50874   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50875   , -1778.15    , array([ 2.88847    ,  0.0207857  ,  1.50766e-32,  0.00175988 ])
50876   , -1778.14    , array([ 2.88558    ,  0.0208065  ,  1.50766e-32,  0.00175988 ])
50877   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50917e-32,  0.00175988 ])
50878   , -1778.14    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00176164 ])
50879   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175989 ])
50880   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00175989 ])
50881   , -1778.15    , array([ 2.88847    ,  0.0207857  ,  1.50766e-32,  0.00175989 ])
50882   , -1778.14    , array([ 2.88558    ,  0.0208065  ,  1.50766e-32,  0.00175989 ])
50883   , -1778.15    , array([ 2.88558    ,  0.0207857  ,  1.50917e-32,  0.00175989 ])
50884   , -1778.14    , array([ 2.88558    ,  0.0207857  ,  1.50766e-32,  0.00176165 ])
50885   , -723.824    , array([ 2.88558    ,  0.0364276  ,  1.50766e-32,  0.110691   ])
50886   , -723.824    , array([ 2.88558    ,  0.0364276  ,  1.50766e-32,  0.110691   ])
50887   , -723.824    , array([ 2.88847    ,  0.0364276  ,  1.50766e-32,  0.110691   ])
50888   , -726.089    , array([ 2.88558    ,  0.0364641  ,  1.50766e-32,  0.110691   ])
50889   , -723.824    , array([ 2.88558    ,  0.0364276  ,  1.50917e-32,  0.110691   ])
50890   , -720.389    , array([ 2.88558    ,  0.0364276  ,  1.50766e-32,  0.110802   ])
50891   , -723.544    , array([ 2.88558    ,  0.0364281  ,  1.50766e-32,  0.110701   ])
50892   , -723.544    , array([ 2.88558    ,  0.0364281  ,  1.50766e-32,  0.110701   ])
50893   , -723.544    , array([ 2.88847    ,  0.0364281  ,  1.50766e-32,  0.110701   ])
50894   , -725.808    , array([ 2.88558    ,  0.0364645  ,  1.50766e-32,  0.110701   ])
50895   , -723.544    , array([ 2.88558    ,  0.0364281  ,  1.50917e-32,  0.110701   ])
50896   , -720.11     , array([ 2.88558    ,  0.0364281  ,  1.50766e-32,  0.110811   ])
50897   , -721.405    , array([ 2.88558    ,  0.0364314  ,  1.50766e-32,  0.110776   ])
50898   , -721.405    , array([ 2.88558    ,  0.0364314  ,  1.50766e-32,  0.110776   ])
50899   , -721.405    , array([ 2.88847    ,  0.0364314  ,  1.50766e-32,  0.110776   ])
50900   , -723.663    , array([ 2.88558    ,  0.0364679  ,  1.50766e-32,  0.110776   ])
50901   , -721.405    , array([ 2.88558    ,  0.0364314  ,  1.50917e-32,  0.110776   ])
50902   , -717.98     , array([ 2.88558    ,  0.0364314  ,  1.50766e-32,  0.110887   ])
50903   , -2336.8     , array([ 2.88558    ,  0.0482265  ,  1.50766e-32,  0.878198   ])
50904   , -2336.8     , array([ 2.88558    ,  0.0482265  ,  1.50766e-32,  0.878198   ])
50905   , -2336.8     , array([ 2.88847    ,  0.0482265  ,  1.50766e-32,  0.878198   ])
50906   , -2336.8     , array([ 2.88558    ,  0.0482748  ,  1.50766e-32,  0.878198   ])
50907   , -2336.8     , array([ 2.88558    ,  0.0482265  ,  1.50917e-32,  0.878198   ])
50908   , -2336.8     , array([ 2.88558    ,  0.0482265  ,  1.50766e-32,  0.879077   ])
50909   , -863.633    , array([ 2.88558    ,  0.0387739  ,  1.50766e-32,  0.175474   ])
50910   , -863.633    , array([ 2.88558    ,  0.0387739  ,  1.50766e-32,  0.175474   ])
50911   , -863.633    , array([ 2.88847    ,  0.0387739  ,  1.50766e-32,  0.175474   ])
50912   , -860.927    , array([ 2.88558    ,  0.0388127  ,  1.50766e-32,  0.175474   ])
50913   , -863.633    , array([ 2.88558    ,  0.0387739  ,  1.50917e-32,  0.175474   ])
50914   , -867.151    , array([ 2.88558    ,  0.0387739  ,  1.50766e-32,  0.17565    ])
50915   , -393.227    , array([ 2.88558    ,  0.037418   ,  1.50766e-32,  0.134928   ])
50916   , -393.227    , array([ 2.88558    ,  0.037418   ,  1.50766e-32,  0.134928   ])
50917   , -393.227    , array([ 2.88847    ,  0.037418   ,  1.50766e-32,  0.134928   ])
50918   , -393.292    , array([ 2.88558    ,  0.0374554  ,  1.50766e-32,  0.134928   ])
50919   , -393.227    , array([ 2.88558    ,  0.037418   ,  1.50917e-32,  0.134928   ])
50920   , -393.153    , array([ 2.88558    ,  0.037418   ,  1.50766e-32,  0.135063   ])
50921   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50922   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50923   , -393.059    , array([ 2.88847    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50924   , -393.077    , array([ 2.88558    ,  0.0374741  ,  1.50766e-32,  0.135425   ])
50925   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50917e-32,  0.135425   ])
50926   , -393.053    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.13556    ])
50933   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50934   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50935   , -393.059    , array([ 2.88847    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50936   , -393.077    , array([ 2.88558    ,  0.037474   ,  1.50766e-32,  0.135425   ])
50937   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50917e-32,  0.135425   ])
50938   , -393.053    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135561   ])
50939   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50940   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50941   , -393.059    , array([ 2.88847    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50942   , -393.077    , array([ 2.88558    ,  0.037474   ,  1.50766e-32,  0.135425   ])
50943   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50917e-32,  0.135425   ])
