146700  , -79032.6    , array([ 0.154768   ,  0.00392706 ,  4.86499e-30,  0.000424683,  1.86789e-07])
146701  , -79032.6    , array([ 0.154922   ,  0.00392706 ,  4.86499e-30,  0.000424683,  1.86789e-07])
146702  , -79032.7    , array([ 0.154768   ,  0.00393099 ,  4.86499e-30,  0.000424683,  1.86789e-07])
146703  , -79032.6    , array([ 0.154768   ,  0.00392706 ,  4.86986e-30,  0.000424683,  1.86789e-07])
146704  , -79032.6    , array([ 0.154768   ,  0.00392706 ,  4.86499e-30,  0.000425108,  1.86789e-07])
146705  , -79032.6    , array([ 0.154768   ,  0.00392706 ,  4.86499e-30,  0.000424683,  1.86976e-07])
146706  , -79032.6    , array([ 0.154768   ,  0.00392706 ,  4.86499e-30,  0.000424683,  1.86789e-07])
146707  , -78854.8    , array([ 0.152891   ,  0.00193533 ,  4.86499e-30,  0.000424683,  3.83967e-07])
146708  , -78854.8    , array([ 0.152891   ,  0.00193533 ,  4.86499e-30,  0.000424683,  3.83967e-07])
146709  , -78854.8    , array([ 0.153044   ,  0.00193533 ,  4.86499e-30,  0.000424683,  3.83967e-07])
146710  , -78855      , array([ 0.152891   ,  0.00193726 ,  4.86499e-30,  0.000424683,  3.83967e-07])
146711  , -78854.8    , array([ 0.152891   ,  0.00193533 ,  4.86986e-30,  0.000424683,  3.83967e-07])
146712  , -78854.8    , array([ 0.152891   ,  0.00193533 ,  4.86499e-30,  0.000425108,  3.83967e-07])
146713  , -78854.6    , array([ 0.152891   ,  0.00193533 ,  4.86499e-30,  0.000424683,  3.84352e-07])
146721  , -78854.8    , array([ 0.152891   ,  0.00193531 ,  4.86499e-30,  0.000424683,  3.8397e-07 ])
146722  , -78854.8    , array([ 0.152891   ,  0.00193531 ,  4.86499e-30,  0.000424683,  3.8397e-07 ])
146723  , -78854.8    , array([ 0.153044   ,  0.00193531 ,  4.86499e-30,  0.000424683,  3.8397e-07 ])
146724  , -78855      , array([ 0.152891   ,  0.00193725 ,  4.86499e-30,  0.000424683,  3.8397e-07 ])
146725  , -78854.8    , array([ 0.152891   ,  0.00193531 ,  4.86986e-30,  0.000424683,  3.8397e-07 ])
