88969   , -77701      , array([ 0.0387921  ,  0.765929   ,  6.97857e-44,  9.48377e-06,  6.42807e-05])
88970   , -77702.2    , array([ 0.0388309  ,  0.765929   ,  6.97857e-44,  9.48377e-06,  6.42807e-05])
88971   , -77701.1    , array([ 0.0387921  ,  0.766696   ,  6.97857e-44,  9.48377e-06,  6.42807e-05])
88972   , -77701      , array([ 0.0387921  ,  0.765929   ,  6.98555e-44,  9.48377e-06,  6.42807e-05])
88973   , -77701      , array([ 0.0387921  ,  0.765929   ,  6.97857e-44,  9.49326e-06,  6.42807e-05])
88974   , -77699.6    , array([ 0.0387921  ,  0.765929   ,  6.97857e-44,  9.48377e-06,  6.4345e-05 ])
88975   , -77701      , array([ 0.0387921  ,  0.765929   ,  6.97857e-44,  9.48377e-06,  6.42807e-05])
88976   , -73912.1    , array([ 0.0195402  ,  0.726831   ,  6.97857e-44,  9.48377e-06,  0.000134684])
88977   , -73912.1    , array([ 0.0195402  ,  0.726831   ,  6.97857e-44,  9.48377e-06,  0.000134684])
88978   , -73916.6    , array([ 0.0195597  ,  0.726831   ,  6.97857e-44,  9.48377e-06,  0.000134684])
88979   , -73912.3    , array([ 0.0195402  ,  0.727558   ,  6.97857e-44,  9.48377e-06,  0.000134684])
88980   , -73912.1    , array([ 0.0195402  ,  0.726831   ,  6.98555e-44,  9.48377e-06,  0.000134684])
88981   , -73912.1    , array([ 0.0195402  ,  0.726831   ,  6.97857e-44,  9.49326e-06,  0.000134684])
88982   , -73907.4    , array([ 0.0195402  ,  0.726831   ,  6.97857e-44,  9.48377e-06,  0.000134818])
88983   , -233769     , array([ 0.00125797 ,  0.589405   ,  6.97857e-44,  9.48377e-06,  0.00259569 ])
88984   , -233769     , array([ 0.00125797 ,  0.589405   ,  6.97857e-44,  9.48377e-06,  0.00259569 ])
88985   , -233627     , array([ 0.00125923 ,  0.589405   ,  6.97857e-44,  9.48377e-06,  0.00259569 ])
88986   , -233771     , array([ 0.00125797 ,  0.589994   ,  6.97857e-44,  9.48377e-06,  0.00259569 ])
88987   , -233769     , array([ 0.00125797 ,  0.589405   ,  6.98555e-44,  9.48377e-06,  0.00259569 ])
88988   , -233769     , array([ 0.00125797 ,  0.589405   ,  6.97857e-44,  9.49326e-06,  0.00259569 ])
88989   , -233899     , array([ 0.00125797 ,  0.589405   ,  6.97857e-44,  9.48377e-06,  0.00259829 ])
88990   , -63393.2    , array([ 0.00991081 ,  0.690093   ,  6.97857e-44,  9.48377e-06,  0.000280104])
88991   , -63393.2    , array([ 0.00991081 ,  0.690093   ,  6.97857e-44,  9.48377e-06,  0.000280104])
88992   , -63403      , array([ 0.00992073 ,  0.690093   ,  6.97857e-44,  9.48377e-06,  0.000280104])
88993   , -63393.6    , array([ 0.00991081 ,  0.690783   ,  6.97857e-44,  9.48377e-06,  0.000280104])
88994   , -63393.2    , array([ 0.00991081 ,  0.690093   ,  6.98555e-44,  9.48377e-06,  0.000280104])
88995   , -63393.2    , array([ 0.00991081 ,  0.690093   ,  6.97857e-44,  9.49326e-06,  0.000280104])
88996   , -63383.1    , array([ 0.00991081 ,  0.690093   ,  6.97857e-44,  9.48377e-06,  0.000280384])
88997   , -54674.8    , array([ 0.00598062 ,  0.663967   ,  6.97857e-44,  9.48377e-06,  0.000482983])
88998   , -54674.8    , array([ 0.00598062 ,  0.663967   ,  6.97857e-44,  9.48377e-06,  0.000482983])
88999   , -54677.7    , array([ 0.00598661 ,  0.663967   ,  6.97857e-44,  9.48377e-06,  0.000482983])
89000   , -54675.2    , array([ 0.00598062 ,  0.664631   ,  6.97857e-44,  9.48377e-06,  0.000482983])
89001   , -54674.8    , array([ 0.00598062 ,  0.663967   ,  6.98555e-44,  9.48377e-06,  0.000482983])
89002   , -54674.8    , array([ 0.00598062 ,  0.663967   ,  6.97857e-44,  9.49326e-06,  0.000482983])
89003   , -54671.4    , array([ 0.00598062 ,  0.663967   ,  6.97857e-44,  9.48377e-06,  0.000483466])
89004   , -54412.8    , array([ 0.00549001 ,  0.659639   ,  6.97857e-44,  9.48377e-06,  0.000529698])
89005   , -54412.8    , array([ 0.00549001 ,  0.659639   ,  6.97857e-44,  9.48377e-06,  0.000529698])
89006   , -54412.1    , array([ 0.00549551 ,  0.659639   ,  6.97857e-44,  9.48377e-06,  0.000529698])
89007   , -54413.3    , array([ 0.00549001 ,  0.660299   ,  6.97857e-44,  9.48377e-06,  0.000529698])
89008   , -54412.8    , array([ 0.00549001 ,  0.659639   ,  6.98555e-44,  9.48377e-06,  0.000529698])
89009   , -54412.8    , array([ 0.00549001 ,  0.659639   ,  6.97857e-44,  9.49326e-06,  0.000529698])
89010   , -54412.9    , array([ 0.00549001 ,  0.659639   ,  6.97857e-44,  9.48377e-06,  0.000530228])
89018   , -54409.1    , array([ 0.00550333 ,  0.656093   ,  6.97857e-44,  9.48377e-06,  0.000532124])
89019   , -54409.1    , array([ 0.00550333 ,  0.656093   ,  6.97857e-44,  9.48377e-06,  0.000532124])
89020   , -54408.3    , array([ 0.00550883 ,  0.656093   ,  6.97857e-44,  9.48377e-06,  0.000532124])
89021   , -54409.5    , array([ 0.00550333 ,  0.656749   ,  6.97857e-44,  9.48377e-06,  0.000532124])
89022   , -54409.1    , array([ 0.00550333 ,  0.656093   ,  6.98555e-44,  9.48377e-06,  0.000532124])
89023   , -54409.1    , array([ 0.00550333 ,  0.656093   ,  6.97857e-44,  9.49326e-06,  0.000532124])
89024   , -54409.2    , array([ 0.00550333 ,  0.656093   ,  6.97857e-44,  9.48377e-06,  0.000532656])
89025   , -54400.8    , array([ 0.00553359 ,  0.648134   ,  6.97857e-44,  9.48377e-06,  0.000537658])
89026   , -54400.8    , array([ 0.00553359 ,  0.648134   ,  6.97857e-44,  9.48377e-06,  0.000537658])
89027   , -54399.9    , array([ 0.00553912 ,  0.648134   ,  6.97857e-44,  9.48377e-06,  0.000537658])
89028   , -54401.3    , array([ 0.00553359 ,  0.648782   ,  6.97857e-44,  9.48377e-06,  0.000537658])
89029   , -54400.8    , array([ 0.00553359 ,  0.648134   ,  6.98555e-44,  9.48377e-06,  0.000537658])
89030   , -54400.8    , array([ 0.00553359 ,  0.648134   ,  6.97857e-44,  9.49326e-06,  0.000537658])
89031   , -54401.1    , array([ 0.00553359 ,  0.648134   ,  6.97857e-44,  9.48377e-06,  0.000538196])
89039   , -54400      , array([ 0.00553676 ,  0.647307   ,  6.97857e-44,  9.48377e-06,  0.00053824 ])
89040   , -54400      , array([ 0.00553676 ,  0.647307   ,  6.97857e-44,  9.48377e-06,  0.00053824 ])
89041   , -54399.1    , array([ 0.0055423  ,  0.647307   ,  6.97857e-44,  9.48377e-06,  0.00053824 ])
89042   , -54400.4    , array([ 0.00553676 ,  0.647954   ,  6.97857e-44,  9.48377e-06,  0.00053824 ])
89043   , -54400      , array([ 0.00553676 ,  0.647307   ,  6.98555e-44,  9.48377e-06,  0.00053824 ])
89044   , -54400      , array([ 0.00553676 ,  0.647307   ,  6.97857e-44,  9.49326e-06,  0.00053824 ])
89045   , -54400.2    , array([ 0.00553676 ,  0.647307   ,  6.97857e-44,  9.48377e-06,  0.000538779])
89046   , -54398.1    , array([ 0.00554387 ,  0.64546    ,  6.97857e-44,  9.48377e-06,  0.000539545])
89047   , -54398.1    , array([ 0.00554387 ,  0.64546    ,  6.97857e-44,  9.48377e-06,  0.000539545])
89048   , -54397.2    , array([ 0.00554942 ,  0.64546    ,  6.97857e-44,  9.48377e-06,  0.000539545])
89049   , -54398.6    , array([ 0.00554387 ,  0.646106   ,  6.97857e-44,  9.48377e-06,  0.000539545])
89050   , -54398.1    , array([ 0.00554387 ,  0.64546    ,  6.98555e-44,  9.48377e-06,  0.000539545])
89051   , -54398.1    , array([ 0.00554387 ,  0.64546    ,  6.97857e-44,  9.49326e-06,  0.000539545])
89052   , -54398.4    , array([ 0.00554387 ,  0.64546    ,  6.97857e-44,  9.48377e-06,  0.000540085])
89060   , -54397.9    , array([ 0.00554466 ,  0.645257   ,  6.97857e-44,  9.48377e-06,  0.000539689])
89061   , -54397.9    , array([ 0.00554466 ,  0.645257   ,  6.97857e-44,  9.48377e-06,  0.000539689])
89062   , -54397      , array([ 0.0055502  ,  0.645257   ,  6.97857e-44,  9.48377e-06,  0.000539689])
89063   , -54398.4    , array([ 0.00554466 ,  0.645902   ,  6.97857e-44,  9.48377e-06,  0.000539689])
89064   , -54397.9    , array([ 0.00554466 ,  0.645257   ,  6.98555e-44,  9.48377e-06,  0.000539689])
89065   , -54397.9    , array([ 0.00554466 ,  0.645257   ,  6.97857e-44,  9.49326e-06,  0.000539689])
89066   , -54398.2    , array([ 0.00554466 ,  0.645257   ,  6.97857e-44,  9.48377e-06,  0.000540229])
89067   , -54397.4    , array([ 0.00554641 ,  0.644804   ,  6.97857e-44,  9.48377e-06,  0.000540011])
89068   , -54397.4    , array([ 0.00554641 ,  0.644804   ,  6.97857e-44,  9.48377e-06,  0.000540011])
89069   , -54396.5    , array([ 0.00555196 ,  0.644804   ,  6.97857e-44,  9.48377e-06,  0.000540011])
89070   , -54397.9    , array([ 0.00554641 ,  0.645449   ,  6.97857e-44,  9.48377e-06,  0.000540011])
89071   , -54397.4    , array([ 0.00554641 ,  0.644804   ,  6.98555e-44,  9.48377e-06,  0.000540011])
89072   , -54397.4    , array([ 0.00554641 ,  0.644804   ,  6.97857e-44,  9.49326e-06,  0.000540011])
89073   , -54397.7    , array([ 0.00554641 ,  0.644804   ,  6.97857e-44,  9.48377e-06,  0.000540551])
89081   , -54397.4    , array([ 0.0055466  ,  0.644753   ,  6.97857e-44,  9.48377e-06,  0.000540047])
89082   , -54397.4    , array([ 0.0055466  ,  0.644753   ,  6.97857e-44,  9.48377e-06,  0.000540047])
89083   , -54396.4    , array([ 0.00555215 ,  0.644753   ,  6.97857e-44,  9.48377e-06,  0.000540047])
89084   , -54397.8    , array([ 0.0055466  ,  0.645398   ,  6.97857e-44,  9.48377e-06,  0.000540047])
89085   , -54397.4    , array([ 0.0055466  ,  0.644753   ,  6.98555e-44,  9.48377e-06,  0.000540047])
89086   , -54397.4    , array([ 0.0055466  ,  0.644753   ,  6.97857e-44,  9.49326e-06,  0.000540047])
89087   , -54397.7    , array([ 0.0055466  ,  0.644753   ,  6.97857e-44,  9.48377e-06,  0.000540587])
89088   , -54397.3    , array([ 0.00554704 ,  0.64464    ,  6.97857e-44,  9.48377e-06,  0.000540127])
89089   , -54397.3    , array([ 0.00554704 ,  0.64464    ,  6.97857e-44,  9.48377e-06,  0.000540127])
89090   , -54396.3    , array([ 0.00555259 ,  0.64464    ,  6.97857e-44,  9.48377e-06,  0.000540127])
89091   , -54397.7    , array([ 0.00554704 ,  0.645285   ,  6.97857e-44,  9.48377e-06,  0.000540127])
89092   , -54397.3    , array([ 0.00554704 ,  0.64464    ,  6.98555e-44,  9.48377e-06,  0.000540127])
89093   , -54397.3    , array([ 0.00554704 ,  0.64464    ,  6.97857e-44,  9.49326e-06,  0.000540127])
89094   , -54397.6    , array([ 0.00554704 ,  0.64464    ,  6.97857e-44,  9.48377e-06,  0.000540667])
89095   , -93919.1    , array([ 0.0381856  ,  0.00879929 ,  6.97857e-44,  9.48376e-06,  0.0205733  ])
89096   , -93919.1    , array([ 0.0381856  ,  0.00879929 ,  6.97857e-44,  9.48376e-06,  0.0205733  ])
89097   , -93889      , array([ 0.0382238  ,  0.00879929 ,  6.97857e-44,  9.48376e-06,  0.0205733  ])
89098   , -93837.5    , array([ 0.0381856  ,  0.0088081  ,  6.97857e-44,  9.48376e-06,  0.0205733  ])
89099   , -93919.1    , array([ 0.0381856  ,  0.00879929 ,  6.98555e-44,  9.48376e-06,  0.0205733  ])
89100   , -93919.1    , array([ 0.0381856  ,  0.00879929 ,  6.97857e-44,  9.49325e-06,  0.0205733  ])
89101   , -94026.6    , array([ 0.0381856  ,  0.00879929 ,  6.97857e-44,  9.48376e-06,  0.0205938  ])
89102   , -53852.3    , array([ 0.0104308  ,  0.15808    ,  6.97857e-44,  9.48377e-06,  0.00177808 ])
89103   , -53852.3    , array([ 0.0104308  ,  0.15808    ,  6.97857e-44,  9.48377e-06,  0.00177808 ])
89104   , -53834.3    , array([ 0.0104412  ,  0.15808    ,  6.97857e-44,  9.48377e-06,  0.00177808 ])
89105   , -53857.1    , array([ 0.0104308  ,  0.158238   ,  6.97857e-44,  9.48377e-06,  0.00177808 ])
89106   , -53852.3    , array([ 0.0104308  ,  0.15808    ,  6.98555e-44,  9.48377e-06,  0.00177808 ])
89107   , -53852.3    , array([ 0.0104308  ,  0.15808    ,  6.97857e-44,  9.49326e-06,  0.00177808 ])
89108   , -53864.6    , array([ 0.0104308  ,  0.15808    ,  6.97857e-44,  9.48377e-06,  0.00177986 ])
89109   , -33671.7    , array([ 0.022518   ,  0.0285089  ,  6.97857e-44,  9.48376e-06,  0.00759514 ])
89110   , -33671.7    , array([ 0.022518   ,  0.0285089  ,  6.97857e-44,  9.48376e-06,  0.00759514 ])
89111   , -33634.2    , array([ 0.0225405  ,  0.0285089  ,  6.97857e-44,  9.48376e-06,  0.00759514 ])
