47609   , -79089.4    , array([ 0.0232283  ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47610   , -79089.4    , array([ 0.0232283  ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47611   , -79089.4    , array([ 1.02323    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47612   , -79089.4    , array([ 2.64126    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47613   , -79089.4    , array([ 1.02323    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47614   , -79089.4    , array([ 1.64126    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47615   , -79089.4    , array([ 2.02323    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47616   , -79089.4    , array([ 2.2593     ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47617   , -79089.4    , array([ 2.40519    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47618   , -79089.4    , array([ 2.49536    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47619   , -79089.4    , array([ 2.55109    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47620   , -79089.4    , array([ 2.58553    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47621   , -79089.4    , array([ 2.61116    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47622   , -79089.4    , array([ 2.61116    ,  11.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47623   , -79089.4    , array([ 2.61116    ,  12.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47624   , -79089.4    , array([ 2.61116    ,  13.8942    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47625   , -79089.4    , array([ 2.61116    ,  12.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47626   , -79089.4    , array([ 2.61116    ,  12.8942    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47627   , -79089.4    , array([ 2.61116    ,  13.2762    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47628   , -79089.4    , array([ 2.61116    ,  13.5123    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47629   , -79089.4    , array([ 2.61116    ,  13.6582    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47630   , -79089.4    , array([ 2.61116    ,  13.7483    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47631   , -79089.4    , array([ 2.61116    ,  13.8041    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47632   , -79089.4    , array([ 2.61116    ,  13.8385    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47633   , -79089.4    , array([ 2.61116    ,  13.8641    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47634   , -79089.4    , array([ 2.61116    ,  13.8641    ,  1.9987e-20 ,  0.659093   ,  2.3609e-26 ])
47635   , -79089.4    , array([ 2.61116    ,  13.8641    ,  1          ,  0.659093   ,  2.3609e-26 ])
47636   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.61803    ,  0.659093   ,  2.3609e-26 ])
47637   , -79089.4    , array([ 2.61116    ,  13.8641    ,  1          ,  0.659093   ,  2.3609e-26 ])
47638   , -79089.4    , array([ 2.61116    ,  13.8641    ,  1.61803    ,  0.659093   ,  2.3609e-26 ])
47639   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2          ,  0.659093   ,  2.3609e-26 ])
47640   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.23607    ,  0.659093   ,  2.3609e-26 ])
47641   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.38197    ,  0.659093   ,  2.3609e-26 ])
47642   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.47214    ,  0.659093   ,  2.3609e-26 ])
47643   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.52786    ,  0.659093   ,  2.3609e-26 ])
47644   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.56231    ,  0.659093   ,  2.3609e-26 ])
47645   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  0.659093   ,  2.3609e-26 ])
47646   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  0.659093   ,  2.3609e-26 ])
47647   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  1.65909    ,  2.3609e-26 ])
47648   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.27713    ,  2.3609e-26 ])
47649   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  1.65909    ,  2.3609e-26 ])
47650   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  2.27713    ,  2.3609e-26 ])
47651   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  2.65909    ,  2.3609e-26 ])
47652   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  2.89516    ,  2.3609e-26 ])
47653   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.04106    ,  2.3609e-26 ])
47654   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.13123    ,  2.3609e-26 ])
47655   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.18696    ,  2.3609e-26 ])
47656   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.2214     ,  2.3609e-26 ])
47657   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  2.3609e-26 ])
47658   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  2.3609e-26 ])
47659   , -80220.9    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  1          ])
47661   , -79089.4    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  2.3609e-26 ])
47663   , -72578.1    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  0.381966   ])
47664   , -67173.7    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  0.191036   ])
47665   , -68208.7    , array([ 2.61116    ,  13.8641    ,  2.58793    ,  3.24702    ,  0.226886   ])
