125342  , -79089.4    , array([ 0.257863   ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125343  , -79089.4    , array([ 0.257863   ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125344  , -79089.4    , array([ 1.25786    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125345  , -79089.4    , array([ 2.8759     ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125346  , -79089.4    , array([ 1.25786    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125347  , -79089.4    , array([ 1.8759     ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125348  , -79089.4    , array([ 2.25786    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125349  , -79089.4    , array([ 2.49393    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125350  , -79089.4    , array([ 2.63983    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125351  , -79089.4    , array([ 2.73       ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125352  , -79089.4    , array([ 2.78573    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125353  , -79089.4    , array([ 2.82017    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125354  , -79089.4    , array([ 2.84579    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125355  , -79089.4    , array([ 2.84579    ,  18.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125356  , -79089.4    , array([ 2.84579    ,  19.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125357  , -79089.4    , array([ 2.84579    ,  20.7053    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125358  , -79089.4    , array([ 2.84579    ,  19.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125359  , -79089.4    , array([ 2.84579    ,  19.7053    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125360  , -79089.4    , array([ 2.84579    ,  20.0872    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125361  , -79089.4    , array([ 2.84579    ,  20.3233    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125362  , -79089.4    , array([ 2.84579    ,  20.4692    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125363  , -79089.4    , array([ 2.84579    ,  20.5594    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125364  , -79089.4    , array([ 2.84579    ,  20.6151    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125365  , -79089.4    , array([ 2.84579    ,  20.6495    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125366  , -79089.4    , array([ 2.84579    ,  20.6752    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125367  , -79089.4    , array([ 2.84579    ,  20.6752    ,  0.000219832,  4.7271e-34 ,  5.3113e-25 ])
125368  , -79089.4    , array([ 2.84579    ,  20.6752    ,  1.00022    ,  4.7271e-34 ,  5.3113e-25 ])
125369  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.61825    ,  4.7271e-34 ,  5.3113e-25 ])
125370  , -79089.4    , array([ 2.84579    ,  20.6752    ,  1.00022    ,  4.7271e-34 ,  5.3113e-25 ])
125371  , -79089.4    , array([ 2.84579    ,  20.6752    ,  1.61825    ,  4.7271e-34 ,  5.3113e-25 ])
125372  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.00022    ,  4.7271e-34 ,  5.3113e-25 ])
125373  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.23629    ,  4.7271e-34 ,  5.3113e-25 ])
125374  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.38219    ,  4.7271e-34 ,  5.3113e-25 ])
125375  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.47236    ,  4.7271e-34 ,  5.3113e-25 ])
125376  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.52808    ,  4.7271e-34 ,  5.3113e-25 ])
125377  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.56253    ,  4.7271e-34 ,  5.3113e-25 ])
125378  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  4.7271e-34 ,  5.3113e-25 ])
125379  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  4.7271e-34 ,  5.3113e-25 ])
125380  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  1          ,  5.3113e-25 ])
125381  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.61803    ,  5.3113e-25 ])
125382  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  1          ,  5.3113e-25 ])
125383  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  1.61803    ,  5.3113e-25 ])
125384  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2          ,  5.3113e-25 ])
125385  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.23607    ,  5.3113e-25 ])
125386  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.38197    ,  5.3113e-25 ])
125387  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.47214    ,  5.3113e-25 ])
125388  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.52786    ,  5.3113e-25 ])
125389  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.56231    ,  5.3113e-25 ])
125390  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  5.3113e-25 ])
125391  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  5.3113e-25 ])
125392  , -83971.1    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  1          ])
125394  , -79089.4    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  5.3113e-25 ])
125396  , -74424.5    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.381966   ])
125397  , -68579.8    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.191021   ])
125398  , -69384.7    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.218223   ])
125399  , -67216.8    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.118057   ])
125400  , -68152.9    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.0687672  ])
125401  , -67249.6    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.124228   ])
125402  , -67209.5    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.115073   ])
125403  , -67208      , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.112666   ])
125404  , -67208.7    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.111539   ])
125405  , -67208.2    , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.113792   ])
125406  , -85016.1    , array([ 5.43372    ,  23.2631    ,  5.17608    ,  5.17586    ,  0.225331   ])
125407  , -67208      , array([ 2.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.112666   ])
125408  , -70686.3    , array([ 3.84579    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.112666   ])
125409  , -56548.9    , array([ 1.22776    ,  20.6752    ,  2.58815    ,  2.58793    ,  0.112666   ])
