165703  , -16734.3    , array([ 0.475386   ,  0.360135   ,  4.76196e-23,  5.29396e-80,  0.120336   ])
165704  , -16734.3    , array([ 0.475386   ,  0.360135   ,  4.7572e-23 ,  5.29925e-80,  0.120336   ])
165705  , -16751.1    , array([ 0.475386   ,  0.360135   ,  4.7572e-23 ,  5.29396e-80,  0.120457   ])
165706  , -17229.1    , array([ 0.136037   ,  0.0278566  ,  4.7572e-23 ,  5.29396e-80,  0.0207175  ])
165707  , -17229.1    , array([ 0.136037   ,  0.0278566  ,  4.7572e-23 ,  5.29396e-80,  0.0207175  ])
165708  , -17218.2    , array([ 0.136173   ,  0.0278566  ,  4.7572e-23 ,  5.29396e-80,  0.0207175  ])
165709  , -17207.7    , array([ 0.136037   ,  0.0278845  ,  4.7572e-23 ,  5.29396e-80,  0.0207175  ])
165710  , -17229.1    , array([ 0.136037   ,  0.0278566  ,  4.76196e-23,  5.29396e-80,  0.0207175  ])
165711  , -17229.1    , array([ 0.136037   ,  0.0278566  ,  4.7572e-23 ,  5.29925e-80,  0.0207175  ])
165712  , -17259.5    , array([ 0.136037   ,  0.0278566  ,  4.7572e-23 ,  5.29396e-80,  0.0207383  ])
165713  , -13277      , array([ 0.262592   ,  0.106952   ,  4.7572e-23 ,  5.29396e-80,  0.0522341  ])
165714  , -13277      , array([ 0.262592   ,  0.106952   ,  4.7572e-23 ,  5.29396e-80,  0.0522341  ])
165715  , -13261.2    , array([ 0.262855   ,  0.106952   ,  4.7572e-23 ,  5.29396e-80,  0.0522341  ])
165716  , -13271.1    , array([ 0.262592   ,  0.107059   ,  4.7572e-23 ,  5.29396e-80,  0.0522341  ])
165717  , -13277      , array([ 0.262592   ,  0.106952   ,  4.76196e-23,  5.29396e-80,  0.0522341  ])
165718  , -13277      , array([ 0.262592   ,  0.106952   ,  4.7572e-23 ,  5.29925e-80,  0.0522341  ])
165719  , -13297      , array([ 0.262592   ,  0.106952   ,  4.7572e-23 ,  5.29396e-80,  0.0522863  ])
165720  , -7674.47    , array([ 0.347741   ,  0.114448   ,  4.7572e-23 ,  5.29396e-80,  0.0469559  ])
165721  , -7674.47    , array([ 0.347741   ,  0.114448   ,  4.7572e-23 ,  5.29396e-80,  0.0469559  ])
165722  , -7664.27    , array([ 0.348089   ,  0.114448   ,  4.7572e-23 ,  5.29396e-80,  0.0469559  ])
165723  , -7671.86    , array([ 0.347741   ,  0.114563   ,  4.7572e-23 ,  5.29396e-80,  0.0469559  ])
165724  , -7674.47    , array([ 0.347741   ,  0.114448   ,  4.76196e-23,  5.29396e-80,  0.0469559  ])
165725  , -7674.47    , array([ 0.347741   ,  0.114448   ,  4.7572e-23 ,  5.29925e-80,  0.0469559  ])
165726  , -7686.22    , array([ 0.347741   ,  0.114448   ,  4.7572e-23 ,  5.29396e-80,  0.0470029  ])
165727  , -3174.56    , array([ 0.562157   ,  0.110301   ,  4.7572e-23 ,  5.29396e-80,  0.0382012  ])
165728  , -3174.56    , array([ 0.562157   ,  0.110301   ,  4.7572e-23 ,  5.29396e-80,  0.0382012  ])
165729  , -3170.99    , array([ 0.56272    ,  0.110301   ,  4.7572e-23 ,  5.29396e-80,  0.0382012  ])
165730  , -3175.49    , array([ 0.562157   ,  0.110412   ,  4.7572e-23 ,  5.29396e-80,  0.0382012  ])
165731  , -3174.56    , array([ 0.562157   ,  0.110301   ,  4.76196e-23,  5.29396e-80,  0.0382012  ])
165732  , -3174.56    , array([ 0.562157   ,  0.110301   ,  4.7572e-23 ,  5.29925e-80,  0.0382012  ])
165733  , -3176.99    , array([ 0.562157   ,  0.110301   ,  4.7572e-23 ,  5.29396e-80,  0.0382395  ])
165734  , -2240.48    , array([ 0.717666   ,  0.0956743  ,  4.7572e-23 ,  5.29396e-80,  0.0338334  ])
165735  , -2240.48    , array([ 0.717666   ,  0.0956743  ,  4.7572e-23 ,  5.29396e-80,  0.0338334  ])
165736  , -2238.74    , array([ 0.718384   ,  0.0956743  ,  4.7572e-23 ,  5.29396e-80,  0.0338334  ])
165737  , -2240.79    , array([ 0.717666   ,  0.0957701  ,  4.7572e-23 ,  5.29396e-80,  0.0338334  ])
165738  , -2240.48    , array([ 0.717666   ,  0.0956743  ,  4.76196e-23,  5.29396e-80,  0.0338334  ])
165739  , -2240.48    , array([ 0.717666   ,  0.0956743  ,  4.7572e-23 ,  5.29925e-80,  0.0338334  ])
165740  , -2241.85    , array([ 0.717666   ,  0.0956743  ,  4.7572e-23 ,  5.29396e-80,  0.0338672  ])
165741  , -1820.65    , array([ 0.879212   ,  0.0813699  ,  4.7572e-23 ,  5.29396e-80,  0.0289511  ])
165742  , -1820.65    , array([ 0.879212   ,  0.0813699  ,  4.7572e-23 ,  5.29396e-80,  0.0289511  ])
165743  , -1819.89    , array([ 0.880092   ,  0.0813699  ,  4.7572e-23 ,  5.29396e-80,  0.0289511  ])
165744  , -1820.77    , array([ 0.879212   ,  0.0814513  ,  4.7572e-23 ,  5.29396e-80,  0.0289511  ])
165745  , -1820.65    , array([ 0.879212   ,  0.0813699  ,  4.76196e-23,  5.29396e-80,  0.0289511  ])
165746  , -1820.65    , array([ 0.879212   ,  0.0813699  ,  4.7572e-23 ,  5.29925e-80,  0.0289511  ])
165747  , -1821.25    , array([ 0.879212   ,  0.0813699  ,  4.7572e-23 ,  5.29396e-80,  0.0289801  ])
165748  , -1685.91    , array([ 1.0348     ,  0.0727886  ,  4.7572e-23 ,  5.29396e-80,  0.0260018  ])
165749  , -1685.91    , array([ 1.0348     ,  0.0727886  ,  4.7572e-23 ,  5.29396e-80,  0.0260018  ])
165750  , -1685.57    , array([ 1.03584    ,  0.0727886  ,  4.7572e-23 ,  5.29396e-80,  0.0260018  ])
165751  , -1685.91    , array([ 1.0348     ,  0.0728614  ,  4.7572e-23 ,  5.29396e-80,  0.0260018  ])
165752  , -1685.91    , array([ 1.0348     ,  0.0727886  ,  4.76196e-23,  5.29396e-80,  0.0260018  ])
165753  , -1685.91    , array([ 1.0348     ,  0.0727886  ,  4.7572e-23 ,  5.29925e-80,  0.0260018  ])
165754  , -1686.19    , array([ 1.0348     ,  0.0727886  ,  4.7572e-23 ,  5.29396e-80,  0.0260278  ])
165755  , -1644.82    , array([ 1.1884     ,  0.0683416  ,  4.7572e-23 ,  5.29396e-80,  0.0244325  ])
165756  , -1644.82    , array([ 1.1884     ,  0.0683416  ,  4.7572e-23 ,  5.29396e-80,  0.0244325  ])
165757  , -1644.68    , array([ 1.18959    ,  0.0683416  ,  4.7572e-23 ,  5.29396e-80,  0.0244325  ])
165758  , -1644.81    , array([ 1.1884     ,  0.06841    ,  4.7572e-23 ,  5.29396e-80,  0.0244325  ])
165759  , -1644.82    , array([ 1.1884     ,  0.0683416  ,  4.76196e-23,  5.29396e-80,  0.0244325  ])
165760  , -1644.82    , array([ 1.1884     ,  0.0683416  ,  4.7572e-23 ,  5.29925e-80,  0.0244325  ])
165761  , -1644.91    , array([ 1.1884     ,  0.0683416  ,  4.7572e-23 ,  5.29396e-80,  0.024457   ])
165762  , -1635.1     , array([ 1.31506    ,  0.0667578  ,  4.7572e-23 ,  5.29396e-80,  0.0238911  ])
165763  , -1635.1     , array([ 1.31506    ,  0.0667578  ,  4.7572e-23 ,  5.29396e-80,  0.0238911  ])
