165120  , -5992.24    , array([ 0.10801    ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165121  , -7009.07    , array([ 0.0417733  ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165122  , -6052.95    , array([ 0.0827097  ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165123  , -5993.01    , array([ 0.128021   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165124  , -5989.77    , array([ 0.116737   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165125  , -5989.81    , array([ 0.117726   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165126  , -5989.79    , array([ 0.115748   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165127  , -5989.77    , array([ 0.116737   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165128  , -65632.2    , array([ 0.116737   ,  1.01038    ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165130  , -5989.77    , array([ 0.116737   ,  0.0103806  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165132  , -62726.8    , array([ 0.116737   ,  0.392347   ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165133  , -58516.3    , array([ 0.116737   ,  0.200905   ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165136  , -48123.5    , array([ 0.116737   ,  0.0831544  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165138  , -33126      , array([ 0.116737   ,  0.0381777  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165140  , -19347.9    , array([ 0.116737   ,  0.0209982  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165142  , -11396.6    , array([ 0.116737   ,  0.0144362  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165144  , -8028.6     , array([ 0.116737   ,  0.0119297  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165146  , -6755.24    , array([ 0.116737   ,  0.0109723  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165147  , -5636.54    , array([ 0.116737   ,  0.0101006  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165149  , -5770.65    , array([ 0.116737   ,  0.0102075  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165150  , -5554.2     , array([ 0.116737   ,  0.0100345  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165152  , -5585.6     , array([ 0.116737   ,  0.0100597  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165153  , -5534.83    , array([ 0.116737   ,  0.0100189  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165154  , -5522.86    , array([ 0.116737   ,  0.0100092  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165155  , -5515.47    , array([ 0.116737   ,  0.0100033  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165157  , -5515.47    , array([ 0.116737   ,  0.0100033  ,  9.91715    ,  1.89274e-06,  0.00218925 ])
165159  , -5484.71    , array([ 0.116737   ,  0.0100033  ,  8.29912    ,  1.89274e-06,  0.00218925 ])
165160  , -5500.04    , array([ 0.116737   ,  0.0100033  ,  9.10813    ,  1.89274e-06,  0.00218925 ])
165161  , -5435.74    , array([ 0.116737   ,  0.0100033  ,  5.68108    ,  1.89274e-06,  0.00218925 ])
165163  , -5435.74    , array([ 0.116737   ,  0.0100033  ,  5.68108    ,  1.89274e-06,  0.00218925 ])
165167  , -5386.64    , array([ 0.116737   ,  0.0100033  ,  2.99916    ,  1.89274e-06,  0.00218925 ])
165168  , -5411.05    , array([ 0.116737   ,  0.0100033  ,  4.34012    ,  1.89274e-06,  0.00218925 ])
165169  , -5356.86    , array([ 0.116737   ,  0.0100033  ,  1.34164    ,  1.89274e-06,  0.00218925 ])
165170  , -5338.66    , array([ 0.116737   ,  0.0100033  ,  0.317235   ,  1.89274e-06,  0.00218925 ])
165172  , -5345.59    , array([ 0.116737   ,  0.0100033  ,  0.708522   ,  1.89274e-06,  0.00218925 ])
165173  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.89274e-06,  0.00218925 ])
165175  , -5336.13    , array([ 0.116737   ,  0.0100033  ,  0.173823   ,  1.89274e-06,  0.00218925 ])
165176  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.89274e-06,  0.00218925 ])
165177  , -5369.91    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1          ,  0.00218925 ])
165179  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.89274e-06,  0.00218925 ])
165181  , -5347.94    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.381968   ,  0.00218925 ])
165182  , -5341.16    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.190985   ,  0.00218925 ])
165185  , -5336.98    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.0729509  ,  0.00218925 ])
165187  , -5335.38    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.0278659  ,  0.00218925 ])
165189  , -5334.77    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.010645   ,  0.00218925 ])
165191  , -5334.54    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.0040672  ,  0.00218925 ])
165193  , -5334.45    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.0015547  ,  0.00218925 ])
165195  , -5334.41    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.000595013,  0.00218925 ])
165197  , -5334.4     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  0.000228444,  0.00218925 ])
165199  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  8.84278e-05,  0.00218925 ])
165201  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  3.49462e-05,  0.00218925 ])
165203  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.4518e-05 ,  0.00218925 ])
165205  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  6.71517e-06,  0.00218925 ])
165207  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  3.73474e-06,  0.00218925 ])
165208  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.02306e-06,  0.00218925 ])
165209  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  4.85571e-07,  0.00218925 ])
165210  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  1.53384e-07,  0.00218925 ])
165212  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.80268e-07,  0.00218925 ])
165213  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  7.49648e-08,  0.00218925 ])
165214  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00218925 ])
165216  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  4.51717e-08,  0.00218925 ])
165217  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00218925 ])
165218  , -462609     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  1.00219    ])
165220  , -5334.39    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00218925 ])
165222  , -437794     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.384155   ])
165223  , -425540     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.189698   ])
165226  , -264966     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0738111  ])
165228  , -98768.4    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0295464  ])
165230  , -33047.4    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0126387  ])
165232  , -8727.25    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0061806  ])
165233  , -3472.74    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00266172 ])
165234  , -2980.97    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00387271 ])
165235  , -4592.34    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00475425 ])
165236  , -2675.26    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0034574  ])
165237  , -2665.52    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00340866 ])
165238  , -2662.2     , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.0033466  ])
165239  , -2662.03    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165240  , -2662.22    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00336986 ])
165242  , -2662.03    , array([ 0.116737   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165243  , -2381.14    , array([ 1.11674    ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165244  , -2416.56    , array([ 2.73477    ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165245  , -2381.14    , array([ 1.11674    ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165246  , -2401.39    , array([ 1.73477    ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165247  , -2357.23    , array([ 0.734771   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165248  , -2334.69    , array([ 0.498703   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165249  , -2322.57    , array([ 0.352805   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165250  , -2330.81    , array([ 0.262635   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165251  , -2323.25    , array([ 0.369576   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165252  , -2322.38    , array([ 0.344664   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165253  , -2322.88    , array([ 0.313332   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165254  , -2322.3     , array([ 0.33703    ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165255  , -2322.3     , array([ 0.334827   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165256  , -2322.31    , array([ 0.332646   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165257  , -2322.3     , array([ 0.334827   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165258  , -68714.9    , array([ 0.334827   ,  1.01       ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165260  , -2322.3     , array([ 0.334827   ,  0.0100033  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165262  , -63911.5    , array([ 0.334827   ,  0.391969   ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165263  , -57234.5    , array([ 0.334827   ,  0.200488   ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165266  , -42119      , array([ 0.334827   ,  0.0827621  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165268  , -23530      , array([ 0.334827   ,  0.0377947  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165270  , -9988.62    , array([ 0.334827   ,  0.0206186  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165272  , -4306.24    , array([ 0.334827   ,  0.014058   ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165275  , -2759.75    , array([ 0.334827   ,  0.011552   ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165277  , -2422.59    , array([ 0.334827   ,  0.0105948  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165279  , -2349.34    , array([ 0.334827   ,  0.0102292  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165281  , -2330.89    , array([ 0.334827   ,  0.0100896  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165283  , -2325.32    , array([ 0.334827   ,  0.0100362  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165285  , -2323.42    , array([ 0.334827   ,  0.0100159  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165287  , -2322.72    , array([ 0.334827   ,  0.0100081  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165289  , -2322.46    , array([ 0.334827   ,  0.0100051  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165290  , -2322.19    , array([ 0.334827   ,  0.0100019  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165291  , -2322.12    , array([ 0.334827   ,  0.0100011  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165292  , -2322.08    , array([ 0.334827   ,  0.0100006  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165293  , -2322.05    , array([ 0.334827   ,  0.0100003  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165294  , -2322.03    , array([ 0.334827   ,  0.0100001  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165295  , -2322.02    , array([ 0.334827   ,  0.01       ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165297  , -2322.03    , array([ 0.334827   ,  0.0100001  ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165299  , -2322.02    , array([ 0.334827   ,  0.01       ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165300  , -2330.33    , array([ 0.334827   ,  0.01       ,  1.07541    ,  2.64993e-08,  0.00335817 ])
165302  , -2322.02    , array([ 0.334827   ,  0.01       ,  0.0754057  ,  2.64993e-08,  0.00335817 ])
165304  , -2325.14    , array([ 0.334827   ,  0.01       ,  0.457372   ,  2.64993e-08,  0.00335817 ])
165305  , -2323.57    , array([ 0.334827   ,  0.01       ,  0.266389   ,  2.64993e-08,  0.00335817 ])
165308  , -2322.61    , array([ 0.334827   ,  0.01       ,  0.148355   ,  2.64993e-08,  0.00335817 ])
165309  , -2321.75    , array([ 0.334827   ,  0.01       ,  0.0409638  ,  2.64993e-08,  0.00335817 ])
165310  , -2321.57    , array([ 0.334827   ,  0.01       ,  0.0196776  ,  2.64993e-08,  0.00335817 ])
165311  , -2321.47    , array([ 0.334827   ,  0.01       ,  0.00652198 ,  2.64993e-08,  0.00335817 ])
165313  , -2321.51    , array([ 0.334827   ,  0.01       ,  0.011547   ,  2.64993e-08,  0.00335817 ])
165314  , -2321.44    , array([ 0.334827   ,  0.01       ,  0.00341636 ,  2.64993e-08,  0.00335817 ])
165315  , -2321.43    , array([ 0.334827   ,  0.01       ,  0.00149698 ,  2.64993e-08,  0.00335817 ])
165316  , -2321.42    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.64993e-08,  0.00335817 ])
165318  , -2321.42    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.64993e-08,  0.00335817 ])
165319  , -2318.72    , array([ 0.334827   ,  0.01       ,  0.000310736,  1          ,  0.00335817 ])
165320  , -2316.74    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.61803    ,  0.00335817 ])
165321  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.89215    ,  0.00335817 ])
165322  , -2316.78    , array([ 0.334827   ,  0.01       ,  0.000310736,  3.33568    ,  0.00335817 ])
165323  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.89215    ,  0.00335817 ])
165324  , -2316.7     , array([ 0.334827   ,  0.01       ,  0.000310736,  3.06156    ,  0.00335817 ])
165325  , -2316.7     , array([ 0.334827   ,  0.01       ,  0.000310736,  2.78745    ,  0.00335817 ])
165326  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00335817 ])
165327  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.9508     ,  0.00335817 ])
165328  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00335817 ])
