175201  , -2865.4     , array([ 6.27546    ,  0.160703   ,  4.42725e-28,  5.19765e-83,  0.0512362  ])
175202  , -2863.07    , array([ 6.27546    ,  0.160703   ,  4.42725e-28,  5.19245e-83,  0.0512874  ])
175203  , -1851.71    , array([ 3.76209    ,  0.0926575  ,  1.40834e-27,  5.19245e-83,  0.0341085  ])
175204  , -1851.71    , array([ 3.76209    ,  0.0926575  ,  1.40834e-27,  5.19245e-83,  0.0341085  ])
175205  , -1851.94    , array([ 3.76586    ,  0.0926575  ,  1.40834e-27,  5.19245e-83,  0.0341085  ])
175206  , -1851.44    , array([ 3.76209    ,  0.0927502  ,  1.40834e-27,  5.19245e-83,  0.0341085  ])
175207  , -1851.71    , array([ 3.76209    ,  0.0926575  ,  1.40975e-27,  5.19245e-83,  0.0341085  ])
175208  , -1851.71    , array([ 3.76209    ,  0.0926575  ,  1.40834e-27,  5.19765e-83,  0.0341085  ])
175209  , -1852.62    , array([ 3.76209    ,  0.0926575  ,  1.40834e-27,  5.19245e-83,  0.0341426  ])
175210  , -1737.29    , array([ 3.11473    ,  0.0763939  ,  1.93768e-27,  5.19245e-83,  0.0280366  ])
175211  , -1737.29    , array([ 3.11473    ,  0.0763939  ,  1.93768e-27,  5.19245e-83,  0.0280366  ])
175212  , -1737.47    , array([ 3.11785    ,  0.0763939  ,  1.93768e-27,  5.19245e-83,  0.0280366  ])
175213  , -1736.88    , array([ 3.11473    ,  0.0764703  ,  1.93768e-27,  5.19245e-83,  0.0280366  ])
175214  , -1737.29    , array([ 3.11473    ,  0.0763939  ,  1.93962e-27,  5.19245e-83,  0.0280366  ])
175215  , -1737.29    , array([ 3.11473    ,  0.0763939  ,  1.93768e-27,  5.19765e-83,  0.0280366  ])
175216  , -1737.92    , array([ 3.11473    ,  0.0763939  ,  1.93768e-27,  5.19245e-83,  0.0280647  ])
175217  , -1697.7     , array([ 2.65582    ,  0.0652204  ,  2.44548e-27,  5.19245e-83,  0.0235888  ])
175218  , -1697.7     , array([ 2.65582    ,  0.0652204  ,  2.44548e-27,  5.19245e-83,  0.0235888  ])
175219  , -1697.85    , array([ 2.65848    ,  0.0652204  ,  2.44548e-27,  5.19245e-83,  0.0235888  ])
175220  , -1697.56    , array([ 2.65582    ,  0.0652857  ,  2.44548e-27,  5.19245e-83,  0.0235888  ])
175221  , -1697.7     , array([ 2.65582    ,  0.0652204  ,  2.44793e-27,  5.19245e-83,  0.0235888  ])
175222  , -1697.7     , array([ 2.65582    ,  0.0652204  ,  2.44548e-27,  5.19765e-83,  0.0235888  ])
175223  , -1697.81    , array([ 2.65582    ,  0.0652204  ,  2.44548e-27,  5.19245e-83,  0.0236124  ])
