286289  , -1857.53    , array([ 0.817726   ,  0.0343982  ,  0.379904   ,  3.17413e-11,  0.0117934  ])
286290  , -1856.67    , array([ 0.822047   ,  0.034537   ,  0.379886   ,  3.17413e-11,  0.011832   ])
286291  , -1856.67    , array([ 0.822047   ,  0.034537   ,  0.379886   ,  3.17413e-11,  0.011832   ])
286292  , -1856.62    , array([ 0.822869   ,  0.034537   ,  0.379886   ,  3.17413e-11,  0.011832   ])
286293  , -1857.54    , array([ 0.822047   ,  0.0345715  ,  0.379886   ,  3.17413e-11,  0.011832   ])
286294  , -1856.67    , array([ 0.822047   ,  0.034537   ,  0.380266   ,  3.17413e-11,  0.011832   ])
286295  , -1856.67    , array([ 0.822047   ,  0.034537   ,  0.379886   ,  3.17731e-11,  0.011832   ])
286296  , -1855.44    , array([ 0.822047   ,  0.034537   ,  0.379886   ,  3.17413e-11,  0.0118438  ])
286304  , -1856.23    , array([ 0.822952   ,  0.034566   ,  0.379883   ,  3.17413e-11,  0.0118425  ])
286305  , -1856.23    , array([ 0.822952   ,  0.034566   ,  0.379883   ,  3.17413e-11,  0.0118425  ])
286306  , -1856.18    , array([ 0.823775   ,  0.034566   ,  0.379883   ,  3.17413e-11,  0.0118425  ])
286307  , -1857.1     , array([ 0.822952   ,  0.0346006  ,  0.379883   ,  3.17413e-11,  0.0118425  ])
286308  , -1856.23    , array([ 0.822952   ,  0.034566   ,  0.380263   ,  3.17413e-11,  0.0118425  ])
286309  , -1856.23    , array([ 0.822952   ,  0.034566   ,  0.379883   ,  3.17731e-11,  0.0118425  ])
286310  , -1855.01    , array([ 0.822952   ,  0.034566   ,  0.379883   ,  3.17413e-11,  0.0118544  ])
286311  , -1855.71    , array([ 0.824032   ,  0.0346007  ,  0.379878   ,  3.17413e-11,  0.0118551  ])
286312  , -1855.71    , array([ 0.824032   ,  0.0346007  ,  0.379878   ,  3.17413e-11,  0.0118551  ])
286313  , -1855.67    , array([ 0.824856   ,  0.0346007  ,  0.379878   ,  3.17413e-11,  0.0118551  ])
286314  , -1856.58    , array([ 0.824032   ,  0.0346353  ,  0.379878   ,  3.17413e-11,  0.0118551  ])
286315  , -1855.71    , array([ 0.824032   ,  0.0346007  ,  0.380258   ,  3.17413e-11,  0.0118551  ])
286316  , -1855.71    , array([ 0.824032   ,  0.0346007  ,  0.379878   ,  3.17731e-11,  0.0118551  ])
286317  , -1854.49    , array([ 0.824032   ,  0.0346007  ,  0.379878   ,  3.17413e-11,  0.011867   ])
286325  , -1855.6     , array([ 0.824258   ,  0.034608   ,  0.379877   ,  3.17413e-11,  0.0118577  ])
286326  , -1855.6     , array([ 0.824258   ,  0.034608   ,  0.379877   ,  3.17413e-11,  0.0118577  ])
286327  , -1855.56    , array([ 0.825083   ,  0.034608   ,  0.379877   ,  3.17413e-11,  0.0118577  ])
286328  , -1856.47    , array([ 0.824258   ,  0.0346426  ,  0.379877   ,  3.17413e-11,  0.0118577  ])
286329  , -1855.61    , array([ 0.824258   ,  0.034608   ,  0.380257   ,  3.17413e-11,  0.0118577  ])
286330  , -1855.6     , array([ 0.824258   ,  0.034608   ,  0.379877   ,  3.17731e-11,  0.0118577  ])
286331  , -1854.38    , array([ 0.824258   ,  0.034608   ,  0.379877   ,  3.17413e-11,  0.0118696  ])
286332  , -1855.47    , array([ 0.824528   ,  0.0346166  ,  0.379876   ,  3.17413e-11,  0.0118609  ])
286333  , -1855.47    , array([ 0.824528   ,  0.0346166  ,  0.379876   ,  3.17413e-11,  0.0118609  ])
286334  , -1855.43    , array([ 0.825353   ,  0.0346166  ,  0.379876   ,  3.17413e-11,  0.0118609  ])
286335  , -1856.34    , array([ 0.824528   ,  0.0346513  ,  0.379876   ,  3.17413e-11,  0.0118609  ])
286336  , -1855.48    , array([ 0.824528   ,  0.0346166  ,  0.380256   ,  3.17413e-11,  0.0118609  ])
286337  , -1855.47    , array([ 0.824528   ,  0.0346166  ,  0.379876   ,  3.17731e-11,  0.0118609  ])
286338  , -1854.25    , array([ 0.824528   ,  0.0346166  ,  0.379876   ,  3.17413e-11,  0.0118727  ])
286346  , -1855.45    , array([ 0.824584   ,  0.0346184  ,  0.379876   ,  3.17413e-11,  0.0118615  ])
286347  , -1855.45    , array([ 0.824584   ,  0.0346184  ,  0.379876   ,  3.17413e-11,  0.0118615  ])
286348  , -1855.4     , array([ 0.825409   ,  0.0346184  ,  0.379876   ,  3.17413e-11,  0.0118615  ])
286349  , -1856.32    , array([ 0.824584   ,  0.0346531  ,  0.379876   ,  3.17413e-11,  0.0118615  ])
286350  , -1855.45    , array([ 0.824584   ,  0.0346184  ,  0.380256   ,  3.17413e-11,  0.0118615  ])
286351  , -1855.45    , array([ 0.824584   ,  0.0346184  ,  0.379876   ,  3.17731e-11,  0.0118615  ])
286352  , -1854.23    , array([ 0.824584   ,  0.0346184  ,  0.379876   ,  3.17413e-11,  0.0118734  ])
286353  , -1855.41    , array([ 0.824652   ,  0.0346206  ,  0.379876   ,  3.17413e-11,  0.0118623  ])
286354  , -1855.41    , array([ 0.824652   ,  0.0346206  ,  0.379876   ,  3.17413e-11,  0.0118623  ])
286355  , -1855.37    , array([ 0.825477   ,  0.0346206  ,  0.379876   ,  3.17413e-11,  0.0118623  ])
286356  , -1856.28    , array([ 0.824652   ,  0.0346552  ,  0.379876   ,  3.17413e-11,  0.0118623  ])
286357  , -1855.42    , array([ 0.824652   ,  0.0346206  ,  0.380256   ,  3.17413e-11,  0.0118623  ])
286358  , -1855.41    , array([ 0.824652   ,  0.0346206  ,  0.379876   ,  3.17731e-11,  0.0118623  ])
286359  , -1854.19    , array([ 0.824652   ,  0.0346206  ,  0.379876   ,  3.17413e-11,  0.0118742  ])
286367  , -1855.41    , array([ 0.824666   ,  0.0346211  ,  0.379876   ,  3.17413e-11,  0.0118625  ])
286368  , -1855.41    , array([ 0.824666   ,  0.0346211  ,  0.379876   ,  3.17413e-11,  0.0118625  ])
286369  , -1855.36    , array([ 0.825491   ,  0.0346211  ,  0.379876   ,  3.17413e-11,  0.0118625  ])
286370  , -1856.28    , array([ 0.824666   ,  0.0346557  ,  0.379876   ,  3.17413e-11,  0.0118625  ])
286371  , -1855.41    , array([ 0.824666   ,  0.0346211  ,  0.380256   ,  3.17413e-11,  0.0118625  ])
286372  , -1855.41    , array([ 0.824666   ,  0.0346211  ,  0.379876   ,  3.17731e-11,  0.0118625  ])
286373  , -1854.19    , array([ 0.824666   ,  0.0346211  ,  0.379876   ,  3.17413e-11,  0.0118744  ])
286374  , -1855.4     , array([ 0.824683   ,  0.0346216  ,  0.379876   ,  3.17413e-11,  0.0118627  ])
286375  , -1855.4     , array([ 0.824683   ,  0.0346216  ,  0.379876   ,  3.17413e-11,  0.0118627  ])
286376  , -1855.35    , array([ 0.825508   ,  0.0346216  ,  0.379876   ,  3.17413e-11,  0.0118627  ])
286377  , -1856.27    , array([ 0.824683   ,  0.0346562  ,  0.379876   ,  3.17413e-11,  0.0118627  ])
286378  , -1855.4     , array([ 0.824683   ,  0.0346216  ,  0.380256   ,  3.17413e-11,  0.0118627  ])
286379  , -1855.4     , array([ 0.824683   ,  0.0346216  ,  0.379876   ,  3.17731e-11,  0.0118627  ])
286380  , -1854.18    , array([ 0.824683   ,  0.0346216  ,  0.379876   ,  3.17413e-11,  0.0118745  ])
286381  , -5240.06    , array([ 11.4597    ,  0.258746   ,  0.371264   ,  3.17413e-11,  0.0999584  ])
286382  , -5240.06    , array([ 11.4597    ,  0.258746   ,  0.371264   ,  3.17413e-11,  0.0999584  ])
286383  , -5240.81    , array([ 11.4712    ,  0.258746   ,  0.371264   ,  3.17413e-11,  0.0999584  ])
286384  , -5240.82    , array([ 11.4597    ,  0.259005   ,  0.371264   ,  3.17413e-11,  0.0999584  ])
286385  , -5239.85    , array([ 11.4597    ,  0.258746   ,  0.371635   ,  3.17413e-11,  0.0999584  ])
286386  , -5240.06    , array([ 11.4597    ,  0.258746   ,  0.371264   ,  3.17731e-11,  0.0999584  ])
286387  , -5245.25    , array([ 11.4597    ,  0.258746   ,  0.371264   ,  3.17413e-11,  0.100058   ])
286388  , -1661.76    , array([ 1.55662    ,  0.0562624  ,  0.377779   ,  3.17413e-11,  0.0198442  ])
286389  , -1661.76    , array([ 1.55662    ,  0.0562624  ,  0.377779   ,  3.17413e-11,  0.0198442  ])
286390  , -1661.84    , array([ 1.55818    ,  0.0562624  ,  0.377779   ,  3.17413e-11,  0.0198442  ])
286391  , -1662.26    , array([ 1.55662    ,  0.0563187  ,  0.377779   ,  3.17413e-11,  0.0198442  ])
286392  , -1661.75    , array([ 1.55662    ,  0.0562624  ,  0.378157   ,  3.17413e-11,  0.0198442  ])
286393  , -1661.76    , array([ 1.55662    ,  0.0562624  ,  0.377779   ,  3.17731e-11,  0.0198442  ])
286394  , -1661.01    , array([ 1.55662    ,  0.0562624  ,  0.377779   ,  3.17413e-11,  0.019864   ])
286395  , -13560.9    , array([ 0.698793   ,  0.541007   ,  0.419183   ,  3.17413e-11,  0.149247   ])
286396  , -13560.9    , array([ 0.698793   ,  0.541007   ,  0.419183   ,  3.17413e-11,  0.149247   ])
286397  , -13547.4    , array([ 0.699492   ,  0.541007   ,  0.419183   ,  3.17413e-11,  0.149247   ])
286398  , -13568.9    , array([ 0.698793   ,  0.541548   ,  0.419183   ,  3.17413e-11,  0.149247   ])
286399  , -13559.4    , array([ 0.698793   ,  0.541007   ,  0.419602   ,  3.17413e-11,  0.149247   ])
286400  , -13560.9    , array([ 0.698793   ,  0.541007   ,  0.419183   ,  3.17731e-11,  0.149247   ])
286401  , -13568.4    , array([ 0.698793   ,  0.541007   ,  0.419183   ,  3.17413e-11,  0.149396   ])
286402  , -1662.39    , array([ 1.38431    ,  0.0783793  ,  0.383577   ,  3.17413e-11,  0.0266677  ])
286403  , -1662.39    , array([ 1.38431    ,  0.0783793  ,  0.383577   ,  3.17413e-11,  0.0266677  ])
