Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-2070.24	4150.48	1462.29	4207.0	4.5521,0.473,0.6279,1.7634,30.0
our_model	Round_1_Replicate_2	-1980.35	3970.7	1271.11	8133.24	2.4885,0.1619,1.2782,5.355,30.0
our_model	Round_1_Replicate_3	-2008.0	4026.0	1337.31	4458.91	4.3937,0.3815,0.6746,2.2216,30.0
our_model	Round_1_Replicate_4	-1324.13	2658.26	26.65	20006.13	0.9722,0.1105,5.3223,1.6192,0.0528
our_model	Round_1_Replicate_5	-1327.71	2665.42	33.11	19930.75	0.9963,0.1058,4.9242,3.119,0.0566
our_model	Round_1_Replicate_6	-1313.73	2637.46	5.61	19923.12	1.019,0.1038,4.8677,2.1404,0.0503
our_model	Round_1_Replicate_7	-1327.89	2665.78	33.69	20111.56	0.9153,0.1114,5.3602,2.4208,0.0585
our_model	Round_1_Replicate_8	-2483.46	4976.92	2220.21	7007.12	2.5331,0.4264,1.0432,1.8554,30.0
our_model	Round_1_Replicate_9	-1350.57	2711.14	80.0	19997.79	0.9474,0.1203,5.5393,1.2572,0.0565
our_model	Round_1_Replicate_10	-1312.73	2635.46	3.62	20022.8	0.9966,0.1001,5.1205,2.1843,0.0488
our_model	Round_2_Replicate_1	-1354.78	2719.56	88.56	19889.36	1.1646,0.0782,4.0438,3.4959,0.0369
our_model	Round_2_Replicate_2	-1708.98	3427.96	763.61	20570.27	0.7729,0.096,4.8326,6.8925,0.075
our_model	Round_2_Replicate_3	-1394.37	2798.74	168.14	19751.24	1.352,0.0736,3.8499,4.4073,0.0369
our_model	Round_2_Replicate_4	-1327.12	2664.24	32.08	20044.59	0.9432,0.1131,5.2545,2.2434,0.0597
our_model	Round_2_Replicate_5	-1325.89	2661.78	30.19	20107.08	0.9938,0.0848,4.8253,3.3274,0.0423
our_model	Round_2_Replicate_6	-1348.05	2706.1	75.55	19926.87	0.9884,0.1158,5.2383,1.043,0.0524
our_model	Round_2_Replicate_7	-1338.91	2687.82	56.55	20088.36	1.0166,0.0797,4.5925,3.5852,0.0389
our_model	Round_2_Replicate_8	-1480.37	2970.74	354.62	20169.05	1.077,0.0549,3.3925,4.1378,0.0236
our_model	Round_2_Replicate_9	-1335.42	2680.84	50.07	20142.22	0.9949,0.0822,4.9848,2.8824,0.039
our_model	Round_2_Replicate_10	-1312.66	2635.32	3.45	19986.4	0.994,0.1044,5.0825,2.4599,0.0533
our_model	Round_3_Replicate_1	-1318.1	2646.2	14.42	20074.58	0.9956,0.0894,4.8789,3.0381,0.0446
our_model	Round_3_Replicate_2	-1313.12	2636.24	4.37	19911.32	1.0287,0.1041,4.9455,2.43,0.0521
our_model	Round_3_Replicate_3	-1318.36	2646.72	14.74	19981.34	0.9778,0.1099,5.1779,2.3735,0.0568
our_model	Round_3_Replicate_4	-1407.91	2825.82	190.49	19476.35	1.1081,0.1401,4.9009,1.4566,0.0711
our_model	Round_3_Replicate_5	-1311.96	2633.92	2.06	19977.56	0.997,0.1042,5.0432,2.3231,0.0521
our_model	Round_3_Replicate_6	-1333.32	2676.64	44.83	20065.91	1.0221,0.0826,4.6451,3.8135,0.0425
our_model	Round_3_Replicate_7	-1331.25	2672.5	41.09	20086.11	1.008,0.0828,4.6908,3.2144,0.04
our_model	Round_3_Replicate_8	-1314.52	2639.04	7.16	19921.43	1.0125,0.1073,5.0032,2.1531,0.0531
our_model	Round_3_Replicate_9	-1312.72	2635.44	3.57	19933.21	1.04,0.0996,4.9431,2.6612,0.0503
our_model	Round_3_Replicate_10	-1330.75	2671.5	40.1	20119.46	0.9934,0.0825,4.7643,3.3679,0.0408
our_model	Round_3_Replicate_11	-1329.43	2668.86	37.12	20118.99	0.9156,0.1103,5.479,1.7327,0.0529
our_model	Round_3_Replicate_12	-1310.97	2631.94	0.07	20013.34	0.9944,0.0999,5.0305,2.4833,0.0499
our_model	Round_3_Replicate_13	-1348.49	2706.98	76.27	20010.01	0.9578,0.1224,5.7404,1.6146,0.0617
our_model	Round_3_Replicate_14	-1313.39	2636.78	4.91	19958.81	1.032,0.0972,4.9172,2.8747,0.0493
our_model	Round_3_Replicate_15	-1312.01	2634.02	2.15	19976.35	1.014,0.1,4.9806,2.2953,0.0488
our_model	Round_3_Replicate_16	-1332.2	2674.4	42.85	19866.54	1.0206,0.116,5.2012,1.5564,0.0554
our_model	Round_3_Replicate_17	-1343.31	2696.62	66.2	20120.27	1.0089,0.0797,4.738,2.8951,0.0372
our_model	Round_3_Replicate_18	-1330.2	2670.4	38.55	20118.0	0.974,0.0842,4.6902,3.3623,0.0413
our_model	Round_3_Replicate_19	-1354.73	2719.46	89.73	19959.8	1.1464,0.0776,4.4757,3.3139,0.0367
our_model	Round_3_Replicate_20	-1329.79	2669.58	38.2	19990.75	1.0612,0.0891,4.8246,2.2086,0.0412
