8647    , -73294.8    , array([ 3.35129    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8648    , -73294.8    , array([ 3.35129    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8649    , -74353      , array([ 4.35129    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8650    , -69411.6    , array([ 1.73326    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8652    , -69411.6    , array([ 1.73326    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8653    , -61271.1    , array([ 0.733256   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8654    , -53051.5    , array([ 0.115222   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8656    , -53099.7    , array([ 0.35129    ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8657    , -50068.5    , array([ 0.230279   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8658    , -50717.7    , array([ 0.261489   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8659    , -49695.1    , array([ 0.199069   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8660    , -49874.1    , array([ 0.167042   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8661    , -49695.1    , array([ 0.199069   ,  16.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8662    , -49732.2    , array([ 0.199069   ,  17.5073    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8663    , -49624.8    , array([ 0.199069   ,  14.8892    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8664    , -49472.1    , array([ 0.199069   ,  12.2712    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8665    , -49018      , array([ 0.199069   ,  8.03514    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8666    , -42143.4    , array([ 0.199069   ,  1.18104    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8668    , -42143.4    , array([ 0.199069   ,  1.18104    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8670    , -47588.7    , array([ 0.199069   ,  3.79907    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8671    , -46217.3    , array([ 0.199069   ,  2.48975    ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8673    , -35016      , array([ 0.199069   ,  0.563002   ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8674    , -17936.4    , array([ 0.199069   ,  0.181036   ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8676    , -28282.6    , array([ 0.199069   ,  0.344299   ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8677    , -17936.4    , array([ 0.199069   ,  0.181036   ,  2.94112e-12,  6.31482e-05,  0.0210825  ])
8678    , -17912.9    , array([ 0.199069   ,  0.181036   ,  1          ,  6.31482e-05,  0.0210825  ])
8679    , -17919.4    , array([ 0.199069   ,  0.181036   ,  2.61803    ,  6.31482e-05,  0.0210825  ])
8680    , -17912.9    , array([ 0.199069   ,  0.181036   ,  1          ,  6.31482e-05,  0.0210825  ])
