19574   , -79089.4    , array([ 0.145384   ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19575   , -79089.4    , array([ 0.145384   ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19576   , -79089.4    , array([ 1.14538    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19577   , -79089.4    , array([ 2.76342    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19578   , -79089.4    , array([ 1.14538    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19579   , -79089.4    , array([ 1.76342    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19580   , -79089.4    , array([ 2.14538    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19581   , -79089.4    , array([ 2.38145    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19582   , -79089.4    , array([ 2.52735    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19583   , -79089.4    , array([ 2.61752    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19584   , -79089.4    , array([ 2.67325    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19585   , -79089.4    , array([ 2.70769    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19586   , -79089.4    , array([ 2.73331    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19587   , -79089.4    , array([ 2.73331    ,  0.425842   ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19588   , -79089.4    , array([ 2.73331    ,  1.42584    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19589   , -79089.4    , array([ 2.73331    ,  3.04388    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19590   , -79089.4    , array([ 2.73331    ,  1.42584    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19591   , -79089.4    , array([ 2.73331    ,  2.04388    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19592   , -79089.4    , array([ 2.73331    ,  2.42584    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19593   , -79089.4    , array([ 2.73331    ,  2.66191    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19594   , -79089.4    , array([ 2.73331    ,  2.80781    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19595   , -79089.4    , array([ 2.73331    ,  2.89798    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19596   , -79089.4    , array([ 2.73331    ,  2.95371    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19597   , -79089.4    , array([ 2.73331    ,  2.98815    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19598   , -79089.4    , array([ 2.73331    ,  3.01377    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19599   , -79089.4    , array([ 2.73331    ,  3.01377    ,  5.74656e-06,  0.360196   ,  7.9424e-33 ])
19600   , -79089.4    , array([ 2.73331    ,  3.01377    ,  1.00001    ,  0.360196   ,  7.9424e-33 ])
19601   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.61804    ,  0.360196   ,  7.9424e-33 ])
19602   , -79089.4    , array([ 2.73331    ,  3.01377    ,  1.00001    ,  0.360196   ,  7.9424e-33 ])
19603   , -79089.4    , array([ 2.73331    ,  3.01377    ,  1.61804    ,  0.360196   ,  7.9424e-33 ])
19604   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.00001    ,  0.360196   ,  7.9424e-33 ])
19605   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.23607    ,  0.360196   ,  7.9424e-33 ])
19606   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.38197    ,  0.360196   ,  7.9424e-33 ])
19607   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.47214    ,  0.360196   ,  7.9424e-33 ])
19608   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.52787    ,  0.360196   ,  7.9424e-33 ])
19609   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.56231    ,  0.360196   ,  7.9424e-33 ])
19610   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  0.360196   ,  7.9424e-33 ])
19611   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  0.360196   ,  7.9424e-33 ])
19612   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  1.3602     ,  7.9424e-33 ])
19613   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.97823    ,  7.9424e-33 ])
19614   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  1.3602     ,  7.9424e-33 ])
19615   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  1.97823    ,  7.9424e-33 ])
19616   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.3602     ,  7.9424e-33 ])
19617   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.59626    ,  7.9424e-33 ])
19618   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.74216    ,  7.9424e-33 ])
19619   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.83233    ,  7.9424e-33 ])
19620   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.88806    ,  7.9424e-33 ])
19621   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.9225     ,  7.9424e-33 ])
19622   , -79089.4    , array([ 2.73331    ,  3.01377    ,  2.58793    ,  2.94813    ,  7.9424e-33 ])
