152519  , -79089.4    , array([ 4.88139    ,  0.433564   ,  0.000323591,  2.22543e-21,  2.05997e-11])
152520  , -79089.4    , array([ 4.88628    ,  0.433564   ,  0.000323591,  2.22543e-21,  2.05997e-11])
152521  , -79089.4    , array([ 4.88139    ,  0.433998   ,  0.000323591,  2.22543e-21,  2.05997e-11])
152522  , -79089.4    , array([ 4.88139    ,  0.433564   ,  0.000323915,  2.22543e-21,  2.05997e-11])
152523  , -79089.4    , array([ 4.88139    ,  0.433564   ,  0.000323591,  2.22766e-21,  2.05997e-11])
152524  , -79089.4    , array([ 4.88139    ,  0.433564   ,  0.000323591,  2.22543e-21,  2.06203e-11])
152525  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152526  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152527  , -79089.4    , array([ 4.33717    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152528  , -79089.4    , array([ 4.33283    ,  0.10992    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152529  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323915,  2.22543e-21,  9.58324e-11])
152530  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22766e-21,  9.58324e-11])
152531  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.59283e-11])
152539  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152540  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152541  , -79089.4    , array([ 4.33717    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152542  , -79089.4    , array([ 4.33283    ,  0.10992    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152543  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323915,  2.22543e-21,  9.58324e-11])
152544  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22766e-21,  9.58324e-11])
152545  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.59283e-11])
152546  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152547  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152548  , -79089.4    , array([ 4.33717    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152549  , -79089.4    , array([ 4.33283    ,  0.10992    ,  0.000323591,  2.22543e-21,  9.58324e-11])
152550  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323915,  2.22543e-21,  9.58324e-11])
152551  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22766e-21,  9.58324e-11])
152552  , -79089.4    , array([ 4.33283    ,  0.10981    ,  0.000323591,  2.22543e-21,  9.59283e-11])
152553  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152554  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152555  , -79089.1    , array([ 3.41714    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152556  , -79089.1    , array([ 3.41372    ,  0.00705098 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152557  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323915,  2.22543e-21,  2.07403e-09])
152558  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22766e-21,  2.07403e-09])
152559  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.0761e-09 ])
152560  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152561  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152562  , -79089.1    , array([ 3.41714    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152563  , -79089.1    , array([ 3.41372    ,  0.00705098 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152564  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323915,  2.22543e-21,  2.07403e-09])
152565  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22766e-21,  2.07403e-09])
152566  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.0761e-09 ])
152567  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152568  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152569  , -79089.1    , array([ 3.41714    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152570  , -79089.1    , array([ 3.41372    ,  0.00705098 ,  0.000323591,  2.22543e-21,  2.07403e-09])
152571  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323915,  2.22543e-21,  2.07403e-09])
152572  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22766e-21,  2.07403e-09])
152573  , -79089.1    , array([ 3.41372    ,  0.00704393 ,  0.000323591,  2.22543e-21,  2.0761e-09 ])
