1691    , -22087.3    , array([ 0.0158568  ,  0.267993   ,  2.42113    ,  0.0142369  ])
1692    , -22071.8    , array([ 0.0158726  ,  0.267993   ,  2.42113    ,  0.0142369  ])
1693    , -22093.3    , array([ 0.0158568  ,  0.268261   ,  2.42113    ,  0.0142369  ])
1694    , -22087.3    , array([ 0.0158568  ,  0.267993   ,  2.42356    ,  0.0142369  ])
1695    , -22096.9    , array([ 0.0158568  ,  0.267993   ,  2.42113    ,  0.0142511  ])
1696    , -22087.3    , array([ 0.0158568  ,  0.267993   ,  2.42113    ,  0.0142369  ])
1697    , -7798.89    , array([ 0.0358946  ,  0.196293   ,  2.42113    ,  0.00858641 ])
1698    , -7798.89    , array([ 0.0358946  ,  0.196293   ,  2.42113    ,  0.00858641 ])
1699    , -7791.77    , array([ 0.0359305  ,  0.196293   ,  2.42113    ,  0.00858641 ])
1700    , -7801.5     , array([ 0.0358946  ,  0.196489   ,  2.42113    ,  0.00858641 ])
1701    , -7798.89    , array([ 0.0358946  ,  0.196293   ,  2.42356    ,  0.00858641 ])
1702    , -7803.39    , array([ 0.0358946  ,  0.196293   ,  2.42113    ,  0.008595   ])
1709    , -7797.47    , array([ 0.0358755  ,  0.197026   ,  2.42113    ,  0.00855794 ])
1710    , -7797.47    , array([ 0.0358755  ,  0.197026   ,  2.42113    ,  0.00855794 ])
1711    , -7790.36    , array([ 0.0359113  ,  0.197026   ,  2.42113    ,  0.00855794 ])
1712    , -7800.07    , array([ 0.0358755  ,  0.197223   ,  2.42113    ,  0.00855794 ])
1713    , -7797.47    , array([ 0.0358755  ,  0.197026   ,  2.42356    ,  0.00855794 ])
1714    , -7801.97    , array([ 0.0358755  ,  0.197026   ,  2.42113    ,  0.0085665  ])
1715    , -7795.89    , array([ 0.0358553  ,  0.197802   ,  2.42113    ,  0.00852803 ])
1716    , -7795.89    , array([ 0.0358553  ,  0.197802   ,  2.42113    ,  0.00852803 ])
1717    , -7788.78    , array([ 0.0358911  ,  0.197802   ,  2.42113    ,  0.00852803 ])
1718    , -7798.48    , array([ 0.0358553  ,  0.198      ,  2.42113    ,  0.00852803 ])
1719    , -7795.89    , array([ 0.0358553  ,  0.197802   ,  2.42356    ,  0.00852803 ])
1720    , -7800.4     , array([ 0.0358553  ,  0.197802   ,  2.42113    ,  0.00853656 ])
1727    , -7795.46    , array([ 0.03585    ,  0.198007   ,  2.42113    ,  0.00852016 ])
1728    , -7795.46    , array([ 0.03585    ,  0.198007   ,  2.42113    ,  0.00852016 ])
1729    , -7788.36    , array([ 0.0358858  ,  0.198007   ,  2.42113    ,  0.00852016 ])
1730    , -7798.05    , array([ 0.03585    ,  0.198205   ,  2.42113    ,  0.00852016 ])
1731    , -7795.46    , array([ 0.03585    ,  0.198007   ,  2.42356    ,  0.00852016 ])
1732    , -7799.98    , array([ 0.03585    ,  0.198007   ,  2.42113    ,  0.00852868 ])
1733    , -7795.02    , array([ 0.0358446  ,  0.198215   ,  2.42113    ,  0.00851219 ])
1734    , -7795.02    , array([ 0.0358446  ,  0.198215   ,  2.42113    ,  0.00851219 ])
1735    , -7787.92    , array([ 0.0358804  ,  0.198215   ,  2.42113    ,  0.00851219 ])
1736    , -7797.6     , array([ 0.0358446  ,  0.198413   ,  2.42113    ,  0.00851219 ])
1737    , -7795.02    , array([ 0.0358446  ,  0.198215   ,  2.42356    ,  0.00851219 ])
1738    , -7799.54    , array([ 0.0358446  ,  0.198215   ,  2.42113    ,  0.00852071 ])
1745    , -7794.9     , array([ 0.0358432  ,  0.198267   ,  2.42113    ,  0.00851018 ])
1746    , -7794.9     , array([ 0.0358432  ,  0.198267   ,  2.42113    ,  0.00851018 ])
1747    , -7787.8     , array([ 0.0358791  ,  0.198267   ,  2.42113    ,  0.00851018 ])
1748    , -7797.49    , array([ 0.0358432  ,  0.198466   ,  2.42113    ,  0.00851018 ])
1749    , -7794.9     , array([ 0.0358432  ,  0.198267   ,  2.42356    ,  0.00851018 ])
1750    , -7799.42    , array([ 0.0358432  ,  0.198267   ,  2.42113    ,  0.00851869 ])
1751    , -7794.79    , array([ 0.0358418  ,  0.19832    ,  2.42113    ,  0.00850815 ])
1752    , -7794.79    , array([ 0.0358418  ,  0.19832    ,  2.42113    ,  0.00850815 ])
1753    , -7787.69    , array([ 0.0358777  ,  0.19832    ,  2.42113    ,  0.00850815 ])
1754    , -7797.37    , array([ 0.0358418  ,  0.198519   ,  2.42113    ,  0.00850815 ])
1755    , -7794.79    , array([ 0.0358418  ,  0.19832    ,  2.42356    ,  0.00850815 ])
1756    , -7799.31    , array([ 0.0358418  ,  0.19832    ,  2.42113    ,  0.00851666 ])
1763    , -7794.76    , array([ 0.0358415  ,  0.198334   ,  2.42113    ,  0.00850764 ])
1764    , -7794.76    , array([ 0.0358415  ,  0.198334   ,  2.42113    ,  0.00850764 ])
1765    , -7787.66    , array([ 0.0358774  ,  0.198334   ,  2.42113    ,  0.00850764 ])
1766    , -7797.34    , array([ 0.0358415  ,  0.198532   ,  2.42113    ,  0.00850764 ])
1767    , -7794.76    , array([ 0.0358415  ,  0.198334   ,  2.42356    ,  0.00850764 ])
1768    , -7799.28    , array([ 0.0358415  ,  0.198334   ,  2.42113    ,  0.00851616 ])
1769    , -7794.73    , array([ 0.0358412  ,  0.198347   ,  2.42113    ,  0.00850714 ])
1770    , -7794.73    , array([ 0.0358412  ,  0.198347   ,  2.42113    ,  0.00850714 ])
1771    , -7787.63    , array([ 0.035877   ,  0.198347   ,  2.42113    ,  0.00850714 ])
1772    , -7797.31    , array([ 0.0358412  ,  0.198545   ,  2.42113    ,  0.00850714 ])
1773    , -7794.73    , array([ 0.0358412  ,  0.198347   ,  2.42356    ,  0.00850714 ])
1774    , -7799.25    , array([ 0.0358412  ,  0.198347   ,  2.42113    ,  0.00851565 ])
1775    , -2470.63    , array([ 0.0179217  ,  25.1389    ,  2.42113    ,  0.000113841])
1776    , -2470.63    , array([ 0.0179217  ,  25.1389    ,  2.42113    ,  0.000113841])
1777    , -2470.48    , array([ 0.0179396  ,  25.1389    ,  2.42113    ,  0.000113841])
1778    , -2470.63    , array([ 0.0179217  ,  25.1641    ,  2.42113    ,  0.000113841])
1779    , -2470.63    , array([ 0.0179217  ,  25.1389    ,  2.42356    ,  0.000113841])
1780    , -2470.77    , array([ 0.0179217  ,  25.1389    ,  2.42113    ,  0.000113954])
1787    , -2470.62    , array([ 0.0179216  ,  25.1398    ,  2.42113    ,  0.000113837])
1788    , -2470.62    , array([ 0.0179216  ,  25.1398    ,  2.42113    ,  0.000113837])
1789    , -2470.48    , array([ 0.0179395  ,  25.1398    ,  2.42113    ,  0.000113837])
1790    , -2470.62    , array([ 0.0179216  ,  25.165     ,  2.42113    ,  0.000113837])
1791    , -2470.62    , array([ 0.0179216  ,  25.1398    ,  2.42356    ,  0.000113837])
1792    , -2470.77    , array([ 0.0179216  ,  25.1398    ,  2.42113    ,  0.000113951])
1793    , -2389.79    , array([ 0.0157692  ,  93.2089    ,  2.42113    ,  4.17475e-05])
