201990  , -81932.8    , array([ 0.792618   ,  61.6039    ,  3.0792e-15 ,  0.281392   ,  0.477382   ])
201991  , -63644.8    , array([ 0.157161   ,  61.7303    ,  3.0792e-15 ,  0.514281   ,  0.0569556  ])
201992  , -63644.8    , array([ 0.157161   ,  61.7303    ,  3.0792e-15 ,  0.514281   ,  0.0569556  ])
201993  , -63611.2    , array([ 0.157318   ,  61.7303    ,  3.0792e-15 ,  0.514281   ,  0.0569556  ])
201994  , -63645.1    , array([ 0.157161   ,  61.7921    ,  3.0792e-15 ,  0.514281   ,  0.0569556  ])
201995  , -63644.8    , array([ 0.157161   ,  61.7303    ,  3.08228e-15,  0.514281   ,  0.0569556  ])
201996  , -63645.6    , array([ 0.157161   ,  61.7303    ,  3.0792e-15 ,  0.514795   ,  0.0569556  ])
201997  , -63670.8    , array([ 0.157161   ,  61.7303    ,  3.0792e-15 ,  0.514281   ,  0.0570126  ])
202005  , -63642.4    , array([ 0.157266   ,  61.5027    ,  3.0792e-15 ,  0.516614   ,  0.0569947  ])
202006  , -63642.4    , array([ 0.157266   ,  61.5027    ,  3.0792e-15 ,  0.516614   ,  0.0569947  ])
202007  , -63608.8    , array([ 0.157423   ,  61.5027    ,  3.0792e-15 ,  0.516614   ,  0.0569947  ])
202008  , -63642.7    , array([ 0.157266   ,  61.5642    ,  3.0792e-15 ,  0.516614   ,  0.0569947  ])
202009  , -63642.4    , array([ 0.157266   ,  61.5027    ,  3.08228e-15,  0.516614   ,  0.0569947  ])
202010  , -63643.1    , array([ 0.157266   ,  61.5027    ,  3.0792e-15 ,  0.51713    ,  0.0569947  ])
202011  , -63668.3    , array([ 0.157266   ,  61.5027    ,  3.0792e-15 ,  0.516614   ,  0.0570517  ])
202012  , -63633.9    , array([ 0.157635   ,  60.7087    ,  3.0792e-15 ,  0.524902   ,  0.0571322  ])
202013  , -63633.9    , array([ 0.157635   ,  60.7087    ,  3.0792e-15 ,  0.524902   ,  0.0571322  ])
202014  , -63600.3    , array([ 0.157793   ,  60.7087    ,  3.0792e-15 ,  0.524902   ,  0.0571322  ])
202015  , -63634.2    , array([ 0.157635   ,  60.7694    ,  3.0792e-15 ,  0.524902   ,  0.0571322  ])
202016  , -63633.9    , array([ 0.157635   ,  60.7087    ,  3.08228e-15,  0.524902   ,  0.0571322  ])
202017  , -63634.7    , array([ 0.157635   ,  60.7087    ,  3.0792e-15 ,  0.525428   ,  0.0571322  ])
202018  , -63659.9    , array([ 0.157635   ,  60.7087    ,  3.0792e-15 ,  0.524902   ,  0.0571894  ])
202026  , -63633.3    , array([ 0.157661   ,  60.6542    ,  3.0792e-15 ,  0.525481   ,  0.0571417  ])
202027  , -63633.3    , array([ 0.157661   ,  60.6542    ,  3.0792e-15 ,  0.525481   ,  0.0571417  ])
202028  , -63599.8    , array([ 0.157819   ,  60.6542    ,  3.0792e-15 ,  0.525481   ,  0.0571417  ])
202029  , -63633.7    , array([ 0.157661   ,  60.7148    ,  3.0792e-15 ,  0.525481   ,  0.0571417  ])
202030  , -63633.3    , array([ 0.157661   ,  60.6542    ,  3.08228e-15,  0.525481   ,  0.0571417  ])
202031  , -63634.1    , array([ 0.157661   ,  60.6542    ,  3.0792e-15 ,  0.526007   ,  0.0571417  ])
202032  , -63659.3    , array([ 0.157661   ,  60.6542    ,  3.0792e-15 ,  0.525481   ,  0.0571989  ])
202033  , -63631.3    , array([ 0.157751   ,  60.4636    ,  3.0792e-15 ,  0.52751    ,  0.0571751  ])
202034  , -63631.3    , array([ 0.157751   ,  60.4636    ,  3.0792e-15 ,  0.52751    ,  0.0571751  ])
202035  , -63597.7    , array([ 0.157908   ,  60.4636    ,  3.0792e-15 ,  0.52751    ,  0.0571751  ])
202036  , -63631.7    , array([ 0.157751   ,  60.5241    ,  3.0792e-15 ,  0.52751    ,  0.0571751  ])
202037  , -63631.3    , array([ 0.157751   ,  60.4636    ,  3.08228e-15,  0.52751    ,  0.0571751  ])
202038  , -63632.1    , array([ 0.157751   ,  60.4636    ,  3.0792e-15 ,  0.528038   ,  0.0571751  ])
202039  , -63657.3    , array([ 0.157751   ,  60.4636    ,  3.0792e-15 ,  0.52751    ,  0.0572323  ])
202047  , -63631.2    , array([ 0.157757   ,  60.4501    ,  3.0792e-15 ,  0.527654   ,  0.0571775  ])
202048  , -63631.2    , array([ 0.157757   ,  60.4501    ,  3.0792e-15 ,  0.527654   ,  0.0571775  ])
202049  , -63597.6    , array([ 0.157915   ,  60.4501    ,  3.0792e-15 ,  0.527654   ,  0.0571775  ])
202050  , -63631.5    , array([ 0.157757   ,  60.5106    ,  3.0792e-15 ,  0.527654   ,  0.0571775  ])
202051  , -63631.2    , array([ 0.157757   ,  60.4501    ,  3.08228e-15,  0.527654   ,  0.0571775  ])
202052  , -63632      , array([ 0.157757   ,  60.4501    ,  3.0792e-15 ,  0.528182   ,  0.0571775  ])
202053  , -63657.1    , array([ 0.157757   ,  60.4501    ,  3.0792e-15 ,  0.527654   ,  0.0572347  ])
202054  , -63630.7    , array([ 0.157779   ,  60.403     ,  3.0792e-15 ,  0.528159   ,  0.0571857  ])
202055  , -63630.7    , array([ 0.157779   ,  60.403     ,  3.0792e-15 ,  0.528159   ,  0.0571857  ])
202056  , -63597.1    , array([ 0.157937   ,  60.403     ,  3.0792e-15 ,  0.528159   ,  0.0571857  ])
202057  , -63631      , array([ 0.157779   ,  60.4634    ,  3.0792e-15 ,  0.528159   ,  0.0571857  ])
202058  , -63630.7    , array([ 0.157779   ,  60.403     ,  3.08228e-15,  0.528159   ,  0.0571857  ])
202059  , -63631.5    , array([ 0.157779   ,  60.403     ,  3.0792e-15 ,  0.528687   ,  0.0571857  ])
202060  , -63656.6    , array([ 0.157779   ,  60.403     ,  3.0792e-15 ,  0.528159   ,  0.057243   ])
202068  , -63630.7    , array([ 0.157781   ,  60.3996    ,  3.0792e-15 ,  0.528195   ,  0.0571863  ])
202069  , -63630.7    , array([ 0.157781   ,  60.3996    ,  3.0792e-15 ,  0.528195   ,  0.0571863  ])
202070  , -63597.1    , array([ 0.157939   ,  60.3996    ,  3.0792e-15 ,  0.528195   ,  0.0571863  ])
202071  , -63631      , array([ 0.157781   ,  60.46      ,  3.0792e-15 ,  0.528195   ,  0.0571863  ])
202072  , -63630.7    , array([ 0.157781   ,  60.3996    ,  3.08228e-15,  0.528195   ,  0.0571863  ])
202073  , -63631.4    , array([ 0.157781   ,  60.3996    ,  3.0792e-15 ,  0.528723   ,  0.0571863  ])
202074  , -63656.6    , array([ 0.157781   ,  60.3996    ,  3.0792e-15 ,  0.528195   ,  0.0572435  ])
202075  , -63630.5    , array([ 0.157786   ,  60.3878    ,  3.0792e-15 ,  0.528321   ,  0.0571884  ])
202076  , -63630.5    , array([ 0.157786   ,  60.3878    ,  3.0792e-15 ,  0.528321   ,  0.0571884  ])
202077  , -63596.9    , array([ 0.157944   ,  60.3878    ,  3.0792e-15 ,  0.528321   ,  0.0571884  ])
202078  , -63630.9    , array([ 0.157786   ,  60.4483    ,  3.0792e-15 ,  0.528321   ,  0.0571884  ])
202079  , -63630.5    , array([ 0.157786   ,  60.3878    ,  3.08228e-15,  0.528321   ,  0.0571884  ])
202080  , -63631.3    , array([ 0.157786   ,  60.3878    ,  3.0792e-15 ,  0.52885    ,  0.0571884  ])
202081  , -63656.5    , array([ 0.157786   ,  60.3878    ,  3.0792e-15 ,  0.528321   ,  0.0572456  ])
202089  , -63630.5    , array([ 0.157787   ,  60.387     ,  3.0792e-15 ,  0.52833    ,  0.0571885  ])
202090  , -63630.5    , array([ 0.157787   ,  60.387     ,  3.0792e-15 ,  0.52833    ,  0.0571885  ])
202091  , -63596.9    , array([ 0.157944   ,  60.387     ,  3.0792e-15 ,  0.52833    ,  0.0571885  ])
202092  , -63630.8    , array([ 0.157787   ,  60.4474    ,  3.0792e-15 ,  0.52833    ,  0.0571885  ])
202093  , -63630.5    , array([ 0.157787   ,  60.387     ,  3.08228e-15,  0.52833    ,  0.0571885  ])
202094  , -63631.3    , array([ 0.157787   ,  60.387     ,  3.0792e-15 ,  0.528859   ,  0.0571885  ])
202095  , -63656.5    , array([ 0.157787   ,  60.387     ,  3.0792e-15 ,  0.52833    ,  0.0572458  ])
202096  , -63630.5    , array([ 0.157788   ,  60.3841    ,  3.0792e-15 ,  0.528361   ,  0.0571891  ])
202097  , -63630.5    , array([ 0.157788   ,  60.3841    ,  3.0792e-15 ,  0.528361   ,  0.0571891  ])
202098  , -63596.9    , array([ 0.157946   ,  60.3841    ,  3.0792e-15 ,  0.528361   ,  0.0571891  ])
202099  , -63630.8    , array([ 0.157788   ,  60.4445    ,  3.0792e-15 ,  0.528361   ,  0.0571891  ])
202100  , -63630.5    , array([ 0.157788   ,  60.3841    ,  3.08228e-15,  0.528361   ,  0.0571891  ])
202101  , -63631.3    , array([ 0.157788   ,  60.3841    ,  3.0792e-15 ,  0.52889    ,  0.0571891  ])
202102  , -63656.4    , array([ 0.157788   ,  60.3841    ,  3.0792e-15 ,  0.528361   ,  0.0572463  ])
202103  , -66334.3    , array([ 0.219087   ,  9.8109     ,  3.0792e-15 ,  4.89432    ,  0.0801143  ])
202104  , -66334.3    , array([ 0.219087   ,  9.8109     ,  3.0792e-15 ,  4.89432    ,  0.0801143  ])
202105  , -66304.2    , array([ 0.219306   ,  9.8109     ,  3.0792e-15 ,  4.89432    ,  0.0801143  ])
202106  , -66336.7    , array([ 0.219087   ,  9.82072    ,  3.0792e-15 ,  4.89432    ,  0.0801143  ])
202107  , -66334.3    , array([ 0.219087   ,  9.8109     ,  3.08228e-15,  4.89432    ,  0.0801143  ])
202108  , -66340.9    , array([ 0.219087   ,  9.8109     ,  3.0792e-15 ,  4.89922    ,  0.0801143  ])
202109  , -66360      , array([ 0.219087   ,  9.8109     ,  3.0792e-15 ,  4.89432    ,  0.0801945  ])
202110  , -63478.9    , array([ 0.168576   ,  41.8693    ,  3.0792e-15 ,  0.827434   ,  0.0612085  ])
202111  , -63478.9    , array([ 0.168576   ,  41.8693    ,  3.0792e-15 ,  0.827434   ,  0.0612085  ])
202112  , -63445.7    , array([ 0.168745   ,  41.8693    ,  3.0792e-15 ,  0.827434   ,  0.0612085  ])
202113  , -63479.4    , array([ 0.168576   ,  41.9112    ,  3.0792e-15 ,  0.827434   ,  0.0612085  ])
202114  , -63478.9    , array([ 0.168576   ,  41.8693    ,  3.08228e-15,  0.827434   ,  0.0612085  ])
202115  , -63480.1    , array([ 0.168576   ,  41.8693    ,  3.0792e-15 ,  0.828262   ,  0.0612085  ])
202116  , -63504.9    , array([ 0.168576   ,  41.8693    ,  3.0792e-15 ,  0.827434   ,  0.0612698  ])
202117  , -63145.4    , array([ 0.1703     ,  42.5594    ,  3.0792e-15 ,  0.81599    ,  0.061236   ])
202118  , -63145.4    , array([ 0.1703     ,  42.5594    ,  3.0792e-15 ,  0.81599    ,  0.061236   ])
202119  , -63112.6    , array([ 0.17047    ,  42.5594    ,  3.0792e-15 ,  0.81599    ,  0.061236   ])
202120  , -63145.9    , array([ 0.1703     ,  42.602     ,  3.0792e-15 ,  0.81599    ,  0.061236   ])
202121  , -63145.4    , array([ 0.1703     ,  42.5594    ,  3.08228e-15,  0.81599    ,  0.061236   ])
202122  , -63146.6    , array([ 0.1703     ,  42.5594    ,  3.0792e-15 ,  0.816806   ,  0.061236   ])
202123  , -63171.1    , array([ 0.1703     ,  42.5594    ,  3.0792e-15 ,  0.81599    ,  0.0612973  ])
202124  , -61848.3    , array([ 0.177371   ,  45.4355    ,  3.0792e-15 ,  0.771775   ,  0.061346   ])
202125  , -61848.3    , array([ 0.177371   ,  45.4355    ,  3.0792e-15 ,  0.771775   ,  0.061346   ])
202126  , -61816.9    , array([ 0.177548   ,  45.4355    ,  3.0792e-15 ,  0.771775   ,  0.061346   ])
202127  , -61848.7    , array([ 0.177371   ,  45.481     ,  3.0792e-15 ,  0.771775   ,  0.061346   ])
202128  , -61848.3    , array([ 0.177371   ,  45.4355    ,  3.08228e-15,  0.771775   ,  0.061346   ])
202129  , -61849.4    , array([ 0.177371   ,  45.4355    ,  3.0792e-15 ,  0.772547   ,  0.061346   ])
202130  , -61872.7    , array([ 0.177371   ,  45.4355    ,  3.0792e-15 ,  0.771775   ,  0.0614074  ])
202131  , -57243.4    , array([ 0.208717   ,  59.0193    ,  3.0792e-15 ,  0.617608   ,  0.0617879  ])
202132  , -57243.4    , array([ 0.208717   ,  59.0193    ,  3.0792e-15 ,  0.617608   ,  0.0617879  ])
202133  , -57217.8    , array([ 0.208926   ,  59.0193    ,  3.0792e-15 ,  0.617608   ,  0.0617879  ])
202134  , -57243.7    , array([ 0.208717   ,  59.0783    ,  3.0792e-15 ,  0.617608   ,  0.0617879  ])
202135  , -57243.4    , array([ 0.208717   ,  59.0193    ,  3.08228e-15,  0.617608   ,  0.0617879  ])
202136  , -57244.3    , array([ 0.208717   ,  59.0193    ,  3.0792e-15 ,  0.618226   ,  0.0617879  ])
202137  , -57263      , array([ 0.208717   ,  59.0193    ,  3.0792e-15 ,  0.617608   ,  0.0618498  ])
202145  , -57243.1    , array([ 0.20872    ,  59.0201    ,  3.0792e-15 ,  0.6176     ,  0.0617881  ])
202146  , -57243.1    , array([ 0.20872    ,  59.0201    ,  3.0792e-15 ,  0.6176     ,  0.0617881  ])
202147  , -57217.5    , array([ 0.208929   ,  59.0201    ,  3.0792e-15 ,  0.6176     ,  0.0617881  ])
202148  , -57243.5    , array([ 0.20872    ,  59.0792    ,  3.0792e-15 ,  0.6176     ,  0.0617881  ])
202149  , -57243.1    , array([ 0.20872    ,  59.0201    ,  3.08228e-15,  0.6176     ,  0.0617881  ])
202150  , -57244.1    , array([ 0.20872    ,  59.0201    ,  3.0792e-15 ,  0.618218   ,  0.0617881  ])
202151  , -57262.7    , array([ 0.20872    ,  59.0201    ,  3.0792e-15 ,  0.6176     ,  0.06185    ])
202152  , -57239.8    , array([ 0.208752   ,  59.0304    ,  3.0792e-15 ,  0.617502   ,  0.0617907  ])
202153  , -57239.8    , array([ 0.208752   ,  59.0304    ,  3.0792e-15 ,  0.617502   ,  0.0617907  ])
202154  , -57214.3    , array([ 0.208961   ,  59.0304    ,  3.0792e-15 ,  0.617502   ,  0.0617907  ])
202155  , -57240.2    , array([ 0.208752   ,  59.0895    ,  3.0792e-15 ,  0.617502   ,  0.0617907  ])
202156  , -57239.8    , array([ 0.208752   ,  59.0304    ,  3.08228e-15,  0.617502   ,  0.0617907  ])
202157  , -57240.8    , array([ 0.208752   ,  59.0304    ,  3.0792e-15 ,  0.618119   ,  0.0617907  ])
202158  , -57259.4    , array([ 0.208752   ,  59.0304    ,  3.0792e-15 ,  0.617502   ,  0.0618525  ])
202159  , -51953.3    , array([ 0.281856   ,  82.7945    ,  3.0792e-15 ,  0.453443   ,  0.0668879  ])
202160  , -51953.3    , array([ 0.281856   ,  82.7945    ,  3.0792e-15 ,  0.453443   ,  0.0668879  ])
202161  , -51936      , array([ 0.282138   ,  82.7945    ,  3.0792e-15 ,  0.453443   ,  0.0668879  ])
202162  , -51953.5    , array([ 0.281856   ,  82.8773    ,  3.0792e-15 ,  0.453443   ,  0.0668879  ])
202163  , -51953.3    , array([ 0.281856   ,  82.7945    ,  3.08228e-15,  0.453443   ,  0.0668879  ])
202164  , -51954      , array([ 0.281856   ,  82.7945    ,  3.0792e-15 ,  0.453896   ,  0.0668879  ])
202165  , -51966.2    , array([ 0.281856   ,  82.7945    ,  3.0792e-15 ,  0.453443   ,  0.0669548  ])
202173  , -51953.1    , array([ 0.281859   ,  82.7956    ,  3.0792e-15 ,  0.453436   ,  0.0668882  ])
202174  , -51953.1    , array([ 0.281859   ,  82.7956    ,  3.0792e-15 ,  0.453436   ,  0.0668882  ])
202175  , -51935.9    , array([ 0.282141   ,  82.7956    ,  3.0792e-15 ,  0.453436   ,  0.0668882  ])
202176  , -51953.4    , array([ 0.281859   ,  82.8784    ,  3.0792e-15 ,  0.453436   ,  0.0668882  ])
202177  , -51953.1    , array([ 0.281859   ,  82.7956    ,  3.08228e-15,  0.453436   ,  0.0668882  ])
202178  , -51953.9    , array([ 0.281859   ,  82.7956    ,  3.0792e-15 ,  0.45389    ,  0.0668882  ])
202179  , -51966      , array([ 0.281859   ,  82.7956    ,  3.0792e-15 ,  0.453436   ,  0.0669551  ])
202180  , -51951.7    , array([ 0.281889   ,  82.8055    ,  3.0792e-15 ,  0.453377   ,  0.0668908  ])
202181  , -51951.7    , array([ 0.281889   ,  82.8055    ,  3.0792e-15 ,  0.453377   ,  0.0668908  ])
202182  , -51934.5    , array([ 0.282171   ,  82.8055    ,  3.0792e-15 ,  0.453377   ,  0.0668908  ])
202183  , -51952      , array([ 0.281889   ,  82.8883    ,  3.0792e-15 ,  0.453377   ,  0.0668908  ])
202184  , -51951.7    , array([ 0.281889   ,  82.8055    ,  3.08228e-15,  0.453377   ,  0.0668908  ])
202185  , -51952.5    , array([ 0.281889   ,  82.8055    ,  3.0792e-15 ,  0.453831   ,  0.0668908  ])
202186  , -51964.7    , array([ 0.281889   ,  82.8055    ,  3.0792e-15 ,  0.453377   ,  0.0669577  ])
202194  , -51951.7    , array([ 0.281889   ,  82.8057    ,  3.0792e-15 ,  0.453376   ,  0.0668908  ])
202195  , -51951.7    , array([ 0.281889   ,  82.8057    ,  3.0792e-15 ,  0.453376   ,  0.0668908  ])
202196  , -51934.5    , array([ 0.282171   ,  82.8057    ,  3.0792e-15 ,  0.453376   ,  0.0668908  ])
202197  , -51952      , array([ 0.281889   ,  82.8886    ,  3.0792e-15 ,  0.453376   ,  0.0668908  ])
202198  , -51951.7    , array([ 0.281889   ,  82.8057    ,  3.08228e-15,  0.453376   ,  0.0668908  ])
202199  , -51952.5    , array([ 0.281889   ,  82.8057    ,  3.0792e-15 ,  0.453829   ,  0.0668908  ])
202200  , -51964.6    , array([ 0.281889   ,  82.8057    ,  3.0792e-15 ,  0.453376   ,  0.0669578  ])
202201  , -51951.4    , array([ 0.281897   ,  82.8082    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202202  , -51951.4    , array([ 0.281897   ,  82.8082    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202203  , -51934.2    , array([ 0.282179   ,  82.8082    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202204  , -51951.7    , array([ 0.281897   ,  82.8911    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202205  , -51951.4    , array([ 0.281897   ,  82.8082    ,  3.08228e-15,  0.453361   ,  0.0668915  ])
202206  , -51952.2    , array([ 0.281897   ,  82.8082    ,  3.0792e-15 ,  0.453815   ,  0.0668915  ])
202207  , -51964.3    , array([ 0.281897   ,  82.8082    ,  3.0792e-15 ,  0.453361   ,  0.0669584  ])
202215  , -51951.4    , array([ 0.281897   ,  82.8083    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202216  , -51951.4    , array([ 0.281897   ,  82.8083    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202217  , -51934.2    , array([ 0.282179   ,  82.8083    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202218  , -51951.7    , array([ 0.281897   ,  82.8911    ,  3.0792e-15 ,  0.453361   ,  0.0668915  ])
202219  , -51951.4    , array([ 0.281897   ,  82.8083    ,  3.08228e-15,  0.453361   ,  0.0668915  ])
202220  , -51952.1    , array([ 0.281897   ,  82.8083    ,  3.0792e-15 ,  0.453814   ,  0.0668915  ])
202221  , -51964.3    , array([ 0.281897   ,  82.8083    ,  3.0792e-15 ,  0.453361   ,  0.0669584  ])
202222  , -51951.3    , array([ 0.281899   ,  82.8089    ,  3.0792e-15 ,  0.453357   ,  0.0668917  ])
202223  , -51951.3    , array([ 0.281899   ,  82.8089    ,  3.0792e-15 ,  0.453357   ,  0.0668917  ])
202224  , -51934.1    , array([ 0.282181   ,  82.8089    ,  3.0792e-15 ,  0.453357   ,  0.0668917  ])
202225  , -51951.6    , array([ 0.281899   ,  82.8917    ,  3.0792e-15 ,  0.453357   ,  0.0668917  ])
202226  , -51951.3    , array([ 0.281899   ,  82.8089    ,  3.08228e-15,  0.453357   ,  0.0668917  ])
202227  , -51952.1    , array([ 0.281899   ,  82.8089    ,  3.0792e-15 ,  0.453811   ,  0.0668917  ])
202228  , -51964.2    , array([ 0.281899   ,  82.8089    ,  3.0792e-15 ,  0.453357   ,  0.0669586  ])
202229  , -50859.8    , array([ 0.308073   ,  91.718     ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202230  , -50859.8    , array([ 0.308073   ,  91.718     ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202231  , -50844.7    , array([ 0.308381   ,  91.718     ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202232  , -50860.1    , array([ 0.308073   ,  91.8098    ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202233  , -50859.8    , array([ 0.308073   ,  91.718     ,  3.08228e-15,  0.405728   ,  0.0691288  ])
202234  , -50860.6    , array([ 0.308073   ,  91.718     ,  3.0792e-15 ,  0.406134   ,  0.0691288  ])
202235  , -50871.1    , array([ 0.308073   ,  91.718     ,  3.0792e-15 ,  0.405728   ,  0.069198   ])
202243  , -50859.8    , array([ 0.308073   ,  91.7181    ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202244  , -50859.8    , array([ 0.308073   ,  91.7181    ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202245  , -50844.7    , array([ 0.308381   ,  91.7181    ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202246  , -50860.1    , array([ 0.308073   ,  91.8099    ,  3.0792e-15 ,  0.405728   ,  0.0691288  ])
202247  , -50859.8    , array([ 0.308073   ,  91.7181    ,  3.08228e-15,  0.405728   ,  0.0691288  ])
202248  , -50860.6    , array([ 0.308073   ,  91.7181    ,  3.0792e-15 ,  0.406133   ,  0.0691288  ])
202249  , -50871.1    , array([ 0.308073   ,  91.7181    ,  3.0792e-15 ,  0.405728   ,  0.069198   ])
202250  , -50859.8    , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202251  , -50859.8    , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202252  , -50844.7    , array([ 0.308383   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202253  , -50860      , array([ 0.308075   ,  91.8106    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202254  , -50859.8    , array([ 0.308075   ,  91.7188    ,  3.08228e-15,  0.405724   ,  0.069129   ])
202255  , -50860.5    , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.40613    ,  0.069129   ])
202256  , -50871      , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.0691982  ])
202264  , -50859.8    , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202265  , -50859.8    , array([ 0.308075   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
202266  , -50844.7    , array([ 0.308383   ,  91.7188    ,  3.0792e-15 ,  0.405724   ,  0.069129   ])
