23245   , -1817.48    , array([ 0.120348   ,  0.00714305 ,  1.94595e-12,  0.000422258])
23246   , -1817.48    , array([ 0.120468   ,  0.00714305 ,  1.94595e-12,  0.000422258])
23247   , -1817.62    , array([ 0.120348   ,  0.0071502  ,  1.94595e-12,  0.000422258])
23248   , -1817.48    , array([ 0.120348   ,  0.00714305 ,  1.9479e-12 ,  0.000422258])
23249   , -1817.33    , array([ 0.120348   ,  0.00714305 ,  1.94595e-12,  0.00042268 ])
23250   , -1817.48    , array([ 0.120348   ,  0.00714305 ,  1.94595e-12,  0.000422258])
23251   , -2506.88    , array([ 0.120348   ,  0.00351512 ,  1.94595e-12,  0.000866852])
23252   , -2506.88    , array([ 0.120348   ,  0.00351512 ,  1.94595e-12,  0.000866852])
23253   , -2506.88    , array([ 0.120468   ,  0.00351512 ,  1.94595e-12,  0.000866852])
23254   , -2505.25    , array([ 0.120348   ,  0.00351863 ,  1.94595e-12,  0.000866852])
23255   , -2506.88    , array([ 0.120348   ,  0.00351512 ,  1.9479e-12 ,  0.000866852])
23256   , -2508.47    , array([ 0.120348   ,  0.00351512 ,  1.94595e-12,  0.000867719])
23257   , -1793.89    , array([ 0.120348   ,  0.00630523 ,  1.94595e-12,  0.000479224])
23258   , -1793.89    , array([ 0.120348   ,  0.00630523 ,  1.94595e-12,  0.000479224])
23259   , -1793.89    , array([ 0.120468   ,  0.00630523 ,  1.94595e-12,  0.000479224])
23260   , -1793.93    , array([ 0.120348   ,  0.00631154 ,  1.94595e-12,  0.000479224])
23261   , -1793.89    , array([ 0.120348   ,  0.00630523 ,  1.9479e-12 ,  0.000479224])
23262   , -1793.86    , array([ 0.120348   ,  0.00630523 ,  1.94595e-12,  0.000479703])
23263   , -1721.38    , array([ 0.120348   ,  0.0826159  ,  1.94595e-12,  0.00717652 ])
23264   , -1721.38    , array([ 0.120348   ,  0.0826159  ,  1.94595e-12,  0.00717652 ])
23265   , -1721.38    , array([ 0.120468   ,  0.0826159  ,  1.94595e-12,  0.00717652 ])
23266   , -1721.47    , array([ 0.120348   ,  0.0826985  ,  1.94595e-12,  0.00717652 ])
23267   , -1721.38    , array([ 0.120348   ,  0.0826159  ,  1.9479e-12 ,  0.00717652 ])
23268   , -1721.22    , array([ 0.120348   ,  0.0826159  ,  1.94595e-12,  0.0071837  ])
23275   , -1721.38    , array([ 0.120348   ,  0.0826169  ,  1.94595e-12,  0.00717661 ])
23276   , -1721.38    , array([ 0.120348   ,  0.0826169  ,  1.94595e-12,  0.00717661 ])
23277   , -1721.38    , array([ 0.120468   ,  0.0826169  ,  1.94595e-12,  0.00717661 ])
23278   , -1721.47    , array([ 0.120348   ,  0.0826995  ,  1.94595e-12,  0.00717661 ])
23279   , -1721.38    , array([ 0.120348   ,  0.0826169  ,  1.9479e-12 ,  0.00717661 ])
23280   , -1721.22    , array([ 0.120348   ,  0.0826169  ,  1.94595e-12,  0.00718379 ])
23281   , -1721.38    , array([ 0.120348   ,  0.0826179  ,  1.94595e-12,  0.00717671 ])
23282   , -1721.38    , array([ 0.120348   ,  0.0826179  ,  1.94595e-12,  0.00717671 ])
23283   , -1721.38    , array([ 0.120468   ,  0.0826179  ,  1.94595e-12,  0.00717671 ])
23284   , -1721.47    , array([ 0.120348   ,  0.0827005  ,  1.94595e-12,  0.00717671 ])
23285   , -1721.38    , array([ 0.120348   ,  0.0826179  ,  1.9479e-12 ,  0.00717671 ])
23286   , -1721.22    , array([ 0.120348   ,  0.0826179  ,  1.94595e-12,  0.00718389 ])
23287   , -25239.7    , array([ 0.120348   ,  14.1838    ,  1.94595e-12,  1.60943    ])
23288   , -25239.7    , array([ 0.120348   ,  14.1838    ,  1.94595e-12,  1.60943    ])
23289   , -25239.7    , array([ 0.120468   ,  14.1838    ,  1.94595e-12,  1.60943    ])
23290   , -25249.9    , array([ 0.120348   ,  14.198     ,  1.94595e-12,  1.60943    ])
23291   , -25239.7    , array([ 0.120348   ,  14.1838    ,  1.9479e-12 ,  1.60943    ])
23292   , -25245      , array([ 0.120348   ,  14.1838    ,  1.94595e-12,  1.61104    ])
23293   , -1675.8     , array([ 0.120348   ,  0.14552    ,  1.94595e-12,  0.0130179  ])
23294   , -1675.8     , array([ 0.120348   ,  0.14552    ,  1.94595e-12,  0.0130179  ])
23295   , -1675.8     , array([ 0.120468   ,  0.14552    ,  1.94595e-12,  0.0130179  ])
23296   , -1676       , array([ 0.120348   ,  0.145666   ,  1.94595e-12,  0.0130179  ])
23297   , -1675.8     , array([ 0.120348   ,  0.14552    ,  1.9479e-12 ,  0.0130179  ])
23298   , -1675.53    , array([ 0.120348   ,  0.14552    ,  1.94595e-12,  0.0130309  ])
23299   , -1644.96    , array([ 0.120348   ,  0.214143   ,  1.94595e-12,  0.0195448  ])
23300   , -1644.96    , array([ 0.120348   ,  0.214143   ,  1.94595e-12,  0.0195448  ])
23301   , -1644.96    , array([ 0.120468   ,  0.214143   ,  1.94595e-12,  0.0195448  ])
23302   , -1645.28    , array([ 0.120348   ,  0.214358   ,  1.94595e-12,  0.0195448  ])
23303   , -1644.96    , array([ 0.120348   ,  0.214143   ,  1.9479e-12 ,  0.0195448  ])
23304   , -1644.59    , array([ 0.120348   ,  0.214143   ,  1.94595e-12,  0.0195644  ])
23305   , -3832.81    , array([ 0.120348   ,  1.74281    ,  1.94595e-12,  0.177358   ])
23306   , -3832.81    , array([ 0.120348   ,  1.74281    ,  1.94595e-12,  0.177358   ])
23307   , -3832.81    , array([ 0.120468   ,  1.74281    ,  1.94595e-12,  0.177358   ])
23308   , -3835.54    , array([ 0.120348   ,  1.74455    ,  1.94595e-12,  0.177358   ])
23309   , -3832.81    , array([ 0.120348   ,  1.74281    ,  1.9479e-12 ,  0.177358   ])
23310   , -3833.91    , array([ 0.120348   ,  1.74281    ,  1.94595e-12,  0.177536   ])
23311   , -1633.59    , array([ 0.120348   ,  0.298107   ,  1.94595e-12,  0.0276795  ])
23312   , -1633.59    , array([ 0.120348   ,  0.298107   ,  1.94595e-12,  0.0276795  ])
23313   , -1633.59    , array([ 0.120468   ,  0.298107   ,  1.94595e-12,  0.0276795  ])
23314   , -1634.07    , array([ 0.120348   ,  0.298405   ,  1.94595e-12,  0.0276795  ])
23315   , -1633.59    , array([ 0.120348   ,  0.298107   ,  1.9479e-12 ,  0.0276795  ])
23316   , -1633.14    , array([ 0.120348   ,  0.298107   ,  1.94595e-12,  0.0277072  ])
23317   , -1633.51    , array([ 0.120348   ,  0.28644    ,  1.94595e-12,  0.0265411  ])
23318   , -1633.51    , array([ 0.120348   ,  0.28644    ,  1.94595e-12,  0.0265411  ])
23319   , -1633.51    , array([ 0.120468   ,  0.28644    ,  1.94595e-12,  0.0265411  ])
23320   , -1633.96    , array([ 0.120348   ,  0.286727   ,  1.94595e-12,  0.0265411  ])
23321   , -1633.51    , array([ 0.120348   ,  0.28644    ,  1.9479e-12 ,  0.0265411  ])
23322   , -1633.07    , array([ 0.120348   ,  0.28644    ,  1.94595e-12,  0.0265677  ])
23329   , -1633.5     , array([ 0.120348   ,  0.286448   ,  1.94595e-12,  0.0265419  ])
23330   , -1633.5     , array([ 0.120348   ,  0.286448   ,  1.94595e-12,  0.0265419  ])
23331   , -1633.5     , array([ 0.120468   ,  0.286448   ,  1.94595e-12,  0.0265419  ])
23332   , -1633.96    , array([ 0.120348   ,  0.286734   ,  1.94595e-12,  0.0265419  ])
23333   , -1633.5     , array([ 0.120348   ,  0.286448   ,  1.9479e-12 ,  0.0265419  ])
23334   , -1633.07    , array([ 0.120348   ,  0.286448   ,  1.94595e-12,  0.0265684  ])
23335   , -1633.5     , array([ 0.120348   ,  0.286462   ,  1.94595e-12,  0.0265433  ])
23336   , -1633.5     , array([ 0.120348   ,  0.286462   ,  1.94595e-12,  0.0265433  ])
23337   , -1633.5     , array([ 0.120468   ,  0.286462   ,  1.94595e-12,  0.0265433  ])
23338   , -1633.96    , array([ 0.120348   ,  0.286749   ,  1.94595e-12,  0.0265433  ])
23339   , -1633.5     , array([ 0.120348   ,  0.286462   ,  1.9479e-12 ,  0.0265433  ])
23340   , -1633.07    , array([ 0.120348   ,  0.286462   ,  1.94595e-12,  0.0265699  ])
23347   , -1633.5     , array([ 0.120348   ,  0.286464   ,  1.94595e-12,  0.0265435  ])
23348   , -1633.5     , array([ 0.120348   ,  0.286464   ,  1.94595e-12,  0.0265435  ])
23349   , -1633.5     , array([ 0.120468   ,  0.286464   ,  1.94595e-12,  0.0265435  ])
23350   , -1633.96    , array([ 0.120348   ,  0.286751   ,  1.94595e-12,  0.0265435  ])
23351   , -1633.5     , array([ 0.120348   ,  0.286464   ,  1.9479e-12 ,  0.0265435  ])
23352   , -1633.07    , array([ 0.120348   ,  0.286464   ,  1.94595e-12,  0.0265701  ])
23353   , -1633.5     , array([ 0.120348   ,  0.286468   ,  1.94595e-12,  0.0265439  ])
23354   , -1633.5     , array([ 0.120348   ,  0.286468   ,  1.94595e-12,  0.0265439  ])
23355   , -1633.5     , array([ 0.120468   ,  0.286468   ,  1.94595e-12,  0.0265439  ])
23356   , -1633.96    , array([ 0.120348   ,  0.286755   ,  1.94595e-12,  0.0265439  ])
23357   , -1633.5     , array([ 0.120348   ,  0.286468   ,  1.9479e-12 ,  0.0265439  ])
23358   , -1633.07    , array([ 0.120348   ,  0.286468   ,  1.94595e-12,  0.0265704  ])
23365   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.0265439  ])
23366   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.0265439  ])
23367   , -1633.5     , array([ 0.120468   ,  0.286469   ,  1.94595e-12,  0.0265439  ])
23368   , -1633.96    , array([ 0.120348   ,  0.286755   ,  1.94595e-12,  0.0265439  ])
23369   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.9479e-12 ,  0.0265439  ])
23370   , -1633.07    , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.0265705  ])
23371   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.026544   ])
23372   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.026544   ])
23373   , -1633.5     , array([ 0.120468   ,  0.286469   ,  1.94595e-12,  0.026544   ])
23374   , -1633.96    , array([ 0.120348   ,  0.286756   ,  1.94595e-12,  0.026544   ])
23375   , -1633.5     , array([ 0.120348   ,  0.286469   ,  1.9479e-12 ,  0.026544   ])
23376   , -1633.07    , array([ 0.120348   ,  0.286469   ,  1.94595e-12,  0.0265706  ])
23383   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.026544   ])
23384   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.026544   ])
23385   , -1633.5     , array([ 0.120468   ,  0.28647    ,  1.94595e-12,  0.026544   ])
23386   , -1633.96    , array([ 0.120348   ,  0.286756   ,  1.94595e-12,  0.026544   ])
23387   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.9479e-12 ,  0.026544   ])
23388   , -1633.07    , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.0265706  ])
23389   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.0265441  ])
23390   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.0265441  ])
23391   , -1633.5     , array([ 0.120468   ,  0.28647    ,  1.94595e-12,  0.0265441  ])
23392   , -1633.96    , array([ 0.120348   ,  0.286756   ,  1.94595e-12,  0.0265441  ])
23393   , -1633.5     , array([ 0.120348   ,  0.28647    ,  1.9479e-12 ,  0.0265441  ])
23394   , -1633.07    , array([ 0.120348   ,  0.28647    ,  1.94595e-12,  0.0265706  ])
23395   , -13913.7    , array([ 0.120348   ,  6.29997    ,  1.94595e-12,  0.696924   ])
23396   , -13913.7    , array([ 0.120348   ,  6.29997    ,  1.94595e-12,  0.696924   ])
23397   , -13913.7    , array([ 0.120468   ,  6.29997    ,  1.94595e-12,  0.696924   ])
23398   , -13920.5    , array([ 0.120348   ,  6.30627    ,  1.94595e-12,  0.696924   ])
23399   , -13913.7    , array([ 0.120348   ,  6.29997    ,  1.9479e-12 ,  0.696924   ])
23400   , -13918.6    , array([ 0.120348   ,  6.29997    ,  1.94595e-12,  0.697622   ])
23401   , -1633.52    , array([ 0.120348   ,  0.299346   ,  1.94595e-12,  0.0278071  ])
23402   , -1633.52    , array([ 0.120348   ,  0.299346   ,  1.94595e-12,  0.0278071  ])
23403   , -1633.52    , array([ 0.120468   ,  0.299346   ,  1.94595e-12,  0.0278071  ])
23404   , -1634       , array([ 0.120348   ,  0.299645   ,  1.94595e-12,  0.0278071  ])
23405   , -1633.52    , array([ 0.120348   ,  0.299346   ,  1.9479e-12 ,  0.0278071  ])
23406   , -1633.07    , array([ 0.120348   ,  0.299346   ,  1.94595e-12,  0.0278349  ])
23407   , -1633.43    , array([ 0.120348   ,  0.292572   ,  1.94595e-12,  0.0271422  ])
23408   , -1633.43    , array([ 0.120348   ,  0.292572   ,  1.94595e-12,  0.0271422  ])
23409   , -1633.43    , array([ 0.120468   ,  0.292572   ,  1.94595e-12,  0.0271422  ])
23410   , -1633.9     , array([ 0.120348   ,  0.292864   ,  1.94595e-12,  0.0271422  ])
23411   , -1633.43    , array([ 0.120348   ,  0.292572   ,  1.9479e-12 ,  0.0271422  ])
23412   , -1632.99    , array([ 0.120348   ,  0.292572   ,  1.94595e-12,  0.0271694  ])
23413   , -1633.29    , array([ 0.120348   ,  0.292631   ,  1.94595e-12,  0.027157   ])
23414   , -1633.29    , array([ 0.120348   ,  0.292631   ,  1.94595e-12,  0.027157   ])
23415   , -1633.29    , array([ 0.120468   ,  0.292631   ,  1.94595e-12,  0.027157   ])
23416   , -1633.76    , array([ 0.120348   ,  0.292924   ,  1.94595e-12,  0.027157   ])
23417   , -1633.29    , array([ 0.120348   ,  0.292631   ,  1.9479e-12 ,  0.027157   ])
23418   , -1632.85    , array([ 0.120348   ,  0.292631   ,  1.94595e-12,  0.0271842  ])
23419   , -1632.7     , array([ 0.120348   ,  0.292868   ,  1.94595e-12,  0.0272161  ])
23420   , -1632.7     , array([ 0.120348   ,  0.292868   ,  1.94595e-12,  0.0272161  ])
23421   , -1632.7     , array([ 0.120468   ,  0.292868   ,  1.94595e-12,  0.0272161  ])
23422   , -1633.17    , array([ 0.120348   ,  0.293161   ,  1.94595e-12,  0.0272161  ])
23423   , -1632.7     , array([ 0.120348   ,  0.292868   ,  1.9479e-12 ,  0.0272161  ])
23424   , -1632.26    , array([ 0.120348   ,  0.292868   ,  1.94595e-12,  0.0272434  ])
23425   , -1630.37    , array([ 0.120348   ,  0.29382    ,  1.94595e-12,  0.027454   ])
23426   , -1630.37    , array([ 0.120348   ,  0.29382    ,  1.94595e-12,  0.027454   ])
23427   , -1630.37    , array([ 0.120468   ,  0.29382    ,  1.94595e-12,  0.027454   ])
23428   , -1630.84    , array([ 0.120348   ,  0.294114   ,  1.94595e-12,  0.027454   ])
23429   , -1630.37    , array([ 0.120348   ,  0.29382    ,  1.9479e-12 ,  0.027454   ])
23430   , -1629.92    , array([ 0.120348   ,  0.29382    ,  1.94595e-12,  0.0274815  ])
23431   , -1620.94    , array([ 0.120348   ,  0.297657   ,  1.94595e-12,  0.0284264  ])
23432   , -1620.94    , array([ 0.120348   ,  0.297657   ,  1.94595e-12,  0.0284264  ])
23433   , -1620.94    , array([ 0.120468   ,  0.297657   ,  1.94595e-12,  0.0284264  ])
23434   , -1621.42    , array([ 0.120348   ,  0.297955   ,  1.94595e-12,  0.0284264  ])
23435   , -1620.94    , array([ 0.120348   ,  0.297657   ,  1.9479e-12 ,  0.0284264  ])
23436   , -1620.49    , array([ 0.120348   ,  0.297657   ,  1.94595e-12,  0.0284549  ])
23437   , -1581.91    , array([ 0.120348   ,  0.313513   ,  1.94595e-12,  0.032673   ])
23438   , -1581.91    , array([ 0.120348   ,  0.313513   ,  1.94595e-12,  0.032673   ])
23439   , -1581.91    , array([ 0.120468   ,  0.313513   ,  1.94595e-12,  0.032673   ])
23440   , -1582.42    , array([ 0.120348   ,  0.313827   ,  1.94595e-12,  0.032673   ])
23441   , -1581.91    , array([ 0.120348   ,  0.313513   ,  1.9479e-12 ,  0.032673   ])
23442   , -1581.44    , array([ 0.120348   ,  0.313513   ,  1.94595e-12,  0.0327057  ])
23443   , -1408.22    , array([ 0.120348   ,  0.385845   ,  1.94595e-12,  0.0570237  ])
23444   , -1408.22    , array([ 0.120348   ,  0.385845   ,  1.94595e-12,  0.0570237  ])
23445   , -1408.22    , array([ 0.120468   ,  0.385845   ,  1.94595e-12,  0.0570237  ])
23446   , -1408.93    , array([ 0.120348   ,  0.386231   ,  1.94595e-12,  0.0570237  ])
23447   , -1408.22    , array([ 0.120348   ,  0.385845   ,  1.9479e-12 ,  0.0570237  ])
23448   , -1407.63    , array([ 0.120348   ,  0.385845   ,  1.94595e-12,  0.0570808  ])
23449   , -1918.88    , array([ 0.120348   ,  0.885204   ,  1.94595e-12,  0.52908    ])
23450   , -1918.88    , array([ 0.120348   ,  0.885204   ,  1.94595e-12,  0.52908    ])
23451   , -1918.88    , array([ 0.120468   ,  0.885204   ,  1.94595e-12,  0.52908    ])
23452   , -1922.05    , array([ 0.120348   ,  0.88609    ,  1.94595e-12,  0.52908    ])
