1       , -1538.95    , array([ 0.028128   ,  0.312074   ,  0.00339215 ,  0.00682257 ])
2       , -1538.97    , array([ 0.0281561  ,  0.312074   ,  0.00339215 ,  0.00682257 ])
3       , -1538.87    , array([ 0.028128   ,  0.312387   ,  0.00339215 ,  0.00682257 ])
4       , -1538.9     , array([ 0.028128   ,  0.312074   ,  0.00339554 ,  0.00682257 ])
5       , -1538.75    , array([ 0.028128   ,  0.312074   ,  0.00339215 ,  0.00682939 ])
6       , -1538.95    , array([ 0.028128   ,  0.312074   ,  0.00339215 ,  0.00682257 ])
7       , -1164.68    , array([ 0.0257646  ,  0.447653   ,  0.00425078 ,  0.0169795  ])
8       , -1164.68    , array([ 0.0257646  ,  0.447653   ,  0.00425078 ,  0.0169795  ])
9       , -1164.93    , array([ 0.0257904  ,  0.447653   ,  0.00425078 ,  0.0169795  ])
10      , -1164.49    , array([ 0.0257646  ,  0.448101   ,  0.00425078 ,  0.0169795  ])
11      , -1164.41    , array([ 0.0257646  ,  0.447653   ,  0.00425504 ,  0.0169795  ])
12      , -1164.26    , array([ 0.0257646  ,  0.447653   ,  0.00425078 ,  0.0169965  ])
13      , -7520.53    , array([ 0.018137   ,  1.8953     ,  0.010482   ,  0.651375   ])
14      , -7520.53    , array([ 0.018137   ,  1.8953     ,  0.010482   ,  0.651375   ])
15      , -7516.81    , array([ 0.0181551  ,  1.8953     ,  0.010482   ,  0.651375   ])
16      , -7527.09    , array([ 0.018137   ,  1.89719    ,  0.010482   ,  0.651375   ])
17      , -7524.2     , array([ 0.018137   ,  1.8953     ,  0.0104925  ,  0.651375   ])
18      , -7522.2     , array([ 0.018137   ,  1.8953     ,  0.010482   ,  0.652026   ])
19      , -742.483    , array([ 0.024253   ,  0.573968   ,  0.00496571 ,  0.0318221  ])
20      , -742.483    , array([ 0.024253   ,  0.573968   ,  0.00496571 ,  0.0318221  ])
21      , -743.023    , array([ 0.0242772  ,  0.573968   ,  0.00496571 ,  0.0318221  ])
22      , -742.261    , array([ 0.024253   ,  0.574543   ,  0.00496571 ,  0.0318221  ])
