15011   , -3056.51    , array([ 0.0024794  ,  0.0977463  ,  1.36147    ,  0.262978   ])
15018   , -3058.74    , array([ 0.0024794  ,  0.0977462  ,  1.36147    ,  0.262715   ])
15019   , -3058.74    , array([ 0.0024794  ,  0.0977462  ,  1.36147    ,  0.262715   ])
15020   , -3058.72    , array([ 0.00248188 ,  0.0977462  ,  1.36147    ,  0.262715   ])
15021   , -3061.01    , array([ 0.0024794  ,  0.097844   ,  1.36147    ,  0.262715   ])
15022   , -3058.74    , array([ 0.0024794  ,  0.0977462  ,  1.36283    ,  0.262715   ])
15023   , -3056.5     , array([ 0.0024794  ,  0.0977462  ,  1.36147    ,  0.262978   ])
15024   , -3058.72    , array([ 0.00247932 ,  0.0977458  ,  1.36147    ,  0.262717   ])
15025   , -3058.72    , array([ 0.00247932 ,  0.0977458  ,  1.36147    ,  0.262717   ])
15026   , -3058.7     , array([ 0.00248181 ,  0.0977458  ,  1.36147    ,  0.262717   ])
15027   , -3060.98    , array([ 0.00247932 ,  0.0978436  ,  1.36147    ,  0.262717   ])
15028   , -3058.72    , array([ 0.00247932 ,  0.0977458  ,  1.36283    ,  0.262717   ])
15029   , -3056.48    , array([ 0.00247932 ,  0.0977458  ,  1.36147    ,  0.26298    ])
15030   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15031   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15032   , -2742.5     , array([ 0.0015243  ,  0.0913507  ,  1.36147    ,  0.293321   ])
15033   , -2743.94    , array([ 0.00152278 ,  0.0914421  ,  1.36147    ,  0.293321   ])
15034   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36283    ,  0.293321   ])
15035   , -2741.09    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293615   ])
15042   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15043   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15044   , -2742.5     , array([ 0.0015243  ,  0.0913507  ,  1.36147    ,  0.293321   ])
15045   , -2743.94    , array([ 0.00152278 ,  0.0914421  ,  1.36147    ,  0.293321   ])
15046   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36283    ,  0.293321   ])
15047   , -2741.09    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293615   ])
15054   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15055   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15056   , -2742.5     , array([ 0.0015243  ,  0.0913507  ,  1.36147    ,  0.293321   ])
15057   , -2743.94    , array([ 0.00152278 ,  0.0914421  ,  1.36147    ,  0.293321   ])
15058   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36283    ,  0.293321   ])
15059   , -2741.09    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293615   ])
15066   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15067   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293321   ])
15068   , -2742.5     , array([ 0.0015243  ,  0.0913507  ,  1.36147    ,  0.293321   ])
15069   , -2743.94    , array([ 0.00152278 ,  0.0914421  ,  1.36147    ,  0.293321   ])
15070   , -2742.51    , array([ 0.00152278 ,  0.0913507  ,  1.36283    ,  0.293321   ])
15071   , -2741.09    , array([ 0.00152278 ,  0.0913507  ,  1.36147    ,  0.293615   ])
15072   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15073   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15074   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15075   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15076   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15077   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15084   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15085   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15086   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15087   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15088   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15089   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15096   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15097   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15098   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15099   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15100   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15101   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15108   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15109   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15110   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15111   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15112   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15113   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15120   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15121   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15122   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15123   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15124   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15125   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15132   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15133   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15134   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15135   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15136   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15137   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15144   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15145   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15146   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15147   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15148   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15149   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15156   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15157   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281103   ])
