106080  , -79089.4    , array([ 0.0283905  ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106081  , -79089.4    , array([ 0.0283905  ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106082  , -79089.4    , array([ 1.02839    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106083  , -79089.4    , array([ 2.64642    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106084  , -79089.4    , array([ 1.02839    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106085  , -79089.4    , array([ 1.64642    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106086  , -79089.4    , array([ 2.02839    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106087  , -79089.4    , array([ 2.26446    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106088  , -79089.4    , array([ 2.41036    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106089  , -79089.4    , array([ 2.50053    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106090  , -79089.4    , array([ 2.55625    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106091  , -79089.4    , array([ 2.5907     ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106092  , -79089.4    , array([ 2.61632    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106093  , -79089.4    , array([ 2.61632    ,  0.0767971  ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106094  , -79089.4    , array([ 2.61632    ,  1.0768     ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106095  , -79089.4    , array([ 2.61632    ,  2.69483    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106096  , -79089.4    , array([ 2.61632    ,  1.0768     ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106097  , -79089.4    , array([ 2.61632    ,  1.69483    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106098  , -79089.4    , array([ 2.61632    ,  2.0768     ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106099  , -79089.4    , array([ 2.61632    ,  2.31287    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106100  , -79089.4    , array([ 2.61632    ,  2.45876    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106101  , -79089.4    , array([ 2.61632    ,  2.54893    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106102  , -79089.4    , array([ 2.61632    ,  2.60466    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106103  , -79089.4    , array([ 2.61632    ,  2.6391     ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106104  , -79089.4    , array([ 2.61632    ,  2.66473    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106105  , -79089.4    , array([ 2.61632    ,  2.66473    ,  1.55284e-05,  1.1409e-24 ,  1.01723e-61])
106106  , -79089.4    , array([ 2.61632    ,  2.66473    ,  1.00002    ,  1.1409e-24 ,  1.01723e-61])
106107  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.61805    ,  1.1409e-24 ,  1.01723e-61])
106108  , -79089.4    , array([ 2.61632    ,  2.66473    ,  1.00002    ,  1.1409e-24 ,  1.01723e-61])
106109  , -79089.4    , array([ 2.61632    ,  2.66473    ,  1.61805    ,  1.1409e-24 ,  1.01723e-61])
106110  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.00002    ,  1.1409e-24 ,  1.01723e-61])
106111  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.23608    ,  1.1409e-24 ,  1.01723e-61])
106112  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.38198    ,  1.1409e-24 ,  1.01723e-61])
106113  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.47215    ,  1.1409e-24 ,  1.01723e-61])
106114  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.52788    ,  1.1409e-24 ,  1.01723e-61])
106115  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.56232    ,  1.1409e-24 ,  1.01723e-61])
106116  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  1.1409e-24 ,  1.01723e-61])
106117  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  1.1409e-24 ,  1.01723e-61])
106118  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  1          ,  1.01723e-61])
106119  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  2.61803    ,  1.01723e-61])
106120  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  1          ,  1.01723e-61])
106121  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  1.61803    ,  1.01723e-61])
106122  , -79089.4    , array([ 2.61632    ,  2.66473    ,  2.58794    ,  2          ,  1.01723e-61])
