199596  , -79079.7    , array([ 0.00923985 ,  23.6087    ,  1.02786e-09,  5.10019e-78,  1.125e-07  ])
199597  , -79079.7    , array([ 0.00924909 ,  23.6087    ,  1.02786e-09,  5.10019e-78,  1.125e-07  ])
199598  , -79079.7    , array([ 0.00923985 ,  23.6323    ,  1.02786e-09,  5.10019e-78,  1.125e-07  ])
199599  , -79079.7    , array([ 0.00923985 ,  23.6087    ,  1.02889e-09,  5.10019e-78,  1.125e-07  ])
199600  , -79079.7    , array([ 0.00923985 ,  23.6087    ,  1.02786e-09,  5.10529e-78,  1.125e-07  ])
199601  , -79079.7    , array([ 0.00923985 ,  23.6087    ,  1.02786e-09,  5.10019e-78,  1.12613e-07])
199602  , -79079.7    , array([ 0.00923985 ,  23.6087    ,  1.02786e-09,  5.10019e-78,  1.125e-07  ])
199603  , -79048.9    , array([ 0.00452664 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199604  , -79048.9    , array([ 0.00452664 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199605  , -79048.9    , array([ 0.00453117 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199606  , -79048.9    , array([ 0.00452664 ,  23.6226    ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199607  , -79048.9    , array([ 0.00452664 ,  23.599     ,  1.02889e-09,  5.10019e-78,  2.29928e-07])
199608  , -79048.9    , array([ 0.00452664 ,  23.599     ,  1.02786e-09,  5.10529e-78,  2.29928e-07])
199609  , -79048.9    , array([ 0.00452664 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.30158e-07])
199617  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199618  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199619  , -79048.9    , array([ 0.00453116 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199620  , -79048.9    , array([ 0.00452663 ,  23.6226    ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199621  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02889e-09,  5.10019e-78,  2.29928e-07])
199622  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10529e-78,  2.29928e-07])
199623  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.30158e-07])
199624  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199625  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199626  , -79048.9    , array([ 0.00453116 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199627  , -79048.9    , array([ 0.00452663 ,  23.6226    ,  1.02786e-09,  5.10019e-78,  2.29928e-07])
199628  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02889e-09,  5.10019e-78,  2.29928e-07])
199629  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10529e-78,  2.29928e-07])
199630  , -79048.9    , array([ 0.00452663 ,  23.599     ,  1.02786e-09,  5.10019e-78,  2.30158e-07])
199631  , -78392.7    , array([ 0.00108642 ,  23.5796    ,  1.02786e-09,  5.10019e-78,  9.60433e-07])
199632  , -78392.7    , array([ 0.00108642 ,  23.5796    ,  1.02786e-09,  5.10019e-78,  9.60433e-07])
199633  , -78393.4    , array([ 0.0010875  ,  23.5796    ,  1.02786e-09,  5.10019e-78,  9.60433e-07])
199634  , -78392.7    , array([ 0.00108642 ,  23.6032    ,  1.02786e-09,  5.10019e-78,  9.60433e-07])
