126109  , -103746     , array([ 0.181712   ,  0.00139356 ,  3.31341e-10,  8.88458e-39,  0.00436329 ])
126110  , -103746     , array([ 0.181893   ,  0.00139356 ,  3.31341e-10,  8.88458e-39,  0.00436329 ])
126111  , -103626     , array([ 0.181712   ,  0.00139496 ,  3.31341e-10,  8.88458e-39,  0.00436329 ])
126112  , -103746     , array([ 0.181712   ,  0.00139356 ,  3.31673e-10,  8.88458e-39,  0.00436329 ])
126113  , -103746     , array([ 0.181712   ,  0.00139356 ,  3.31341e-10,  8.89347e-39,  0.00436329 ])
126114  , -103862     , array([ 0.181712   ,  0.00139356 ,  3.31341e-10,  8.88458e-39,  0.00436766 ])
126115  , -103746     , array([ 0.181712   ,  0.00139356 ,  3.31341e-10,  8.88458e-39,  0.00436329 ])
126116  , -12784.5    , array([ 0.181683   ,  0.00286967 ,  3.31341e-10,  8.88458e-39,  0.00215394 ])
126117  , -12784.5    , array([ 0.181683   ,  0.00286967 ,  3.31341e-10,  8.88458e-39,  0.00215394 ])
126118  , -12784.5    , array([ 0.181865   ,  0.00286967 ,  3.31341e-10,  8.88458e-39,  0.00215394 ])
126119  , -12757      , array([ 0.181683   ,  0.00287254 ,  3.31341e-10,  8.88458e-39,  0.00215394 ])
126120  , -12784.5    , array([ 0.181683   ,  0.00286967 ,  3.31673e-10,  8.88458e-39,  0.00215394 ])
126121  , -12784.5    , array([ 0.181683   ,  0.00286967 ,  3.31341e-10,  8.89347e-39,  0.00215394 ])
126122  , -12811.6    , array([ 0.181683   ,  0.00286967 ,  3.31341e-10,  8.88458e-39,  0.0021561  ])
126130  , -12781.7    , array([ 0.181189   ,  0.00284428 ,  3.31341e-10,  8.88458e-39,  0.00213433 ])
126131  , -12781.7    , array([ 0.181189   ,  0.00284428 ,  3.31341e-10,  8.88458e-39,  0.00213433 ])
126132  , -12781.7    , array([ 0.18137    ,  0.00284428 ,  3.31341e-10,  8.88458e-39,  0.00213433 ])
126133  , -12754.2    , array([ 0.181189   ,  0.00284713 ,  3.31341e-10,  8.88458e-39,  0.00213433 ])
126134  , -12781.7    , array([ 0.181189   ,  0.00284428 ,  3.31673e-10,  8.88458e-39,  0.00213433 ])
126135  , -12781.7    , array([ 0.181189   ,  0.00284428 ,  3.31341e-10,  8.89347e-39,  0.00213433 ])
126136  , -12808.7    , array([ 0.181189   ,  0.00284428 ,  3.31341e-10,  8.88458e-39,  0.00213647 ])
126137  , -12778.8    , array([ 0.180693   ,  0.00281896 ,  3.31341e-10,  8.88458e-39,  0.00211479 ])
126138  , -12778.8    , array([ 0.180693   ,  0.00281896 ,  3.31341e-10,  8.88458e-39,  0.00211479 ])
126139  , -12778.8    , array([ 0.180874   ,  0.00281896 ,  3.31341e-10,  8.88458e-39,  0.00211479 ])
126140  , -12751.3    , array([ 0.180693   ,  0.00282178 ,  3.31341e-10,  8.88458e-39,  0.00211479 ])
126141  , -12778.8    , array([ 0.180693   ,  0.00281896 ,  3.31673e-10,  8.88458e-39,  0.00211479 ])
126142  , -12778.8    , array([ 0.180693   ,  0.00281896 ,  3.31341e-10,  8.89347e-39,  0.00211479 ])
126143  , -12805.8    , array([ 0.180693   ,  0.00281896 ,  3.31341e-10,  8.88458e-39,  0.0021169  ])
126151  , -12778      , array([ 0.180568   ,  0.00281263 ,  3.31341e-10,  8.88458e-39,  0.0021099  ])
126152  , -12778      , array([ 0.180568   ,  0.00281263 ,  3.31341e-10,  8.88458e-39,  0.0021099  ])
126153  , -12778.1    , array([ 0.180749   ,  0.00281263 ,  3.31341e-10,  8.88458e-39,  0.0021099  ])
126154  , -12750.6    , array([ 0.180568   ,  0.00281544 ,  3.31341e-10,  8.88458e-39,  0.0021099  ])
126155  , -12778      , array([ 0.180568   ,  0.00281263 ,  3.31673e-10,  8.88458e-39,  0.0021099  ])
126156  , -12778      , array([ 0.180568   ,  0.00281263 ,  3.31341e-10,  8.89347e-39,  0.0021099  ])
126157  , -12805.1    , array([ 0.180568   ,  0.00281263 ,  3.31341e-10,  8.88458e-39,  0.00211201 ])
126158  , -12777.3    , array([ 0.180443   ,  0.0028063  ,  3.31341e-10,  8.88458e-39,  0.00210501 ])
126159  , -12777.3    , array([ 0.180443   ,  0.0028063  ,  3.31341e-10,  8.88458e-39,  0.00210501 ])
126160  , -12777.3    , array([ 0.180624   ,  0.0028063  ,  3.31341e-10,  8.88458e-39,  0.00210501 ])
126161  , -12749.8    , array([ 0.180443   ,  0.00280911 ,  3.31341e-10,  8.88458e-39,  0.00210501 ])
126162  , -12777.3    , array([ 0.180443   ,  0.0028063  ,  3.31673e-10,  8.88458e-39,  0.00210501 ])
126163  , -12777.3    , array([ 0.180443   ,  0.0028063  ,  3.31341e-10,  8.89347e-39,  0.00210501 ])
126164  , -12804.3    , array([ 0.180443   ,  0.0028063  ,  3.31341e-10,  8.88458e-39,  0.00210712 ])
