179797  , -146574     , array([ 0.375175   ,  0.027252   ,  7.16814e-05,  4.07039e-67,  0.119414   ])
179798  , -146574     , array([ 0.375175   ,  0.027252   ,  7.16098e-05,  4.07447e-67,  0.119414   ])
179799  , -146739     , array([ 0.375175   ,  0.027252   ,  7.16098e-05,  4.07039e-67,  0.119533   ])
179807  , -141891     , array([ 0.383979   ,  0.0277525  ,  7.2476e-05 ,  4.07039e-67,  0.118248   ])
179808  , -141891     , array([ 0.383979   ,  0.0277525  ,  7.2476e-05 ,  4.07039e-67,  0.118248   ])
179809  , -141878     , array([ 0.384363   ,  0.0277525  ,  7.2476e-05 ,  4.07039e-67,  0.118248   ])
179810  , -141740     , array([ 0.383979   ,  0.0277802  ,  7.2476e-05 ,  4.07039e-67,  0.118248   ])
179811  , -141891     , array([ 0.383979   ,  0.0277525  ,  7.25485e-05,  4.07039e-67,  0.118248   ])
179812  , -141891     , array([ 0.383979   ,  0.0277525  ,  7.2476e-05 ,  4.07447e-67,  0.118248   ])
179813  , -142052     , array([ 0.383979   ,  0.0277525  ,  7.2476e-05 ,  4.07039e-67,  0.118366   ])
179814  , -65315.8    , array([ 0.650022   ,  0.0419454  ,  9.52153e-05,  4.07039e-67,  0.0946393  ])
179815  , -65315.8    , array([ 0.650022   ,  0.0419454  ,  9.52153e-05,  4.07039e-67,  0.0946393  ])
179816  , -65311.2    , array([ 0.650672   ,  0.0419454  ,  9.52153e-05,  4.07039e-67,  0.0946393  ])
179817  , -65236.4    , array([ 0.650022   ,  0.0419873  ,  9.52153e-05,  4.07039e-67,  0.0946393  ])
179818  , -65315.8    , array([ 0.650022   ,  0.0419454  ,  9.53106e-05,  4.07039e-67,  0.0946393  ])
179819  , -65315.8    , array([ 0.650022   ,  0.0419454  ,  9.52153e-05,  4.07447e-67,  0.0946393  ])
179820  , -65399      , array([ 0.650022   ,  0.0419454  ,  9.52153e-05,  4.07039e-67,  0.094734   ])
179828  , -61952.5    , array([ 0.666581   ,  0.042659   ,  9.58248e-05,  4.07039e-67,  0.0924121  ])
179829  , -61952.5    , array([ 0.666581   ,  0.042659   ,  9.58248e-05,  4.07039e-67,  0.0924121  ])
179830  , -61948.3    , array([ 0.667248   ,  0.042659   ,  9.58248e-05,  4.07039e-67,  0.0924121  ])
179831  , -61876.4    , array([ 0.666581   ,  0.0427017  ,  9.58248e-05,  4.07039e-67,  0.0924121  ])
179832  , -61952.5    , array([ 0.666581   ,  0.042659   ,  9.59207e-05,  4.07039e-67,  0.0924121  ])
179833  , -61952.5    , array([ 0.666581   ,  0.042659   ,  9.58248e-05,  4.07447e-67,  0.0924121  ])
179834  , -62032.3    , array([ 0.666581   ,  0.042659   ,  9.58248e-05,  4.07039e-67,  0.0925045  ])
179835  , -13966.2    , array([ 1.18442    ,  0.062726   ,  0.000110869,  4.07039e-67,  0.0536255  ])
179836  , -13966.2    , array([ 1.18442    ,  0.062726   ,  0.000110869,  4.07039e-67,  0.0536255  ])
