14451   , -401.445    , array([ 0.221598   ,  0.0238981  ,  1.42978    ,  0.0571311  ])
14452   , -401.611    , array([ 0.221595   ,  0.0238926  ,  1.42967    ,  0.0570979  ])
14453   , -401.611    , array([ 0.221595   ,  0.0238926  ,  1.42967    ,  0.0570979  ])
14454   , -401.789    , array([ 0.221817   ,  0.0238926  ,  1.42967    ,  0.0570979  ])
14455   , -401.808    , array([ 0.221595   ,  0.0239165  ,  1.42967    ,  0.0570979  ])
14456   , -401.605    , array([ 0.221595   ,  0.0238926  ,  1.4311     ,  0.0570979  ])
14457   , -401.247    , array([ 0.221595   ,  0.0238926  ,  1.42967    ,  0.057155   ])
14464   , -401.599    , array([ 0.221595   ,  0.0238922  ,  1.42967    ,  0.0570993  ])
14465   , -401.599    , array([ 0.221595   ,  0.0238922  ,  1.42967    ,  0.0570993  ])
14466   , -401.777    , array([ 0.221817   ,  0.0238922  ,  1.42967    ,  0.0570993  ])
14467   , -401.796    , array([ 0.221595   ,  0.0239161  ,  1.42967    ,  0.0570993  ])
14468   , -401.593    , array([ 0.221595   ,  0.0238922  ,  1.4311     ,  0.0570993  ])
14469   , -401.235    , array([ 0.221595   ,  0.0238922  ,  1.42967    ,  0.0571565  ])
14470   , -401.549    , array([ 0.221595   ,  0.0238909  ,  1.42964    ,  0.0571052  ])
14471   , -401.549    , array([ 0.221595   ,  0.0238909  ,  1.42964    ,  0.0571052  ])
14472   , -401.727    , array([ 0.221816   ,  0.0238909  ,  1.42964    ,  0.0571052  ])
14473   , -401.746    , array([ 0.221595   ,  0.0239148  ,  1.42964    ,  0.0571052  ])
14474   , -401.543    , array([ 0.221595   ,  0.0238909  ,  1.43107    ,  0.0571052  ])
14475   , -401.187    , array([ 0.221595   ,  0.0238909  ,  1.42964    ,  0.0571623  ])
14476   , -2336.8     , array([ 0.204337   ,  0.00501098 ,  0.876277   ,  0.945941   ])
14477   , -2336.8     , array([ 0.204337   ,  0.00501098 ,  0.876277   ,  0.945941   ])
14478   , -2336.8     , array([ 0.204542   ,  0.00501098 ,  0.876277   ,  0.945941   ])
14479   , -2336.8     , array([ 0.204337   ,  0.00501599 ,  0.876277   ,  0.945941   ])
14480   , -2336.8     , array([ 0.204337   ,  0.00501098 ,  0.877153   ,  0.945941   ])
14481   , -2336.8     , array([ 0.204337   ,  0.00501098 ,  0.876277   ,  0.946887   ])
14482   , -783.27     , array([ 0.220064   ,  0.0209049  ,  1.37105    ,  0.0725931  ])
14483   , -783.27     , array([ 0.220064   ,  0.0209049  ,  1.37105    ,  0.0725931  ])
14484   , -782.412    , array([ 0.220284   ,  0.0209049  ,  1.37105    ,  0.0725931  ])
14485   , -781.494    , array([ 0.220064   ,  0.0209258  ,  1.37105    ,  0.0725931  ])
14486   , -783.306    , array([ 0.220064   ,  0.0209049  ,  1.37243    ,  0.0725931  ])
14487   , -785.881    , array([ 0.220064   ,  0.0209049  ,  1.37105    ,  0.0726657  ])
14488   , -394.139    , array([ 0.221421   ,  0.0235322  ,  1.42288    ,  0.058679   ])
14489   , -394.139    , array([ 0.221421   ,  0.0235322  ,  1.42288    ,  0.058679   ])
14490   , -394.158    , array([ 0.221642   ,  0.0235322  ,  1.42288    ,  0.058679   ])
14491   , -394.167    , array([ 0.221421   ,  0.0235558  ,  1.42288    ,  0.058679   ])
14492   , -394.139    , array([ 0.221421   ,  0.0235322  ,  1.4243     ,  0.058679   ])
14493   , -394.1      , array([ 0.221421   ,  0.0235322  ,  1.42288    ,  0.0587377  ])
14494   , -393.886    , array([ 0.253933   ,  0.0230957  ,  1.99632    ,  0.0621132  ])
14495   , -393.886    , array([ 0.253933   ,  0.0230957  ,  1.99632    ,  0.0621132  ])
14496   , -393.859    , array([ 0.254187   ,  0.0230957  ,  1.99632    ,  0.0621132  ])
14497   , -393.853    , array([ 0.253933   ,  0.0231188  ,  1.99632    ,  0.0621132  ])
14498   , -393.886    , array([ 0.253933   ,  0.0230957  ,  1.99831    ,  0.0621132  ])
14499   , -393.952    , array([ 0.253933   ,  0.0230957  ,  1.99632    ,  0.0621753  ])
14500   , -393.947    , array([ 0.230701   ,  0.0234006  ,  1.57485    ,  0.0596877  ])
14501   , -393.947    , array([ 0.230701   ,  0.0234006  ,  1.57485    ,  0.0596877  ])
14502   , -393.953    , array([ 0.230932   ,  0.0234006  ,  1.57485    ,  0.0596877  ])
14503   , -393.961    , array([ 0.230701   ,  0.023424   ,  1.57485    ,  0.0596877  ])
14504   , -393.947    , array([ 0.230701   ,  0.0234006  ,  1.57643    ,  0.0596877  ])
14505   , -393.933    , array([ 0.230701   ,  0.0234006  ,  1.57485    ,  0.0597475  ])
14506   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14507   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14508   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14509   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14510   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14511   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14512   , -393.951    , array([ 0.226676   ,  0.0232156  ,  1.52194    ,  0.059082   ])
14513   , -393.951    , array([ 0.226676   ,  0.0232156  ,  1.52194    ,  0.059082   ])
14514   , -393.95     , array([ 0.226903   ,  0.0232156  ,  1.52194    ,  0.059082   ])
14515   , -393.955    , array([ 0.226676   ,  0.0232388  ,  1.52194    ,  0.059082   ])
14516   , -393.951    , array([ 0.226676   ,  0.0232156  ,  1.52346    ,  0.059082   ])
