129830  , -50571.4    , array([ 67.4372    ,  0.482545   ,  7.68646e-22,  1.36348e-59,  0.529636   ])
129831  , -50571.4    , array([ 67.4372    ,  0.482545   ,  7.67878e-22,  1.36484e-59,  0.529636   ])
129832  , -50631.5    , array([ 67.4372    ,  0.482545   ,  7.67878e-22,  1.36348e-59,  0.530166   ])
129833  , -31755.4    , array([ 48.4358    ,  0.0507538  ,  1.89978e-14,  1.36348e-59,  0.0674546  ])
129834  , -31755.4    , array([ 48.4358    ,  0.0507538  ,  1.89978e-14,  1.36348e-59,  0.0674546  ])
129835  , -31755.5    , array([ 48.4843    ,  0.0507538  ,  1.89978e-14,  1.36348e-59,  0.0674546  ])
129836  , -31707.7    , array([ 48.4358    ,  0.0508046  ,  1.89978e-14,  1.36348e-59,  0.0674546  ])
129837  , -31755.4    , array([ 48.4358    ,  0.0507538  ,  1.90168e-14,  1.36348e-59,  0.0674546  ])
129838  , -31755.4    , array([ 48.4358    ,  0.0507538  ,  1.89978e-14,  1.36484e-59,  0.0674546  ])
129839  , -31805.2    , array([ 48.4358    ,  0.0507538  ,  1.89978e-14,  1.36348e-59,  0.0675221  ])
129840  , -18580.3    , array([ 0.644974   ,  0.0375267  ,  7.35757e-23,  1.36348e-59,  0.036594   ])
129841  , -18580.3    , array([ 0.644974   ,  0.0375267  ,  7.35757e-23,  1.36348e-59,  0.036594   ])
129842  , -18578.7    , array([ 0.64562    ,  0.0375267  ,  7.35757e-23,  1.36348e-59,  0.036594   ])
129843  , -18546.3    , array([ 0.644974   ,  0.0375642  ,  7.35757e-23,  1.36348e-59,  0.036594   ])
129844  , -18580.3    , array([ 0.644974   ,  0.0375267  ,  7.36494e-23,  1.36348e-59,  0.036594   ])
129845  , -18580.3    , array([ 0.644974   ,  0.0375267  ,  7.35757e-23,  1.36484e-59,  0.036594   ])
129846  , -18614.7    , array([ 0.644974   ,  0.0375267  ,  7.35757e-23,  1.36348e-59,  0.0366307  ])
129847  , -5362.18    , array([ 59.023     ,  0.025128   ,  6.12591e-42,  1.36348e-59,  0.0140923  ])
129848  , -5362.18    , array([ 59.023     ,  0.025128   ,  6.12591e-42,  1.36348e-59,  0.0140923  ])
129849  , -5362.18    , array([ 59.082     ,  0.025128   ,  6.12591e-42,  1.36348e-59,  0.0140923  ])
129850  , -5346.85    , array([ 59.023     ,  0.0251532  ,  6.12591e-42,  1.36348e-59,  0.0140923  ])
129851  , -5362.18    , array([ 59.023     ,  0.025128   ,  6.13204e-42,  1.36348e-59,  0.0140923  ])
129852  , -5362.18    , array([ 59.023     ,  0.025128   ,  6.12591e-42,  1.36484e-59,  0.0140923  ])
129853  , -5376.82    , array([ 59.023     ,  0.025128   ,  6.12591e-42,  1.36348e-59,  0.0141064  ])
129854  , -2005.46    , array([ 67.6976    ,  0.0369561  ,  3.5451e-55 ,  1.36348e-59,  0.0138403  ])
129855  , -2005.46    , array([ 67.6976    ,  0.0369561  ,  3.5451e-55 ,  1.36348e-59,  0.0138403  ])
129856  , -2005.47    , array([ 67.7653    ,  0.0369561  ,  3.5451e-55 ,  1.36348e-59,  0.0138403  ])
129857  , -2003.92    , array([ 67.6976    ,  0.0369931  ,  3.5451e-55 ,  1.36348e-59,  0.0138403  ])
129858  , -2005.46    , array([ 67.6976    ,  0.0369561  ,  3.54865e-55,  1.36348e-59,  0.0138403  ])
129859  , -2005.46    , array([ 67.6976    ,  0.0369561  ,  3.5451e-55 ,  1.36484e-59,  0.0138403  ])
129860  , -2006.73    , array([ 67.6976    ,  0.0369561  ,  3.5451e-55 ,  1.36348e-59,  0.0138541  ])
129861  , -1947.48    , array([ 65.906     ,  0.0419786  ,  1.36198e-56,  1.36348e-59,  0.0150707  ])
129862  , -1947.48    , array([ 65.906     ,  0.0419786  ,  1.36198e-56,  1.36348e-59,  0.0150707  ])
129863  , -1947.49    , array([ 65.9719    ,  0.0419786  ,  1.36198e-56,  1.36348e-59,  0.0150707  ])
129864  , -1947.37    , array([ 65.906     ,  0.0420206  ,  1.36198e-56,  1.36348e-59,  0.0150707  ])
129865  , -1947.48    , array([ 65.906     ,  0.0419786  ,  1.36334e-56,  1.36348e-59,  0.0150707  ])
129866  , -1947.48    , array([ 65.906     ,  0.0419786  ,  1.36198e-56,  1.36484e-59,  0.0150707  ])
129867  , -1947.4     , array([ 65.906     ,  0.0419786  ,  1.36198e-56,  1.36348e-59,  0.0150857  ])
129868  , -1928.56    , array([ 62.3351    ,  0.0470753  ,  6.85612e-57,  1.36348e-59,  0.016765   ])
129869  , -1928.56    , array([ 62.3351    ,  0.0470753  ,  6.85612e-57,  1.36348e-59,  0.016765   ])
129870  , -1928.57    , array([ 62.3974    ,  0.0470753  ,  6.85612e-57,  1.36348e-59,  0.016765   ])
129871  , -1928.81    , array([ 62.3351    ,  0.0471224  ,  6.85612e-57,  1.36348e-59,  0.016765   ])
129872  , -1928.56    , array([ 62.3351    ,  0.0470753  ,  6.86298e-57,  1.36348e-59,  0.016765   ])
129873  , -1928.56    , array([ 62.3351    ,  0.0470753  ,  6.85612e-57,  1.36484e-59,  0.016765   ])
129874  , -1928.21    , array([ 62.3351    ,  0.0470753  ,  6.85612e-57,  1.36348e-59,  0.0167818  ])
129875  , -1916.56    , array([ 56.7279    ,  0.0534625  ,  8.81011e-57,  1.36348e-59,  0.0191237  ])
129876  , -1916.56    , array([ 56.7279    ,  0.0534625  ,  8.81011e-57,  1.36348e-59,  0.0191237  ])
129877  , -1916.58    , array([ 56.7846    ,  0.0534625  ,  8.81011e-57,  1.36348e-59,  0.0191237  ])
129878  , -1916.81    , array([ 56.7279    ,  0.053516   ,  8.81011e-57,  1.36348e-59,  0.0191237  ])
129879  , -1916.56    , array([ 56.7279    ,  0.0534625  ,  8.81892e-57,  1.36348e-59,  0.0191237  ])
129880  , -1916.56    , array([ 56.7279    ,  0.0534625  ,  8.81011e-57,  1.36484e-59,  0.0191237  ])
