Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-396.59	801.18	603.68	8774.1	30.0,0.8437,7.2446,2.0097
our_model	Round_1_Replicate_2	-396.74	801.48	603.97	23967.81	1.8045,0.3088,30.0,0.598
our_model	Round_1_Replicate_3	-393.44	794.88	597.78	6219.83	29.9988,1.1957,29.9966,3.6961
our_model	Round_1_Replicate_4	-394.64	797.28	599.15	47036.75	2.3989,0.1584,1.0176,0.3964
our_model	Round_1_Replicate_5	-395.33	798.66	600.49	24036.47	10.1271,0.3096,2.4531,0.7812
our_model	Round_1_Replicate_6	-395.95	799.9	602.43	45777.05	29.9998,0.1619,0.1574,0.3518
our_model	Round_1_Replicate_7	-394.6	797.2	600.66	61059.56	0.7127,0.1212,0.1901,0.274
our_model	Round_1_Replicate_8	-394.64	797.28	599.2	16464.8	3.9493,0.4525,10.6368,1.0696
our_model	Round_1_Replicate_9	-393.78	795.56	598.43	4928.97	29.9998,1.5079,29.9896,4.2828
our_model	Round_1_Replicate_10	-398.12	804.24	606.49	8164.98	30.0,0.9051,6.7835,2.0273
our_model	Round_2_Replicate_1	-398.86	805.72	607.85	2309.86	30.0,3.197,30.0,6.3021
our_model	Round_2_Replicate_2	-393.16	794.32	597.25	12226.57	13.9816,0.6086,29.8218,2.0332
our_model	Round_2_Replicate_3	-393.24	794.48	597.39	8407.98	29.9535,0.8848,27.6401,2.9739
our_model	Round_2_Replicate_4	-398.71	805.42	607.57	2330.18	30.0,3.1696,30.0,6.282
our_model	Round_2_Replicate_5	-394.72	797.44	600.2	14600.81	3.9567,0.5083,30.0,1.1593
our_model	Round_2_Replicate_6	-398.77	805.54	607.68	2322.19	30.0,3.1803,30.0,6.2899
our_model	Round_2_Replicate_7	-398.87	805.74	607.88	2308.13	30.0,3.1994,30.0,6.3038
our_model	Round_2_Replicate_8	-399.73	807.46	609.42	2209.83	30.0,3.3392,30.0,6.4002
our_model	Round_2_Replicate_9	-393.76	795.52	598.39	4988.96	29.9999,1.4899,29.9519,4.2499
our_model	Round_2_Replicate_10	-396.3	800.6	603.15	7160.64	6.3897,1.0342,30.0,2.064
our_model	Round_3_Replicate_1	-393.89	795.78	598.63	13657.44	5.5254,0.5441,30.0,1.4041
our_model	Round_3_Replicate_2	-393.15	794.3	597.23	11772.47	21.0271,0.6321,24.1264,2.1955
our_model	Round_3_Replicate_3	-398.87	805.74	607.87	4773.5	30.0,1.547,12.2298,3.2968
our_model	Round_3_Replicate_4	-393.89	795.78	598.72	9479.53	12.6867,0.7836,15.1525,2.1446
our_model	Round_3_Replicate_5	-395.13	798.26	600.04	14898.23	3.6458,0.4999,30.0,1.1077
our_model	Round_3_Replicate_6	-393.12	794.24	597.16	10208.01	29.914,0.729,29.4282,2.6245
our_model	Round_3_Replicate_7	-398.08	804.16	606.43	2995.79	30.0,2.4669,22.7402,5.1476
our_model	Round_3_Replicate_8	-396.1	800.2	602.77	8755.68	5.3075,0.846,30.0,1.7094
our_model	Round_3_Replicate_9	-396.21	800.42	602.99	7345.81	6.2819,1.0082,30.0,2.0234
our_model	Round_3_Replicate_10	-393.07	794.14	597.1	21424.66	9.0016,0.3473,29.8698,1.2347
our_model	Round_3_Replicate_11	-395.24	798.48	601.17	5093.02	30.0,1.4561,17.1042,3.6192
our_model	Round_3_Replicate_12	-393.44	794.88	597.78	13601.46	7.4694,0.5468,30.0,1.5823
our_model	Round_3_Replicate_13	-393.13	794.26	597.18	10727.12	29.8089,0.6937,26.7499,2.4929
our_model	Round_3_Replicate_14	-393.88	795.76	598.68	7622.22	23.6393,0.9747,17.0013,2.7771
our_model	Round_3_Replicate_15	-393.92	795.84	598.05	9010.11	8.8366,0.827,29.0887,2.1597
our_model	Round_3_Replicate_16	-393.43	794.86	597.77	15114.61	6.7005,0.492,29.9985,1.4254
our_model	Round_3_Replicate_17	-393.54	795.08	597.96	5755.53	29.9999,1.2919,29.8881,3.8834
our_model	Round_3_Replicate_18	-393.66	795.32	598.2	6496.84	29.9096,1.1443,22.9637,3.3955
our_model	Round_3_Replicate_19	-395.37	798.74	601.42	4692.98	30.0,1.5799,18.3556,3.8666
our_model	Round_3_Replicate_20	-395.66	799.32	600.55	15689.85	3.2408,0.4754,30.0,1.0183
