1873    , -16970.9    , array([ 0.0741036  ,  0.0491879  ,  1.95996    ,  1.33846    ,  0.0167893  ])
1874    , -16984.2    , array([ 0.0741036  ,  0.0491879  ,  1.95996    ,  1.33712    ,  0.0168061  ])
1875    , -2254.04    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773898   ,  0.0616054  ])
1876    , -2254.04    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773898   ,  0.0616054  ])
1877    , -2253.15    , array([ 1.14812    ,  0.166418   ,  1.07232    ,  0.773898   ,  0.0616054  ])
1878    , -2256.91    , array([ 1.14697    ,  0.166585   ,  1.07232    ,  0.773898   ,  0.0616054  ])
1879    , -2253.71    , array([ 1.14697    ,  0.166418   ,  1.07339    ,  0.773898   ,  0.0616054  ])
1880    , -2254.13    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.774672   ,  0.0616054  ])
1881    , -2253.26    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773898   ,  0.061667   ])
1889    , -2254.04    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773903   ,  0.0616055  ])
1890    , -2254.04    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773903   ,  0.0616055  ])
1891    , -2253.15    , array([ 1.14812    ,  0.166418   ,  1.07232    ,  0.773903   ,  0.0616055  ])
1892    , -2256.9     , array([ 1.14697    ,  0.166585   ,  1.07232    ,  0.773903   ,  0.0616055  ])
1893    , -2253.71    , array([ 1.14697    ,  0.166418   ,  1.0734     ,  0.773903   ,  0.0616055  ])
1894    , -2254.12    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.774678   ,  0.0616055  ])
1895    , -2253.26    , array([ 1.14697    ,  0.166418   ,  1.07232    ,  0.773903   ,  0.0616672  ])
1896    , -2254.02    , array([ 1.14696    ,  0.166418   ,  1.07236    ,  0.773936   ,  0.0616063  ])
1897    , -2254.02    , array([ 1.14696    ,  0.166418   ,  1.07236    ,  0.773936   ,  0.0616063  ])
1898    , -2253.12    , array([ 1.14811    ,  0.166418   ,  1.07236    ,  0.773936   ,  0.0616063  ])
1899    , -2256.88    , array([ 1.14696    ,  0.166584   ,  1.07236    ,  0.773936   ,  0.0616063  ])
1900    , -2253.69    , array([ 1.14696    ,  0.166418   ,  1.07343    ,  0.773936   ,  0.0616063  ])
1901    , -2254.1     , array([ 1.14696    ,  0.166418   ,  1.07236    ,  0.77471    ,  0.0616063  ])
1902    , -2253.24    , array([ 1.14696    ,  0.166418   ,  1.07236    ,  0.773936   ,  0.061668   ])
1903    , -1707.56    , array([ 0.976803   ,  0.150391   ,  3.59403    ,  3.31523    ,  0.0960549  ])
1904    , -1707.56    , array([ 0.976803   ,  0.150391   ,  3.59403    ,  3.31523    ,  0.0960549  ])
1905    , -1706.99    , array([ 0.97778    ,  0.150391   ,  3.59403    ,  3.31523    ,  0.0960549  ])
1906    , -1709.33    , array([ 0.976803   ,  0.150541   ,  3.59403    ,  3.31523    ,  0.0960549  ])
1907    , -1707.07    , array([ 0.976803   ,  0.150391   ,  3.59762    ,  3.31523    ,  0.0960549  ])
1908    , -1708.14    , array([ 0.976803   ,  0.150391   ,  3.59403    ,  3.31855    ,  0.0960549  ])
1909    , -1707.43    , array([ 0.976803   ,  0.150391   ,  3.59403    ,  3.31523    ,  0.096151   ])
1917    , -1707.56    , array([ 0.976802   ,  0.150391   ,  3.59405    ,  3.31523    ,  0.0960551  ])
1918    , -1707.56    , array([ 0.976802   ,  0.150391   ,  3.59405    ,  3.31523    ,  0.0960551  ])
1919    , -1706.99    , array([ 0.977779   ,  0.150391   ,  3.59405    ,  3.31523    ,  0.0960551  ])
1920    , -1709.33    , array([ 0.976802   ,  0.150541   ,  3.59405    ,  3.31523    ,  0.0960551  ])
1921    , -1707.06    , array([ 0.976802   ,  0.150391   ,  3.59765    ,  3.31523    ,  0.0960551  ])
1922    , -1708.14    , array([ 0.976802   ,  0.150391   ,  3.59405    ,  3.31855    ,  0.0960551  ])
1923    , -1707.43    , array([ 0.976802   ,  0.150391   ,  3.59405    ,  3.31523    ,  0.0961512  ])
1924    , -1707.55    , array([ 0.976799   ,  0.150391   ,  3.59415    ,  3.31525    ,  0.0960558  ])
1925    , -1707.55    , array([ 0.976799   ,  0.150391   ,  3.59415    ,  3.31525    ,  0.0960558  ])
1926    , -1706.98    , array([ 0.977776   ,  0.150391   ,  3.59415    ,  3.31525    ,  0.0960558  ])
1927    , -1709.32    , array([ 0.976799   ,  0.150541   ,  3.59415    ,  3.31525    ,  0.0960558  ])
1928    , -1707.05    , array([ 0.976799   ,  0.150391   ,  3.59775    ,  3.31525    ,  0.0960558  ])
1929    , -1708.13    , array([ 0.976799   ,  0.150391   ,  3.59415    ,  3.31856    ,  0.0960558  ])
1930    , -1707.42    , array([ 0.976799   ,  0.150391   ,  3.59415    ,  3.31525    ,  0.0961519  ])
1938    , -1707.55    , array([ 0.976799   ,  0.150391   ,  3.59416    ,  3.31525    ,  0.0960558  ])
1939    , -1707.55    , array([ 0.976799   ,  0.150391   ,  3.59416    ,  3.31525    ,  0.0960558  ])
1940    , -1706.98    , array([ 0.977776   ,  0.150391   ,  3.59416    ,  3.31525    ,  0.0960558  ])
1941    , -1709.32    , array([ 0.976799   ,  0.150541   ,  3.59416    ,  3.31525    ,  0.0960558  ])
1942    , -1707.05    , array([ 0.976799   ,  0.150391   ,  3.59776    ,  3.31525    ,  0.0960558  ])
1943    , -1708.13    , array([ 0.976799   ,  0.150391   ,  3.59416    ,  3.31856    ,  0.0960558  ])
1944    , -1707.42    , array([ 0.976799   ,  0.150391   ,  3.59416    ,  3.31525    ,  0.096152   ])
1945    , -1707.55    , array([ 0.976798   ,  0.150391   ,  3.59419    ,  3.31525    ,  0.096056   ])
1946    , -1707.55    , array([ 0.976798   ,  0.150391   ,  3.59419    ,  3.31525    ,  0.096056   ])
1947    , -1706.98    , array([ 0.977775   ,  0.150391   ,  3.59419    ,  3.31525    ,  0.096056   ])
1948    , -1709.32    , array([ 0.976798   ,  0.150541   ,  3.59419    ,  3.31525    ,  0.096056   ])
1949    , -1707.05    , array([ 0.976798   ,  0.150391   ,  3.59778    ,  3.31525    ,  0.096056   ])
1950    , -1708.13    , array([ 0.976798   ,  0.150391   ,  3.59419    ,  3.31857    ,  0.096056   ])
1951    , -1707.42    , array([ 0.976798   ,  0.150391   ,  3.59419    ,  3.31525    ,  0.0961521  ])
1952    , -2995.92    , array([ 0.881985   ,  0.155308   ,  8.6795     ,  3.75668    ,  0.120949   ])
1953    , -2995.92    , array([ 0.881985   ,  0.155308   ,  8.6795     ,  3.75668    ,  0.120949   ])
1954    , -2997.18    , array([ 0.882868   ,  0.155308   ,  8.6795     ,  3.75668    ,  0.120949   ])
1955    , -3001.21    , array([ 0.881985   ,  0.155464   ,  8.6795     ,  3.75668    ,  0.120949   ])
1956    , -3000.14    , array([ 0.881985   ,  0.155308   ,  8.68819    ,  3.75668    ,  0.120949   ])
1957    , -2998.09    , array([ 0.881985   ,  0.155308   ,  8.6795     ,  3.76044    ,  0.120949   ])
1958    , -2996.04    , array([ 0.881985   ,  0.155308   ,  8.6795     ,  3.75668    ,  0.12107    ])
1959    , -1681.74    , array([ 0.962759   ,  0.151079   ,  4.07277    ,  3.37453    ,  0.0992463  ])
1960    , -1681.74    , array([ 0.962759   ,  0.151079   ,  4.07277    ,  3.37453    ,  0.0992463  ])
1961    , -1681.34    , array([ 0.963722   ,  0.151079   ,  4.07277    ,  3.37453    ,  0.0992463  ])
1962    , -1683.82    , array([ 0.962759   ,  0.15123    ,  4.07277    ,  3.37453    ,  0.0992463  ])
1963    , -1681.5     , array([ 0.962759   ,  0.151079   ,  4.07684    ,  3.37453    ,  0.0992463  ])
1964    , -1682.49    , array([ 0.962759   ,  0.151079   ,  4.07277    ,  3.37791    ,  0.0992463  ])
1965    , -1681.48    , array([ 0.962759   ,  0.151079   ,  4.07277    ,  3.37453    ,  0.0993456  ])
1966    , -1633.88    , array([ 0.963874   ,  0.150028   ,  4.20584    ,  3.2349     ,  0.098427   ])
1967    , -1633.88    , array([ 0.963874   ,  0.150028   ,  4.20584    ,  3.2349     ,  0.098427   ])
1968    , -1633.54    , array([ 0.964838   ,  0.150028   ,  4.20584    ,  3.2349     ,  0.098427   ])
1969    , -1635.62    , array([ 0.963874   ,  0.150179   ,  4.20584    ,  3.2349     ,  0.098427   ])
1970    , -1633.66    , array([ 0.963874   ,  0.150028   ,  4.21004    ,  3.2349     ,  0.098427   ])
1971    , -1634.48    , array([ 0.963874   ,  0.150028   ,  4.20584    ,  3.23813    ,  0.098427   ])
1972    , -1633.75    , array([ 0.963874   ,  0.150028   ,  4.20584    ,  3.2349     ,  0.0985254  ])
1973    , -1550.13    , array([ 0.946447   ,  0.143007   ,  4.46397    ,  3.16341    ,  0.0933779  ])
1974    , -1550.13    , array([ 0.946447   ,  0.143007   ,  4.46397    ,  3.16341    ,  0.0933779  ])
1975    , -1549.83    , array([ 0.947394   ,  0.143007   ,  4.46397    ,  3.16341    ,  0.0933779  ])
1976    , -1551.28    , array([ 0.946447   ,  0.143151   ,  4.46397    ,  3.16341    ,  0.0933779  ])
1977    , -1549.94    , array([ 0.946447   ,  0.143007   ,  4.46843    ,  3.16341    ,  0.0933779  ])
1978    , -1550.53    , array([ 0.946447   ,  0.143007   ,  4.46397    ,  3.16657    ,  0.0933779  ])
1979    , -1550.19    , array([ 0.946447   ,  0.143007   ,  4.46397    ,  3.16341    ,  0.0934713  ])
1980    , -1425.87    , array([ 0.954697   ,  0.126936   ,  4.78825    ,  3.10396    ,  0.0797374  ])
1981    , -1425.87    , array([ 0.954697   ,  0.126936   ,  4.78825    ,  3.10396    ,  0.0797374  ])
1982    , -1425.72    , array([ 0.955652   ,  0.126936   ,  4.78825    ,  3.10396    ,  0.0797374  ])
