4686    , -2336.8     , array([ 0.0405349  ,  0.022473   ,  2.04449e-08,  6.0313e-60 ])
4687    , -2336.8     , array([ 0.0405755  ,  0.022473   ,  2.04449e-08,  6.0313e-60 ])
4688    , -2336.8     , array([ 0.0405349  ,  0.0224955  ,  2.04449e-08,  6.0313e-60 ])
4689    , -2336.8     , array([ 0.0405349  ,  0.022473   ,  2.04654e-08,  6.0313e-60 ])
4690    , -2336.8     , array([ 0.0405349  ,  0.022473   ,  2.04449e-08,  6.03734e-60])
4691    , -2336.8     , array([ 0.0405349  ,  0.022473   ,  2.04449e-08,  6.0313e-60 ])
4692    , -2336.79    , array([ 0.0401442  ,  0.022473   ,  2.0636e-08 ,  6.0313e-60 ])
4693    , -2336.79    , array([ 0.0401442  ,  0.022473   ,  2.0636e-08 ,  6.0313e-60 ])
4694    , -2336.79    , array([ 0.0401844  ,  0.022473   ,  2.0636e-08 ,  6.0313e-60 ])
4695    , -2336.79    , array([ 0.0401442  ,  0.0224955  ,  2.0636e-08 ,  6.0313e-60 ])
4696    , -2336.79    , array([ 0.0401442  ,  0.022473   ,  2.06566e-08,  6.0313e-60 ])
4697    , -2336.79    , array([ 0.0401442  ,  0.022473   ,  2.0636e-08 ,  6.03734e-60])
4698    , -2336.79    , array([ 0.0386187  ,  0.022473   ,  2.14183e-08,  6.0313e-60 ])
4699    , -2336.79    , array([ 0.0386187  ,  0.022473   ,  2.14183e-08,  6.0313e-60 ])
4700    , -2336.79    , array([ 0.0386573  ,  0.022473   ,  2.14183e-08,  6.0313e-60 ])
4701    , -2336.79    , array([ 0.0386187  ,  0.0224955  ,  2.14183e-08,  6.0313e-60 ])
4702    , -2336.79    , array([ 0.0386187  ,  0.022473   ,  2.14397e-08,  6.0313e-60 ])
4703    , -2336.79    , array([ 0.0386187  ,  0.022473   ,  2.14183e-08,  6.03734e-60])
4704    , -2336.79    , array([ 0.0330746  ,  0.022473   ,  2.48556e-08,  6.0313e-60 ])
