140478  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140479  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140480  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140481  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140482  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140483  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140484  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140485  , -1632.54    , array([ 1.42659    ,  0.0676828  ,  9.15125e-18,  1.22523e-10,  0.0242431  ])
140486  , -1632.54    , array([ 1.42659    ,  0.0676828  ,  9.15125e-18,  1.22523e-10,  0.0242431  ])
140487  , -1632.53    , array([ 1.42801    ,  0.0676828  ,  9.15125e-18,  1.22523e-10,  0.0242431  ])
140488  , -1632.53    , array([ 1.42659    ,  0.0677505  ,  9.15125e-18,  1.22523e-10,  0.0242431  ])
140489  , -1632.54    , array([ 1.42659    ,  0.0676828  ,  9.16041e-18,  1.22523e-10,  0.0242431  ])
140490  , -1632.54    , array([ 1.42659    ,  0.0676828  ,  9.15125e-18,  1.22646e-10,  0.0242431  ])
140491  , -1632.55    , array([ 1.42659    ,  0.0676828  ,  9.15125e-18,  1.22523e-10,  0.0242674  ])
140492  , -1632.53    , array([ 1.42642    ,  0.0676906  ,  9.1988e-18 ,  1.22525e-10,  0.0242465  ])
140493  , -1632.53    , array([ 1.42642    ,  0.0676906  ,  9.1988e-18 ,  1.22525e-10,  0.0242465  ])
140494  , -1632.53    , array([ 1.42785    ,  0.0676906  ,  9.1988e-18 ,  1.22525e-10,  0.0242465  ])
140495  , -1632.52    , array([ 1.42642    ,  0.0677583  ,  9.1988e-18 ,  1.22525e-10,  0.0242465  ])
140496  , -1632.53    , array([ 1.42642    ,  0.0676906  ,  9.20801e-18,  1.22525e-10,  0.0242465  ])
140497  , -1632.53    , array([ 1.42642    ,  0.0676906  ,  9.1988e-18 ,  1.22647e-10,  0.0242465  ])
140498  , -1632.55    , array([ 1.42642    ,  0.0676906  ,  9.1988e-18 ,  1.22525e-10,  0.0242707  ])
140499  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20114e-18,  1.22525e-10,  0.0242466  ])
140500  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20114e-18,  1.22525e-10,  0.0242466  ])
140501  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20114e-18,  1.22525e-10,  0.0242466  ])
140502  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20114e-18,  1.22525e-10,  0.0242466  ])
140503  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21035e-18,  1.22525e-10,  0.0242466  ])
140504  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20114e-18,  1.22647e-10,  0.0242466  ])
140505  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20114e-18,  1.22525e-10,  0.0242709  ])
140506  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140507  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140508  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140509  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140510  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21046e-18,  1.22525e-10,  0.0242466  ])
140511  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140512  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140513  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140514  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140515  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140516  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140517  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140518  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140519  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140520  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140521  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140522  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140523  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140524  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140525  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140526  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140527  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140528  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140529  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140530  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140531  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140532  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140533  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140534  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140535  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140536  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140537  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140538  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140539  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140540  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140541  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140542  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140543  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140544  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140545  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140546  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140547  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140548  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140549  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140550  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140551  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140552  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140553  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140554  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140555  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140556  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140557  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140558  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
