310990  , -82453      , array([ 0.00360158 ,  0.0557205  ,  1.73204e-55,  9.11594e-24,  0.00159547 ])
310991  , -82396.4    , array([ 0.00360518 ,  0.0557205  ,  1.73204e-55,  9.11594e-24,  0.00159547 ])
310992  , -82462.7    , array([ 0.00360158 ,  0.0557762  ,  1.73204e-55,  9.11594e-24,  0.00159547 ])
310993  , -82453      , array([ 0.00360158 ,  0.0557205  ,  1.73377e-55,  9.11594e-24,  0.00159547 ])
310994  , -82453      , array([ 0.00360158 ,  0.0557205  ,  1.73204e-55,  9.12506e-24,  0.00159547 ])
310995  , -82498.3    , array([ 0.00360158 ,  0.0557205  ,  1.73204e-55,  9.11594e-24,  0.00159707 ])
310996  , -82453      , array([ 0.00360158 ,  0.0557205  ,  1.73204e-55,  9.11594e-24,  0.00159547 ])
310997  , -46330.3    , array([ 0.00786019 ,  0.0486796  ,  1.73204e-55,  9.11594e-24,  0.000852533])
310998  , -46330.3    , array([ 0.00786019 ,  0.0486796  ,  1.73204e-55,  9.11594e-24,  0.000852533])
310999  , -46324.7    , array([ 0.00786805 ,  0.0486796  ,  1.73204e-55,  9.11594e-24,  0.000852533])
311000  , -46338      , array([ 0.00786019 ,  0.0487283  ,  1.73204e-55,  9.11594e-24,  0.000852533])
311001  , -46330.3    , array([ 0.00786019 ,  0.0486796  ,  1.73377e-55,  9.11594e-24,  0.000852533])
311002  , -46330.3    , array([ 0.00786019 ,  0.0486796  ,  1.73204e-55,  9.12506e-24,  0.000852533])
311003  , -46328      , array([ 0.00786019 ,  0.0486796  ,  1.73204e-55,  9.11594e-24,  0.000853386])
311011  , -46321.4    , array([ 0.00786303 ,  0.0486424  ,  1.73204e-55,  9.11594e-24,  0.000852891])
311012  , -46321.4    , array([ 0.00786303 ,  0.0486424  ,  1.73204e-55,  9.11594e-24,  0.000852891])
311013  , -46315.8    , array([ 0.0078709  ,  0.0486424  ,  1.73204e-55,  9.11594e-24,  0.000852891])
311014  , -46329.1    , array([ 0.00786303 ,  0.0486911  ,  1.73204e-55,  9.11594e-24,  0.000852891])
311015  , -46321.4    , array([ 0.00786303 ,  0.0486424  ,  1.73377e-55,  9.11594e-24,  0.000852891])
311016  , -46321.4    , array([ 0.00786303 ,  0.0486424  ,  1.73204e-55,  9.12506e-24,  0.000852891])
311017  , -46319.1    , array([ 0.00786303 ,  0.0486424  ,  1.73204e-55,  9.11594e-24,  0.000853745])
