877     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
878     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
879     , -98.4028    , array([ 0.00150386 ,  0.887614   ,  0.000828484,  0.0534774  ])
880     , -98.6061    , array([ 0.00150235 ,  0.888502   ,  0.000828484,  0.0534774  ])
881     , -98.7554    , array([ 0.00150235 ,  0.887614   ,  0.000829313,  0.0534774  ])
882     , -98.6441    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0535309  ])
889     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
890     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
891     , -98.4028    , array([ 0.00150386 ,  0.887614   ,  0.000828484,  0.0534774  ])
892     , -98.6061    , array([ 0.00150235 ,  0.888502   ,  0.000828484,  0.0534774  ])
893     , -98.7554    , array([ 0.00150235 ,  0.887614   ,  0.000829313,  0.0534774  ])
894     , -98.6441    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0535309  ])
895     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
896     , -98.5783    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0534774  ])
897     , -98.4028    , array([ 0.00150386 ,  0.887614   ,  0.000828484,  0.0534774  ])
898     , -98.6061    , array([ 0.00150235 ,  0.888502   ,  0.000828484,  0.0534774  ])
899     , -98.7554    , array([ 0.00150235 ,  0.887614   ,  0.000829313,  0.0534774  ])
900     , -98.6441    , array([ 0.00150235 ,  0.887614   ,  0.000828484,  0.0535309  ])
901     , -98.0525    , array([ 0.00119726 ,  0.880531   ,  0.000657911,  0.0536668  ])
902     , -98.0525    , array([ 0.00119726 ,  0.880531   ,  0.000657911,  0.0536668  ])
903     , -97.8854    , array([ 0.00119846 ,  0.880531   ,  0.000657911,  0.0536668  ])
904     , -98.0762    , array([ 0.00119726 ,  0.881412   ,  0.000657911,  0.0536668  ])
905     , -98.2213    , array([ 0.00119726 ,  0.880531   ,  0.000658569,  0.0536668  ])
906     , -98.1162    , array([ 0.00119726 ,  0.880531   ,  0.000657911,  0.0537205  ])
907     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
908     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
909     , -97.5654    , array([ 0.00103171 ,  0.875887   ,  0.000565054,  0.0537921  ])
910     , -97.7478    , array([ 0.00103068 ,  0.876763   ,  0.000565054,  0.0537921  ])
911     , -97.8901    , array([ 0.00103068 ,  0.875887   ,  0.00056562 ,  0.0537921  ])
912     , -97.7892    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0538459  ])
919     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
920     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
921     , -97.5654    , array([ 0.00103171 ,  0.875887   ,  0.000565054,  0.0537921  ])
922     , -97.7478    , array([ 0.00103068 ,  0.876763   ,  0.000565054,  0.0537921  ])
923     , -97.8901    , array([ 0.00103068 ,  0.875887   ,  0.00056562 ,  0.0537921  ])
924     , -97.7892    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0538459  ])
925     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
926     , -97.7269    , array([ 0.00103068 ,  0.875887   ,  0.000565054,  0.0537921  ])
