302722  , -63970      , array([ 0.222919   ,  0.305952   ,  1.15734e-49,  1.14387e-11,  0.00244597 ])
302723  , -63957.5    , array([ 0.222919   ,  0.305952   ,  1.15734e-49,  1.14272e-11,  0.00244842 ])
302724  , -94492.6    , array([ 0.0467598  ,  0.0619655  ,  1.15734e-49,  1.14272e-11,  0.0612883  ])
302725  , -94492.6    , array([ 0.0467598  ,  0.0619655  ,  1.15734e-49,  1.14272e-11,  0.0612883  ])
302726  , -94416.8    , array([ 0.0468066  ,  0.0619655  ,  1.15734e-49,  1.14272e-11,  0.0612883  ])
302727  , -94479.9    , array([ 0.0467598  ,  0.0620275  ,  1.15734e-49,  1.14272e-11,  0.0612883  ])
302728  , -94492.6    , array([ 0.0467598  ,  0.0619655  ,  1.1585e-49 ,  1.14272e-11,  0.0612883  ])
302729  , -94492.6    , array([ 0.0467598  ,  0.0619655  ,  1.15734e-49,  1.14387e-11,  0.0612883  ])
302730  , -94572.1    , array([ 0.0467598  ,  0.0619655  ,  1.15734e-49,  1.14272e-11,  0.0613496  ])
302731  , -26559.9    , array([ 0.109952   ,  0.148531   ,  1.15734e-49,  1.14272e-11,  0.0105079  ])
302732  , -26559.9    , array([ 0.109952   ,  0.148531   ,  1.15734e-49,  1.14272e-11,  0.0105079  ])
302733  , -26554.3    , array([ 0.110062   ,  0.148531   ,  1.15734e-49,  1.14272e-11,  0.0105079  ])
302734  , -26576.5    , array([ 0.109952   ,  0.14868    ,  1.15734e-49,  1.14272e-11,  0.0105079  ])
302735  , -26559.9    , array([ 0.109952   ,  0.148531   ,  1.1585e-49 ,  1.14272e-11,  0.0105079  ])
302736  , -26559.9    , array([ 0.109952   ,  0.148531   ,  1.15734e-49,  1.14387e-11,  0.0105079  ])
302737  , -26547.7    , array([ 0.109952   ,  0.148531   ,  1.15734e-49,  1.14272e-11,  0.0105185  ])
302738  , -23410.4    , array([ 0.0890035  ,  0.119663   ,  1.15734e-49,  1.14272e-11,  0.0162497  ])
302739  , -23410.4    , array([ 0.0890035  ,  0.119663   ,  1.15734e-49,  1.14272e-11,  0.0162497  ])
302740  , -23390.5    , array([ 0.0890925  ,  0.119663   ,  1.15734e-49,  1.14272e-11,  0.0162497  ])
302741  , -23425.4    , array([ 0.0890035  ,  0.119783   ,  1.15734e-49,  1.14272e-11,  0.0162497  ])
302742  , -23410.4    , array([ 0.0890035  ,  0.119663   ,  1.1585e-49 ,  1.14272e-11,  0.0162497  ])
302743  , -23410.4    , array([ 0.0890035  ,  0.119663   ,  1.15734e-49,  1.14387e-11,  0.0162497  ])
302744  , -23413      , array([ 0.0890035  ,  0.119663   ,  1.15734e-49,  1.14272e-11,  0.0162659  ])
302745  , -23225.7    , array([ 0.0930703  ,  0.125257   ,  1.15734e-49,  1.14272e-11,  0.0148192  ])
302746  , -23225.7    , array([ 0.0930703  ,  0.125257   ,  1.15734e-49,  1.14272e-11,  0.0148192  ])
302747  , -23209.1    , array([ 0.0931634  ,  0.125257   ,  1.15734e-49,  1.14272e-11,  0.0148192  ])
302748  , -23241.3    , array([ 0.0930703  ,  0.125382   ,  1.15734e-49,  1.14272e-11,  0.0148192  ])
302749  , -23225.7    , array([ 0.0930703  ,  0.125257   ,  1.1585e-49 ,  1.14272e-11,  0.0148192  ])
302750  , -23225.7    , array([ 0.0930703  ,  0.125257   ,  1.15734e-49,  1.14387e-11,  0.0148192  ])
302751  , -23224.7    , array([ 0.0930703  ,  0.125257   ,  1.15734e-49,  1.14272e-11,  0.014834   ])
302752  , -23221.6    , array([ 0.0925342  ,  0.124519   ,  1.15734e-49,  1.14272e-11,  0.0149968  ])
