77546   , -79089.4    , array([ 2.1799     ,  0.381984   ,  2.75068e-20,  4.43256e-09,  5.75276e-10])
77547   , -79089.4    , array([ 2.18208    ,  0.381984   ,  2.75068e-20,  4.43256e-09,  5.75276e-10])
77548   , -79089.4    , array([ 2.1799     ,  0.382367   ,  2.75068e-20,  4.43256e-09,  5.75276e-10])
77549   , -79089.4    , array([ 2.1799     ,  0.381984   ,  2.75343e-20,  4.43256e-09,  5.75276e-10])
77550   , -79089.4    , array([ 2.1799     ,  0.381984   ,  2.75068e-20,  4.43699e-09,  5.75276e-10])
77551   , -79089.4    , array([ 2.1799     ,  0.381984   ,  2.75068e-20,  4.43256e-09,  5.75852e-10])
77552   , -79089.4    , array([ 2.1799     ,  0.381984   ,  2.75068e-20,  4.43256e-09,  5.75276e-10])
77553   , -79089.4    , array([ 2.17944    ,  0.381309   ,  2.75068e-20,  4.43256e-09,  5.76423e-10])
77554   , -79089.4    , array([ 2.17944    ,  0.381309   ,  2.75068e-20,  4.43256e-09,  5.76423e-10])
77555   , -79089.4    , array([ 2.18163    ,  0.381309   ,  2.75068e-20,  4.43256e-09,  5.76423e-10])
77556   , -79089.4    , array([ 2.17944    ,  0.381691   ,  2.75068e-20,  4.43256e-09,  5.76423e-10])
77557   , -79089.4    , array([ 2.17944    ,  0.381309   ,  2.75343e-20,  4.43256e-09,  5.76423e-10])
77558   , -79089.4    , array([ 2.17944    ,  0.381309   ,  2.75068e-20,  4.43699e-09,  5.76423e-10])
77559   , -79089.4    , array([ 2.17944    ,  0.381309   ,  2.75068e-20,  4.43256e-09,  5.76999e-10])
77560   , -79089.4    , array([ 2.17761    ,  0.378622   ,  2.75068e-20,  4.43256e-09,  5.81031e-10])
77561   , -79089.4    , array([ 2.17761    ,  0.378622   ,  2.75068e-20,  4.43256e-09,  5.81031e-10])
77562   , -79089.4    , array([ 2.17979    ,  0.378622   ,  2.75068e-20,  4.43256e-09,  5.81031e-10])
77563   , -79089.4    , array([ 2.17761    ,  0.379      ,  2.75068e-20,  4.43256e-09,  5.81031e-10])
77564   , -79089.4    , array([ 2.17761    ,  0.378622   ,  2.75343e-20,  4.43256e-09,  5.81031e-10])
77565   , -79089.4    , array([ 2.17761    ,  0.378622   ,  2.75068e-20,  4.43699e-09,  5.81031e-10])
77566   , -79089.4    , array([ 2.17761    ,  0.378622   ,  2.75068e-20,  4.43256e-09,  5.81613e-10])
77567   , -79089.4    , array([ 2.17029    ,  0.368058   ,  2.75068e-20,  4.43256e-09,  5.99838e-10])
77568   , -79089.4    , array([ 2.17029    ,  0.368058   ,  2.75068e-20,  4.43256e-09,  5.99838e-10])
77569   , -79089.4    , array([ 2.17247    ,  0.368058   ,  2.75068e-20,  4.43256e-09,  5.99838e-10])
77570   , -79089.4    , array([ 2.17029    ,  0.368426   ,  2.75068e-20,  4.43256e-09,  5.99838e-10])
77571   , -79089.4    , array([ 2.17029    ,  0.368058   ,  2.75343e-20,  4.43256e-09,  5.99838e-10])
77572   , -79089.4    , array([ 2.17029    ,  0.368058   ,  2.75068e-20,  4.43699e-09,  5.99838e-10])
77573   , -79089.4    , array([ 2.17029    ,  0.368058   ,  2.75068e-20,  4.43256e-09,  6.00438e-10])
77574   , -79089.4    , array([ 2.14127    ,  0.32867    ,  2.75068e-20,  4.43256e-09,  6.8135e-10 ])
77575   , -79089.4    , array([ 2.14127    ,  0.32867    ,  2.75068e-20,  4.43256e-09,  6.8135e-10 ])
77576   , -79089.4    , array([ 2.14341    ,  0.32867    ,  2.75068e-20,  4.43256e-09,  6.8135e-10 ])
77577   , -79089.4    , array([ 2.14127    ,  0.328999   ,  2.75068e-20,  4.43256e-09,  6.8135e-10 ])
