226925  , -79089.3    , array([ 4.07181    ,  0.518767   ,  4.96861e-42,  5.5047e-26 ,  6.27005e-08])
226926  , -79089.3    , array([ 4.07588    ,  0.518767   ,  4.96861e-42,  5.5047e-26 ,  6.27005e-08])
226927  , -79089.3    , array([ 4.07181    ,  0.519286   ,  4.96861e-42,  5.5047e-26 ,  6.27005e-08])
226928  , -79089.3    , array([ 4.07181    ,  0.518767   ,  4.97358e-42,  5.5047e-26 ,  6.27005e-08])
226929  , -79089.3    , array([ 4.07181    ,  0.518767   ,  4.96861e-42,  5.51021e-26,  6.27005e-08])
226930  , -79089.3    , array([ 4.07181    ,  0.518767   ,  4.96861e-42,  5.5047e-26 ,  6.27632e-08])
226931  , -79089.3    , array([ 4.07181    ,  0.518767   ,  4.96861e-42,  5.5047e-26 ,  6.27005e-08])
226932  , -79089.2    , array([ 4.02207    ,  0.45012    ,  4.96861e-42,  5.5047e-26 ,  7.3244e-08 ])
226933  , -79089.2    , array([ 4.02207    ,  0.45012    ,  4.96861e-42,  5.5047e-26 ,  7.3244e-08 ])
226934  , -79089.2    , array([ 4.02609    ,  0.45012    ,  4.96861e-42,  5.5047e-26 ,  7.3244e-08 ])
226935  , -79089.2    , array([ 4.02207    ,  0.45057    ,  4.96861e-42,  5.5047e-26 ,  7.3244e-08 ])
226936  , -79089.2    , array([ 4.02207    ,  0.45012    ,  4.97358e-42,  5.5047e-26 ,  7.3244e-08 ])
226937  , -79089.2    , array([ 4.02207    ,  0.45012    ,  4.96861e-42,  5.51021e-26,  7.3244e-08 ])
226938  , -79089.2    , array([ 4.02207    ,  0.45012    ,  4.96861e-42,  5.5047e-26 ,  7.33173e-08])
226939  , -79088.8    , array([ 3.8291     ,  0.255124   ,  4.96861e-42,  5.5047e-26 ,  1.36388e-07])
226940  , -79088.8    , array([ 3.8291     ,  0.255124   ,  4.96861e-42,  5.5047e-26 ,  1.36388e-07])
226941  , -79088.8    , array([ 3.83293    ,  0.255124   ,  4.96861e-42,  5.5047e-26 ,  1.36388e-07])
226942  , -79088.8    , array([ 3.8291     ,  0.25538    ,  4.96861e-42,  5.5047e-26 ,  1.36388e-07])
226943  , -79088.8    , array([ 3.8291     ,  0.255124   ,  4.97358e-42,  5.5047e-26 ,  1.36388e-07])
226944  , -79088.8    , array([ 3.8291     ,  0.255124   ,  4.96861e-42,  5.51021e-26,  1.36388e-07])
226945  , -79088.8    , array([ 3.8291     ,  0.255124   ,  4.96861e-42,  5.5047e-26 ,  1.36525e-07])
226946  , -79015.9    , array([ 3.14548    ,  0.0263298  ,  4.96861e-42,  5.5047e-26 ,  1.63982e-06])
226947  , -79015.9    , array([ 3.14548    ,  0.0263298  ,  4.96861e-42,  5.5047e-26 ,  1.63982e-06])
226948  , -79015.9    , array([ 3.14862    ,  0.0263298  ,  4.96861e-42,  5.5047e-26 ,  1.63982e-06])
226949  , -79015.9    , array([ 3.14548    ,  0.0263562  ,  4.96861e-42,  5.5047e-26 ,  1.63982e-06])
226950  , -79015.9    , array([ 3.14548    ,  0.0263298  ,  4.97358e-42,  5.5047e-26 ,  1.63982e-06])
226951  , -79015.9    , array([ 3.14548    ,  0.0263298  ,  4.96861e-42,  5.51021e-26,  1.63982e-06])
226952  , -79015.8    , array([ 3.14548    ,  0.0263298  ,  4.96861e-42,  5.5047e-26 ,  1.64146e-06])
226960  , -79015.9    , array([ 3.14547    ,  0.0263293  ,  4.96861e-42,  5.5047e-26 ,  1.63986e-06])
226961  , -79015.9    , array([ 3.14547    ,  0.0263293  ,  4.96861e-42,  5.5047e-26 ,  1.63986e-06])
226962  , -79015.9    , array([ 3.14862    ,  0.0263293  ,  4.96861e-42,  5.5047e-26 ,  1.63986e-06])
226963  , -79015.9    , array([ 3.14547    ,  0.0263556  ,  4.96861e-42,  5.5047e-26 ,  1.63986e-06])
