155441  , -46219.9    , array([ 0.269522   ,  6.47197    ,  0.294226   ,  0.0598159  ,  0.0357671  ])
155442  , -46217.5    , array([ 0.269522   ,  6.4655     ,  0.29452    ,  0.0598159  ,  0.0357671  ])
155443  , -46217.6    , array([ 0.269522   ,  6.4655     ,  0.294226   ,  0.0598757  ,  0.0357671  ])
155444  , -46214.6    , array([ 0.269522   ,  6.4655     ,  0.294226   ,  0.0598159  ,  0.0358029  ])
155445  , -271605     , array([ 0.0287381  ,  2.84376    ,  0.297355   ,  0.0597349  ,  0.920178   ])
155446  , -271605     , array([ 0.0287381  ,  2.84376    ,  0.297355   ,  0.0597349  ,  0.920178   ])
155447  , -271536     , array([ 0.0287668  ,  2.84376    ,  0.297355   ,  0.0597349  ,  0.920178   ])
155448  , -271635     , array([ 0.0287381  ,  2.8466     ,  0.297355   ,  0.0597349  ,  0.920178   ])
155449  , -271565     , array([ 0.0287381  ,  2.84376    ,  0.297653   ,  0.0597349  ,  0.920178   ])
155450  , -271606     , array([ 0.0287381  ,  2.84376    ,  0.297355   ,  0.0597947  ,  0.920178   ])
155451  , -271610     , array([ 0.0287381  ,  2.84376    ,  0.297355   ,  0.0597349  ,  0.921099   ])
155452  , -46199.4    , array([ 0.266585   ,  6.43956    ,  0.294241   ,  0.0598155  ,  0.0363402  ])
155453  , -46199.4    , array([ 0.266585   ,  6.43956    ,  0.294241   ,  0.0598155  ,  0.0363402  ])
155454  , -46195.9    , array([ 0.266852   ,  6.43956    ,  0.294241   ,  0.0598155  ,  0.0363402  ])
155455  , -46201.8    , array([ 0.266585   ,  6.446      ,  0.294241   ,  0.0598155  ,  0.0363402  ])
155456  , -46199.3    , array([ 0.266585   ,  6.43956    ,  0.294535   ,  0.0598155  ,  0.0363402  ])
155457  , -46199.4    , array([ 0.266585   ,  6.43956    ,  0.294241   ,  0.0598753  ,  0.0363402  ])
155458  , -46196.9    , array([ 0.266585   ,  6.43956    ,  0.294241   ,  0.0598155  ,  0.0363766  ])
155459  , -46195.8    , array([ 0.264601   ,  6.42193    ,  0.294251   ,  0.0598152  ,  0.0367363  ])
155460  , -46195.8    , array([ 0.264601   ,  6.42193    ,  0.294251   ,  0.0598152  ,  0.0367363  ])
155461  , -46191.9    , array([ 0.264866   ,  6.42193    ,  0.294251   ,  0.0598152  ,  0.0367363  ])
155462  , -46198.2    , array([ 0.264601   ,  6.42835    ,  0.294251   ,  0.0598152  ,  0.0367363  ])
155463  , -46195.7    , array([ 0.264601   ,  6.42193    ,  0.294546   ,  0.0598152  ,  0.0367363  ])
155464  , -46195.8    , array([ 0.264601   ,  6.42193    ,  0.294251   ,  0.059875   ,  0.0367363  ])
155465  , -46193.7    , array([ 0.264601   ,  6.42193    ,  0.294251   ,  0.0598152  ,  0.036773   ])
