82997   , -1926.05    , array([ 37.9566    ,  0.0634972  ,  1.23158e-72,  0.000581096,  0.0231069  ])
82998   , -1925.92    , array([ 37.9186    ,  0.0635607  ,  1.23158e-72,  0.000581096,  0.0231069  ])
82999   , -1926.03    , array([ 37.9186    ,  0.0634972  ,  1.23281e-72,  0.000581096,  0.0231069  ])
83000   , -1926.03    , array([ 37.9186    ,  0.0634972  ,  1.23158e-72,  0.000581677,  0.0231069  ])
83001   , -1926.37    , array([ 37.9186    ,  0.0634972  ,  1.23158e-72,  0.000581096,  0.02313    ])
83002   , -1909.54    , array([ 36.76      ,  0.0543239  ,  1.23158e-72,  0.00058111 ,  0.0197347  ])
83003   , -1909.54    , array([ 36.76      ,  0.0543239  ,  1.23158e-72,  0.00058111 ,  0.0197347  ])
83004   , -1909.56    , array([ 36.7967    ,  0.0543239  ,  1.23158e-72,  0.00058111 ,  0.0197347  ])
83005   , -1909.32    , array([ 36.76      ,  0.0543783  ,  1.23158e-72,  0.00058111 ,  0.0197347  ])
83006   , -1909.54    , array([ 36.76      ,  0.0543239  ,  1.23281e-72,  0.00058111 ,  0.0197347  ])
83007   , -1909.54    , array([ 36.76      ,  0.0543239  ,  1.23158e-72,  0.000581691,  0.0197347  ])
83008   , -1909.79    , array([ 36.76      ,  0.0543239  ,  1.23158e-72,  0.00058111 ,  0.0197545  ])
83009   , -1821.26    , array([ 6.30984    ,  0.0563122  ,  1.23158e-72,  0.000582055,  0.0204633  ])
83010   , -1821.26    , array([ 6.30984    ,  0.0563122  ,  1.23158e-72,  0.000582055,  0.0204633  ])
83011   , -1821.35    , array([ 6.31615    ,  0.0563122  ,  1.23158e-72,  0.000582055,  0.0204633  ])
83012   , -1820.98    , array([ 6.30984    ,  0.0563686  ,  1.23158e-72,  0.000582055,  0.0204633  ])
83013   , -1821.26    , array([ 6.30984    ,  0.0563122  ,  1.23281e-72,  0.000582055,  0.0204633  ])
83014   , -1821.26    , array([ 6.30984    ,  0.0563122  ,  1.23158e-72,  0.000582637,  0.0204633  ])
83015   , -1821.48    , array([ 6.30984    ,  0.0563122  ,  1.23158e-72,  0.000582055,  0.0204838  ])
83016   , -280182     , array([ 0.00547759 ,  0.0650204  ,  1.23158e-72,  0.00058585 ,  0.0236565  ])
83017   , -280182     , array([ 0.00547759 ,  0.0650204  ,  1.23158e-72,  0.00058585 ,  0.0236565  ])
83018   , -279966     , array([ 0.00548307 ,  0.0650204  ,  1.23158e-72,  0.00058585 ,  0.0236565  ])
83019   , -280196     , array([ 0.00547759 ,  0.0650855  ,  1.23158e-72,  0.00058585 ,  0.0236565  ])
83020   , -280182     , array([ 0.00547759 ,  0.0650204  ,  1.23281e-72,  0.00058585 ,  0.0236565  ])
83021   , -280182     , array([ 0.00547759 ,  0.0650204  ,  1.23158e-72,  0.000586436,  0.0236565  ])
83022   , -280362     , array([ 0.00547759 ,  0.0650204  ,  1.23158e-72,  0.00058585 ,  0.0236802  ])
83023   , -1659.45    , array([ 1.15471    ,  0.0582971  ,  1.23158e-72,  0.000582967,  0.0211908  ])
83024   , -1659.45    , array([ 1.15471    ,  0.0582971  ,  1.23158e-72,  0.000582967,  0.0211908  ])
83025   , -1659.35    , array([ 1.15587    ,  0.0582971  ,  1.23158e-72,  0.000582967,  0.0211908  ])
83026   , -1658.85    , array([ 1.15471    ,  0.0583555  ,  1.23158e-72,  0.000582967,  0.0211908  ])
83027   , -1659.45    , array([ 1.15471    ,  0.0582971  ,  1.23281e-72,  0.000582967,  0.0211908  ])
