296474  , -72643.9    , array([ 9.19735    ,  0.130913   ,  0.0969111  ,  4.79644e-07,  0.000751957])
296475  , -72644      , array([ 9.20655    ,  0.130913   ,  0.0969111  ,  4.79644e-07,  0.000751957])
296476  , -72650      , array([ 9.19735    ,  0.131044   ,  0.0969111  ,  4.79644e-07,  0.000751957])
296477  , -72643.9    , array([ 9.19735    ,  0.130913   ,  0.0970081  ,  4.79644e-07,  0.000751957])
296478  , -72643.9    , array([ 9.19735    ,  0.130913   ,  0.0969111  ,  4.80123e-07,  0.000751957])
296479  , -72637.8    , array([ 9.19735    ,  0.130913   ,  0.0969111  ,  4.79644e-07,  0.000752709])
296480  , -72643.9    , array([ 9.19735    ,  0.130913   ,  0.0969111  ,  4.79644e-07,  0.000751957])
296481  , -56353.8    , array([ 9.13488    ,  0.0643639  ,  0.0969088  ,  4.79644e-07,  0.00154225 ])
296482  , -56353.8    , array([ 9.13488    ,  0.0643639  ,  0.0969088  ,  4.79644e-07,  0.00154225 ])
296483  , -56353.9    , array([ 9.14402    ,  0.0643639  ,  0.0969088  ,  4.79644e-07,  0.00154225 ])
296484  , -56371.9    , array([ 9.13488    ,  0.0644283  ,  0.0969088  ,  4.79644e-07,  0.00154225 ])
296485  , -56353.8    , array([ 9.13488    ,  0.0643639  ,  0.0970057  ,  4.79644e-07,  0.00154225 ])
296486  , -56353.8    , array([ 9.13488    ,  0.0643639  ,  0.0969088  ,  4.80123e-07,  0.00154225 ])
296487  , -56335.6    , array([ 9.13488    ,  0.0643639  ,  0.0969088  ,  4.79644e-07,  0.00154379 ])
296488  , -245053     , array([ 8.88923    ,  0.00376082 ,  0.0968996  ,  4.79644e-07,  0.0272901  ])
296489  , -245053     , array([ 8.88923    ,  0.00376082 ,  0.0968996  ,  4.79644e-07,  0.0272901  ])
296490  , -245053     , array([ 8.89812    ,  0.00376082 ,  0.0968996  ,  4.79644e-07,  0.0272901  ])
296491  , -244799     , array([ 8.88923    ,  0.00376458 ,  0.0968996  ,  4.79644e-07,  0.0272901  ])
296492  , -245053     , array([ 8.88923    ,  0.00376082 ,  0.0969965  ,  4.79644e-07,  0.0272901  ])
296493  , -245053     , array([ 8.88923    ,  0.00376082 ,  0.0968996  ,  4.80123e-07,  0.0272901  ])
296494  , -245303     , array([ 8.88923    ,  0.00376082 ,  0.0968996  ,  4.79644e-07,  0.0273174  ])
296495  , -8516.16    , array([ 9.04706    ,  0.0235277  ,  0.0969055  ,  4.79644e-07,  0.00426926 ])
296496  , -8516.16    , array([ 9.04706    ,  0.0235277  ,  0.0969055  ,  4.79644e-07,  0.00426926 ])
296497  , -8516.19    , array([ 9.05611    ,  0.0235277  ,  0.0969055  ,  4.79644e-07,  0.00426926 ])
296498  , -8533.85    , array([ 9.04706    ,  0.0235513  ,  0.0969055  ,  4.79644e-07,  0.00426926 ])
