16798   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.23607    ,  1.0187e-67 ])
16799   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.38197    ,  1.0187e-67 ])
16800   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.47214    ,  1.0187e-67 ])
16801   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.52786    ,  1.0187e-67 ])
16802   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.56231    ,  1.0187e-67 ])
16803   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  1.0187e-67 ])
16804   , -79089.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  1.0187e-67 ])
16805   , -63560.9    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  1          ])
16806   , -59177.3    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  2.61803    ])
16807   , -60878.3    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  2.08567    ])
16809   , -59177.3    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  2.61803    ])
16810   , -56170      , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  3.61803    ])
16811   , -54559      , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.23607    ])
16812   , -53680.3    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.61803    ])
16813   , -53183.4    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.8541     ])
16815   , -53369.1    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.76393    ])
16816   , -53071.2    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16818   , -53071.2    , array([ 4.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16819   , -54370.7    , array([ 5.70961    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16820   , -50041.5    , array([ 3.09157    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16821   , -46307.2    , array([ 0.473541   ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16823   , -46307.2    , array([ 0.473541   ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16825   , -45182.8    , array([ 1.47354    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16826   , -43795.3    , array([ 0.973577   ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16827   , -43921      , array([ 1.04563    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16828   , -43775.5    , array([ 0.78258    ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16829   , -43712.5    , array([ 0.8698     ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16830   , -43726.7    , array([ 0.908198   ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16831   , -43722      , array([ 0.831402   ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16832   , -43712.5    , array([ 0.8698     ,  2.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16833   , -49224.3    , array([ 0.8698     ,  3.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16834   , -24830.2    , array([ 0.8698     ,  1.04374    ,  4.85939    ,  2.58793    ,  4.90983    ])
16836   , -24830.2    , array([ 0.8698     ,  1.04374    ,  4.85939    ,  2.58793    ,  4.90983    ])
16837   , -34765.3    , array([ 0.8698     ,  0.0437441  ,  4.85939    ,  2.58793    ,  4.90983    ])
16838   , -34564.3    , array([ 0.8698     ,  1.66178    ,  4.85939    ,  2.58793    ,  4.90983    ])
16839   , -20730.4    , array([ 0.8698     ,  0.856674   ,  4.85939    ,  2.58793    ,  4.90983    ])
16840   , -12334.2    , array([ 0.8698     ,  0.546162   ,  4.85939    ,  2.58793    ,  4.90983    ])
16841   , -6760.63    , array([ 0.8698     ,  0.354256   ,  4.85939    ,  2.58793    ,  4.90983    ])
16842   , -4854.8     , array([ 0.8698     ,  0.235651   ,  4.85939    ,  2.58793    ,  4.90983    ])
16843   , -12657.9    , array([ 0.8698     ,  0.102674   ,  4.85939    ,  2.58793    ,  4.90983    ])
16844   , -5503.32    , array([ 0.8698     ,  0.184858   ,  4.85939    ,  2.58793    ,  4.90983    ])
16845   , -4978.72    , array([ 0.8698     ,  0.259912   ,  4.85939    ,  2.58793    ,  4.90983    ])
16846   , -4975.52    , array([ 0.8698     ,  0.21139    ,  4.85939    ,  2.58793    ,  4.90983    ])
16847   , -4854.8     , array([ 0.8698     ,  0.235651   ,  4.85939    ,  2.58793    ,  4.90983    ])
16848   , -5945.16    , array([ 0.8698     ,  0.235651   ,  5.85939    ,  2.58793    ,  4.90983    ])
16849   , -3661.45    , array([ 0.8698     ,  0.235651   ,  3.24135    ,  2.58793    ,  4.90983    ])
16850   , -5784.88    , array([ 0.8698     ,  0.235651   ,  1.31404    ,  2.58793    ,  4.90983    ])
16851   , -3661.45    , array([ 0.8698     ,  0.235651   ,  3.24135    ,  2.58793    ,  4.90983    ])
16852   , -3710.79    , array([ 0.8698     ,  0.235651   ,  2.50518    ,  2.58793    ,  4.90983    ])
16853   , -3978.3     , array([ 0.8698     ,  0.235651   ,  3.85939    ,  2.58793    ,  4.90983    ])
16854   , -3611.3     , array([ 0.8698     ,  0.235651   ,  2.95155    ,  2.58793    ,  4.90983    ])
16855   , -3610.81    , array([ 0.8698     ,  0.235651   ,  2.93247    ,  2.58793    ,  4.90983    ])
