137075  , -79088.8    , array([ 0.0688539  ,  0.323091   ,  6.08536e-24,  1.74307e-68,  4.4214e-08 ])
137076  , -79088.8    , array([ 0.0689228  ,  0.323091   ,  6.08536e-24,  1.74307e-68,  4.4214e-08 ])
137077  , -79088.8    , array([ 0.0688539  ,  0.323414   ,  6.08536e-24,  1.74307e-68,  4.4214e-08 ])
137078  , -79088.8    , array([ 0.0688539  ,  0.323091   ,  6.09145e-24,  1.74307e-68,  4.4214e-08 ])
137079  , -79088.8    , array([ 0.0688539  ,  0.323091   ,  6.08536e-24,  1.74482e-68,  4.4214e-08 ])
137080  , -79088.8    , array([ 0.0688539  ,  0.323091   ,  6.08536e-24,  1.74307e-68,  4.42582e-08])
137081  , -79088.8    , array([ 0.0688539  ,  0.323091   ,  6.08536e-24,  1.74307e-68,  4.4214e-08 ])
137082  , -79087.4    , array([ 0.0412408  ,  0.275125   ,  6.08536e-24,  1.74307e-68,  8.68096e-08])
137083  , -79087.4    , array([ 0.0412408  ,  0.275125   ,  6.08536e-24,  1.74307e-68,  8.68096e-08])
137084  , -79087.4    , array([ 0.041282   ,  0.275125   ,  6.08536e-24,  1.74307e-68,  8.68096e-08])
137085  , -79087.4    , array([ 0.0412408  ,  0.2754     ,  6.08536e-24,  1.74307e-68,  8.68096e-08])
137086  , -79087.4    , array([ 0.0412408  ,  0.275125   ,  6.09145e-24,  1.74307e-68,  8.68096e-08])
137087  , -79087.4    , array([ 0.0412408  ,  0.275125   ,  6.08536e-24,  1.74482e-68,  8.68096e-08])
137088  , -79087.4    , array([ 0.0412408  ,  0.275125   ,  6.08536e-24,  1.74307e-68,  8.68965e-08])
137089  , -78885.6    , array([ 0.00530785 ,  0.144661   ,  6.08536e-24,  1.74307e-68,  1.29003e-06])
137090  , -78885.6    , array([ 0.00530785 ,  0.144661   ,  6.08536e-24,  1.74307e-68,  1.29003e-06])
137091  , -78885.8    , array([ 0.00531316 ,  0.144661   ,  6.08536e-24,  1.74307e-68,  1.29003e-06])
137092  , -78885.6    , array([ 0.00530785 ,  0.144806   ,  6.08536e-24,  1.74307e-68,  1.29003e-06])
137093  , -78885.6    , array([ 0.00530785 ,  0.144661   ,  6.09145e-24,  1.74307e-68,  1.29003e-06])
137094  , -78885.6    , array([ 0.00530785 ,  0.144661   ,  6.08536e-24,  1.74482e-68,  1.29003e-06])
137095  , -78885.4    , array([ 0.00530785 ,  0.144661   ,  6.08536e-24,  1.74307e-68,  1.29132e-06])
137103  , -78885.6    , array([ 0.00530757 ,  0.144659   ,  6.08536e-24,  1.74307e-68,  1.29012e-06])
137104  , -78885.6    , array([ 0.00530757 ,  0.144659   ,  6.08536e-24,  1.74307e-68,  1.29012e-06])
137105  , -78885.8    , array([ 0.00531288 ,  0.144659   ,  6.08536e-24,  1.74307e-68,  1.29012e-06])
137106  , -78885.6    , array([ 0.00530757 ,  0.144803   ,  6.08536e-24,  1.74307e-68,  1.29012e-06])
137107  , -78885.6    , array([ 0.00530757 ,  0.144659   ,  6.09145e-24,  1.74307e-68,  1.29012e-06])
137108  , -78885.6    , array([ 0.00530757 ,  0.144659   ,  6.08536e-24,  1.74482e-68,  1.29012e-06])
137109  , -78885.4    , array([ 0.00530757 ,  0.144659   ,  6.08536e-24,  1.74307e-68,  1.29141e-06])
137110  , -78885.5    , array([ 0.00530729 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29021e-06])
137111  , -78885.5    , array([ 0.00530729 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29021e-06])
137112  , -78885.7    , array([ 0.0053126  ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29021e-06])
137113  , -78885.6    , array([ 0.00530729 ,  0.144801   ,  6.08536e-24,  1.74307e-68,  1.29021e-06])
137114  , -78885.5    , array([ 0.00530729 ,  0.144656   ,  6.09145e-24,  1.74307e-68,  1.29021e-06])
137115  , -78885.5    , array([ 0.00530729 ,  0.144656   ,  6.08536e-24,  1.74482e-68,  1.29021e-06])
137116  , -78885.3    , array([ 0.00530729 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.2915e-06 ])
137124  , -78885.5    , array([ 0.00530722 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29023e-06])
137125  , -78885.5    , array([ 0.00530722 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29023e-06])
137126  , -78885.7    , array([ 0.00531253 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29023e-06])
137127  , -78885.6    , array([ 0.00530722 ,  0.1448     ,  6.08536e-24,  1.74307e-68,  1.29023e-06])
137128  , -78885.5    , array([ 0.00530722 ,  0.144656   ,  6.09145e-24,  1.74307e-68,  1.29023e-06])
137129  , -78885.5    , array([ 0.00530722 ,  0.144656   ,  6.08536e-24,  1.74482e-68,  1.29023e-06])
137130  , -78885.3    , array([ 0.00530722 ,  0.144656   ,  6.08536e-24,  1.74307e-68,  1.29152e-06])
137131  , -78885.5    , array([ 0.00530716 ,  0.144655   ,  6.08536e-24,  1.74307e-68,  1.29025e-06])
137132  , -78885.5    , array([ 0.00530716 ,  0.144655   ,  6.08536e-24,  1.74307e-68,  1.29025e-06])
137133  , -78885.7    , array([ 0.00531247 ,  0.144655   ,  6.08536e-24,  1.74307e-68,  1.29025e-06])
137134  , -78885.5    , array([ 0.00530716 ,  0.1448     ,  6.08536e-24,  1.74307e-68,  1.29025e-06])
137135  , -78885.5    , array([ 0.00530716 ,  0.144655   ,  6.09145e-24,  1.74307e-68,  1.29025e-06])
