294234  , -78822.2    , array([ 7.81424    ,  1.58134    ,  7.9496e-81 ,  0.922895   ,  0.000311732])
294235  , -78822.2    , array([ 7.82206    ,  1.58134    ,  7.9496e-81 ,  0.922895   ,  0.000311732])
294236  , -78822.4    , array([ 7.81424    ,  1.58293    ,  7.9496e-81 ,  0.922895   ,  0.000311732])
294237  , -78822.2    , array([ 7.81424    ,  1.58134    ,  7.95755e-81,  0.922895   ,  0.000311732])
294238  , -78822.2    , array([ 7.81424    ,  1.58134    ,  7.9496e-81 ,  0.923818   ,  0.000311732])
294239  , -78821.9    , array([ 7.81424    ,  1.58134    ,  7.9496e-81 ,  0.922895   ,  0.000312043])
294240  , -78822.2    , array([ 7.81424    ,  1.58134    ,  7.9496e-81 ,  0.922895   ,  0.000311732])
294241  , -78058.7    , array([ 7.1376     ,  0.819016   ,  7.9496e-81 ,  0.921486   ,  0.000667194])
294242  , -78058.7    , array([ 7.1376     ,  0.819016   ,  7.9496e-81 ,  0.921486   ,  0.000667194])
294243  , -78058.7    , array([ 7.14474    ,  0.819016   ,  7.9496e-81 ,  0.921486   ,  0.000667194])
294244  , -78059.6    , array([ 7.1376     ,  0.819835   ,  7.9496e-81 ,  0.921486   ,  0.000667194])
294245  , -78058.7    , array([ 7.1376     ,  0.819016   ,  7.95755e-81,  0.921486   ,  0.000667194])
294246  , -78058.7    , array([ 7.1376     ,  0.819016   ,  7.9496e-81 ,  0.922408   ,  0.000667194])
294247  , -78057.6    , array([ 7.1376     ,  0.819016   ,  7.9496e-81 ,  0.921486   ,  0.000667861])
294248  , -4518.26    , array([ 4.96838    ,  0.0589327  ,  7.9496e-81 ,  0.915871   ,  0.0140003  ])
294249  , -4518.26    , array([ 4.96838    ,  0.0589327  ,  7.9496e-81 ,  0.915871   ,  0.0140003  ])
294250  , -4518.39    , array([ 4.97335    ,  0.0589327  ,  7.9496e-81 ,  0.915871   ,  0.0140003  ])
294251  , -4530.33    , array([ 4.96838    ,  0.0589917  ,  7.9496e-81 ,  0.915871   ,  0.0140003  ])
294252  , -4518.26    , array([ 4.96838    ,  0.0589327  ,  7.95755e-81,  0.915871   ,  0.0140003  ])
294253  , -4518.45    , array([ 4.96838    ,  0.0589327  ,  7.9496e-81 ,  0.916787   ,  0.0140003  ])
