79856   , -79089.4    , array([ 0.506953   ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79857   , -79089.4    , array([ 0.506953   ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79858   , -79089.4    , array([ 1.50695    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79859   , -79089.4    , array([ 3.12499    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79860   , -79089.4    , array([ 1.50695    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79861   , -79089.4    , array([ 2.12499    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79862   , -79089.4    , array([ 2.50695    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79863   , -79089.4    , array([ 2.74302    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79864   , -79089.4    , array([ 2.88892    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79865   , -79089.4    , array([ 2.97909    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79866   , -79089.4    , array([ 3.03482    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79867   , -79089.4    , array([ 3.06926    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79868   , -79089.4    , array([ 3.09488    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79869   , -79089.4    , array([ 3.09488    ,  26.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79870   , -79089.4    , array([ 3.09488    ,  27.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79871   , -79089.4    , array([ 3.09488    ,  29.5767    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79872   , -79089.4    , array([ 3.09488    ,  27.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79873   , -79089.4    , array([ 3.09488    ,  28.5767    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79874   , -79089.4    , array([ 3.09488    ,  28.9587    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79875   , -79089.4    , array([ 3.09488    ,  29.1948    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79876   , -79089.4    , array([ 3.09488    ,  29.3407    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79877   , -79089.4    , array([ 3.09488    ,  29.4308    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79878   , -79089.4    , array([ 3.09488    ,  29.4866    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79879   , -79089.4    , array([ 3.09488    ,  29.521     ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79880   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79881   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.20047e-18,  0.00958377 ,  1.70803e-53])
79882   , -79089.4    , array([ 3.09488    ,  29.5466    ,  1          ,  0.00958377 ,  1.70803e-53])
79883   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.61803    ,  0.00958377 ,  1.70803e-53])
79884   , -79089.4    , array([ 3.09488    ,  29.5466    ,  1          ,  0.00958377 ,  1.70803e-53])
79885   , -79089.4    , array([ 3.09488    ,  29.5466    ,  1.61803    ,  0.00958377 ,  1.70803e-53])
79886   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2          ,  0.00958377 ,  1.70803e-53])
79887   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.23607    ,  0.00958377 ,  1.70803e-53])
79888   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.38197    ,  0.00958377 ,  1.70803e-53])
79889   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.47214    ,  0.00958377 ,  1.70803e-53])
79890   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.52786    ,  0.00958377 ,  1.70803e-53])
79891   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.56231    ,  0.00958377 ,  1.70803e-53])
79892   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  0.00958377 ,  1.70803e-53])
79893   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  0.00958377 ,  1.70803e-53])
79894   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  1.00958    ,  1.70803e-53])
79895   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.62762    ,  1.70803e-53])
79896   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  1.00958    ,  1.70803e-53])
79897   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  1.62762    ,  1.70803e-53])
79898   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.00958    ,  1.70803e-53])
79899   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.24565    ,  1.70803e-53])
79900   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.39155    ,  1.70803e-53])
79901   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.48172    ,  1.70803e-53])
79902   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.53745    ,  1.70803e-53])
79903   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.57189    ,  1.70803e-53])
79904   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  1.70803e-53])
79905   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  1.70803e-53])
79906   , -87628      , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  1          ])
79908   , -79089.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  1.70803e-53])
79910   , -77291.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.381966   ])
79911   , -70913.2    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.190998   ])
79912   , -71298.5    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.20278    ])
79913   , -69172.1    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.118043   ])
79914   , -71559.2    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.0400616  ])
79915   , -69181.4    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.0882567  ])
79916   , -69090.5    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.103814   ])
79917   , -69090.2    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79918   , -69090.6    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.101749   ])
79919   , -85133.3    , array([ 5.68281    ,  32.1346    ,  5.17586    ,  5.18544    ,  0.205553   ])
79920   , -69090.2    , array([ 3.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79921   , -72159.1    , array([ 4.09488    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79922   , -59680.2    , array([ 1.47685    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79924   , -59680.2    , array([ 1.47685    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79925   , -51522.1    , array([ 0.476848   ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79927   , -54804.1    , array([ 0.976807   ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79928   , -59828.7    , array([ 0.24078    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79929   , -51895.8    , array([ 0.667815   ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79930   , -51400.9    , array([ 0.506716   ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79931   , -51371.8    , array([ 0.54613    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79932   , -51416.3    , array([ 0.571617   ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79933   , -51371.8    , array([ 0.54613    ,  29.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79934   , -51410.1    , array([ 0.54613    ,  30.5466    ,  2.58793    ,  2.59751    ,  0.102776   ])
79935   , -51304.1    , array([ 0.54613    ,  27.9286    ,  2.58793    ,  2.59751    ,  0.102776   ])
79936   , -51176.5    , array([ 0.54613    ,  25.3106    ,  2.58793    ,  2.59751    ,  0.102776   ])
79937   , -50904.7    , array([ 0.54613    ,  21.0745    ,  2.58793    ,  2.59751    ,  0.102776   ])
79938   , -50133.7    , array([ 0.54613    ,  14.2204    ,  2.58793    ,  2.59751    ,  0.102776   ])
79939   , -42696.5    , array([ 0.54613    ,  3.13023    ,  2.58793    ,  2.59751    ,  0.102776   ])
79941   , -42696.5    , array([ 0.54613    ,  3.13023    ,  2.58793    ,  2.59751    ,  0.102776   ])
79943   , -48018.8    , array([ 0.54613    ,  7.36629    ,  2.58793    ,  2.59751    ,  0.102776   ])
79944   , -46342.1    , array([ 0.54613    ,  5.24778    ,  2.58793    ,  2.59751    ,  0.102776   ])
79945   , -16978      , array([ 0.54613    ,  0.512192   ,  2.58793    ,  2.59751    ,  0.102776   ])
79947   , -34664.1    , array([ 0.54613    ,  1.51219    ,  2.58793    ,  2.59751    ,  0.102776   ])
79949   , -26626.7    , array([ 0.54613    ,  0.894157   ,  2.58793    ,  2.59751    ,  0.102776   ])
79950   , -5580.5     , array([ 0.54613    ,  0.221847   ,  2.58793    ,  2.59751    ,  0.102776   ])
79951   , -5580.5     , array([ 0.54613    ,  0.221847   ,  2.58793    ,  2.59751    ,  0.102776   ])
79952   , -5025.14    , array([ 0.54613    ,  0.221847   ,  3.58793    ,  2.59751    ,  0.102776   ])
79953   , -4677.91    , array([ 0.54613    ,  0.221847   ,  5.20596    ,  2.59751    ,  0.102776   ])
79954   , -4677.23    , array([ 0.54613    ,  0.221847   ,  5.22135    ,  2.59751    ,  0.102776   ])
79955   , -4676.23    , array([ 0.54613    ,  0.221847   ,  5.24624    ,  2.59751    ,  0.102776   ])
79956   , -4672.19    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  2.59751    ,  0.102776   ])
79957   , -4681.45    , array([ 0.54613    ,  0.221847   ,  5.79028    ,  2.59751    ,  0.102776   ])
79958   , -4672.19    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  2.59751    ,  0.102776   ])
79959   , -4673.48    , array([ 0.54613    ,  0.221847   ,  5.58248    ,  2.59751    ,  0.102776   ])
79960   , -4672.83    , array([ 0.54613    ,  0.221847   ,  5.37467    ,  2.59751    ,  0.102776   ])
79961   , -4672.24    , array([ 0.54613    ,  0.221847   ,  5.48271    ,  2.59751    ,  0.102776   ])
79962   , -4672.3     , array([ 0.54613    ,  0.221847   ,  5.42539    ,  2.59751    ,  0.102776   ])
79963   , -4672.19    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  2.59751    ,  0.102776   ])
79964   , -5763.71    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  3.59751    ,  0.102776   ])
79965   , -3382.5     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.979479   ,  0.102776   ])
79967   , -3382.5     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.979479   ,  0.102776   ])
79969   , -3777.19    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  1.59751    ,  0.102776   ])
79970   , -3560.54    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  1.28849    ,  0.102776   ])
79971   , -3224.04    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.580513   ,  0.102776   ])
79972   , -3176.57    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.333939   ,  0.102776   ])
79973   , -3172.02    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.153573   ,  0.102776   ])
79974   , -3170.41    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.102776   ])
79975   , -3170.61    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.235452   ,  0.102776   ])
79976   , -3170.7     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.187733   ,  0.102776   ])
79977   , -3170.41    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.102776   ])
79978   , -14537.1    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  1.10278    ])
79980   , -3170.41    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.102776   ])
79982   , -11082.2    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.484742   ])
79983   , -7462.69    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.293695   ])
79985   , -33325.8    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.0126063  ])
79986   , -4303.51    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.175701   ])
79987   , -4470.61    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.0683344  ])
79988   , -3242.04    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.123585   ])
79989   , -3156.95    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.105765   ])
79990   , -3152.99    , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.109319   ])
79991   , -3152.8     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108621   ])
79992   , -3152.8     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
79993   , -3152.8     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108755   ])
79995   , -3152.8     , array([ 0.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
79996   , -2385.78    , array([ 1.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
79997   , -3807.1     , array([ 3.16416    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
79998   , -2385.78    , array([ 1.54613    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
79999   , -3021.68    , array([ 2.16416    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80000   , -2019.85    , array([ 1.16416    ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80001   , -1945.11    , array([ 0.928096   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80002   , -1958.9     , array([ 0.893605   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80003   , -1940.21    , array([ 0.986338   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80004   , -1939.54    , array([ 0.969581   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80005   , -1939.56    , array([ 0.973815   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80006   , -1939.62    , array([ 0.965346   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80007   , -1939.54    , array([ 0.969581   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80008   , -27769.3    , array([ 0.969581   ,  1.22185    ,  5.45405    ,  0.211592   ,  0.108696   ])
80010   , -1939.54    , array([ 0.969581   ,  0.221847   ,  5.45405    ,  0.211592   ,  0.108696   ])
80012   , -14415.6    , array([ 0.969581   ,  0.603813   ,  5.45405    ,  0.211592   ,  0.108696   ])
80013   , -7826.93    , array([ 0.969581   ,  0.412729   ,  5.45405    ,  0.211592   ,  0.108696   ])
80015   , -5080.49    , array([ 0.969581   ,  0.131677   ,  5.45405    ,  0.211592   ,  0.108696   ])
80016   , -2421.93    , array([ 0.969581   ,  0.251294   ,  5.45405    ,  0.211592   ,  0.108696   ])
80017   , -1901.65    , array([ 0.969581   ,  0.21744    ,  5.45405    ,  0.211592   ,  0.108696   ])
80018   , -2034.45    , array([ 0.969581   ,  0.184682   ,  5.45405    ,  0.211592   ,  0.108696   ])
80019   , -1857.7     , array([ 0.969581   ,  0.207016   ,  5.45405    ,  0.211592   ,  0.108696   ])
80020   , -1857.33    , array([ 0.969581   ,  0.205092   ,  5.45405    ,  0.211592   ,  0.108696   ])
80021   , -1857.17    , array([ 0.969581   ,  0.205758   ,  5.45405    ,  0.211592   ,  0.108696   ])
80022   , -1857.17    , array([ 0.969581   ,  0.205919   ,  5.45405    ,  0.211592   ,  0.108696   ])
80023   , -1857.18    , array([ 0.969581   ,  0.205597   ,  5.45405    ,  0.211592   ,  0.108696   ])
80024   , -1857.17    , array([ 0.969581   ,  0.205758   ,  5.45405    ,  0.211592   ,  0.108696   ])
80025   , -1922.18    , array([ 0.969581   ,  0.205758   ,  6.45405    ,  0.211592   ,  0.108696   ])
80026   , -2225.16    , array([ 0.969581   ,  0.205758   ,  3.83601    ,  0.211592   ,  0.108696   ])
80027   , -1857.17    , array([ 0.969581   ,  0.205758   ,  5.45405    ,  0.211592   ,  0.108696   ])
80028   , -1920.01    , array([ 0.969581   ,  0.205758   ,  4.83601    ,  0.211592   ,  0.108696   ])
80029   , -1859.45    , array([ 0.969581   ,  0.205758   ,  5.83601    ,  0.211592   ,  0.108696   ])
80030   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.61729    ,  0.211592   ,  0.108696   ])
80031   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.6156     ,  0.211592   ,  0.108696   ])
80032   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.211592   ,  0.108696   ])
80033   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.61238    ,  0.211592   ,  0.108696   ])
80034   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.211592   ,  0.108696   ])
80035   , -1959.62    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  1.21159    ,  0.108696   ])
80037   , -1854.52    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.211592   ,  0.108696   ])
80039   , -1812.72    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.593558   ,  0.108696   ])
80040   , -1818.39    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.402576   ,  0.108696   ])
80041   , -1811.48    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.533576   ,  0.108696   ])
80042   , -1811.48    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.108696   ])
80043   , -1811.48    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.540047   ,  0.108696   ])
80044   , -1811.48    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.108696   ])
80045   , -14919.9    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  1.1087     ])
80047   , -1811.48    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.108696   ])
80049   , -10741.4    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.490662   ])
80050   , -6815.97    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.299606   ])
80052   , -24291.7    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.0185256  ])
80053   , -3333.8     , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.181617   ])
80054   , -2752.74    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.0742537  ])
80055   , -1904.96    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.121908   ])
80056   , -1814.72    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.110402   ])
80057   , -1811.05    , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107437   ])
80058   , -1811       , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107742   ])
80059   , -1811       , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107752   ])
80060   , -1811       , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107761   ])
80061   , -2077.75    , array([ 1.39303    ,  0.189669   ,  5.77392    ,  0.861998   ,  0.106808   ])
80062   , -1811       , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107752   ])
80063   , -2077.75    , array([ 1.39303    ,  0.189669   ,  5.77392    ,  0.861998   ,  0.106808   ])
80064   , -9790.83    , array([ 0.284423   ,  0.231791   ,  5.3552     ,  0.0106059  ,  0.109279   ])
80065   , -1811       , array([ 0.969581   ,  0.205758   ,  5.61398    ,  0.536795   ,  0.107752   ])
80066   , -2179.4     , array([ 0.707874   ,  0.215702   ,  5.51514    ,  0.335809   ,  0.108335   ])
80067   , -1857.47    , array([ 1.13132    ,  0.199613   ,  5.67507    ,  0.661012   ,  0.107391   ])
80068   , -1812.13    , array([ 1.01456    ,  0.204049   ,  5.63097    ,  0.571339   ,  0.107652   ])
80069   , -1810.09    , array([ 0.986461   ,  0.205117   ,  5.62036    ,  0.549759   ,  0.107714   ])
