34548   , -78532.9    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19663e-06])
34549   , -78533.4    , array([ 0.00170218 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19544e-06])
34550   , -78533.4    , array([ 0.00170218 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19544e-06])
34551   , -78534      , array([ 0.00170389 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19544e-06])
34552   , -78533.4    , array([ 0.00170218 ,  1.30626    ,  1.42781e-22,  6.50804e-16,  1.19544e-06])
34553   , -78533.4    , array([ 0.00170218 ,  1.30496    ,  1.42923e-22,  6.50804e-16,  1.19544e-06])
34554   , -78533.4    , array([ 0.00170218 ,  1.30496    ,  1.42781e-22,  6.51456e-16,  1.19544e-06])
34555   , -78532.9    , array([ 0.00170218 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19663e-06])
34556   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34557   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34558   , -77967.9    , array([ 0.00119583 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34559   , -77966.9    , array([ 0.00119464 ,  1.29909    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34560   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42923e-22,  6.50804e-16,  1.71352e-06])
34561   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.51456e-16,  1.71352e-06])
34562   , -77965.8    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71523e-06])
34563   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34564   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34565   , -77967.9    , array([ 0.00119583 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34566   , -77966.9    , array([ 0.00119464 ,  1.29909    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34567   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42923e-22,  6.50804e-16,  1.71352e-06])
34568   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.51456e-16,  1.71352e-06])
34569   , -77965.8    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71523e-06])
34570   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34571   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34572   , -77967.9    , array([ 0.00119583 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34573   , -77966.9    , array([ 0.00119464 ,  1.29909    ,  1.42781e-22,  6.50804e-16,  1.71352e-06])
34574   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42923e-22,  6.50804e-16,  1.71352e-06])
34575   , -77966.9    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.51456e-16,  1.71352e-06])
34576   , -77965.8    , array([ 0.00119464 ,  1.29779    ,  1.42781e-22,  6.50804e-16,  1.71523e-06])
34577   , -77500.1    , array([ 0.00100081 ,  1.29423    ,  1.42781e-22,  6.50804e-16,  2.05149e-06])
34578   , -77500.1    , array([ 0.00100081 ,  1.29423    ,  1.42781e-22,  6.50804e-16,  2.05149e-06])
34579   , -77501.7    , array([ 0.00100181 ,  1.29423    ,  1.42781e-22,  6.50804e-16,  2.05149e-06])
34580   , -77500.1    , array([ 0.00100081 ,  1.29552    ,  1.42781e-22,  6.50804e-16,  2.05149e-06])
34581   , -77500.1    , array([ 0.00100081 ,  1.29423    ,  1.42923e-22,  6.50804e-16,  2.05149e-06])
34582   , -77500.1    , array([ 0.00100081 ,  1.29423    ,  1.42781e-22,  6.51456e-16,  2.05149e-06])
