85731   , -24650      , array([ 0.725466   ,  0.00541969 ,  2.29408e-28,  3.78728e-37,  0.000487758])
85732   , -24650.1    , array([ 0.726192   ,  0.00541969 ,  2.29408e-28,  3.78728e-37,  0.000487758])
85733   , -24676.2    , array([ 0.725466   ,  0.00542511 ,  2.29408e-28,  3.78728e-37,  0.000487758])
85734   , -24650      , array([ 0.725466   ,  0.00541969 ,  2.29638e-28,  3.78728e-37,  0.000487758])
85735   , -24650      , array([ 0.725466   ,  0.00541969 ,  2.29408e-28,  3.79107e-37,  0.000487758])
85736   , -24623.6    , array([ 0.725466   ,  0.00541969 ,  2.29408e-28,  3.78728e-37,  0.000488246])
85737   , -24650      , array([ 0.725466   ,  0.00541969 ,  2.29408e-28,  3.78728e-37,  0.000487758])
85738   , -2715.84    , array([ 0.723172   ,  0.00265776 ,  2.29408e-28,  3.78728e-37,  0.000997856])
85739   , -2715.84    , array([ 0.723172   ,  0.00265776 ,  2.29408e-28,  3.78728e-37,  0.000997856])
85740   , -2715.87    , array([ 0.723896   ,  0.00265776 ,  2.29408e-28,  3.78728e-37,  0.000997856])
85741   , -2713.01    , array([ 0.723172   ,  0.00266042 ,  2.29408e-28,  3.78728e-37,  0.000997856])
85742   , -2715.84    , array([ 0.723172   ,  0.00265776 ,  2.29638e-28,  3.78728e-37,  0.000997856])
85743   , -2715.84    , array([ 0.723172   ,  0.00265776 ,  2.29408e-28,  3.79107e-37,  0.000997856])
85744   , -2718.58    , array([ 0.723172   ,  0.00265776 ,  2.29408e-28,  3.78728e-37,  0.000998855])
85752   , -2715.76    , array([ 0.722903   ,  0.00265919 ,  2.29408e-28,  3.78728e-37,  0.00099839 ])
85753   , -2715.76    , array([ 0.722903   ,  0.00265919 ,  2.29408e-28,  3.78728e-37,  0.00099839 ])
85754   , -2715.78    , array([ 0.723626   ,  0.00265919 ,  2.29408e-28,  3.78728e-37,  0.00099839 ])
85755   , -2712.92    , array([ 0.722903   ,  0.00266185 ,  2.29408e-28,  3.78728e-37,  0.00099839 ])
85756   , -2715.76    , array([ 0.722903   ,  0.00265919 ,  2.29638e-28,  3.78728e-37,  0.00099839 ])
85757   , -2715.76    , array([ 0.722903   ,  0.00265919 ,  2.29408e-28,  3.79107e-37,  0.00099839 ])
85758   , -2718.49    , array([ 0.722903   ,  0.00265919 ,  2.29408e-28,  3.78728e-37,  0.000999389])
85759   , -2715.67    , array([ 0.722633   ,  0.00266062 ,  2.29408e-28,  3.78728e-37,  0.000998924])
85760   , -2715.67    , array([ 0.722633   ,  0.00266062 ,  2.29408e-28,  3.78728e-37,  0.000998924])
85761   , -2715.69    , array([ 0.723356   ,  0.00266062 ,  2.29408e-28,  3.78728e-37,  0.000998924])
85762   , -2712.84    , array([ 0.722633   ,  0.00266328 ,  2.29408e-28,  3.78728e-37,  0.000998924])
85763   , -2715.67    , array([ 0.722633   ,  0.00266062 ,  2.29638e-28,  3.78728e-37,  0.000998924])
85764   , -2715.67    , array([ 0.722633   ,  0.00266062 ,  2.29408e-28,  3.79107e-37,  0.000998924])
85765   , -2718.41    , array([ 0.722633   ,  0.00266062 ,  2.29408e-28,  3.78728e-37,  0.000999924])
85773   , -2715.65    , array([ 0.722565   ,  0.00266098 ,  2.29408e-28,  3.78728e-37,  0.000999058])
85774   , -2715.65    , array([ 0.722565   ,  0.00266098 ,  2.29408e-28,  3.78728e-37,  0.000999058])
85775   , -2715.67    , array([ 0.723288   ,  0.00266098 ,  2.29408e-28,  3.78728e-37,  0.000999058])
85776   , -2712.81    , array([ 0.722565   ,  0.00266364 ,  2.29408e-28,  3.78728e-37,  0.000999058])
85777   , -2715.65    , array([ 0.722565   ,  0.00266098 ,  2.29638e-28,  3.78728e-37,  0.000999058])
85778   , -2715.65    , array([ 0.722565   ,  0.00266098 ,  2.29408e-28,  3.79107e-37,  0.000999058])
85779   , -2718.38    , array([ 0.722565   ,  0.00266098 ,  2.29408e-28,  3.78728e-37,  0.00100006 ])
85780   , -2715.62    , array([ 0.722498   ,  0.00266133 ,  2.29408e-28,  3.78728e-37,  0.000999192])
85781   , -2715.62    , array([ 0.722498   ,  0.00266133 ,  2.29408e-28,  3.78728e-37,  0.000999192])
85782   , -2715.65    , array([ 0.723221   ,  0.00266133 ,  2.29408e-28,  3.78728e-37,  0.000999192])
85783   , -2712.79    , array([ 0.722498   ,  0.002664   ,  2.29408e-28,  3.78728e-37,  0.000999192])
85784   , -2715.62    , array([ 0.722498   ,  0.00266133 ,  2.29638e-28,  3.78728e-37,  0.000999192])
85785   , -2715.62    , array([ 0.722498   ,  0.00266133 ,  2.29408e-28,  3.79107e-37,  0.000999192])
85786   , -2718.36    , array([ 0.722498   ,  0.00266133 ,  2.29408e-28,  3.78728e-37,  0.00100019 ])
85794   , -2715.62    , array([ 0.722481   ,  0.00266142 ,  2.29408e-28,  3.78728e-37,  0.000999225])
85795   , -2715.62    , array([ 0.722481   ,  0.00266142 ,  2.29408e-28,  3.78728e-37,  0.000999225])
85796   , -2715.65    , array([ 0.723204   ,  0.00266142 ,  2.29408e-28,  3.78728e-37,  0.000999225])
85797   , -2712.79    , array([ 0.722481   ,  0.00266409 ,  2.29408e-28,  3.78728e-37,  0.000999225])
85798   , -2715.62    , array([ 0.722481   ,  0.00266142 ,  2.29638e-28,  3.78728e-37,  0.000999225])
85799   , -2715.62    , array([ 0.722481   ,  0.00266142 ,  2.29408e-28,  3.79107e-37,  0.000999225])
85800   , -2718.36    , array([ 0.722481   ,  0.00266142 ,  2.29408e-28,  3.78728e-37,  0.00100022 ])
85801   , -2715.61    , array([ 0.722464   ,  0.00266151 ,  2.29408e-28,  3.78728e-37,  0.000999259])
85802   , -2715.61    , array([ 0.722464   ,  0.00266151 ,  2.29408e-28,  3.78728e-37,  0.000999259])
85803   , -2715.64    , array([ 0.723187   ,  0.00266151 ,  2.29408e-28,  3.78728e-37,  0.000999259])
85804   , -2712.78    , array([ 0.722464   ,  0.00266418 ,  2.29408e-28,  3.78728e-37,  0.000999259])
85805   , -2715.61    , array([ 0.722464   ,  0.00266151 ,  2.29638e-28,  3.78728e-37,  0.000999259])
85806   , -2715.61    , array([ 0.722464   ,  0.00266151 ,  2.29408e-28,  3.79107e-37,  0.000999259])
85807   , -2718.35    , array([ 0.722464   ,  0.00266151 ,  2.29408e-28,  3.78728e-37,  0.00100026 ])
85808   , -1.75529e+06, array([ 0.0096711  ,  1.33168    ,  2.29408e-28,  3.78728e-37,  0.482637   ])
85809   , -1.75529e+06, array([ 0.0096711  ,  1.33168    ,  2.29408e-28,  3.78728e-37,  0.482637   ])
85810   , -1.78615e+06, array([ 0.00968078 ,  1.33168    ,  2.29408e-28,  3.78728e-37,  0.482637   ])
85811   , -1.75529e+06, array([ 0.0096711  ,  1.33301    ,  2.29408e-28,  3.78728e-37,  0.482637   ])
85812   , -1.75529e+06, array([ 0.0096711  ,  1.33168    ,  2.29638e-28,  3.78728e-37,  0.482637   ])
85813   , -1.75529e+06, array([ 0.0096711  ,  1.33168    ,  2.29408e-28,  3.79107e-37,  0.482637   ])
85814   , -1.72986e+06, array([ 0.0096711  ,  1.33168    ,  2.29408e-28,  3.78728e-37,  0.483119   ])
85815   , -2715.61    , array([ 0.72246    ,  0.00266154 ,  2.29408e-28,  3.78728e-37,  0.000999267])
85816   , -2715.61    , array([ 0.72246    ,  0.00266154 ,  2.29408e-28,  3.78728e-37,  0.000999267])
85817   , -2715.64    , array([ 0.723183   ,  0.00266154 ,  2.29408e-28,  3.78728e-37,  0.000999267])
85818   , -2712.78    , array([ 0.72246    ,  0.0026642  ,  2.29408e-28,  3.78728e-37,  0.000999267])
85819   , -2715.61    , array([ 0.72246    ,  0.00266154 ,  2.29638e-28,  3.78728e-37,  0.000999267])
85820   , -2715.61    , array([ 0.72246    ,  0.00266154 ,  2.29408e-28,  3.79107e-37,  0.000999267])
85821   , -2718.35    , array([ 0.72246    ,  0.00266154 ,  2.29408e-28,  3.78728e-37,  0.00100027 ])
85822   , -2715.61    , array([ 0.722455   ,  0.00266156 ,  2.29408e-28,  3.78728e-37,  0.000999276])
85823   , -2715.61    , array([ 0.722455   ,  0.00266156 ,  2.29408e-28,  3.78728e-37,  0.000999276])
85824   , -2715.64    , array([ 0.723178   ,  0.00266156 ,  2.29408e-28,  3.78728e-37,  0.000999276])
85825   , -2712.78    , array([ 0.722455   ,  0.00266422 ,  2.29408e-28,  3.78728e-37,  0.000999276])
85826   , -2715.61    , array([ 0.722455   ,  0.00266156 ,  2.29638e-28,  3.78728e-37,  0.000999276])
85827   , -2715.61    , array([ 0.722455   ,  0.00266156 ,  2.29408e-28,  3.79107e-37,  0.000999276])
85828   , -2718.35    , array([ 0.722455   ,  0.00266156 ,  2.29408e-28,  3.78728e-37,  0.00100028 ])
85829   , -20812.9    , array([ 0.0835879  ,  0.0595343  ,  2.29408e-28,  3.78728e-37,  0.021961   ])
85830   , -20812.9    , array([ 0.0835879  ,  0.0595343  ,  2.29408e-28,  3.78728e-37,  0.021961   ])
85831   , -20787      , array([ 0.0836716  ,  0.0595343  ,  2.29408e-28,  3.78728e-37,  0.021961   ])
85832   , -20815.8    , array([ 0.0835879  ,  0.0595939  ,  2.29408e-28,  3.78728e-37,  0.021961   ])
85833   , -20812.9    , array([ 0.0835879  ,  0.0595343  ,  2.29638e-28,  3.78728e-37,  0.021961   ])
85834   , -20812.9    , array([ 0.0835879  ,  0.0595343  ,  2.29408e-28,  3.79107e-37,  0.021961   ])
85835   , -20833      , array([ 0.0835879  ,  0.0595343  ,  2.29408e-28,  3.78728e-37,  0.021983   ])
85836   , -2515.15    , array([ 0.40167    ,  0.00620124 ,  2.29408e-28,  3.78728e-37,  0.00231708 ])
85837   , -2515.15    , array([ 0.40167    ,  0.00620124 ,  2.29408e-28,  3.78728e-37,  0.00231708 ])
85838   , -2515.2     , array([ 0.402072   ,  0.00620124 ,  2.29408e-28,  3.78728e-37,  0.00231708 ])
85839   , -2512.59    , array([ 0.40167    ,  0.00620744 ,  2.29408e-28,  3.78728e-37,  0.00231708 ])
85840   , -2515.15    , array([ 0.40167    ,  0.00620124 ,  2.29638e-28,  3.78728e-37,  0.00231708 ])
85841   , -2515.15    , array([ 0.40167    ,  0.00620124 ,  2.29408e-28,  3.79107e-37,  0.00231708 ])
85842   , -2517.49    , array([ 0.40167    ,  0.00620124 ,  2.29408e-28,  3.78728e-37,  0.0023194  ])
85843   , -2599.71    , array([ 0.199019   ,  0.0170574  ,  2.29408e-28,  3.78728e-37,  0.00633694 ])
85844   , -2599.71    , array([ 0.199019   ,  0.0170574  ,  2.29408e-28,  3.78728e-37,  0.00633694 ])
85845   , -2598.56    , array([ 0.199218   ,  0.0170574  ,  2.29408e-28,  3.78728e-37,  0.00633694 ])
85846   , -2597.58    , array([ 0.199019   ,  0.0170744  ,  2.29408e-28,  3.78728e-37,  0.00633694 ])
85847   , -2599.71    , array([ 0.199019   ,  0.0170574  ,  2.29638e-28,  3.78728e-37,  0.00633694 ])
85848   , -2599.71    , array([ 0.199019   ,  0.0170574  ,  2.29408e-28,  3.79107e-37,  0.00633694 ])
85849   , -2602.54    , array([ 0.199019   ,  0.0170574  ,  2.29408e-28,  3.78728e-37,  0.00634328 ])
85850   , -2381.48    , array([ 0.285747   ,  0.010129   ,  2.29408e-28,  3.78728e-37,  0.00377417 ])
85851   , -2381.48    , array([ 0.285747   ,  0.010129   ,  2.29408e-28,  3.78728e-37,  0.00377417 ])
85852   , -2381.38    , array([ 0.286032   ,  0.010129   ,  2.29408e-28,  3.78728e-37,  0.00377417 ])
85853   , -2379.09    , array([ 0.285747   ,  0.0101392  ,  2.29408e-28,  3.78728e-37,  0.00377417 ])
85854   , -2381.48    , array([ 0.285747   ,  0.010129   ,  2.29638e-28,  3.78728e-37,  0.00377417 ])
85855   , -2381.48    , array([ 0.285747   ,  0.010129   ,  2.29408e-28,  3.79107e-37,  0.00377417 ])
85856   , -2383.69    , array([ 0.285747   ,  0.010129   ,  2.29408e-28,  3.78728e-37,  0.00377795 ])
85857   , -2372.09    , array([ 0.268406   ,  0.0110852  ,  2.29408e-28,  3.78728e-37,  0.00412834 ])
85858   , -2372.09    , array([ 0.268406   ,  0.0110852  ,  2.29408e-28,  3.78728e-37,  0.00412834 ])
85859   , -2371.91    , array([ 0.268675   ,  0.0110852  ,  2.29408e-28,  3.78728e-37,  0.00412834 ])
85860   , -2369.74    , array([ 0.268406   ,  0.0110963  ,  2.29408e-28,  3.78728e-37,  0.00412834 ])
85861   , -2372.09    , array([ 0.268406   ,  0.0110852  ,  2.29638e-28,  3.78728e-37,  0.00412834 ])
85862   , -2372.09    , array([ 0.268406   ,  0.0110852  ,  2.29408e-28,  3.79107e-37,  0.00412834 ])
85863   , -2374.32    , array([ 0.268406   ,  0.0110852  ,  2.29408e-28,  3.78728e-37,  0.00413247 ])
85864   , -868408     , array([ 0.110094   ,  5.76084    ,  2.29408e-28,  3.78728e-37,  2.09518    ])
85865   , -868408     , array([ 0.110094   ,  5.76084    ,  2.29408e-28,  3.78728e-37,  2.09518    ])
85866   , -867651     , array([ 0.110204   ,  5.76084    ,  2.29408e-28,  3.78728e-37,  2.09518    ])
