42932   , -570        , array([ 26.9814    ,  0.205658   ,  0.000113288,  0.460577   ])
42933   , -570        , array([ 27.0084    ,  0.205658   ,  0.000113288,  0.460577   ])
42934   , -569.455    , array([ 26.9814    ,  0.205863   ,  0.000113288,  0.460577   ])
42935   , -570        , array([ 26.9814    ,  0.205658   ,  0.000113401,  0.460577   ])
42936   , -571.297    , array([ 26.9814    ,  0.205658   ,  0.000113288,  0.461038   ])
42937   , -404.317    , array([ 1.90455    ,  0.236959   ,  0.000618548,  0.351054   ])
42938   , -404.317    , array([ 1.90455    ,  0.236959   ,  0.000618548,  0.351054   ])
42939   , -404.317    , array([ 1.90646    ,  0.236959   ,  0.000618548,  0.351054   ])
42940   , -404.361    , array([ 1.90455    ,  0.237196   ,  0.000618548,  0.351054   ])
42941   , -404.317    , array([ 1.90455    ,  0.236959   ,  0.000619167,  0.351054   ])
42942   , -404.258    , array([ 1.90455    ,  0.236959   ,  0.000618548,  0.351405   ])
42943   , -403.631    , array([ 3.68926    ,  0.226788   ,  0.000430374,  0.367646   ])
42944   , -403.631    , array([ 3.68926    ,  0.226788   ,  0.000430374,  0.367646   ])
42945   , -403.631    , array([ 3.69295    ,  0.226788   ,  0.000430374,  0.367646   ])
42946   , -403.646    , array([ 3.68926    ,  0.227015   ,  0.000430374,  0.367646   ])
42947   , -403.631    , array([ 3.68926    ,  0.226788   ,  0.000430805,  0.367646   ])
42948   , -403.734    , array([ 3.68926    ,  0.226788   ,  0.000430374,  0.368014   ])
42949   , -402.692    , array([ 3.12895    ,  0.228272   ,  0.000475084,  0.362385   ])
42950   , -402.692    , array([ 3.12895    ,  0.228272   ,  0.000475084,  0.362385   ])
42951   , -402.692    , array([ 3.13208    ,  0.228272   ,  0.000475084,  0.362385   ])
42952   , -402.718    , array([ 3.12895    ,  0.2285     ,  0.000475084,  0.362385   ])
42953   , -402.692    , array([ 3.12895    ,  0.228272   ,  0.00047556 ,  0.362385   ])
42954   , -402.742    , array([ 3.12895    ,  0.228272   ,  0.000475084,  0.362747   ])
42955   , -402.092    , array([ 2.96652    ,  0.226405   ,  0.000504101,  0.358002   ])
42956   , -402.092    , array([ 2.96652    ,  0.226405   ,  0.000504101,  0.358002   ])
42957   , -402.092    , array([ 2.96949    ,  0.226405   ,  0.000504101,  0.358002   ])
42958   , -402.123    , array([ 2.96652    ,  0.226631   ,  0.000504101,  0.358002   ])
42959   , -402.092    , array([ 2.96652    ,  0.226405   ,  0.000504606,  0.358002   ])
42960   , -402.107    , array([ 2.96652    ,  0.226405   ,  0.000504101,  0.358361   ])
42961   , -401.246    , array([ 3.12796    ,  0.219681   ,  0.00052394 ,  0.352509   ])
42962   , -401.246    , array([ 3.12796    ,  0.219681   ,  0.00052394 ,  0.352509   ])
42963   , -401.246    , array([ 3.13109    ,  0.219681   ,  0.00052394 ,  0.352509   ])
42964   , -401.278    , array([ 3.12796    ,  0.219901   ,  0.00052394 ,  0.352509   ])
42965   , -401.246    , array([ 3.12796    ,  0.219681   ,  0.000524464,  0.352509   ])
42966   , -401.225    , array([ 3.12796    ,  0.219681   ,  0.00052394 ,  0.352862   ])
42967   , -399.833    , array([ 3.99734    ,  0.2056     ,  0.000518599,  0.345967   ])
42968   , -399.833    , array([ 3.99734    ,  0.2056     ,  0.000518599,  0.345967   ])
42969   , -399.833    , array([ 4.00134    ,  0.2056     ,  0.000518599,  0.345967   ])
42970   , -399.865    , array([ 3.99734    ,  0.205806   ,  0.000518599,  0.345967   ])
42971   , -399.833    , array([ 3.99734    ,  0.2056     ,  0.000519118,  0.345967   ])
42972   , -399.789    , array([ 3.99734    ,  0.2056     ,  0.000518599,  0.346313   ])
42973   , -397.421    , array([ 6.97778    ,  0.180801   ,  0.000479443,  0.336768   ])
42974   , -397.421    , array([ 6.97778    ,  0.180801   ,  0.000479443,  0.336768   ])
42975   , -397.421    , array([ 6.98476    ,  0.180801   ,  0.000479443,  0.336768   ])
42976   , -397.44     , array([ 6.97778    ,  0.180982   ,  0.000479443,  0.336768   ])
42977   , -397.421    , array([ 6.97778    ,  0.180801   ,  0.000479923,  0.336768   ])
42978   , -397.409    , array([ 6.97778    ,  0.180801   ,  0.000479443,  0.337105   ])
42979   , -405.543    , array([ 26.0907    ,  0.1312     ,  0.00041558 ,  0.312225   ])
42980   , -405.543    , array([ 26.0907    ,  0.1312     ,  0.00041558 ,  0.312225   ])
42981   , -405.543    , array([ 26.1168    ,  0.1312     ,  0.00041558 ,  0.312225   ])
42982   , -405.34     , array([ 26.0907    ,  0.131332   ,  0.00041558 ,  0.312225   ])
42983   , -405.543    , array([ 26.0907    ,  0.1312     ,  0.000415996,  0.312225   ])
42984   , -405.956    , array([ 26.0907    ,  0.1312     ,  0.00041558 ,  0.312538   ])
42985   , -396.557    , array([ 9.94701    ,  0.165868   ,  0.000461368,  0.329987   ])
42986   , -396.557    , array([ 9.94701    ,  0.165868   ,  0.000461368,  0.329987   ])
42987   , -396.557    , array([ 9.95696    ,  0.165868   ,  0.000461368,  0.329987   ])
42988   , -396.553    , array([ 9.94701    ,  0.166034   ,  0.000461368,  0.329987   ])
42989   , -396.557    , array([ 9.94701    ,  0.165868   ,  0.00046183 ,  0.329987   ])
42990   , -396.598    , array([ 9.94701    ,  0.165868   ,  0.000461368,  0.330317   ])
42991   , -396.217    , array([ 13.4334    ,  0.151306   ,  0.00046523 ,  0.320144   ])
42992   , -396.217    , array([ 13.4334    ,  0.151306   ,  0.00046523 ,  0.320144   ])
42993   , -396.217    , array([ 13.4469    ,  0.151306   ,  0.00046523 ,  0.320144   ])
42994   , -396.189    , array([ 13.4334    ,  0.151457   ,  0.00046523 ,  0.320144   ])
42995   , -396.217    , array([ 13.4334    ,  0.151306   ,  0.000465696,  0.320144   ])
42996   , -396.306    , array([ 13.4334    ,  0.151306   ,  0.00046523 ,  0.320464   ])
42997   , -395.705    , array([ 14.4377    ,  0.144901   ,  0.000487304,  0.31322    ])
42998   , -395.705    , array([ 14.4377    ,  0.144901   ,  0.000487304,  0.31322    ])
42999   , -395.705    , array([ 14.4521    ,  0.144901   ,  0.000487304,  0.31322    ])
43000   , -395.682    , array([ 14.4377    ,  0.145046   ,  0.000487304,  0.31322    ])
43001   , -395.705    , array([ 14.4377    ,  0.144901   ,  0.000487791,  0.31322    ])
43002   , -395.777    , array([ 14.4377    ,  0.144901   ,  0.000487304,  0.313533   ])
43003   , -395.041    , array([ 16.3026    ,  0.134146   ,  0.000531772,  0.301011   ])
43004   , -395.041    , array([ 16.3026    ,  0.134146   ,  0.000531772,  0.301011   ])
43005   , -395.041    , array([ 16.3189    ,  0.134146   ,  0.000531772,  0.301011   ])
43006   , -395.027    , array([ 16.3026    ,  0.13428    ,  0.000531772,  0.301011   ])
43007   , -395.041    , array([ 16.3026    ,  0.134146   ,  0.000532305,  0.301011   ])
43008   , -395.086    , array([ 16.3026    ,  0.134146   ,  0.000531772,  0.301312   ])
43009   , -394.528    , array([ 21.9386    ,  0.113957   ,  0.000624153,  0.277954   ])
43010   , -394.528    , array([ 21.9386    ,  0.113957   ,  0.000624153,  0.277954   ])
43011   , -394.528    , array([ 21.9606    ,  0.113957   ,  0.000624153,  0.277954   ])
43012   , -394.497    , array([ 21.9386    ,  0.114071   ,  0.000624153,  0.277954   ])
43013   , -394.528    , array([ 21.9386    ,  0.113957   ,  0.000624777,  0.277954   ])
43014   , -394.601    , array([ 21.9386    ,  0.113957   ,  0.000624153,  0.278232   ])
43015   , -394.064    , array([ 24.3825    ,  0.102812   ,  0.000727055,  0.261957   ])
43016   , -394.064    , array([ 24.3825    ,  0.102812   ,  0.000727055,  0.261957   ])
43017   , -394.064    , array([ 24.4069    ,  0.102812   ,  0.000727055,  0.261957   ])
43018   , -394.045    , array([ 24.3825    ,  0.102915   ,  0.000727055,  0.261957   ])
43019   , -394.064    , array([ 24.3825    ,  0.102812   ,  0.000727782,  0.261957   ])
43020   , -394.11     , array([ 24.3825    ,  0.102812   ,  0.000727055,  0.262219   ])
43021   , -394.004    , array([ 29.363     ,  0.088681   ,  0.000887046,  0.241472   ])
43022   , -394.004    , array([ 29.363     ,  0.088681   ,  0.000887046,  0.241472   ])
43023   , -394.004    , array([ 29.3924    ,  0.088681   ,  0.000887046,  0.241472   ])
43024   , -393.957    , array([ 29.363     ,  0.0887697  ,  0.000887046,  0.241472   ])
43025   , -394.004    , array([ 29.363     ,  0.088681   ,  0.000887933,  0.241472   ])
43026   , -394.095    , array([ 29.363     ,  0.088681   ,  0.000887046,  0.241714   ])
43027   , -393.967    , array([ 29.7086    ,  0.0873436  ,  0.000909902,  0.239263   ])
43028   , -393.967    , array([ 29.7086    ,  0.0873436  ,  0.000909902,  0.239263   ])
43029   , -393.967    , array([ 29.7384    ,  0.0873436  ,  0.000909902,  0.239263   ])
43030   , -393.92     , array([ 29.7086    ,  0.0874309  ,  0.000909902,  0.239263   ])
43031   , -393.966    , array([ 29.7086    ,  0.0873436  ,  0.000910812,  0.239263   ])
43032   , -394.057    , array([ 29.7086    ,  0.0873436  ,  0.000909902,  0.239502   ])
43033   , -393.866    , array([ 31.1323    ,  0.0821926  ,  0.00100737 ,  0.230626   ])
43034   , -393.866    , array([ 31.1323    ,  0.0821926  ,  0.00100737 ,  0.230626   ])
43035   , -393.866    , array([ 31.1635    ,  0.0821926  ,  0.00100737 ,  0.230626   ])
43036   , -393.817    , array([ 31.1323    ,  0.0822749  ,  0.00100737 ,  0.230626   ])
43037   , -393.866    , array([ 31.1323    ,  0.0821926  ,  0.00100838 ,  0.230626   ])
43038   , -393.957    , array([ 31.1323    ,  0.0821926  ,  0.00100737 ,  0.230857   ])
43039   , -393.773    , array([ 31.6047    ,  0.0798251  ,  0.00106427 ,  0.226392   ])
43040   , -393.773    , array([ 31.6047    ,  0.0798251  ,  0.00106427 ,  0.226392   ])
43041   , -393.773    , array([ 31.6363    ,  0.0798251  ,  0.00106427 ,  0.226392   ])
43042   , -393.728    , array([ 31.6047    ,  0.079905   ,  0.00106427 ,  0.226392   ])
43043   , -393.773    , array([ 31.6047    ,  0.0798251  ,  0.00106533 ,  0.226392   ])
43044   , -393.857    , array([ 31.6047    ,  0.0798251  ,  0.00106427 ,  0.226619   ])
