12071   , -54534.7    , array([ 0.00260743 ,  0.336913   ,  0.000108109,  2.08179e-81,  0.000244409])
12072   , -54534.4    , array([ 0.00260743 ,  0.336913   ,  0.000108109,  2.07971e-81,  0.000244654])
12080   , -54534.7    , array([ 0.00260752 ,  0.336892   ,  0.000108109,  2.07971e-81,  0.000244418])
12081   , -54534.7    , array([ 0.00260752 ,  0.336892   ,  0.000108109,  2.07971e-81,  0.000244418])
12082   , -54534.6    , array([ 0.00261013 ,  0.336892   ,  0.000108109,  2.07971e-81,  0.000244418])
12083   , -54535.1    , array([ 0.00260752 ,  0.337229   ,  0.000108109,  2.07971e-81,  0.000244418])
12084   , -54534.7    , array([ 0.00260752 ,  0.336892   ,  0.000108217,  2.07971e-81,  0.000244418])
12085   , -54534.7    , array([ 0.00260752 ,  0.336892   ,  0.000108109,  2.08179e-81,  0.000244418])
12086   , -54534.4    , array([ 0.00260752 ,  0.336892   ,  0.000108109,  2.07971e-81,  0.000244663])
12087   , -54534.7    , array([ 0.00260761 ,  0.336871   ,  0.000108109,  2.07971e-81,  0.000244427])
12088   , -54534.7    , array([ 0.00260761 ,  0.336871   ,  0.000108109,  2.07971e-81,  0.000244427])
12089   , -54534.5    , array([ 0.00261022 ,  0.336871   ,  0.000108109,  2.07971e-81,  0.000244427])
12090   , -54535.1    , array([ 0.00260761 ,  0.337208   ,  0.000108109,  2.07971e-81,  0.000244427])
12091   , -54534.7    , array([ 0.00260761 ,  0.336871   ,  0.000108217,  2.07971e-81,  0.000244427])
12092   , -54534.7    , array([ 0.00260761 ,  0.336871   ,  0.000108109,  2.08179e-81,  0.000244427])
12093   , -54534.3    , array([ 0.00260761 ,  0.336871   ,  0.000108109,  2.07971e-81,  0.000244671])
12094   , -9513.5     , array([ 0.0205247  ,  0.00860304 ,  0.000108109,  2.07971e-81,  0.00198219 ])
12095   , -9513.5     , array([ 0.0205247  ,  0.00860304 ,  0.000108109,  2.07971e-81,  0.00198219 ])
