132240  , -79085      , array([ 0.0174361  ,  9.9569     ,  0.0249324  ,  3.04815e-25,  9.60217e-08])
132241  , -79085      , array([ 0.0174535  ,  9.9569     ,  0.0249324  ,  3.04815e-25,  9.60217e-08])
132242  , -79085      , array([ 0.0174361  ,  9.96686    ,  0.0249324  ,  3.04815e-25,  9.60217e-08])
132243  , -79085      , array([ 0.0174361  ,  9.9569     ,  0.0249574  ,  3.04815e-25,  9.60217e-08])
132244  , -79085      , array([ 0.0174361  ,  9.9569     ,  0.0249324  ,  3.0512e-25 ,  9.60217e-08])
132245  , -79085      , array([ 0.0174361  ,  9.9569     ,  0.0249324  ,  3.04815e-25,  9.61177e-08])
132246  , -79085      , array([ 0.0174361  ,  9.9569     ,  0.0249324  ,  3.04815e-25,  9.60217e-08])
132247  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132248  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132249  , -79071.1    , array([ 0.00855719 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132250  , -79071.1    , array([ 0.00854864 ,  9.94857    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132251  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249574  ,  3.04815e-25,  1.964e-07  ])
132252  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.0512e-25 ,  1.964e-07  ])
132253  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.96597e-07])
132261  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132262  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132263  , -79071.1    , array([ 0.00855719 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132264  , -79071.1    , array([ 0.00854864 ,  9.94857    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132265  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249574  ,  3.04815e-25,  1.964e-07  ])
132266  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.0512e-25 ,  1.964e-07  ])
132267  , -79071.1    , array([ 0.00854864 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.96597e-07])
132268  , -79071.1    , array([ 0.00854863 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132269  , -79071.1    , array([ 0.00854863 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132270  , -79071.1    , array([ 0.00855718 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132271  , -79071.1    , array([ 0.00854863 ,  9.94857    ,  0.0249324  ,  3.04815e-25,  1.964e-07  ])
132272  , -79071.1    , array([ 0.00854863 ,  9.93863    ,  0.0249574  ,  3.04815e-25,  1.964e-07  ])
132273  , -79071.1    , array([ 0.00854863 ,  9.93863    ,  0.0249324  ,  3.0512e-25 ,  1.964e-07  ])
132274  , -79071.1    , array([ 0.00854863 ,  9.93863    ,  0.0249324  ,  3.04815e-25,  1.96597e-07])
132275  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21652e-07])
132276  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21652e-07])
132277  , -78772.2    , array([ 0.00205697 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21652e-07])
132278  , -78771.9    , array([ 0.00205491 ,  9.9121     ,  0.0249325  ,  3.04815e-25,  8.21652e-07])
132279  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249574  ,  3.04815e-25,  8.21652e-07])
132280  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.0512e-25 ,  8.21652e-07])
132281  , -78771.6    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.22474e-07])
132282  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21654e-07])
132283  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21654e-07])
132284  , -78772.2    , array([ 0.00205696 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21654e-07])
132285  , -78771.9    , array([ 0.00205491 ,  9.9121     ,  0.0249325  ,  3.04815e-25,  8.21654e-07])
132286  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249574  ,  3.04815e-25,  8.21654e-07])
132287  , -78771.9    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.0512e-25 ,  8.21654e-07])
132288  , -78771.6    , array([ 0.00205491 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.22476e-07])
132289  , -78771.9    , array([ 0.0020549  ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21656e-07])
132290  , -78771.9    , array([ 0.0020549  ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21656e-07])
132291  , -78772.2    , array([ 0.00205696 ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.21656e-07])
132292  , -78771.9    , array([ 0.0020549  ,  9.9121     ,  0.0249325  ,  3.04815e-25,  8.21656e-07])
132293  , -78771.9    , array([ 0.0020549  ,  9.90219    ,  0.0249574  ,  3.04815e-25,  8.21656e-07])
132294  , -78771.9    , array([ 0.0020549  ,  9.90219    ,  0.0249325  ,  3.0512e-25 ,  8.21656e-07])
132295  , -78771.6    , array([ 0.0020549  ,  9.90219    ,  0.0249325  ,  3.04815e-25,  8.22478e-07])
132296  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132297  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132298  , -77791.3    , array([ 0.0010085  ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132299  , -77790      , array([ 0.00100749 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132300  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.68059e-06])
132301  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.68059e-06])
132302  , -77788.8    , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68227e-06])
132303  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132304  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132305  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132306  , -77790      , array([ 0.00100749 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.68059e-06])
132307  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.68059e-06])
132308  , -77790      , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.68059e-06])
132309  , -77788.7    , array([ 0.00100749 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132310  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132311  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132312  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132313  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132314  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132315  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132316  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132324  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132325  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132326  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132327  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132328  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132329  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132330  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132331  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132332  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132333  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132334  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132335  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132336  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132337  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132345  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132346  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132347  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132348  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132349  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132350  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132351  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132352  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132353  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132354  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132355  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132356  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132357  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132358  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132366  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132367  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132368  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132369  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132370  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132371  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132372  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132373  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132374  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132375  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132376  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132377  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132378  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132379  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132387  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132388  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132389  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132390  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132391  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132392  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132393  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132394  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132395  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132396  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132397  , -77790      , array([ 0.00100748 ,  9.89391    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132398  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249575  ,  3.04815e-25,  1.6806e-06 ])
132399  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.0512e-25 ,  1.6806e-06 ])
132400  , -77788.7    , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.68228e-06])
132408  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132409  , -77790      , array([ 0.00100748 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
132410  , -77791.3    , array([ 0.00100849 ,  9.88402    ,  0.0249325  ,  3.04815e-25,  1.6806e-06 ])
